,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,66.9,$25.57,2.62,$25.20,2.65,$3.48,19.23,$-2.14,0.0,$0.22B,$0.38B,0.57,$0.73B,$0.74B,0.98,$0.73B,$0.45B,61.93%,$0.73B,$-0.07B,-10.21%,$0.73B,$-0.07B,-10.21%,$0.73B,$0.03B,4.41%,$0.73B,$-0.11B,-14.48%,$0.73B,$-0.06B,-8.41%,$-0.06B,$0.74B,-8.10%,$-0.06B,$0.73B,-8.12%,$-0.06B,$3.08B,-2.01%,$-0.07B,$1.46B,-5.11%,$91,$26,$66,$0,$49,$97,$-6,$-9,$-15,$-4,$-11,$-11,$-12,$20,$-6,$29,29,$-0.41,$-0.41,$30,$53,$98,$218,$2373,$65,$7,$84,$2863,$3081,$383,$725,$750,$1961,$2344,$455,$290,$-8,$738,$3081,$29,$76,$6,$81,$83,$-5,$-23,$-4,$48,$159,$-159,$0,$0,$0,$0,$0,$-2,$-161,$28,$46,$74,$-7,$-7,$-38,$-0,$29,$26,$0,$-38
1,2018-06-30,63.33,$26.37,2.4,$25.04,2.53,$5.15,12.3,$-2.03,0.0,$0.18B,$0.30B,0.61,$0.68B,$0.76B,0.9,$0.72B,$0.44B,61.39%,$0.72B,$-0.07B,-10.14%,$0.72B,$-0.07B,-10.14%,$0.72B,$0.03B,4.44%,$0.72B,$-0.10B,-14.44%,$0.72B,$-0.06B,-7.92%,$-0.06B,$0.76B,-7.30%,$-0.06B,$0.76B,-7.30%,$-0.06B,$2.99B,-1.87%,$-0.07B,$1.44B,-4.92%,$125,$42,$83,$0,$51,$116,$8,$-9,$-0,$-0,$-0,$-0,$-1,$33,$8,$29,29,$-0.03,$-0.03,$9,$43,$74,$181,$2314,$65,$0,$88,$2806,$2987,$298,$684,$746,$1929,$2227,$452,$315,$-8,$760,$2987,$41,$50,$23,$73,$79,$5,$-27,$4,$49,$163,$-102,$0,$0,$0,$0,$0,$-0,$-102,$-22,$-7,$-29,$0,$0,$-26,$-0,$-55,$5,$0,$-26
2,2018-03-31,56.79,$26.83,2.12,$25.40,2.24,$6.53,8.69,$-1.90,0.0,$0.24B,$0.32B,0.76,$0.68B,$0.77B,0.89,$0.73B,$0.44B,60.36%,$0.73B,$-0.07B,-8.92%,$0.73B,$-0.07B,-8.92%,$0.73B,$0.04B,5.21%,$0.73B,$-0.10B,-13.31%,$0.73B,$-0.05B,-7.27%,$-0.05B,$0.77B,-6.57%,$-0.05B,$0.77B,-6.57%,$-0.05B,$3.03B,-1.73%,$-0.07B,$1.46B,-4.33%,$265,$108,$157,$0,$63,$197,$67,$-10,$57,$15,$42,$42,$42,$92,$67,$29,29,$1.44,$1.44,$11,$35,$101,$242,$2289,$67,$0,$89,$2788,$3029,$317,$683,$752,$1940,$2257,$450,$330,$-8,$772,$3029,$42,$25,$27,$52,$12,$13,$-20,$9,$11,$105,$-57,$0,$0,$0,$0,$0,$-0,$-57,$-22,$-4,$-26,$0,$0,$-13,$-0,$-39,$8,$0,$-13
3,2017-12-31,58.28,$25.85,2.25,$26.56,2.19,$8.60,6.78,$-1.94,0.0,$0.27B,$0.38B,0.71,$0.68B,$0.74B,0.92,$0.76B,$0.44B,57.42%,$0.76B,$-0.05B,-7.10%,$0.76B,$-0.05B,-7.10%,$0.76B,$0.05B,6.44%,$0.76B,$-0.09B,-11.43%,$0.76B,$-0.06B,-7.23%,$-0.06B,$0.74B,-6.61%,$-0.06B,$0.74B,-6.61%,$-0.06B,$3.04B,-1.79%,$-0.05B,$1.43B,-3.55%,$244,$101,$143,$0,$65,$387,$-143,$-4,$-147,$-55,$-92,$-92,$-90,$-113,$-143,$29,29,$-3.15,$-3.14,$3,$48,$151,$270,$2244,$66,$0,$103,$2770,$3040,$382,$683,$738,$1915,$2297,$449,$302,$-8,$743,$3040,$-56,$102,$147,$249,$3,$6,$1,$-4,$14,$207,$-214,$0,$0,$0,$0,$0,$-1,$-214,$60,$1,$61,$3,$3,$-54,$-2,$7,$-0,$0,$-54
4,2017-09-30,62.48,$29.49,2.12,$26.45,2.36,$11.81,5.29,$2.20,28.4,$0.20B,$0.20B,0.98,$0.76B,$0.85B,0.9,$0.75B,$0.42B,56.46%,$0.75B,$0.15B,19.44%,$0.75B,$0.15B,19.44%,$0.75B,$0.24B,32.49%,$0.75B,$0.11B,14.38%,$0.75B,$0.06B,8.39%,$0.06B,$0.85B,7.33%,$0.06B,$0.85B,7.33%,$0.06B,$3.11B,2.05%,$0.15B,$1.60B,9.43%,$86,$27,$59,$0,$42,$91,$-5,$-9,$-14,$-6,$-8,$-8,$-8,$20,$-5,$29,29,$-0.30,$-0.30,$16,$59,$101,$200,$2194,$69,$0,$298,$2906,$3106,$203,$757,$514,$2056,$2259,$447,$406,$-7,$847,$3106,$35,$73,$26,$99,$90,$-5,$-29,$0,$59,$193,$-145,$0,$0,$0,$0,$0,$-1,$-147,$60,$-53,$7,$2,$2,$-40,$-2,$-34,$12,$0,$-40
5,2017-06-30,57.63,$30.19,1.91,$26.62,2.16,$14.08,4.09,$2.21,26.08,$0.19B,$0.24B,0.82,$0.66B,$0.87B,0.76,$0.75B,$0.42B,56.31%,$0.75B,$0.15B,19.52%,$0.75B,$0.15B,19.52%,$0.75B,$0.24B,32.40%,$0.75B,$0.11B,14.34%,$0.75B,$0.06B,8.37%,$0.06B,$0.87B,7.48%,$0.06B,$0.87B,7.48%,$0.06B,$3.07B,2.07%,$0.15B,$1.52B,9.97%,$134,$53,$81,$0,$42,$118,$16,$-10,$7,$3,$4,$4,$3,$39,$16,$29,29,$0.10,$0.10,$21,$57,$69,$192,$2156,$69,$0,$300,$2873,$3065,$235,$658,$510,$1965,$2200,$444,$428,$-7,$865,$3065,$43,$48,$40,$88,$85,$-4,$-22,$8,$63,$194,$-94,$0,$0,$0,$0,$0,$-0,$-95,$0,$-53,$-53,$-1,$-1,$-27,$-1,$-82,$17,$0,$-27
6,2017-03-31,56.47,$30.53,1.85,$25.53,2.21,$15.58,3.63,$2.18,25.9,$0.27B,$0.24B,1.13,$0.66B,$0.88B,0.75,$0.72B,$0.42B,58.64%,$0.72B,$0.14B,20.06%,$0.72B,$0.14B,20.06%,$0.72B,$0.24B,33.70%,$0.72B,$0.10B,14.48%,$0.72B,$0.06B,8.64%,$0.06B,$0.88B,7.51%,$0.06B,$0.88B,7.51%,$0.06B,$3.07B,2.06%,$0.14B,$1.53B,10.03%,$297,$144,$154,$0,$48,$220,$78,$-10,$67,$27,$40,$40,$40,$103,$78,$29,29,$1.41,$1.40,$41,$48,$91,$266,$2287,$69,$0,$100,$2805,$3071,$235,$658,$505,$1961,$2196,$443,$439,$-7,$875,$3071,$40,$25,$37,$62,$23,$6,$-13,$18,$42,$145,$-39,$0,$0,$0,$0,$0,$0,$-39,$0,$-53,$-53,$-2,$-2,$-13,$-1,$-69,$37,$0,$-13
7,2016-12-31,56.68,$29.71,1.91,$24.45,2.32,$16.09,3.52,$2.11,26.86,$0.29B,$0.28B,1.05,$0.68B,$0.85B,0.8,$0.68B,$0.41B,61.15%,$0.68B,$0.14B,20.68%,$0.68B,$0.14B,20.68%,$0.68B,$0.24B,35.16%,$0.68B,$0.10B,14.62%,$0.68B,$0.06B,8.71%,$0.06B,$0.85B,7.29%,$0.06B,$0.85B,7.29%,$0.06B,$3.08B,1.97%,$0.14B,$1.53B,10.03%,$234,$103,$130,$0,$47,$176,$57,$-9,$48,$19,$28,$28,$28,$82,$57,$28,28,$1.02,$1.01,$4,$54,$140,$288,$2261,$68,$0,$105,$2792,$3080,$275,$679,$493,$1955,$2229,$445,$412,$-7,$850,$3080,$59,$98,$22,$120,$-7,$17,$12,$12,$43,$222,$-140,$0,$0,$0,$0,$0,$3,$-137,$125,$-217,$-92,$60,$60,$-52,$-3,$-86,$-1,$0,$-52
8,2016-09-30,56.51,$28.28,2.0,$24.46,2.31,$15.54,3.64,$2.19,25.81,$0.21B,$0.40B,0.52,$0.53B,$0.78B,0.68,$0.67B,$0.41B,60.98%,$0.67B,$0.14B,21.22%,$0.67B,$0.14B,21.22%,$0.67B,$0.24B,35.76%,$0.67B,$0.10B,14.99%,$0.67B,$0.06B,9.05%,$0.06B,$0.78B,7.70%,$0.06B,$0.78B,7.70%,$0.06B,$2.96B,2.04%,$0.14B,$1.31B,10.58%,$88,$28,$59,$0,$42,$92,$-4,$-9,$-14,$-5,$-8,$-8,$-8,$20,$-4,$28,28,$-0.29,$-0.29,$6,$67,$92,$211,$2234,$68,$0,$106,$2749,$2960,$403,$530,$486,$1778,$2181,$390,$397,$-8,$779,$2960,$31,$73,$8,$81,$83,$3,$-18,$15,$95,$206,$-98,$0,$0,$0,$0,$0,$3,$-95,$0,$-75,$-75,$5,$5,$-39,$-0,$-109,$2,$0,$-39
9,2016-06-30,60.5,$29.04,2.08,$24.68,2.45,$14.74,4.1,$2.24,27.01,$0.20B,$0.31B,0.64,$0.57B,$0.80B,0.71,$0.68B,$0.41B,60.24%,$0.68B,$0.15B,21.35%,$0.68B,$0.15B,21.35%,$0.68B,$0.24B,35.79%,$0.68B,$0.10B,15.32%,$0.68B,$0.06B,9.13%,$0.06B,$0.80B,7.88%,$0.06B,$0.80B,7.88%,$0.06B,$2.94B,2.07%,$0.15B,$1.37B,10.60%,$99,$21,$78,$0,$43,$87,$13,$-9,$3,$1,$2,$2,$2,$37,$13,$28,28,$0.07,$0.07,$5,$66,$86,$202,$2214,$68,$0,$114,$2741,$2943,$314,$570,$486,$1830,$2143,$389,$418,$-7,$800,$2943,$39,$48,$21,$70,$87,$5,$-17,$13,$91,$200,$-62,$0,$0,$0,$0,$0,$2,$-60,$0,$-117,$-117,$4,$4,$-26,$-0,$-139,$1,$0,$-26
