,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,19.75,$22.46,0.88,$15.49,1.27,$-1.93,0.0,$1.84,10.73,$0.14B,$0.03B,5.26,$0.00B,$0.22B,0.01,$0.15B,$0.01B,4.67%,$0.15B,$-0.01B,-4.67%,$0.15B,$-0.01B,-4.67%,$0.15B,0,0.00%,$0.15B,$0.02B,10.00%,$0.15B,$0.02B,12.00%,$0.02B,$0.22B,8.93%,$0.02B,$0.22B,8.93%,$0.02B,$0.26B,7.82%,$-0.01B,$0.22B,-3.46%,$52,$47,$5,$0,$5,$50,$2,$22,$24,$-3,$28,$28,$28,$5,$2,$10,10,$2.86,$2.86,$2,$35,$64,$140,$108,$0,$0,$10,$118,$257,$27,$1,$11,$12,$39,$0,$101,$-1,$219,$257,$20,$6,$-28,$-22,$6,$-7,$6,$-10,$-6,$-7,$3,$0,$-37,$0,$0,$0,$1,$-34,$0,$0,$0,$0,$0,$0,$-1,$-1,$-42,$0,$0
1,2018-06-30,19.37,$19.60,0.99,$14.14,1.37,$-3.15,0.0,$-1.23,0.0,$0.13B,$0.01B,11.66,$0.00B,$0.19B,0.01,$0.14B,$0.00B,2.92%,$0.14B,$-0.01B,-7.30%,$0.14B,$-0.01B,-7.30%,$0.14B,$-0.01B,-3.65%,$0.14B,$-0.01B,-8.03%,$0.14B,$-0.01B,-8.76%,$-0.01B,$0.19B,-6.08%,$-0.01B,$0.19B,-6.08%,$-0.01B,$0.21B,-5.39%,$-0.01B,$0.19B,-5.04%,$29,$30,$-1,$0,$4,$35,$-6,$0,$-6,$-0,$-6,$-6,$-6,$-4,$-6,$10,10,$-0.59,$-0.59,$42,$19,$47,$130,$74,$0,$0,$9,$84,$214,$11,$1,$11,$12,$23,$0,$73,$-1,$191,$214,$-8,$3,$-0,$3,$12,$-2,$-2,$-3,$5,$1,$-2,$0,$0,$0,$0,$0,$1,$-1,$-0,$0,$-0,$0,$0,$0,$-1,$-1,$-2,$0,$0
2,2018-03-31,17.3,$20.18,0.86,$14.16,1.22,$-3.46,0.0,$-0.86,0.0,$0.13B,$0.01B,11.86,$0.00B,$0.20B,0.01,$0.14B,$0.01B,4.38%,$0.14B,$-0.01B,-5.11%,$0.14B,$-0.01B,-5.11%,$0.14B,$-0.00B,-1.46%,$0.14B,$-0.01B,-5.84%,$0.14B,$-0.01B,-5.84%,$-0.01B,$0.20B,-3.99%,$-0.01B,$0.20B,-3.99%,$-0.01B,$0.22B,-3.52%,$-0.01B,$0.20B,-3.47%,$33,$32,$1,$0,$3,$36,$-2,$0,$-2,$-0,$-2,$-2,$-2,$-1,$-2,$10,10,$-0.20,$-0.20,$40,$17,$45,$132,$78,$0,$0,$9,$88,$220,$11,$1,$11,$12,$23,$0,$79,$-1,$196,$220,$-2,$2,$-0,$2,$4,$1,$-3,$-3,$-2,$-2,$-1,$0,$0,$0,$0,$0,$1,$0,$-0,$0,$-0,$0,$0,$0,$-1,$-1,$-4,$0,$0
3,2017-12-31,19.14,$20.82,0.92,$13.81,1.39,$-3.24,0.0,$-1.06,0.0,$0.14B,$0.02B,8.28,$0.00B,$0.20B,0.0,$0.13B,$0.01B,4.48%,$0.13B,$-0.01B,-5.97%,$0.13B,$-0.01B,-5.97%,$0.13B,$-0.00B,-2.24%,$0.13B,$-0.01B,-7.46%,$0.13B,$-0.01B,-7.46%,$-0.01B,$0.20B,-4.93%,$-0.01B,$0.20B,-4.93%,$-0.01B,$0.23B,-4.35%,$-0.01B,$0.20B,-3.93%,$36,$34,$2,$0,$3,$37,$-1,$0,$-1,$1,$-2,$-2,$-2,$0,$-1,$10,10,$-0.23,$-0.23,$44,$17,$45,$141,$79,$0,$0,$11,$90,$230,$17,$1,$11,$13,$30,$0,$82,$-1,$200,$230,$-10,$7,$2,$8,$-4,$2,$2,$-0,$-6,$-8,$-3,$0,$0,$0,$0,$0,$33,$30,$-0,$0,$-0,$0,$0,$0,$-0,$-0,$22,$1,$0
4,2017-09-30,19.02,$21.05,0.9,$13.48,1.41,$-2.25,0.0,$-0.23,0.0,$0.14B,$0.01B,11.34,$0.00B,$0.20B,0.0,$0.13B,$0.01B,6.15%,$0.13B,0,0.00%,$0.13B,0,0.00%,$0.13B,$0.01B,4.62%,$0.13B,$-0.00B,-1.54%,$0.13B,$-0.00B,-1.54%,$-0.00B,$0.20B,-0.97%,$-0.00B,$0.20B,-0.97%,$-0.00B,$0.23B,-0.86%,$0.00B,$0.20B,0.00%,$39,$37,$2,$0,$3,$40,$-1,$-0,$-2,$-0,$-2,$-2,$-2,$0,$-1,$10,10,$-0.21,$-0.21,$5,$19,$87,$136,$79,$0,$0,$11,$90,$226,$12,$0,$11,$11,$23,$0,$84,$-1,$202,$226,$-8,$5,$1,$6,$1,$-0,$-2,$-7,$-12,$-14,$-2,$0,$0,$0,$0,$0,$0,$-2,$-0,$0,$-0,$0,$0,$0,$-0,$-0,$-17,$1,$0
5,2017-06-30,16.26,$21.22,0.77,$13.71,1.19,$-0.26,0.0,$0.06,271.0,$0.11B,$0.02B,6.36,$0.00B,$0.20B,0.0,$0.13B,$0.01B,6.82%,$0.13B,0,0.00%,$0.13B,0,0.00%,$0.13B,$0.01B,5.30%,$0.13B,$-0.00B,-0.76%,$0.13B,$0.00B,0.76%,$0.00B,$0.20B,0.49%,$0.00B,$0.20B,0.49%,$0.00B,$0.23B,0.42%,$0.00B,$0.21B,0.00%,$29,$28,$1,$0,$4,$32,$-3,$0,$-3,$-1,$-1,$-1,$-2,$-1,$-3,$10,10,$-0.22,$-0.22,$18,$22,$43,$105,$116,$0,$0,$11,$127,$233,$17,$0,$11,$12,$28,$0,$86,$-1,$204,$233,$-6,$3,$0,$3,$4,$-3,$2,$0,$-0,$-3,$-1,$0,$0,$0,$0,$0,$0,$-1,$-0,$0,$-0,$0,$0,$0,$-0,$-0,$-4,$1,$0
6,2017-03-31,15.71,$21.41,0.73,$15.12,1.04,$0.18,86.99,$-0.37,0.0,$0.10B,$0.01B,8.61,$0.00B,$0.21B,0.0,$0.15B,$0.01B,4.14%,$0.15B,$-0.00B,-2.07%,$0.15B,$-0.00B,-2.07%,$0.15B,$0.01B,3.45%,$0.15B,$-0.00B,-2.76%,$0.15B,$-0.00B,-2.07%,$-0.00B,$0.21B,-1.46%,$-0.00B,$0.21B,-1.46%,$-0.00B,$0.23B,-1.26%,$-0.00B,$0.21B,-1.46%,$30,$28,$1,$0,$4,$33,$-3,$-0,$-4,$-0,$-4,$-4,$-4,$-2,$-3,$10,10,$-0.40,$-0.40,$21,$17,$45,$103,$117,$0,$0,$11,$128,$231,$12,$1,$0,$13,$25,$0,$88,$-1,$206,$231,$-4,$2,$0,$2,$7,$2,$-2,$-2,$1,$-0,$-1,$0,$0,$0,$0,$0,$0,$-1,$-0,$0,$-0,$0,$0,$0,$-0,$-0,$-1,$0,$0
7,2016-12-31,17.22,$21.79,0.79,$15.58,1.11,$0.31,55.6,$-0.97,0.0,$0.15B,$0.02B,8.01,$0.00B,$0.21B,0.0,$0.15B,0,0.00%,$0.15B,$-0.01B,-6.71%,$0.15B,$-0.01B,-6.71%,$0.15B,$-0.00B,-0.67%,$0.15B,$-0.01B,-6.71%,$0.15B,$-0.01B,-6.04%,$-0.01B,$0.21B,-4.38%,$-0.01B,$0.21B,-4.38%,$-0.01B,$0.24B,-3.70%,$-0.01B,$0.21B,-4.85%,$32,$28,$4,$0,$4,$25,$7,$-0,$7,$-1,$8,$8,$6,$9,$7,$10,10,$0.60,$0.60,$22,$19,$80,$149,$82,$0,$0,$11,$93,$242,$19,$1,$12,$14,$32,$0,$92,$-1,$209,$242,$-9,$9,$-6,$3,$0,$6,$1,$-0,$7,$2,$-2,$0,$0,$0,$0,$0,$14,$12,$-0,$0,$-0,$0,$0,$0,$-1,$-2,$12,$2,$0
8,2016-09-30,11.81,$21.15,0.56,$10.33,1.14,$5.45,2.17,$-3.00,0.0,$0.11B,$0.02B,4.98,$0.00B,$0.20B,0.0,$0.10B,$-0.00B,-2.02%,$0.10B,$-0.02B,-18.18%,$0.10B,$-0.02B,-18.18%,$0.10B,$-0.01B,-10.10%,$0.10B,$-0.02B,-19.19%,$0.10B,$-0.03B,-29.29%,$-0.03B,$0.20B,-13.98%,$-0.03B,$0.20B,-13.98%,$-0.03B,$0.24B,-11.73%,$-0.02B,$0.20B,-8.65%,$41,$38,$3,$0,$4,$42,$-1,$-0,$-1,$-3,$1,$1,$1,$1,$-1,$10,10,$0.08,$0.08,$12,$21,$52,$108,$120,$0,$0,$12,$132,$240,$22,$1,$0,$15,$37,$0,$86,$-1,$203,$240,$-15,$7,$4,$11,$3,$4,$1,$1,$9,$5,$-2,$0,$0,$0,$0,$0,$0,$-2,$-0,$0,$-0,$0,$0,$0,$-1,$-2,$1,$1,$0
9,2016-06-30,10.78,$21.02,0.51,$11.54,0.93,$8.29,1.3,$-3.24,0.0,$0.11B,$0.02B,5.22,$0.00B,$0.20B,0.0,$0.11B,$-0.01B,-7.27%,$0.11B,$-0.02B,-21.82%,$0.11B,$-0.02B,-21.82%,$0.11B,$-0.01B,-10.00%,$0.11B,$-0.03B,-22.73%,$0.11B,$-0.03B,-29.09%,$-0.03B,$0.20B,-14.92%,$-0.03B,$0.20B,-14.92%,$-0.03B,$0.24B,-12.40%,$-0.02B,$0.20B,-11.18%,$42,$44,$-2,$0,$4,$48,$-6,$-0,$-6,$-0,$-6,$-6,$-6,$-3,$-6,$10,10,$-0.65,$-0.65,$9,$26,$55,$107,$122,$0,$0,$12,$133,$241,$21,$1,$0,$19,$39,$0,$85,$-1,$202,$241,$-16,$5,$-0,$5,$11,$4,$1,$-4,$12,$2,$-1,$0,$0,$0,$0,$0,$0,$-1,$-0,$0,$-0,$0,$0,$0,$-1,$-1,$-1,$1,$0
10,2016-03-31,9.22,$21.64,0.43,$12.78,0.72,$12.01,0.77,$-3.85,0.0,$0.11B,$0.02B,4.58,$0.00B,$0.21B,0.0,$0.12B,$-0.01B,-7.38%,$0.12B,$-0.03B,-25.41%,$0.12B,$-0.03B,-25.41%,$0.12B,$-0.02B,-15.57%,$0.12B,$-0.03B,-27.05%,$0.12B,$-0.04B,-31.15%,$-0.04B,$0.21B,-17.12%,$-0.04B,$0.21B,-17.12%,$-0.04B,$0.25B,-14.00%,$-0.03B,$0.21B,-13.84%,$34,$39,$-5,$0,$5,$44,$-10,$-0,$-10,$-1,$-10,$-10,$-10,$-8,$-10,$10,10,$-1.00,$-1.00,$9,$29,$41,$107,$130,$0,$0,$12,$142,$249,$23,$1,$0,$19,$42,$0,$92,$-2,$207,$249,$-10,$2,$-0,$2,$6,$0,$-1,$5,$8,$1,$-1,$0,$0,$0,$0,$0,$0,$-1,$-0,$0,$-0,$0,$0,$0,$-1,$-1,$-1,$0,$0
11,2015-12-31,11.19,$22.75,0.49,$18.12,0.62,$14.15,0.79,$-3.07,0.0,$0.12B,$0.02B,5.34,$0.00B,$0.22B,0.0,$0.17B,0,0.00%,$0.17B,$-0.02B,-13.87%,$0.17B,$-0.02B,-13.87%,$0.17B,$-0.01B,-6.36%,$0.17B,$-0.03B,-15.03%,$0.17B,$-0.03B,-17.34%,$-0.03B,$0.22B,-12.97%,$-0.03B,$0.22B,-13.06%,$-0.03B,$0.26B,-10.36%,$-0.02B,$0.22B,-10.03%,$-18,$-20,$2,$0,$3,$-17,$-1,$-1,$-2,$0,$-2,$-2,$-14,$-0,$-1,$10,10,$-1.43,$-1.43,$10,$29,$43,$115,$132,$0,$0,$12,$144,$259,$22,$1,$0,$20,$42,$0,$101,$-2,$218,$259,$-29,$14,$44,$58,$16,$10,$-8,$4,$27,$55,$-7,$0,$4,$0,$0,$0,$6,$3,$-47,$0,$-47,$0,$0,$0,$-2,$-48,$10,$2,$0
12,2015-09-30,13.06,$24.13,0.54,$30.73,0.43,$11.27,1.16,$-3.11,0.0,$0.14B,$0.03B,5.12,$0.00B,$0.23B,0.0,$0.29B,$0.01B,2.39%,$0.29B,$-0.04B,-12.29%,$0.29B,$-0.04B,-12.29%,$0.29B,$-0.01B,-1.71%,$0.29B,$-0.04B,-12.97%,$0.29B,$-0.03B,-10.24%,$-0.03B,$0.23B,-12.59%,$-0.03B,$0.23B,-12.75%,$-0.03B,$0.28B,-9.59%,$-0.04B,$0.23B,-13.98%,$52,$55,$-3,$0,$5,$60,$-7,$-0,$-7,$-6,$-2,$-2,$-2,$0,$-7,$10,10,$-0.16,$-0.16,$1,$49,$39,$139,$133,$0,$0,$12,$145,$283,$27,$0,$0,$26,$53,$0,$115,$-2,$231,$283,$-16,$13,$-1,$11,$19,$24,$-4,$9,$42,$38,$-8,$0,$4,$0,$0,$0,$7,$4,$-41,$0,$-41,$0,$0,$0,$-0,$-42,$0,$1,$0
13,2015-06-30,20.37,$24.26,0.84,$37.37,0.55,$10.15,2.01,$-2.43,0.0,$0.15B,$0.03B,5.9,$0.01B,$0.23B,0.03,$0.36B,$0.03B,7.26%,$0.36B,$-0.02B,-5.59%,$0.36B,$-0.02B,-5.59%,$0.36B,$0.01B,2.51%,$0.36B,$-0.02B,-6.15%,$0.36B,$-0.02B,-6.42%,$-0.02B,$0.23B,-9.38%,$-0.02B,$0.23B,-9.70%,$-0.02B,$0.30B,-6.88%,$-0.02B,$0.24B,-7.24%,$54,$56,$-3,$0,$5,$67,$-13,$-0,$-14,$-1,$-12,$-12,$-12,$-11,$-13,$10,10,$-1.26,$-1.26,$1,$51,$50,$148,$133,$0,$0,$13,$146,$295,$25,$7,$0,$38,$63,$0,$116,$-2,$232,$295,$-14,$5,$7,$12,$27,$22,$-0,$-3,$44,$42,$-6,$0,$4,$0,$0,$0,$1,$-1,$-41,$0,$-41,$0,$0,$0,$-0,$-41,$0,$1,$0
14,2015-03-31,22.95,$25.49,0.9,$42.35,0.54,$8.92,2.57,$-0.84,0.0,$0.16B,$0.02B,7.45,$0.03B,$0.24B,0.1,$0.41B,$0.04B,9.85%,$0.41B,$-0.00B,-0.49%,$0.41B,$-0.00B,-0.49%,$0.41B,$0.03B,7.14%,$0.41B,$-0.00B,-0.74%,$0.41B,$-0.01B,-1.97%,$-0.01B,$0.24B,-3.19%,$-0.01B,$0.24B,-3.38%,$-0.01B,$0.32B,-2.29%,$-0.00B,$0.27B,-0.69%,$85,$81,$4,$0,$7,$88,$-3,$-0,$-3,$-1,$-2,$-2,$-2,$-0,$-3,$10,10,$-0.22,$-0.22,$0,$61,$53,$163,$133,$0,$5,$19,$157,$321,$22,$25,$0,$55,$77,$0,$128,$-2,$244,$321,$-2,$3,$-0,$3,$24,$12,$-5,$-6,$24,$25,$-4,$0,$0,$0,$0,$0,$0,$-4,$-21,$0,$-21,$0,$0,$0,$-0,$-21,$-0,$1,$0
15,2014-12-31,30.12,$25.80,1.17,$42.16,0.71,$10.44,2.89,$-1.66,0.0,$0.20B,$0.03B,6.61,$0.05B,$0.25B,0.19,$0.40B,$0.04B,9.90%,$0.40B,0,0.00%,$0.40B,0,0.00%,$0.40B,$0.03B,7.67%,$0.40B,$-0.00B,-0.50%,$0.40B,$-0.02B,-4.46%,$-0.02B,$0.25B,-7.14%,$-0.02B,$0.24B,-7.66%,$-0.02B,$0.35B,-5.00%,$0.00B,$0.29B,0.00%,$102,$93,$9,$0,$6,$116,$-13,$-0,$-14,$0,$-14,$-14,$-14,$6,$-13,$10,10,$-1.48,$-1.46,$1,$73,$46,$195,$133,$0,$5,$19,$157,$352,$30,$46,$0,$77,$106,$0,$131,$-2,$246,$352,$-18,$31,$18,$48,$8,$6,$-5,$0,$5,$35,$-14,$0,$30,$0,$0,$0,$0,$16,$-50,$0,$-50,$0,$0,$0,$-1,$-51,$-0,$3,$0
16,2014-09-30,34.1,$27.20,1.25,$43.62,0.78,$7.55,4.52,$-1.99,0.0,$0.20B,$0.04B,5.66,$0.05B,$0.26B,0.18,$0.42B,$0.04B,9.11%,$0.42B,$-0.01B,-3.12%,$0.42B,$-0.01B,-3.12%,$0.42B,$0.00B,0.48%,$0.42B,$-0.02B,-3.60%,$0.42B,$-0.02B,-5.04%,$-0.02B,$0.26B,-8.20%,$-0.02B,$0.24B,-8.97%,$-0.02B,$0.37B,-5.52%,$-0.01B,$0.31B,-4.21%,$117,$101,$16,$0,$6,$107,$9,$-0,$9,$3,$6,$6,$5,$14,$9,$10,10,$0.53,$0.52,$0,$77,$56,$196,$132,$0,$21,$20,$173,$369,$35,$47,$0,$75,$110,$0,$145,$-1,$259,$369,$-4,$11,$15,$25,$19,$1,$2,$-6,$10,$31,$-12,$0,$30,$0,$0,$0,$0,$18,$-49,$0,$-49,$0,$0,$0,$-1,$-50,$-1,$2,$0
17,2014-06-30,40.33,$26.57,1.52,$39.75,1.01,$5.62,7.17,$-2.40,0.0,$0.18B,$0.03B,5.38,$0.04B,$0.25B,0.16,$0.38B,$0.03B,8.71%,$0.38B,$-0.02B,-4.22%,$0.38B,$-0.02B,-4.22%,$0.38B,$-0.00B,-0.79%,$0.38B,$-0.02B,-5.01%,$0.38B,$-0.03B,-6.60%,$-0.03B,$0.25B,-9.59%,$-0.03B,$0.23B,-10.47%,$-0.03B,$0.36B,-6.31%,$-0.02B,$0.29B,-5.02%,$102,$91,$11,$0,$6,$97,$5,$-0,$5,$2,$3,$3,$3,$9,$5,$10,10,$0.34,$0.33,$0,$64,$49,$180,$134,$0,$21,$21,$176,$356,$33,$41,$0,$69,$103,$0,$140,$-1,$253,$356,$-9,$7,$13,$20,$20,$13,$-4,$3,$22,$33,$-9,$0,$32,$0,$0,$0,$0,$23,$-55,$0,$-55,$0,$0,$0,$-1,$-56,$-1,$1,$0
18,2014-03-31,36.16,$26.41,1.37,$38.41,0.94,$2.73,13.25,$-2.14,0.0,$0.18B,$0.06B,3.27,$0.03B,$0.25B,0.11,$0.37B,$0.04B,10.14%,$0.37B,$-0.01B,-3.29%,$0.37B,$-0.01B,-3.29%,$0.37B,$0.00B,0.27%,$0.37B,$-0.02B,-4.38%,$0.37B,$-0.02B,-6.03%,$-0.02B,$0.25B,-8.26%,$-0.02B,$0.23B,-9.00%,$-0.02B,$0.36B,-5.25%,$-0.01B,$0.28B,-3.62%,$83,$78,$4,$0,$5,$84,$-1,$-1,$-2,$-1,$-1,$-1,$-12,$2,$-1,$10,10,$-1.27,$-1.27,$0,$63,$44,$183,$133,$0,$21,$25,$180,$363,$56,$27,$0,$56,$111,$0,$139,$-1,$251,$363,$-12,$3,$15,$19,$10,$14,$1,$21,$33,$40,$-5,$0,$32,$0,$0,$0,$0,$27,$-3,$-63,$-66,$0,$0,$0,$-1,$-67,$-1,$0,$0
19,2013-12-31,37.76,$27.71,1.36,$41.04,0.92,$-1.42,0.0,$-0.10,0.0,$0.24B,$0.05B,5.05,$0.09B,$0.26B,0.36,$0.39B,$0.06B,14.40%,$0.39B,$0.01B,1.54%,$0.39B,$0.01B,1.54%,$0.39B,$0.02B,5.14%,$0.39B,$0.00B,0.51%,$0.39B,0,0.00%,$0.00B,$0.26B,0.00%,$0.00B,$0.24B,0.00%,$0.00B,$0.43B,0.00%,$0.01B,$0.36B,1.73%,$115,$108,$7,$0,$6,$141,$-26,$-1,$-27,$-10,$-17,$-17,$-17,$-23,$-26,$9,9,$-1.80,$-1.80,$1,$110,$50,$244,$143,$0,$26,$21,$190,$433,$48,$94,$0,$123,$172,$0,$148,$-1,$262,$433,$-1,$14,$22,$36,$-24,$8,$1,$16,$-15,$20,$-27,$0,$-16,$0,$0,$0,$-6,$-48,$29,$0,$29,$0,$0,$0,$-1,$29,$1,$3,$0
20,2013-09-30,32.88,$29.34,1.12,$43.21,0.76,$2.32,14.18,$2.18,15.08,$0.23B,$0.06B,4.18,$0.07B,$0.28B,0.25,$0.41B,$0.06B,15.61%,$0.41B,$0.04B,9.51%,$0.41B,$0.04B,9.51%,$0.41B,$0.06B,13.41%,$0.41B,$0.04B,8.54%,$0.41B,$0.02B,5.37%,$0.02B,$0.28B,8.15%,$0.02B,$0.26B,8.81%,$0.02B,$0.43B,5.04%,$0.04B,$0.35B,11.55%,$79,$67,$11,$0,$6,$73,$6,$-1,$5,$2,$3,$3,$1,$9,$6,$9,10,$0.11,$0.11,$0,$110,$51,$234,$163,$0,$20,$17,$200,$434,$56,$68,$0,$101,$156,$0,$165,$-2,$277,$434,$16,$11,$5,$15,$-22,$4,$3,$21,$-10,$21,$-20,$0,$0,$0,$0,$0,$-6,$-26,$-7,$12,$6,$0,$0,$0,$-1,$5,$-0,$2,$0
21,2013-06-30,27.9,$29.14,0.96,$47.08,0.59,$3.47,8.03,$2.43,11.48,$0.25B,$0.07B,3.7,$0.07B,$0.28B,0.25,$0.45B,$0.07B,14.57%,$0.45B,$0.04B,8.30%,$0.45B,$0.04B,8.30%,$0.45B,$0.05B,12.11%,$0.45B,$0.03B,7.40%,$0.45B,$0.02B,5.38%,$0.02B,$0.28B,9.08%,$0.02B,$0.26B,9.84%,$0.02B,$0.45B,5.43%,$0.04B,$0.35B,11.09%,$88,$73,$15,$0,$6,$79,$9,$-1,$8,$3,$6,$6,$6,$13,$9,$9,9,$0.59,$0.59,$0,$116,$66,$248,$162,$0,$20,$15,$198,$445,$67,$70,$0,$103,$170,$0,$164,$-2,$275,$445,$15,$8,$1,$9,$-16,$-2,$10,$6,$-11,$13,$-17,$0,$0,$0,$0,$0,$-3,$-20,$-6,$13,$7,$0,$0,$0,$-1,$7,$0,$1,$0
