,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,13.19,$17.83,0.74,$16.26,0.81,$1.73,7.62,$-2.55,0.0,$4.47B,$3.55B,1.26,$1.19B,$10.43B,0.11,$9.49B,$4.40B,46.32%,$9.49B,$0.64B,6.79%,$9.49B,$0.64B,6.79%,$9.49B,$1.18B,12.46%,$9.49B,$-1.05B,-11.09%,$9.49B,$-1.48B,-15.63%,$-1.48B,$10.43B,-14.09%,$-1.48B,$2.67B,-41.49%,$-1.48B,$16.29B,-9.83%,$0.64B,$11.62B,5.71%,$2524,$1340,$1184,$0,$826,$2329,$195,$-17,$178,$50,$128,$128,$101,$358,$195,$584,586,$0.17,$0.17,$1886,$388,$547,$4469,$2512,$390,$7760,$897,$11819,$16288,$3545,$1186,$726,$2313,$5858,$6,$-2032,$-970,$10430,$16288,$128,$163,$34,$197,$-21,$-23,$0,$0,$-196,$113,$-128,$0,$1,$0,$-10,$-10,$16,$-121,$-61,$0,$-61,$0,$0,$-23,$-40,$-124,$-148,$0,$-23
1,2018-06-30,15.5,$18.00,0.86,$15.48,1.0,$1.64,9.44,$-2.60,0.0,$4.39B,$3.30B,1.33,$1.49B,$10.48B,0.14,$9.02B,$4.12B,45.67%,$9.02B,$0.60B,6.65%,$9.02B,$0.60B,6.65%,$9.02B,$1.07B,11.88%,$9.02B,$-1.09B,-12.07%,$9.02B,$-1.52B,-16.80%,$-1.52B,$10.50B,-14.15%,$-1.52B,$2.61B,-36.53%,$-1.52B,$16.35B,-10.32%,$0.60B,$11.99B,5.33%,$2693,$1464,$1229,$0,$916,$2555,$138,$-430,$-292,$63,$-355,$-355,$-372,$313,$138,$583,583,$-0.64,$-0.64,$2034,$376,$372,$4394,$2560,$393,$7889,$831,$11952,$16346,$3295,$1490,$675,$2554,$5849,$6,$-2163,$-874,$10497,$16346,$-1444,$472,$1488,$1960,$-128,$-14,$0,$0,$-89,$757,$-227,$0,$-76,$0,$-51,$-51,$33,$-321,$-118,$0,$-118,$0,$0,$-158,$-122,$-398,$18,$0,$-158
2,2018-03-31,15.8,$17.17,0.92,$14.44,1.09,$1.33,11.88,$-2.70,0.0,$3.99B,$2.47B,1.62,$0.18B,$9.99B,0.02,$8.41B,$3.83B,45.50%,$8.41B,$0.58B,6.86%,$8.41B,$0.58B,6.86%,$8.41B,$0.97B,11.58%,$8.41B,$-1.21B,-14.33%,$8.41B,$-1.57B,-18.71%,$-1.57B,$10.01B,-14.49%,$-1.57B,$4.06B,-33.19%,$-1.57B,$13.37B,-11.06%,$0.58B,$10.20B,5.20%,$2093,$1151,$942,$0,$760,$2011,$82,$-1189,$-1107,$3,$-1110,$-1110,$-1128,$182,$82,$583,583,$-1.94,$-1.94,$2112,$0,$546,$3986,$1642,$957,$5950,$467,$9386,$13372,$2467,$184,$655,$894,$3361,$6,$-1792,$-829,$10011,$13372,$-1089,$297,$1409,$1706,$-86,$-14,$0,$0,$-148,$465,$-63,$0,$-62,$0,$-42,$-42,$23,$-144,$-93,$0,$-93,$0,$0,$-99,$-42,$-234,$96,$0,$-99
3,2017-12-31,16.11,$19.15,0.84,$14.25,1.13,$1.13,14.3,$-0.77,0.0,$3.72B,$2.27B,1.64,$0.19B,$11.16B,0.02,$8.30B,$3.76B,45.35%,$8.30B,$0.60B,7.24%,$8.30B,$0.60B,7.24%,$8.30B,$1.01B,12.14%,$8.30B,$-0.05B,-0.64%,$8.30B,$-0.45B,-5.44%,$-0.45B,$11.16B,-4.02%,$-0.45B,$4.96B,-8.95%,$-0.45B,$14.36B,-3.09%,$0.60B,$11.35B,5.24%,$2180,$1139,$1041,$0,$712,$1951,$229,$-60,$169,$235,$-66,$-66,$-84,$329,$229,$583,583,$-0.14,$-0.14,$1856,$0,$483,$3718,$1631,$2019,$6198,$444,$10641,$14359,$2270,$187,$665,$931,$3201,$6,$-664,$-832,$11158,$14359,$21,$197,$228,$425,$-73,$-8,$0,$0,$-266,$204,$-113,$0,$-53,$0,$-33,$-33,$23,$-176,$-93,$0,$-93,$0,$0,$-80,$-29,$-202,$-160,$0,$-80
4,2017-09-30,13.18,$19.22,0.69,$14.15,0.93,$0.89,14.85,$-1.13,0.0,$3.77B,$2.42B,1.56,$0.28B,$11.20B,0.03,$8.23B,$3.71B,45.08%,$8.23B,$0.58B,7.01%,$8.23B,$0.58B,7.01%,$8.23B,$1.00B,12.18%,$8.23B,$-0.47B,-5.75%,$8.23B,$-0.66B,-7.98%,$-0.66B,$11.20B,-5.85%,$-0.66B,$4.97B,-12.93%,$-0.66B,$14.66B,-4.48%,$0.58B,$11.48B,5.01%,$2058,$1149,$909,$0,$661,$1907,$151,$-10,$141,$54,$87,$87,$68,$248,$151,$582,583,$0.12,$0.12,$1877,$0,$526,$3768,$1636,$2044,$6223,$438,$10894,$14662,$2417,$281,$675,$1049,$3466,$6,$-581,$-852,$11196,$14662,$87,$97,$16,$113,$-73,$-16,$0,$0,$-195,$-4,$-62,$0,$-54,$0,$-12,$-12,$7,$-121,$0,$0,$0,$0,$0,$-21,$-10,$-31,$-139,$0,$-21
5,2017-06-30,13.51,$19.06,0.71,$14.00,0.97,$0.49,27.51,$-1.28,0.0,$3.82B,$2.45B,1.56,$0.28B,$11.07B,0.03,$8.14B,$3.61B,44.35%,$8.14B,$0.44B,5.36%,$8.14B,$0.44B,5.36%,$8.14B,$0.89B,10.87%,$8.14B,$-0.62B,-7.56%,$8.14B,$-0.74B,-9.09%,$-0.74B,$11.09B,-6.51%,$-0.74B,$4.97B,-14.21%,$-0.74B,$14.55B,-5.00%,$0.44B,$11.37B,3.74%,$2080,$1145,$935,$0,$720,$1965,$115,$-523,$-408,$16,$-424,$-424,$-430,$215,$115,$581,581,$-0.73,$-0.73,$2016,$208,$315,$3815,$1624,$2027,$6119,$442,$10737,$14552,$2452,$276,$670,$1007,$3459,$6,$-648,$-964,$11093,$14552,$-643,$449,$980,$1429,$-58,$15,$0,$-258,$-164,$494,$-147,$0,$-185,$0,$-98,$-98,$325,$-105,$-23,$0,$-23,$0,$0,$-152,$-42,$-217,$184,$0,$-152
6,2017-03-31,12.82,$19.63,0.65,$14.25,0.9,$1.03,12.42,$-0.39,0.0,$3.76B,$2.46B,1.53,$0.27B,$11.42B,0.02,$8.29B,$3.65B,44.04%,$8.29B,$0.55B,6.60%,$8.29B,$0.55B,6.60%,$8.29B,$1.03B,12.44%,$8.29B,$-0.01B,-0.08%,$8.29B,$-0.22B,-2.67%,$-0.22B,$11.42B,-1.91%,$-0.22B,$5.24B,-4.07%,$-0.22B,$14.89B,-1.47%,$0.55B,$11.69B,4.61%,$1978,$1101,$877,$0,$662,$1872,$106,$-61,$45,$45,$0,$0,$-5,$215,$106,$582,582,$-0.01,$-0.01,$1850,$0,$586,$3762,$1961,$2010,$6175,$442,$11124,$14886,$2461,$273,$633,$1008,$3469,$6,$-219,$-1045,$11417,$14886,$-219,$349,$516,$865,$-126,$-8,$0,$-256,$-301,$219,$64,$0,$-345,$0,$-93,$-93,$325,$-49,$-23,$0,$-23,$0,$0,$-93,$-36,$-152,$18,$0,$-93
7,2016-12-31,11.21,$19.31,0.58,$14.10,0.8,$1.14,9.8,$-0.64,0.0,$3.59B,$2.33B,1.55,$0.27B,$11.23B,0.02,$8.20B,$3.58B,43.66%,$8.20B,$0.19B,2.35%,$8.20B,$0.19B,2.35%,$8.20B,$0.69B,8.47%,$8.20B,$-0.28B,-3.39%,$8.20B,$-0.37B,-4.45%,$-0.37B,$11.23B,-3.13%,$-0.37B,$5.14B,-6.51%,$-0.37B,$14.53B,-2.39%,$0.19B,$11.50B,1.61%,$2116,$1126,$990,$0,$665,$1911,$205,$-456,$-251,$-32,$-219,$-219,$-290,$325,$205,$581,581,$-0.50,$-0.50,$1564,$0,$499,$3591,$1981,$1932,$6089,$385,$10936,$14527,$2325,$268,$646,$974,$3299,$6,$-213,$-1289,$11228,$14527,$-219,$240,$458,$698,$-131,$-9,$0,$-250,$-338,$1,$-49,$0,$-342,$0,$-39,$-39,$312,$-118,$-23,$0,$-23,$0,$0,$-77,$-21,$-121,$-268,$0,$-77
8,2016-09-30,13.68,$20.21,0.68,$14.17,0.97,$1.62,8.45,$-0.03,0.0,$3.33B,$2.29B,1.46,$0.38B,$11.75B,0.03,$8.24B,$3.56B,43.15%,$8.24B,$0.15B,1.76%,$8.24B,$0.15B,1.76%,$8.24B,$0.65B,7.87%,$8.24B,$0.13B,1.55%,$8.24B,$-0.01B,-0.16%,$-0.01B,$11.75B,-0.11%,$-0.01B,$5.48B,-0.22%,$-0.01B,$15.27B,-0.08%,$0.15B,$12.12B,1.20%,$1965,$1157,$808,$0,$678,$1955,$10,$-11,$-1,$-1,$0,$0,$-15,$130,$10,$581,581,$-0.03,$-0.03,$1499,$0,$535,$3328,$2367,$2269,$6270,$407,$11941,$15269,$2287,$377,$668,$1236,$3523,$6,$76,$-986,$11746,$15269,$0,$120,$-23,$97,$-64,$-16,$0,$-250,$-351,$-271,$-25,$0,$-283,$0,$0,$0,$297,$-11,$-23,$0,$-23,$0,$0,$-18,$-18,$-59,$-333,$0,$-18
9,2016-06-30,11.03,$20.34,0.54,$14.25,0.77,$2.26,4.87,$0.30,36.76,$3.89B,$2.44B,1.59,$0.37B,$11.78B,0.03,$8.29B,$3.56B,42.98%,$8.29B,$0.18B,2.16%,$8.29B,$0.18B,2.16%,$8.29B,$0.68B,8.25%,$8.29B,$0.18B,2.18%,$8.29B,$0.18B,2.13%,$0.18B,$11.80B,1.49%,$0.18B,$5.88B,2.81%,$0.18B,$15.48B,1.16%,$0.18B,$12.17B,1.49%,$2226,$1252,$974,$0,$735,$2000,$226,$-26,$200,$86,$114,$114,$89,$361,$226,$581,583,$0.15,$0.15,$2147,$0,$513,$3889,$2405,$2270,$5921,$396,$11594,$15483,$2442,$369,$699,$1239,$3681,$6,$150,$-1026,$11802,$15483,$250,$505,$-266,$239,$22,$35,$0,$258,$373,$878,$-215,$0,$-519,$0,$-105,$-105,$-272,$-1111,$342,$0,$342,$-41,$-41,$-147,$-4,$150,$-119,$0,$-147
