,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,6.08,$7.85,0.77,$3.13,1.94,$0.95,6.41,$0.61,9.97,$10.73B,$0.12B,88.95,$11.10B,$0.82B,13.55,$0.43B,$0.07B,16.78%,$0.43B,$0.13B,29.60%,$0.43B,$0.13B,29.60%,$0.43B,$0.11B,24.48%,$0.43B,$0.13B,29.60%,$0.43B,$0.10B,23.54%,$0.10B,$1.11B,9.97%,$0.10B,$1.08B,10.23%,$0.10B,$12.33B,0.85%,$0.13B,$12.21B,1.07%,$110,$88,$22,$0,$7,$76,$34,$0,$34,$-0,$34,$34,$28,$26,$34,$132,153,$0.21,$0.20,$57,$0,$0,$10734,$0,$0,$25,$1568,$1593,$12327,$121,$11098,$0,$11098,$11218,$1,$-76,$-35,$1109,$12327,$95,$-19,$-56,$-76,$-1,$0,$0,$0,$-1,$19,$33,$0,$0,$0,$135,$135,$-27,$141,$-288,$0,$-288,$175,$175,$-88,$0,$-201,$-40,$2,$-70
1,2018-06-30,6.01,$8.17,0.74,$3.10,1.94,$0.81,7.46,$0.82,7.33,$10.06B,$0.12B,86.93,$10.51B,$0.73B,14.47,$0.41B,$0.07B,16.10%,$0.41B,$0.12B,29.27%,$0.41B,$0.12B,29.27%,$0.41B,$0.11B,26.10%,$0.41B,$0.12B,29.27%,$0.41B,$0.10B,23.90%,$0.10B,$1.02B,10.35%,$0.10B,$0.99B,10.63%,$0.10B,$11.64B,0.86%,$0.12B,$11.53B,1.07%,$108,$88,$20,$0,$6,$79,$29,$0,$29,$-0,$29,$29,$24,$23,$29,$115,135,$0.21,$0.20,$85,$0,$0,$10055,$0,$0,$25,$1560,$1586,$11641,$116,$10509,$0,$10509,$10625,$1,$-76,$-25,$1016,$11641,$61,$-12,$-37,$-48,$-0,$0,$0,$0,$-1,$11,$33,$0,$0,$0,$121,$121,$-22,$132,$-176,$0,$-176,$74,$74,$-57,$0,$-159,$-16,$1,$-45
2,2018-03-31,5.74,$8.48,0.68,$3.15,1.82,$0.58,9.94,$0.72,7.97,$10.10B,$0.11B,88.83,$10.70B,$0.66B,16.19,$0.40B,$0.06B,16.16%,$0.40B,$0.10B,26.01%,$0.40B,$0.10B,26.01%,$0.40B,$0.10B,24.24%,$0.40B,$0.10B,26.01%,$0.40B,$0.09B,21.46%,$0.09B,$0.95B,9.40%,$0.09B,$0.93B,9.67%,$0.09B,$11.77B,0.76%,$0.10B,$11.65B,0.94%,$109,$89,$20,$0,$5,$77,$32,$0,$32,$-0,$32,$32,$24,$26,$32,$112,132,$0.21,$0.20,$65,$0,$0,$10095,$0,$0,$25,$1645,$1671,$11766,$114,$10701,$0,$10701,$10815,$1,$-74,$-19,$951,$11766,$32,$-6,$-19,$-25,$0,$0,$0,$0,$-0,$7,$1,$0,$0,$0,$49,$49,$-14,$36,$-64,$0,$-64,$0,$0,$-28,$0,$-93,$-49,$0,$-22
3,2017-12-31,5.77,$8.72,0.66,$2.94,1.96,$0.59,9.86,$0.66,8.74,$10.35B,$0.14B,74.35,$10.94B,$0.69B,15.94,$0.37B,$0.06B,15.89%,$0.37B,$0.09B,24.93%,$0.37B,$0.09B,24.93%,$0.37B,$0.09B,25.21%,$0.37B,$0.09B,24.93%,$0.37B,$0.08B,21.10%,$0.08B,$0.98B,8.75%,$0.08B,$0.95B,9.01%,$0.08B,$12.06B,0.71%,$0.09B,$11.92B,0.86%,$102,$93,$10,$0,$4,$70,$32,$0,$32,$1,$31,$31,$25,$30,$32,$112,130,$0.22,$0.21,$95,$0,$0,$10354,$0,$0,$25,$1677,$1703,$12056,$139,$10941,$0,$10941,$11080,$1,$-76,$6,$976,$12056,$89,$0,$-59,$-59,$-18,$0,$0,$0,$-1,$29,$-0,$0,$0,$0,$-399,$-399,$-31,$-431,$353,$0,$353,$1,$131,$-107,$0,$377,$-24,$2,$-94
4,2017-09-30,5.58,$7.56,0.74,$2.87,1.94,$0.85,6.53,$0.54,10.33,$9.15B,$0.13B,71.04,$9.11B,$0.69B,13.26,$0.34B,$0.06B,18.48%,$0.34B,$0.07B,21.11%,$0.34B,$0.07B,21.11%,$0.34B,$0.08B,22.58%,$0.34B,$0.07B,21.11%,$0.34B,$0.06B,18.18%,$0.06B,$0.85B,7.31%,$0.06B,$0.82B,7.53%,$0.06B,$10.27B,0.62%,$0.07B,$9.95B,0.74%,$91,$75,$16,$0,$6,$64,$27,$0,$27,$1,$27,$27,$25,$28,$27,$112,132,$0.22,$0.21,$102,$0,$0,$9145,$0,$0,$25,$1094,$1119,$10265,$129,$9108,$182,$9290,$9419,$1,$-78,$9,$846,$10265,$58,$2,$-36,$-34,$-8,$0,$0,$0,$2,$26,$-0,$0,$0,$0,$298,$298,$1,$299,$-248,$0,$-248,$1,$1,$-81,$0,$-329,$-4,$1,$-72
5,2017-06-30,5.46,$7.54,0.72,$2.90,1.88,$1.06,5.14,$0.51,10.71,$9.23B,$0.12B,74.43,$9.27B,$0.68B,13.54,$0.33B,$0.06B,19.09%,$0.33B,$0.07B,20.61%,$0.33B,$0.07B,20.61%,$0.33B,$0.07B,22.42%,$0.33B,$0.07B,20.61%,$0.33B,$0.06B,17.27%,$0.06B,$0.84B,6.69%,$0.06B,$0.82B,6.89%,$0.06B,$10.41B,0.58%,$0.07B,$10.11B,0.72%,$94,$76,$18,$0,$5,$82,$12,$0,$12,$0,$12,$12,$11,$12,$12,$112,112,$0.10,$0.10,$75,$0,$0,$9231,$0,$0,$25,$1150,$1176,$10407,$124,$9266,$173,$9439,$9563,$1,$-80,$8,$843,$10407,$31,$1,$-21,$-20,$-7,$0,$0,$0,$-0,$11,$-0,$0,$0,$0,$148,$148,$1,$149,$-130,$0,$-130,$1,$1,$-56,$0,$-185,$-25,$1,$-49
6,2017-03-31,5.25,$7.62,0.69,$2.79,1.88,$1.19,4.43,$0.51,10.3,$9.24B,$0.12B,77.29,$9.34B,$0.69B,13.46,$0.32B,$0.06B,19.62%,$0.32B,$0.07B,23.10%,$0.32B,$0.07B,23.10%,$0.32B,$0.08B,25.95%,$0.32B,$0.07B,23.10%,$0.32B,$0.06B,18.04%,$0.06B,$0.85B,6.64%,$0.06B,$0.83B,6.84%,$0.06B,$10.45B,0.60%,$0.07B,$10.19B,0.79%,$78,$64,$14,$0,$8,$58,$20,$0,$20,$1,$19,$19,$16,$22,$20,$112,127,$0.14,$0.14,$73,$0,$0,$9244,$0,$0,$25,$1180,$1206,$10450,$120,$9335,$142,$9477,$9597,$1,$-69,$5,$853,$10450,$19,$1,$-16,$-15,$-2,$0,$0,$0,$3,$7,$2,$0,$0,$0,$40,$40,$1,$42,$-16,$0,$-16,$1,$1,$-30,$0,$-45,$4,$0,$-27
7,2016-12-31,5.45,$7.64,0.71,$2.92,1.87,$1.29,4.21,$0.50,10.89,$7.78B,$0.07B,117.9,$7.89B,$0.69B,11.4,$0.32B,$0.07B,20.63%,$0.32B,$0.07B,21.88%,$0.32B,$0.07B,21.88%,$0.32B,$0.08B,24.38%,$0.32B,$0.07B,21.88%,$0.32B,$0.06B,17.19%,$0.06B,$0.85B,6.37%,$0.06B,$0.83B,6.51%,$0.06B,$8.95B,0.60%,$0.07B,$8.74B,0.79%,$78,$64,$15,$0,$5,$65,$13,$0,$13,$0,$13,$13,$10,$15,$13,$110,110,$0.09,$0.09,$84,$0,$0,$7778,$0,$0,$25,$1149,$1174,$8952,$66,$7886,$149,$8035,$8100,$1,$-63,$2,$851,$8952,$68,$8,$-33,$-25,$7,$0,$0,$0,$11,$54,$0,$0,$-28,$0,$134,$134,$-37,$69,$55,$0,$55,$13,$-3,$-118,$0,$-66,$57,$1,$-105
8,2016-09-30,4.79,$7.88,0.61,$2.95,1.63,$1.14,4.22,$0.42,11.41,$8.06B,$0.07B,124.73,$8.14B,$0.70B,11.57,$0.32B,$0.07B,20.74%,$0.32B,$0.06B,18.89%,$0.32B,$0.06B,18.89%,$0.32B,$0.07B,20.43%,$0.32B,$0.06B,18.89%,$0.32B,$0.05B,14.24%,$0.05B,$0.86B,5.28%,$0.05B,$0.84B,5.36%,$0.05B,$9.36B,0.50%,$0.06B,$9.00B,0.68%,$80,$64,$16,$0,$6,$56,$23,$0,$23,$0,$23,$23,$20,$25,$23,$110,110,$0.18,$0.18,$65,$0,$0,$8057,$0,$0,$25,$1280,$1305,$9361,$65,$8141,$293,$8434,$8498,$1,$-45,$10,$863,$9361,$55,$6,$-28,$-22,$8,$0,$0,$0,$12,$45,$0,$0,$-28,$0,$110,$110,$-26,$55,$66,$0,$66,$0,$-16,$-88,$0,$-38,$61,$1,$-79
9,2016-06-30,4.67,$7.91,0.59,$2.97,1.57,$0.99,4.72,$0.44,10.62,$8.13B,$0.06B,131.2,$8.17B,$0.71B,11.54,$0.33B,$0.07B,21.17%,$0.33B,$0.07B,20.55%,$0.33B,$0.07B,20.55%,$0.33B,$0.07B,22.09%,$0.33B,$0.07B,20.55%,$0.33B,$0.05B,14.72%,$0.05B,$0.87B,5.43%,$0.05B,$0.84B,5.47%,$0.05B,$9.39B,0.52%,$0.07B,$9.03B,0.75%,$80,$63,$17,$0,$7,$63,$17,$0,$17,$2,$14,$14,$11,$20,$17,$109,109,$0.10,$0.10,$50,$0,$0,$8126,$0,$0,$25,$1237,$1262,$9388,$62,$8166,$293,$8459,$8521,$1,$-39,$8,$867,$9388,$31,$4,$-11,$-7,$-1,$0,$0,$0,$-0,$24,$0,$0,$-28,$0,$51,$51,$-5,$18,$57,$0,$57,$0,$-16,$-59,$0,$-19,$23,$1,$-53
