,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,3.94,$4.19,0.94,$7.79,0.51,$7.43,0.53,$-0.85,0.0,$5.94B,$0.71B,8.31,$6.60B,$0.56B,11.76,$1.03B,$1.03B,100.00%,$1.03B,$0.23B,22.45%,$1.03B,$0.23B,22.45%,$1.03B,$0.31B,29.83%,$1.03B,$-0.11B,-10.50%,$1.03B,$-0.11B,-10.88%,$-0.11B,$0.56B,-19.14%,$-0.11B,$-0.44B,25.08%,$-0.11B,$8.46B,-1.33%,$0.23B,$7.16B,3.31%,$238,$0,$238,$0,$156,$218,$21,$-61,$-40,$1,$-41,$-41,$-41,$27,$21,$134,134,$-0.31,$-0.31,$255,$0,$0,$5936,$26,$0,$999,$399,$2525,$8461,$714,$6597,$589,$7186,$7900,$1,$6,$-1,$561,$8461,$-68,$20,$9,$29,$127,$0,$0,$204,$330,$292,$-7,$3,$0,$0,$-414,$-414,$46,$-372,$-220,$0,$-220,$0,$0,$0,$278,$58,$-22,$1,$0
1,2018-06-30,3.96,$4.49,0.88,$8.22,0.48,$8.40,0.47,$-0.59,0.0,$5.76B,$0.75B,7.67,$6.48B,$0.60B,10.77,$1.08B,$1.08B,100.00%,$1.08B,$0.22B,20.54%,$1.08B,$0.22B,20.54%,$1.08B,$0.30B,27.79%,$1.08B,$-0.10B,-8.83%,$1.08B,$-0.08B,-7.16%,$-0.08B,$0.60B,-13.00%,$-0.08B,$-0.44B,18.10%,$-0.08B,$8.42B,-0.92%,$0.22B,$7.08B,3.26%,$254,$0,$254,$0,$154,$206,$48,$-76,$-28,$1,$-30,$-30,$-30,$38,$48,$134,134,$-0.22,$-0.22,$228,$0,$0,$5760,$31,$0,$1044,$418,$2660,$8420,$751,$6477,$592,$7068,$7819,$1,$47,$-1,$601,$8420,$-27,$14,$5,$19,$87,$0,$0,$118,$204,$197,$-6,$0,$0,$0,$-301,$-301,$41,$-266,$-255,$0,$-255,$0,$0,$0,$278,$23,$-46,$1,$0
2,2018-03-31,4.12,$4.74,0.87,$8.82,0.47,$9.19,0.45,$-0.73,0.0,$5.62B,$0.80B,7.02,$6.42B,$0.63B,10.16,$1.13B,$1.13B,100.00%,$1.13B,$0.20B,18.01%,$1.13B,$0.20B,18.01%,$1.13B,$0.26B,22.77%,$1.13B,$-0.11B,-9.62%,$1.13B,$-0.09B,-8.12%,$-0.09B,$0.63B,-15.67%,$-0.09B,$-0.44B,22.25%,$-0.09B,$8.46B,-1.12%,$0.20B,$7.05B,3.11%,$260,$0,$260,$0,$170,$207,$54,$-49,$5,$2,$3,$3,$3,$78,$54,$133,135,$0.02,$0.02,$286,$0,$0,$5618,$33,$0,$1074,$456,$2845,$8463,$801,$6422,$608,$7030,$7831,$1,$77,$-1,$632,$8463,$3,$24,$6,$30,$58,$0,$0,$8,$66,$99,$-3,$0,$0,$0,$-168,$-168,$35,$-136,$-223,$0,$-223,$0,$0,$0,$280,$56,$20,$1,$0
3,2017-12-31,3.13,$4.16,0.75,$9.48,0.33,$9.15,0.34,$-1.01,0.0,$5.41B,$1.00B,5.42,$6.09B,$0.55B,11.13,$1.20B,$1.20B,100.00%,$1.20B,$0.20B,16.32%,$1.20B,$0.20B,16.32%,$1.20B,$0.27B,22.93%,$1.20B,$-0.14B,-12.05%,$1.20B,$-0.13B,-10.71%,$-0.13B,$0.55B,-21.89%,$-0.13B,$-0.46B,32.02%,$-0.13B,$8.40B,-1.59%,$0.20B,$6.64B,3.10%,$277,$0,$277,$0,$206,$168,$108,$-154,$-45,$-0,$-45,$-45,$-44,$164,$108,$127,127,$-0.34,$-0.34,$260,$0,$0,$5413,$37,$0,$1009,$555,$2990,$8403,$999,$6088,$769,$6858,$7856,$1,$-2,$-1,$547,$8403,$-128,$78,$24,$102,$202,$0,$0,$236,$438,$412,$-9,$3,$0,$0,$-833,$-833,$0,$-839,$364,$0,$364,$14,$14,$0,$52,$430,$3,$6,$0
4,2017-09-30,3.44,$4.50,0.76,$9.92,0.35,$9.54,0.36,$-0.75,0.0,$5.22B,$1.03B,5.07,$5.79B,$0.59B,9.82,$1.24B,$1.24B,100.00%,$1.24B,$0.17B,13.93%,$1.24B,$0.17B,13.93%,$1.24B,$0.21B,16.59%,$1.24B,$-0.11B,-8.78%,$1.24B,$-0.09B,-7.57%,$-0.09B,$0.59B,-15.37%,$-0.09B,$-0.36B,24.66%,$-0.09B,$8.10B,-1.19%,$0.17B,$6.38B,2.85%,$285,$0,$285,$0,$209,$273,$11,$-38,$-27,$-20,$-6,$-6,$-6,$19,$11,$129,129,$-0.05,$-0.05,$300,$0,$0,$5215,$43,$0,$944,$454,$2883,$8098,$1028,$5787,$693,$6480,$7508,$1,$42,$-1,$589,$8098,$-83,$22,$84,$106,$160,$0,$0,$222,$382,$405,$-7,$1,$0,$0,$-650,$-650,$-2,$-659,$235,$0,$235,$14,$14,$0,$52,$301,$48,$4,$0
5,2017-06-30,2.69,$4.65,0.58,$10.60,0.25,$9.04,0.3,$-0.62,0.0,$4.99B,$1.11B,4.5,$5.59B,$0.58B,9.63,$1.32B,$1.32B,100.00%,$1.32B,$0.25B,19.00%,$1.32B,$0.25B,19.00%,$1.32B,$0.28B,21.35%,$1.32B,$-0.08B,-6.08%,$1.32B,$-0.08B,-6.00%,$-0.08B,$0.58B,-12.53%,$-0.08B,$-0.40B,20.48%,$-0.08B,$7.93B,-1.02%,$0.25B,$6.17B,4.28%,$311,$0,$311,$0,$216,$280,$31,$-72,$-42,$3,$-44,$-44,$-45,$-3,$31,$125,125,$-0.36,$-0.36,$251,$0,$0,$4989,$56,$0,$975,$400,$2943,$7932,$1108,$5586,$657,$6244,$7352,$1,$49,$-1,$580,$7932,$-77,$15,$49,$64,$89,$0,$0,$207,$296,$283,$-7,$-0,$0,$0,$-506,$-506,$-3,$-516,$233,$0,$233,$0,$0,$0,$-2,$230,$-3,$3,$0
6,2017-03-31,5.47,$5.00,1.09,$11.11,0.49,$8.08,0.68,$-0.97,0.0,$4.74B,$1.22B,3.9,$5.38B,$0.62B,8.63,$1.38B,$1.38B,100.00%,$1.38B,$0.21B,15.02%,$1.38B,$0.21B,15.02%,$1.38B,$0.30B,21.70%,$1.38B,$-0.13B,-9.72%,$1.38B,$-0.12B,-8.78%,$-0.12B,$0.62B,-18.66%,$-0.12B,$-0.39B,31.39%,$-0.12B,$7.86B,-1.58%,$0.21B,$6.00B,3.68%,$322,$0,$322,$0,$201,$276,$45,$-76,$-30,$2,$-33,$-33,$-33,$94,$45,$124,124,$-0.26,$-0.26,$268,$0,$0,$4737,$61,$0,$1011,$429,$3127,$7863,$1215,$5381,$644,$6024,$7240,$1,$93,$-1,$623,$7863,$-33,$48,$-60,$-12,$88,$0,$0,$45,$134,$89,$-5,$-1,$0,$0,$-267,$-267,$-3,$-275,$202,$0,$202,$0,$0,$0,$-1,$201,$15,$2,$0
7,2016-12-31,5.39,$5.29,1.02,$11.18,0.48,$8.38,0.64,$-1.61,0.0,$4.40B,$1.28B,3.44,$5.04B,$0.66B,7.69,$1.39B,$1.39B,100.00%,$1.39B,$0.16B,11.82%,$1.39B,$0.16B,11.82%,$1.39B,$0.26B,18.60%,$1.39B,$-0.21B,-14.85%,$1.39B,$-0.20B,-14.35%,$-0.20B,$0.66B,-29.38%,$-0.20B,$-0.39B,53.24%,$-0.20B,$7.66B,-2.64%,$0.16B,$5.69B,3.03%,$324,$0,$324,$0,$197,$238,$86,$-96,$-10,$0,$-10,$-10,$-10,$96,$86,$124,124,$-0.08,$-0.08,$257,$0,$0,$4402,$63,$0,$1043,$438,$3254,$7656,$1281,$5038,$681,$5719,$7000,$1,$126,$-1,$655,$7656,$-199,$95,$-48,$46,$182,$0,$0,$446,$628,$475,$-34,$30,$0,$0,$-855,$-855,$67,$-792,$333,$0,$333,$-6,$-6,$0,$-11,$316,$-1,$5,$0
8,2016-09-30,3.67,$5.35,0.69,$11.46,0.32,$9.16,0.4,$-3.32,0.0,$4.22B,$1.37B,3.09,$4.84B,$0.66B,7.29,$1.43B,$1.43B,100.00%,$1.43B,$0.08B,5.68%,$1.43B,$0.08B,5.68%,$1.43B,$0.19B,13.05%,$1.43B,$-0.33B,-22.81%,$1.43B,$-0.41B,-28.98%,$-0.41B,$0.66B,-56.79%,$-0.41B,$-0.37B,118.76%,$-0.41B,$7.59B,-5.53%,$0.08B,$5.50B,1.54%,$359,$0,$359,$0,$248,$272,$88,$-85,$2,$-7,$9,$9,$9,$94,$88,$124,124,$0.08,$0.08,$264,$0,$0,$4223,$63,$0,$1037,$440,$3363,$7585,$1366,$4838,$719,$5557,$6922,$1,$137,$-2,$663,$7585,$-189,$85,$-33,$52,$122,$0,$0,$365,$487,$350,$-29,$29,$0,$0,$-657,$-657,$84,$-572,$237,$0,$237,$-6,$-6,$0,$-3,$228,$6,$4,$0
9,2016-06-30,1.71,$5.27,0.32,$11.80,0.14,$12.63,0.14,$-3.93,0.0,$3.99B,$1.43B,2.78,$4.65B,$0.65B,7.12,$1.47B,$1.47B,100.00%,$1.47B,$0.01B,0.68%,$1.47B,$0.01B,0.68%,$1.47B,$0.16B,10.81%,$1.47B,$-0.38B,-26.04%,$1.47B,$-0.49B,-33.24%,$-0.49B,$0.65B,-58.81%,$-0.49B,$-0.39B,179.29%,$-0.49B,$7.49B,-6.46%,$0.01B,$5.31B,0.19%,$373,$0,$373,$0,$343,$385,$-12,$-84,$-96,$-9,$-87,$-87,$-87,$15,$-12,$124,124,$-0.71,$-0.71,$219,$0,$0,$3986,$63,$0,$1047,$449,$3503,$7488,$1431,$4652,$752,$5404,$6835,$1,$127,$-2,$653,$7488,$-198,$79,$-49,$30,$75,$0,$0,$266,$341,$172,$-17,$3,$0,$0,$-437,$-437,$75,$-377,$-348,$0,$-348,$-6,$-6,$0,$520,$166,$-38,$3,$0
