,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,161.26,$31.96,5.05,$47.53,3.39,$7.53,21.41,$7.83,20.6,$0.70B,$0.36B,1.92,$0.05B,$2.62B,0.02,$3.91B,$3.81B,97.54%,$3.91B,$0.74B,18.94%,$3.91B,$0.74B,18.94%,$3.91B,$0.96B,24.65%,$3.91B,$0.74B,18.97%,$3.91B,$0.64B,16.43%,$0.64B,$2.62B,26.38%,$0.64B,$2.60B,26.59%,$0.64B,$3.49B,19.72%,$0.74B,$2.66B,29.85%,$1058,$25,$1033,$0,$592,$830,$228,$1,$229,$56,$173,$173,$173,$286,$228,$82,82,$2.12,$2.12,$177,$0,$0,$696,$2703,$0,$19,$70,$2793,$3489,$362,$45,$237,$510,$872,$8,$2468,$0,$2617,$3489,$446,$168,$41,$209,$0,$0,$0,$0,$0,$675,$-467,$0,$0,$0,$0,$0,$1,$-466,$-50,$0,$-50,$-77,$-77,$-32,$-1,$-160,$50,$4,$-32
1,2018-06-30,148.96,$30.24,4.93,$45.22,3.29,$6.31,23.62,$6.95,21.43,$0.65B,$0.37B,1.77,$0.05B,$2.48B,0.02,$3.72B,$3.63B,97.47%,$3.72B,$0.68B,18.16%,$3.72B,$0.68B,18.16%,$3.72B,$0.89B,23.99%,$3.72B,$0.68B,18.19%,$3.72B,$0.57B,15.34%,$0.57B,$2.48B,24.81%,$0.57B,$2.46B,25.02%,$0.57B,$3.32B,18.29%,$0.68B,$2.53B,28.81%,$1033,$26,$1007,$0,$578,$813,$220,$1,$221,$58,$163,$163,$163,$277,$220,$82,82,$1.99,$1.99,$141,$0,$0,$648,$2586,$0,$19,$68,$2673,$3321,$366,$45,$231,$473,$839,$8,$2334,$0,$2482,$3321,$273,$110,$3,$113,$0,$0,$0,$0,$0,$425,$-292,$0,$0,$0,$0,$0,$0,$-292,$-50,$0,$-50,$-47,$-47,$-21,$-1,$-120,$13,$2,$-21
2,2018-03-31,146.85,$28.67,5.12,$42.83,3.43,$5.39,27.26,$6.15,23.88,$0.62B,$0.35B,1.78,$0.05B,$2.36B,0.02,$3.53B,$3.44B,97.48%,$3.53B,$0.62B,17.46%,$3.53B,$0.62B,17.46%,$3.53B,$0.83B,23.43%,$3.53B,$0.62B,17.46%,$3.53B,$0.51B,14.34%,$0.51B,$2.36B,23.22%,$0.51B,$2.34B,23.43%,$0.51B,$3.14B,16.86%,$0.62B,$2.40B,27.70%,$925,$22,$903,$0,$560,$776,$149,$-2,$147,$38,$109,$109,$109,$203,$149,$82,82,$1.33,$1.33,$160,$0,$0,$615,$2451,$0,$19,$58,$2529,$3144,$345,$45,$216,$440,$785,$8,$2212,$0,$2359,$3144,$109,$53,$1,$55,$0,$0,$0,$0,$0,$211,$-100,$0,$0,$0,$0,$0,$0,$-100,$-50,$0,$-50,$-17,$-17,$-11,$-1,$-79,$32,$1,$-11
3,2017-12-31,131.32,$27.64,4.75,$40.75,3.22,$4.71,27.86,$5.62,23.37,$0.59B,$0.35B,1.67,$0.05B,$2.28B,0.02,$3.36B,$3.27B,97.47%,$3.36B,$0.58B,17.12%,$3.36B,$0.58B,17.12%,$3.36B,$0.78B,23.29%,$3.36B,$0.58B,17.15%,$3.36B,$0.46B,13.79%,$0.46B,$2.28B,22.41%,$0.46B,$2.26B,22.62%,$0.46B,$3.07B,15.95%,$0.58B,$2.32B,27.23%,$891,$23,$868,$0,$538,$748,$143,$0,$144,$-53,$197,$197,$197,$197,$143,$82,82,$2.39,$2.40,$127,$0,$0,$585,$2404,$0,$19,$60,$2484,$3068,$351,$45,$206,$441,$792,$8,$2130,$0,$2277,$3068,$464,$206,$-78,$128,$-76,$0,$-15,$42,$-55,$536,$-370,$0,$0,$0,$0,$0,$2,$-368,$0,$-10,$-10,$-8,$-8,$-33,$-0,$-51,$117,$3,$-33
4,2017-09-30,109.83,$25.34,4.33,$38.90,2.82,$4.60,23.89,$4.06,27.05,$0.51B,$0.36B,1.44,$0.05B,$2.09B,0.02,$3.21B,$3.13B,97.48%,$3.21B,$0.55B,16.96%,$3.21B,$0.55B,16.96%,$3.21B,$0.75B,23.28%,$3.21B,$0.54B,16.90%,$3.21B,$0.34B,10.43%,$0.34B,$2.09B,17.09%,$0.34B,$2.07B,17.26%,$0.34B,$2.96B,11.92%,$0.55B,$2.13B,26.98%,$873,$23,$850,$0,$514,$709,$164,$1,$165,$62,$102,$102,$102,$216,$164,$82,82,$1.24,$1.24,$78,$0,$0,$513,$2367,$0,$19,$56,$2443,$2956,$356,$45,$194,$514,$869,$8,$1941,$0,$2087,$2956,$267,$153,$5,$158,$0,$0,$0,$0,$0,$388,$-279,$0,$0,$0,$0,$0,$2,$-277,$0,$-10,$-10,$-8,$-8,$-25,$-0,$-43,$68,$2,$-25
5,2017-06-30,94.9,$24.19,3.92,$37.76,2.51,$4.04,23.47,$3.85,24.65,$0.45B,$0.34B,1.29,$0.05B,$1.99B,0.02,$3.12B,$3.05B,97.53%,$3.12B,$0.52B,16.59%,$3.12B,$0.52B,16.59%,$3.12B,$0.72B,22.99%,$3.12B,$0.51B,16.46%,$3.12B,$0.32B,10.21%,$0.32B,$1.99B,16.91%,$0.32B,$1.97B,17.08%,$0.32B,$2.84B,11.64%,$0.52B,$2.04B,26.11%,$840,$21,$819,$0,$495,$679,$160,$-0,$160,$62,$98,$98,$98,$211,$160,$82,82,$1.20,$1.19,$34,$0,$0,$445,$2321,$0,$19,$55,$2396,$2840,$344,$45,$185,$503,$847,$8,$1848,$0,$1993,$2840,$164,$101,$2,$103,$0,$0,$0,$0,$0,$239,$-181,$0,$0,$0,$0,$0,$0,$-181,$0,$-10,$-10,$-7,$-7,$-16,$-0,$-34,$24,$2,$-16
6,2017-03-31,85.17,$23.15,3.68,$36.63,2.33,$3.34,25.49,$3.64,23.4,$0.43B,$0.34B,1.27,$0.05B,$1.91B,0.02,$3.04B,$2.96B,97.56%,$3.04B,$0.49B,16.16%,$3.04B,$0.49B,16.16%,$3.04B,$0.69B,22.61%,$3.04B,$0.49B,16.00%,$3.04B,$0.30B,9.94%,$0.30B,$1.91B,16.56%,$0.30B,$1.89B,16.74%,$0.30B,$2.75B,11.20%,$0.49B,$1.95B,25.00%,$754,$18,$736,$0,$463,$646,$108,$-1,$107,$41,$66,$66,$66,$158,$108,$82,82,$0.80,$0.80,$48,$0,$0,$425,$2246,$0,$19,$54,$2320,$2745,$335,$45,$183,$501,$836,$8,$1765,$0,$1909,$2745,$66,$50,$1,$51,$0,$0,$0,$0,$0,$111,$-55,$0,$0,$0,$0,$0,$0,$-55,$0,$-10,$-10,$-0,$-0,$-8,$0,$-18,$37,$1,$-8
7,2016-12-31,85.3,$22.46,3.8,$35.91,2.38,$3.25,26.27,$3.56,23.96,$0.38B,$0.29B,1.33,$0.11B,$1.85B,0.06,$2.99B,$2.92B,97.49%,$2.99B,$0.48B,16.14%,$2.99B,$0.48B,16.14%,$2.99B,$0.67B,22.49%,$2.99B,$0.48B,15.94%,$2.99B,$0.30B,9.89%,$0.30B,$1.85B,16.71%,$0.30B,$1.83B,16.89%,$0.30B,$2.70B,11.22%,$0.48B,$1.96B,25.08%,$746,$18,$727,$0,$457,$632,$113,$-2,$111,$43,$69,$69,$69,$163,$113,$83,83,$0.83,$0.83,$10,$0,$0,$383,$2241,$0,$19,$53,$2314,$2696,$289,$105,$179,$556,$845,$8,$1707,$0,$1851,$2696,$296,$190,$36,$226,$-11,$0,$22,$11,$44,$566,$-407,$0,$0,$0,$0,$0,$0,$-407,$-26,$-2,$-29,$-130,$-130,$0,$-0,$-159,$-1,$1,$0
8,2016-09-30,68.22,$21.72,3.14,$35.54,1.92,$2.71,25.2,$3.58,19.05,$0.39B,$0.27B,1.45,$0.19B,$1.79B,0.11,$2.98B,$2.90B,97.32%,$2.98B,$0.48B,16.24%,$2.98B,$0.48B,16.24%,$2.98B,$0.67B,22.41%,$2.98B,$0.48B,16.03%,$2.98B,$0.30B,10.03%,$0.30B,$1.79B,17.28%,$0.30B,$1.77B,17.48%,$0.30B,$2.68B,11.58%,$0.48B,$1.99B,25.68%,$783,$19,$764,$0,$471,$645,$137,$-1,$136,$51,$86,$86,$86,$186,$137,$83,83,$1.03,$1.03,$15,$0,$0,$389,$2230,$0,$19,$46,$2295,$2684,$269,$193,$162,$622,$891,$8,$1650,$0,$1793,$2684,$227,$140,$1,$142,$0,$0,$0,$0,$0,$410,$-347,$0,$0,$0,$0,$0,$0,$-347,$-26,$86,$59,$-119,$-119,$0,$-0,$-60,$4,$1,$0
9,2016-06-30,59.96,$20.96,2.86,$35.23,1.7,$2.29,26.22,$3.54,16.94,$0.37B,$0.29B,1.28,$0.22B,$1.74B,0.13,$2.98B,$2.89B,96.94%,$2.98B,$0.49B,16.36%,$2.98B,$0.49B,16.36%,$2.98B,$0.66B,22.30%,$2.98B,$0.48B,16.09%,$2.98B,$0.30B,9.98%,$0.30B,$1.74B,17.54%,$0.30B,$1.72B,17.74%,$0.30B,$2.66B,11.74%,$0.49B,$1.96B,26.71%,$755,$18,$737,$0,$454,$622,$133,$-1,$132,$51,$81,$81,$81,$180,$133,$83,83,$0.98,$0.98,$11,$0,$0,$372,$2225,$0,$19,$44,$2288,$2660,$291,$218,$156,$627,$918,$8,$1599,$0,$1742,$2660,$142,$91,$1,$92,$0,$0,$0,$0,$0,$292,$-293,$0,$0,$0,$0,$0,$0,$-293,$-26,$111,$85,$-85,$-85,$0,$-0,$-0,$-1,$0,$0
