,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,1.53,$2.15,0.71,$0.47,3.28,$1.65,0.92,$-0.11,0.0,$0.01B,$0.02B,0.2,$0.03B,$0.04B,0.67,$0.01B,$0.01B,100.00%,$0.01B,$0.01B,50.00%,$0.01B,$0.01B,50.00%,$0.01B,$0.01B,50.00%,$0.01B,$0.00B,10.00%,$0.01B,$-0.00B,-20.00%,$-0.00B,$0.04B,-4.21%,$-0.00B,$0.04B,-4.21%,$-0.00B,$0.10B,-1.94%,$0.01B,$0.07B,9.13%,$2,$0,$2,$0,$1,$1,$1,$-1,$0,$0,$0,$-6,$-6,$0,$1,$20,20,$-0.29,$-0.29,$4,$0,$0,$5,$0,$91,$0,$0,$91,$96,$24,$29,$0,$29,$52,$0,$-191,$0,$43,$96,$-3,$-0,$0,$0,$0,$-6,$-1,$-0,$-7,$-10,$0,$0,$0,$0,$0,$0,$0,$0,$-49,$44,$-5,$0,$0,$-1,$-0,$-6,$-16,$0,$-1
1,2018-06-30,1.53,$2.46,0.62,$0.51,3.0,$2.48,0.61,$-0.22,0.0,$0.02B,$0.06B,0.34,$0.00B,$0.05B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$0.01B,45.45%,$0.01B,$0.01B,45.45%,$0.01B,$0.01B,54.55%,$0.01B,$0.00B,9.09%,$0.01B,$-0.00B,-36.36%,$-0.00B,$0.05B,-8.25%,$-0.00B,$0.05B,-8.25%,$-0.00B,$0.11B,-3.57%,$0.01B,$0.05B,10.31%,$3,$0,$3,$0,$1,$1,$2,$-1,$1,$0,$1,$1,$1,$2,$2,$20,20,$0.05,$0.05,$19,$0,$0,$20,$0,$87,$0,$0,$88,$108,$58,$0,$0,$0,$58,$0,$-2,$-183,$50,$108,$3,$0,$-5,$-5,$0,$3,$4,$-0,$7,$5,$0,$0,$0,$0,$0,$0,$0,$0,$-34,$29,$-5,$0,$0,$-1,$-0,$-6,$-1,$0,$-1
2,2018-03-31,1.38,$2.43,0.57,$0.50,2.76,$1.83,0.76,$-0.51,0.0,$0.02B,$0.05B,0.42,$0.00B,$0.05B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$0.00B,40.00%,$0.01B,$0.00B,40.00%,$0.01B,$0.01B,50.00%,$0.01B,0,0.00%,$0.01B,$-0.01B,-100.00%,$-0.01B,$0.05B,-20.00%,$-0.01B,$0.05B,-20.00%,$-0.01B,$0.10B,-8.30%,$0.00B,$0.05B,8.00%,$2,$0,$2,$0,$1,$2,$1,$-1,$-0,$0,$-0,$2,$2,$1,$1,$20,20,$0.08,$0.08,$22,$0,$0,$23,$0,$80,$0,$0,$81,$103,$54,$0,$0,$0,$54,$0,$-3,$-183,$49,$103,$2,$0,$-3,$-3,$0,$8,$1,$0,$9,$8,$0,$0,$0,$0,$0,$0,$0,$0,$-20,$15,$-5,$0,$0,$-0,$-0,$-5,$2,$0,$-0
3,2017-12-31,1.12,$2.37,0.47,$0.51,2.2,$1.15,0.98,$-1.54,0.0,$0.02B,$0.06B,0.36,$0.00B,$0.05B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$0.00B,40.00%,$0.01B,$0.00B,40.00%,$0.01B,$0.01B,50.00%,$0.01B,0,0.00%,$0.01B,$-0.03B,-310.00%,$-0.03B,$0.05B,-58.49%,$-0.03B,$0.05B,-58.49%,$-0.03B,$0.11B,-23.80%,$0.00B,$0.05B,7.55%,$3,$0,$3,$0,$1,$1,$1,$-1,$0,$0,$0,$1,$1,$2,$1,$20,20,$0.05,$0.05,$20,$0,$0,$21,$0,$85,$0,$0,$85,$106,$58,$0,$0,$0,$58,$0,$-187,$0,$48,$106,$-31,$1,$28,$29,$1,$32,$-0,$-0,$32,$30,$0,$0,$0,$0,$0,$0,$0,$0,$-157,$133,$-24,$0,$0,$-2,$0,$-27,$3,$0,$-2
4,2017-09-30,1.19,$2.34,0.51,$0.58,2.06,$1.42,0.84,$-2.15,0.0,$0.02B,$0.08B,0.2,$0.00B,$0.05B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$0.01B,63.64%,$0.01B,$0.01B,63.64%,$0.01B,$0.01B,63.64%,$0.01B,$0.00B,18.18%,$0.01B,$-0.04B,-390.91%,$-0.04B,$0.05B,-70.49%,$-0.04B,$0.05B,-70.49%,$-0.04B,$0.13B,-29.76%,$0.01B,$0.05B,9.86%,$3,$0,$3,$0,$1,$1,$1,$-1,$0,$0,$0,$-8,$-8,$1,$1,$20,20,$-0.40,$-0.40,$17,$0,$0,$17,$0,$114,$0,$0,$114,$131,$84,$0,$0,$0,$84,$0,$-3,$-185,$47,$131,$-32,$0,$30,$30,$1,$2,$6,$-0,$9,$7,$0,$0,$0,$0,$0,$0,$0,$0,$-122,$118,$-5,$0,$0,$-2,$0,$-7,$0,$0,$-2
5,2017-06-30,1.19,$2.76,0.43,$0.66,1.81,$1.27,0.94,$-1.88,0.0,$0.01B,$0.09B,0.15,$0.00B,$0.06B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$0.01B,66.67%,$0.01B,$0.01B,66.67%,$0.01B,$0.01B,66.67%,$0.01B,$0.00B,33.33%,$0.01B,$-0.04B,-316.67%,$-0.04B,$0.06B,-52.41%,$-0.04B,$0.06B,-52.41%,$-0.04B,$0.14B,-23.82%,$0.01B,$0.06B,8.67%,$2,$0,$2,$0,$1,$1,$1,$-1,$0,$0,$0,$-5,$-5,$1,$1,$20,20,$-0.24,$-0.24,$12,$0,$0,$13,$0,$129,$0,$0,$129,$142,$86,$0,$0,$0,$86,$0,$-3,$-177,$56,$142,$-24,$1,$21,$22,$1,$-6,$-1,$0,$-6,$-8,$0,$0,$0,$0,$0,$0,$0,$0,$-78,$83,$5,$0,$0,$-2,$0,$3,$-5,$0,$-2
6,2017-03-31,1.42,$3.02,0.47,$0.75,1.89,$3.93,0.36,$-1.63,0.0,$0.01B,$0.08B,0.17,$0.00B,$0.06B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$0.01B,64.29%,$0.01B,$0.01B,64.29%,$0.01B,$0.01B,64.29%,$0.01B,$0.01B,35.71%,$0.01B,$-0.03B,-235.71%,$-0.03B,$0.06B,-39.88%,$-0.03B,$0.06B,-39.88%,$-0.03B,$0.14B,-20.31%,$0.01B,$0.06B,8.78%,$2,$0,$2,$0,$1,$1,$1,$-1,$0,$0,$0,$-19,$-19,$1,$1,$20,20,$-0.95,$-0.95,$9,$0,$4,$14,$0,$129,$0,$0,$129,$142,$81,$0,$0,$0,$81,$0,$-3,$-172,$61,$142,$-19,$0,$18,$18,$-3,$-1,$-1,$0,$-5,$-6,$0,$0,$0,$0,$0,$0,$0,$0,$-39,$39,$0,$0,$0,$-1,$0,$-1,$-7,$0,$-1
7,2016-12-31,1.58,$3.99,0.4,$0.89,1.78,$3.91,0.4,$-1.26,0.0,$0.02B,$0.04B,0.41,$0.04B,$0.08B,0.49,$0.02B,$0.02B,100.00%,$0.02B,$0.01B,58.82%,$0.02B,$0.01B,58.82%,$0.02B,$0.01B,58.82%,$0.02B,$0.01B,41.18%,$0.02B,$-0.03B,-152.94%,$-0.03B,$0.08B,-28.26%,$-0.03B,$0.08B,-28.26%,$-0.03B,$0.16B,-14.61%,$0.01B,$0.12B,8.95%,$4,$0,$4,$0,$0,$0,$4,$-2,$2,$-0,$2,$-11,$-11,$4,$4,$20,20,$-0.56,$-0.56,$17,$0,$0,$18,$0,$145,$0,$0,$145,$163,$43,$39,$0,$39,$82,$0,$-3,$-152,$80,$163,$-25,$0,$26,$26,$1,$39,$-6,$0,$34,$35,$0,$0,$0,$0,$0,$0,$0,$0,$-123,$96,$-27,$0,$0,$-6,$-2,$-34,$1,$0,$-6
8,2016-09-30,2.77,$4.61,0.6,$0.99,2.79,$0.82,3.37,$-1.80,0.0,$0.01B,$0.06B,0.08,$0.04B,$0.09B,0.42,$0.02B,$0.02B,100.00%,$0.02B,$0.01B,52.63%,$0.02B,$0.01B,52.63%,$0.02B,$0.01B,52.63%,$0.02B,$0.01B,42.11%,$0.02B,$-0.04B,-194.74%,$-0.04B,$0.09B,-37.09%,$-0.04B,$0.09B,-37.09%,$-0.04B,$0.19B,-19.05%,$0.01B,$0.13B,9.13%,$4,$0,$4,$0,$2,$2,$2,$-1,$2,$-0,$2,$-3,$-3,$2,$2,$20,20,$-0.13,$-0.13,$3,$0,$0,$5,$0,$186,$0,$0,$186,$191,$59,$39,$0,$39,$98,$0,$-5,$-144,$93,$191,$-14,$0,$15,$15,$1,$9,$-7,$0,$3,$4,$0,$0,$0,$0,$0,$0,$0,$0,$-69,$57,$-12,$0,$0,$-5,$0,$-17,$-13,$0,$-5
9,2016-06-30,1.68,$4.80,0.35,$1.03,1.63,$-1.57,0.0,$-2.00,0.0,$0.01B,$0.06B,0.1,$0.00B,$0.10B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$0.01B,55.00%,$0.02B,$0.01B,55.00%,$0.02B,$0.01B,55.00%,$0.02B,$0.01B,40.00%,$0.02B,$-0.04B,-205.00%,$-0.04B,$0.10B,-37.19%,$-0.04B,$0.10B,-37.19%,$-0.04B,$0.15B,-19.34%,$0.01B,$0.10B,9.98%,$4,$0,$4,$0,$2,$2,$2,$-1,$1,$0,$1,$0,$0,$2,$2,$20,20,$0.01,$0.01,$4,$0,$0,$5,$0,$148,$0,$0,$148,$154,$57,$0,$0,$0,$57,$0,$-5,$-140,$97,$154,$-12,$0,$12,$12,$1,$50,$-6,$0,$46,$46,$0,$0,$0,$0,$0,$0,$0,$0,$-69,$15,$-54,$0,$0,$-4,$0,$-58,$-12,$0,$-4
