,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,67.79,$16.17,4.19,$35.50,1.91,$4.69,14.46,$2.23,30.4,$1.81B,$2.45B,0.74,$8.33B,$6.65B,1.25,$13.25B,$3.07B,23.17%,$13.25B,$1.75B,13.24%,$13.25B,$1.75B,13.24%,$13.25B,$2.16B,16.27%,$13.25B,$1.45B,10.91%,$13.25B,$0.92B,6.95%,$0.92B,$6.65B,14.14%,$0.92B,$5.68B,16.67%,$0.92B,$17.91B,5.41%,$1.75B,$14.98B,12.39%,$3394,$2561,$833,$0,$230,$2898,$496,$-79,$417,$103,$314,$314,$313,$603,$496,$412,415,$0.76,$0.75,$84,$555,$84,$1808,$13961,$982,$970,$191,$16103,$17911,$2450,$8326,$0,$8808,$11259,$4,$0,$-158,$6653,$17911,$862,$318,$292,$610,$118,$-91,$-42,$60,$45,$1516,$-1309,$0,$-195,$0,$0,$0,$19,$-1485,$315,$-495,$-180,$1195,$1195,$-983,$-17,$16,$47,$24,$-983
1,2018-06-30,68.99,$16.63,4.15,$34.90,1.98,$5.77,11.95,$1.91,36.12,$1.43B,$2.57B,0.56,$7.09B,$6.84B,1.04,$12.76B,$2.91B,22.84%,$12.76B,$1.61B,12.64%,$12.76B,$1.61B,12.64%,$12.76B,$2.03B,15.90%,$12.76B,$1.29B,10.12%,$12.76B,$0.77B,6.06%,$0.77B,$6.84B,12.41%,$0.77B,$5.85B,14.76%,$0.77B,$16.91B,4.62%,$1.61B,$13.93B,11.67%,$2961,$2176,$785,$0,$230,$2512,$448,$-79,$370,$88,$282,$282,$281,$555,$448,$412,415,$0.68,$0.68,$15,$400,$84,$1434,$13304,$987,$988,$170,$15480,$16914,$2572,$7091,$0,$7503,$10075,$4,$0,$-179,$6838,$16914,$548,$211,$179,$390,$268,$49,$-283,$30,$65,$1003,$-615,$0,$0,$0,$0,$0,$13,$-601,$0,$-962,$-962,$1187,$1187,$-643,$-4,$-423,$-22,$16,$-643
2,2018-03-31,55.5,$16.71,3.32,$40.49,1.37,$6.93,8.0,$1.56,35.57,$1.29B,$2.05B,0.63,$7.09B,$6.87B,1.03,$12.53B,$2.76B,22.07%,$12.53B,$1.48B,11.85%,$12.53B,$1.48B,11.85%,$12.53B,$1.89B,15.12%,$12.53B,$1.14B,9.12%,$12.53B,$0.56B,4.49%,$0.56B,$6.87B,9.53%,$0.56B,$5.88B,11.46%,$0.56B,$16.43B,3.38%,$1.48B,$13.96B,10.84%,$3102,$2368,$734,$0,$210,$2682,$420,$-78,$342,$76,$266,$266,$264,$524,$420,$410,412,$0.65,$0.64,$17,$284,$145,$1291,$12878,$997,$990,$159,$15142,$16432,$2051,$7092,$0,$7512,$9563,$4,$0,$-175,$6869,$16432,$266,$104,$74,$179,$359,$150,$-361,$-59,$51,$495,$-264,$0,$0,$0,$0,$0,$9,$-256,$-502,$-615,$-1117,$1182,$1182,$-316,$-9,$-259,$-20,$7,$-316
3,2017-12-31,51.45,$14.63,3.52,$45.84,1.12,$7.11,7.24,$1.33,38.69,$1.76B,$2.67B,0.66,$8.09B,$5.69B,1.42,$12.17B,$2.64B,21.65%,$12.17B,$1.38B,11.34%,$12.17B,$1.38B,11.34%,$12.17B,$1.79B,14.68%,$12.17B,$1.04B,8.55%,$12.17B,$0.39B,3.17%,$0.39B,$5.69B,7.63%,$0.39B,$4.69B,9.50%,$0.39B,$16.85B,2.33%,$1.38B,$13.78B,10.59%,$3792,$3074,$718,$0,$225,$3402,$390,$-74,$316,$251,$65,$65,$63,$473,$390,$297,300,$0.12,$0.12,$37,$433,$92,$1764,$12698,$1003,$993,$181,$15081,$16846,$2667,$8092,$0,$8493,$11161,$4,$0,$-189,$5685,$16846,$594,$406,$508,$914,$-331,$-202,$261,$56,$-193,$1315,$-509,$0,$0,$0,$0,$0,$-59,$-568,$196,$-496,$-300,$471,$471,$-829,$-302,$-959,$-212,$26,$-829
4,2017-09-30,52.6,$14.47,3.64,$45.69,1.15,$7.97,6.6,$1.60,32.87,$1.52B,$2.74B,0.55,$8.09B,$5.52B,1.47,$11.04B,$2.55B,23.12%,$11.04B,$1.32B,11.97%,$11.04B,$1.32B,11.97%,$11.04B,$1.74B,15.79%,$11.04B,$0.98B,8.83%,$11.04B,$0.41B,3.75%,$0.41B,$5.52B,9.21%,$0.41B,$4.52B,11.85%,$0.41B,$16.77B,2.52%,$1.32B,$13.61B,10.62%,$2906,$2229,$677,$0,$204,$2552,$355,$-91,$264,$97,$167,$167,$165,$477,$355,$381,383,$0.43,$0.43,$12,$392,$176,$1519,$12579,$1014,$996,$182,$15246,$16765,$2741,$8092,$0,$8507,$11248,$4,$0,$-182,$5516,$16765,$529,$323,$224,$547,$-33,$-174,$82,$-14,$-140,$936,$-329,$0,$0,$0,$0,$0,$-66,$-395,$197,$-178,$19,$46,$46,$-543,$-300,$-779,$-237,$20,$-543
5,2017-06-30,48.84,$14.65,3.33,$49.18,0.99,$8.49,5.75,$1.60,30.52,$1.45B,$2.86B,0.51,$7.84B,$5.57B,1.41,$10.49B,$2.48B,23.65%,$10.49B,$1.30B,12.35%,$10.49B,$1.30B,12.35%,$10.49B,$1.69B,16.15%,$10.49B,$0.96B,9.16%,$10.49B,$0.34B,3.25%,$0.34B,$5.57B,8.58%,$0.34B,$4.57B,11.47%,$0.34B,$16.67B,2.10%,$1.30B,$13.40B,10.81%,$2726,$2091,$635,$0,$215,$2406,$319,$-100,$220,$44,$176,$176,$71,$420,$319,$212,214,$0.34,$0.33,$332,$275,$91,$1448,$12547,$945,$999,$171,$15225,$16673,$2861,$7836,$0,$8247,$11108,$4,$0,$-176,$5565,$16673,$362,$200,$117,$318,$123,$-60,$-134,$34,$-37,$643,$-194,$0,$0,$0,$0,$0,$10,$-184,$0,$160,$160,$11,$11,$-260,$-287,$-376,$83,$13,$-260
6,2017-03-31,51.31,$14.11,3.64,$46.49,1.1,$7.42,6.92,$1.67,30.73,$1.38B,$2.73B,0.51,$7.92B,$3.47B,2.28,$9.90B,$2.45B,24.78%,$9.90B,$1.29B,13.05%,$9.90B,$1.29B,13.05%,$9.90B,$1.69B,17.07%,$9.90B,$0.97B,9.84%,$9.90B,$0.36B,3.60%,$0.36B,$3.47B,10.30%,$0.36B,$2.47B,14.52%,$0.36B,$16.07B,2.22%,$1.29B,$11.39B,11.15%,$2750,$2144,$606,$0,$189,$2432,$317,$-76,$241,$55,$186,$186,$87,$417,$317,$212,214,$0.41,$0.41,$311,$193,$139,$1378,$12554,$956,$1002,$177,$14689,$16068,$2732,$7920,$0,$9866,$12598,$2,$31,$-139,$3470,$16068,$186,$99,$54,$154,$138,$-53,$-123,$-10,$-71,$269,$-112,$0,$0,$0,$0,$0,$3,$-109,$-2,$180,$179,$4,$4,$-130,$-150,$-98,$62,$6,$-130
7,2016-12-31,52.55,$16.28,3.23,$42.02,1.25,$6.91,7.6,$1.66,31.65,$1.43B,$2.84B,0.5,$7.92B,$3.43B,2.31,$8.92B,$2.43B,27.19%,$8.92B,$1.29B,14.41%,$8.92B,$1.29B,14.41%,$8.92B,$1.68B,18.81%,$8.92B,$0.96B,10.75%,$8.92B,$0.35B,3.95%,$0.35B,$3.43B,10.05%,$0.35B,$2.42B,14.13%,$0.35B,$16.14B,2.22%,$1.29B,$11.35B,10.96%,$2654,$2021,$633,$0,$204,$2325,$330,$-80,$250,$55,$195,$195,$91,$429,$330,$211,212,$0.42,$0.43,$249,$201,$107,$1430,$12571,$959,$1005,$163,$14709,$16139,$2837,$7920,$0,$9873,$12710,$2,$0,$-154,$3429,$16139,$743,$392,$259,$651,$-286,$-12,$288,$-14,$-41,$1353,$-599,$0,$0,$0,$0,$0,$-16,$-615,$-108,$564,$456,$22,$22,$-518,$-547,$-587,$151,$41,$-518
8,2016-09-30,46.45,$16.34,2.84,$38.69,1.2,$2.60,17.89,$1.35,34.41,$1.37B,$2.34B,0.59,$8.32B,$3.44B,2.42,$8.20B,$2.39B,29.16%,$8.20B,$1.20B,14.60%,$8.20B,$1.20B,14.60%,$8.20B,$1.58B,19.32%,$8.20B,$0.70B,8.48%,$8.20B,$0.29B,3.50%,$0.29B,$3.44B,8.00%,$0.29B,$2.43B,11.15%,$0.29B,$15.98B,1.83%,$1.20B,$11.76B,10.05%,$2358,$1752,$606,$0,$184,$2029,$329,$-80,$250,$55,$195,$195,$92,$428,$329,$211,213,$0.44,$0.43,$237,$299,$95,$1369,$12527,$943,$1008,$122,$14613,$15982,$2342,$8320,$0,$10200,$12542,$2,$0,$-154,$3440,$15982,$549,$292,$185,$477,$-145,$-90,$138,$17,$-104,$922,$-472,$0,$0,$0,$0,$0,$-12,$-485,$344,$147,$491,$15,$15,$-388,$-415,$-297,$140,$31,$-388
9,2016-06-30,42.31,$16.60,2.55,$36.64,1.15,$-0.62,0.0,$1.31,32.3,$1.28B,$2.19B,0.59,$8.32B,$3.49B,2.38,$7.74B,$2.32B,30.01%,$7.74B,$1.15B,14.90%,$7.74B,$1.15B,14.90%,$7.74B,$1.53B,19.76%,$7.74B,$0.65B,8.37%,$7.74B,$0.28B,3.58%,$0.28B,$3.49B,7.42%,$0.28B,$2.48B,10.19%,$0.28B,$15.82B,1.78%,$1.15B,$11.81B,9.67%,$2134,$1527,$607,$0,$192,$1819,$315,$-83,$233,$52,$180,$180,$86,$415,$315,$211,213,$0.41,$0.40,$181,$331,$97,$1281,$12485,$914,$1011,$119,$14542,$15823,$2188,$8320,$0,$10142,$12331,$2,$0,$-159,$3492,$15823,$355,$194,$138,$332,$-85,$-118,$104,$-46,$-155,$532,$-315,$0,$0,$0,$0,$0,$17,$-298,$346,$30,$376,$11,$11,$-259,$-278,$-150,$83,$23,$-259
