,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,117.9,$14.28,8.26,$6.26,18.85,$5.21,22.62,$1.53,77.06,$0.62B,$0.11B,5.41,$0.00B,$0.68B,0.0,$0.29B,$0.24B,81.97%,$0.29B,$0.10B,34.01%,$0.29B,$0.10B,34.01%,$0.29B,$0.07B,23.13%,$0.29B,$0.11B,36.05%,$0.29B,$0.07B,24.49%,$0.07B,$0.68B,10.95%,$0.07B,$0.53B,14.31%,$0.07B,$0.88B,8.75%,$0.10B,$0.68B,15.21%,$78,$16,$61,$14,$12,$52,$26,$2,$28,$5,$23,$23,$23,$8,$26,$47,47,$0.48,$0.48,$494,$69,$12,$618,$67,$0,$145,$39,$266,$884,$114,$0,$53,$94,$208,$0,$112,$-10,$676,$884,$40,$-34,$30,$-4,$9,$-34,$0,$84,$60,$95,$-21,$0,$0,$-85,$0,$-85,$0,$-106,$0,$0,$0,$0,$0,$-8,$-12,$-20,$-31,$13,$-8
1,2018-06-30,86.0,$13.76,6.25,$5.92,14.53,$4.66,18.46,$1.33,64.66,$0.57B,$0.10B,5.61,$0.00B,$0.65B,0.0,$0.28B,$0.23B,82.01%,$0.28B,$0.09B,32.37%,$0.28B,$0.09B,32.37%,$0.28B,$0.08B,28.42%,$0.28B,$0.10B,34.17%,$0.28B,$0.06B,22.30%,$0.06B,$0.65B,9.63%,$0.06B,$0.50B,12.79%,$0.06B,$0.83B,7.91%,$0.09B,$0.65B,13.98%,$56,$12,$45,$13,$12,$45,$11,$2,$13,$2,$11,$11,$11,$1,$11,$47,47,$0.23,$0.23,$457,$56,$20,$569,$62,$0,$151,$40,$264,$833,$102,$0,$53,$81,$183,$0,$92,$-10,$651,$833,$17,$-16,$27,$11,$17,$-20,$0,$38,$22,$50,$-13,$0,$0,$0,$-49,$-49,$0,$-62,$0,$0,$0,$-0,$-0,$-6,$-11,$-17,$-29,$8,$-6
2,2018-03-31,100.94,$13.61,7.42,$6.91,14.6,$4.88,20.68,$2.09,48.3,$0.55B,$0.10B,5.52,$0.00B,$0.64B,0.0,$0.33B,$0.27B,84.31%,$0.33B,$0.14B,43.08%,$0.33B,$0.14B,43.08%,$0.33B,$0.14B,43.69%,$0.33B,$0.14B,44.00%,$0.33B,$0.10B,29.85%,$0.10B,$0.64B,15.32%,$0.10B,$0.49B,20.70%,$0.10B,$0.80B,12.89%,$0.14B,$0.64B,22.11%,$44,$7,$36,$12,$11,$39,$5,$1,$6,$-0,$6,$6,$6,$-1,$5,$47,47,$0.13,$0.13,$457,$54,$14,$548,$58,$0,$156,$2,$247,$795,$99,$0,$34,$53,$152,$0,$84,$-11,$643,$795,$6,$-6,$4,$-2,$30,$-17,$0,$27,$35,$39,$-9,$0,$0,$0,$23,$23,$0,$14,$0,$0,$0,$-0,$-0,$-3,$-6,$-9,$44,$4,$-3
3,2017-12-31,172.46,$13.99,12.33,$7.17,24.05,$4.26,40.47,$2.18,79.11,$0.52B,$0.06B,8.14,$0.00B,$0.66B,0.0,$0.34B,$0.28B,83.38%,$0.34B,$0.15B,43.62%,$0.34B,$0.15B,43.62%,$0.34B,$0.16B,47.18%,$0.34B,$0.15B,44.51%,$0.34B,$0.10B,29.97%,$0.10B,$0.66B,16.46%,$0.10B,$0.50B,22.76%,$0.10B,$0.78B,14.08%,$0.15B,$0.66B,23.95%,$116,$17,$99,$15,$15,$58,$58,$1,$59,$26,$33,$33,$32,$60,$58,$47,47,$0.70,$0.69,$420,$36,$10,$519,$56,$15,$162,$1,$261,$780,$64,$0,$33,$57,$121,$0,$99,$-11,$659,$780,$104,$13,$40,$53,$-27,$-19,$0,$7,$-23,$133,$-30,$0,$0,$0,$-96,$-96,$0,$-126,$0,$0,$0,$1,$1,$-6,$-9,$-14,$-7,$15,$-6
4,2017-09-30,128.69,$13.23,9.73,$6.30,20.44,$3.62,35.57,$2.04,63.08,$0.45B,$0.05B,9.74,$0.00B,$0.62B,0.0,$0.30B,$0.25B,83.45%,$0.30B,$0.12B,41.89%,$0.30B,$0.12B,41.89%,$0.30B,$0.14B,46.62%,$0.30B,$0.13B,42.57%,$0.30B,$0.09B,31.76%,$0.09B,$0.62B,16.18%,$0.09B,$0.46B,23.17%,$0.09B,$0.73B,13.83%,$0.12B,$0.62B,21.34%,$62,$13,$48,$12,$12,$46,$16,$1,$17,$3,$14,$14,$13,$19,$16,$47,47,$0.28,$0.28,$365,$33,$9,$451,$49,$15,$167,$0,$277,$727,$46,$0,$32,$58,$104,$0,$68,$-11,$623,$727,$71,$11,$18,$29,$-18,$-15,$0,$1,$-28,$71,$-23,$0,$0,$-105,$0,$-105,$0,$-128,$0,$0,$0,$1,$1,$-4,$-9,$-13,$-70,$10,$-4
5,2017-06-30,109.09,$12.91,8.45,$5.62,19.39,$3.36,32.47,$1.73,63.06,$0.44B,$0.04B,10.55,$0.00B,$0.61B,0.0,$0.26B,$0.22B,84.47%,$0.26B,$0.11B,39.77%,$0.26B,$0.11B,39.77%,$0.26B,$0.12B,45.45%,$0.26B,$0.11B,40.15%,$0.26B,$0.08B,29.92%,$0.08B,$0.61B,14.38%,$0.08B,$0.44B,21.44%,$0.08B,$0.71B,12.27%,$0.11B,$0.61B,19.12%,$103,$11,$91,$11,$10,$42,$61,$1,$61,$14,$47,$47,$46,$64,$61,$47,47,$0.99,$0.99,$366,$24,$7,$437,$39,$15,$173,$0,$271,$708,$41,$0,$31,$58,$100,$0,$56,$-12,$608,$708,$58,$7,$15,$22,$-15,$-7,$0,$1,$-23,$57,$-10,$0,$0,$0,$-66,$-66,$0,$-76,$0,$0,$0,$0,$0,$-3,$-9,$-11,$-30,$7,$-3
6,2017-03-31,85.95,$12.02,7.15,$4.80,17.89,$3.08,27.89,$1.20,71.63,$0.38B,$0.03B,11.55,$0.00B,$0.57B,0.0,$0.23B,$0.19B,84.89%,$0.23B,$0.08B,34.67%,$0.23B,$0.08B,34.67%,$0.23B,$0.09B,40.89%,$0.23B,$0.08B,34.67%,$0.23B,$0.06B,24.44%,$0.06B,$0.57B,10.56%,$0.06B,$0.39B,16.06%,$0.06B,$0.66B,8.99%,$0.08B,$0.57B,14.98%,$56,$13,$43,$12,$10,$44,$12,$1,$13,$2,$10,$10,$10,$16,$12,$47,47,$0.22,$0.22,$325,$17,$6,$384,$29,$15,$178,$0,$272,$655,$33,$0,$28,$57,$90,$0,$10,$-10,$565,$655,$10,$3,$5,$9,$-11,$1,$0,$2,$-17,$2,$-1,$0,$0,$0,$-39,$-39,$0,$-40,$0,$0,$0,$0,$0,$-1,$-4,$-5,$-43,$4,$-1
7,2016-12-31,56.18,$11.26,4.99,$4.25,13.23,$3.05,18.4,$1.02,55.08,$0.39B,$0.04B,9.59,$0.00B,$0.53B,0.0,$0.20B,$0.17B,86.93%,$0.20B,$0.07B,34.67%,$0.20B,$0.07B,34.67%,$0.20B,$0.08B,40.20%,$0.20B,$0.07B,34.17%,$0.20B,$0.05B,23.62%,$0.05B,$0.53B,9.45%,$0.05B,$0.35B,13.57%,$0.05B,$0.63B,8.00%,$0.07B,$0.53B,13.88%,$75,$9,$65,$11,$10,$40,$35,$1,$35,$10,$26,$26,$25,$39,$35,$46,47,$0.55,$0.55,$328,$17,$6,$385,$27,$15,$184,$0,$242,$628,$40,$0,$28,$59,$99,$0,$-26,$-11,$528,$628,$48,$12,$12,$23,$1,$-4,$0,$8,$9,$80,$-7,$-96,$-33,$0,$98,$98,$0,$-38,$0,$0,$0,$1,$1,$0,$-1,$-0,$42,$13,$0
8,2016-09-30,55.39,$10.26,5.4,$3.96,14.0,$3.77,14.7,$0.86,64.41,$0.34B,$0.03B,11.17,$0.00B,$0.50B,0.0,$0.19B,$0.16B,87.10%,$0.19B,$0.06B,32.80%,$0.19B,$0.06B,32.80%,$0.19B,$0.07B,37.10%,$0.19B,$0.06B,32.26%,$0.19B,$0.04B,21.51%,$0.04B,$0.50B,8.30%,$0.04B,$0.31B,11.15%,$0.04B,$0.59B,7.02%,$0.06B,$0.50B,12.66%,$30,$6,$24,$10,$8,$33,$-3,$1,$-3,$-1,$-2,$-2,$-2,$1,$-3,$47,47,$-0.03,$-0.03,$286,$16,$7,$342,$26,$15,$189,$0,$243,$585,$31,$0,$25,$58,$89,$0,$-51,$-10,$496,$585,$22,$7,$14,$22,$4,$-3,$0,$1,$-4,$40,$-4,$-96,$-33,$54,$0,$54,$0,$-79,$0,$0,$0,$0,$0,$0,$-5,$-4,$-43,$10,$0
9,2016-06-30,67.66,$10.23,6.62,$4.16,16.27,$4.63,14.62,$1.04,65.06,$0.37B,$0.03B,13.21,$0.00B,$0.49B,0.0,$0.20B,$0.17B,87.18%,$0.20B,$0.07B,36.92%,$0.20B,$0.07B,36.92%,$0.20B,$0.08B,40.00%,$0.20B,$0.07B,36.92%,$0.20B,$0.05B,25.13%,$0.05B,$0.49B,10.41%,$0.05B,$0.33B,13.02%,$0.05B,$0.58B,8.79%,$0.07B,$0.49B,15.29%,$64,$6,$59,$11,$8,$30,$34,$-1,$33,$11,$22,$22,$22,$36,$34,$47,47,$0.46,$0.46,$316,$16,$6,$366,$23,$16,$162,$1,$214,$580,$28,$0,$24,$58,$86,$0,$-50,$-10,$494,$580,$24,$3,$11,$14,$7,$-4,$0,$1,$-2,$36,$-2,$-96,$0,$39,$0,$39,$0,$-59,$0,$0,$0,$0,$0,$0,$-5,$-4,$-28,$6,$0
