,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,54.55,$14.62,3.73,$1.58,34.48,$-4.79,0.0,$-0.91,0.0,$0.64B,$0.06B,10.71,$0.05B,$0.55B,0.09,$0.06B,$0.05B,89.83%,$0.06B,$-0.20B,-337.29%,$0.06B,$-0.20B,-337.29%,$0.06B,$-0.19B,-323.73%,$0.06B,$-0.07B,-125.42%,$0.06B,$-0.08B,-127.12%,$-0.08B,$0.55B,-14.10%,$-0.08B,$0.55B,-14.14%,$-0.08B,$0.81B,-10.40%,$-0.20B,$0.60B,-36.55%,$11,$0,$10,$33,$29,$62,$-52,$4,$-47,$-0,$-47,$-47,$-47,$-50,$-52,$37,37,$-1.26,$-1.26,$590,$21,$0,$635,$87,$28,$1,$56,$172,$807,$59,$48,$46,$198,$258,$0,$-524,$-0,$550,$807,$-14,$5,$-80,$-75,$-6,$-21,$0,$88,$60,$-28,$-15,$0,$0,$-361,$462,$102,$-2,$85,$50,$0,$50,$11,$11,$0,$0,$61,$118,$38,$0
1,2018-06-30,82.76,$15.58,5.31,$1.35,61.2,$-7.63,0.0,$-2.81,0.0,$0.69B,$0.04B,18.47,$0.00B,$0.58B,0.0,$0.05B,$0.05B,90.00%,$0.05B,$-0.21B,-426.00%,$0.05B,$-0.21B,-426.00%,$0.05B,$-0.21B,-412.00%,$0.05B,$-0.09B,-184.00%,$0.05B,$-0.09B,-186.00%,$-0.09B,$0.58B,-17.32%,$-0.09B,$0.58B,-17.37%,$-0.09B,$0.77B,-13.82%,$-0.21B,$0.58B,-39.61%,$25,$5,$21,$26,$30,$60,$-35,$115,$80,$0,$80,$80,$80,$-33,$-35,$37,39,$2.15,$2.07,$647,$13,$0,$692,$69,$10,$1,$2,$82,$774,$37,$1,$47,$152,$190,$0,$-477,$-1,$584,$774,$34,$3,$-86,$-83,$-17,$-13,$0,$94,$56,$7,$-8,$0,$0,$-232,$330,$98,$-2,$88,$-0,$0,$-0,$10,$10,$0,$0,$10,$104,$26,$0
2,2018-03-31,66.59,$12.89,5.17,$0.75,88.86,$-10.28,0.0,$-7.28,0.0,$0.62B,$0.06B,11.37,$0.00B,$0.48B,0.0,$0.03B,$0.03B,96.15%,$0.03B,$-0.26B,-980.77%,$0.03B,$-0.26B,-980.77%,$0.03B,$-0.25B,-957.69%,$0.03B,$-0.25B,-953.85%,$0.03B,$-0.25B,-950.00%,$-0.25B,$0.48B,-55.13%,$-0.25B,$0.48B,-55.32%,$-0.25B,$0.69B,-45.01%,$-0.26B,$0.48B,-56.79%,$16,$1,$15,$30,$33,$65,$-49,$3,$-46,$0,$-46,$-46,$-46,$-47,$-49,$37,37,$-1.25,$-1.25,$588,$6,$0,$621,$63,$0,$1,$3,$67,$688,$55,$1,$48,$153,$208,$0,$-557,$-1,$480,$688,$-46,$2,$12,$13,$-13,$-6,$0,$114,$87,$53,$-4,$0,$0,$-111,$95,$-17,$-2,$-23,$-0,$0,$-0,$0,$0,$0,$0,$0,$31,$12,$0
3,2017-12-31,51.42,$13.84,3.72,$0.37,139.87,$-12.76,0.0,$-7.73,0.0,$0.53B,$0.05B,9.93,$0.00B,$0.51B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$-0.26B,-2354.55%,$0.01B,$-0.26B,-2354.55%,$0.01B,$-0.25B,-2309.09%,$0.01B,$-0.25B,-2309.09%,$0.01B,$-0.25B,-2300.00%,$-0.25B,$0.51B,-63.17%,$-0.25B,$0.51B,-64.01%,$-0.25B,$0.62B,-54.94%,$-0.26B,$0.52B,-64.51%,$7,$0,$7,$30,$36,$70,$-63,$2,$-61,$1,$-62,$-62,$-62,$-61,$-63,$33,33,$-1.63,$-1.63,$520,$0,$0,$533,$62,$20,$1,$1,$84,$617,$54,$1,$49,$49,$103,$0,$-506,$-6,$514,$617,$-253,$5,$64,$69,$0,$0,$0,$17,$30,$-155,$-10,$0,$0,$-441,$252,$-190,$-8,$-208,$-0,$0,$-0,$401,$401,$0,$0,$400,$38,$41,$0
4,2017-09-30,89.16,$15.45,5.77,$0.71,125.45,$-10.91,0.0,$-7.22,0.0,$0.49B,$0.03B,15.79,$0.00B,$0.57B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$-0.23B,-1165.00%,$0.02B,$-0.23B,-1165.00%,$0.02B,$-0.23B,-1145.00%,$0.02B,$-0.23B,-1150.00%,$0.02B,$-0.23B,-1140.00%,$-0.23B,$0.57B,-64.32%,$-0.23B,$0.57B,-65.94%,$-0.23B,$0.61B,-57.04%,$-0.23B,$0.57B,-65.50%,$2,$0,$2,$39,$27,$68,$-66,$1,$-65,$0,$-65,$-65,$-65,$-65,$-66,$34,34,$-1.90,$-1.90,$479,$0,$0,$489,$25,$96,$1,$1,$124,$613,$31,$1,$10,$11,$42,$0,$-444,$0,$570,$613,$-192,$3,$54,$57,$11,$0,$0,$-5,$7,$-128,$-9,$0,$0,$-375,$207,$-168,$-5,$-182,$-0,$0,$-0,$397,$397,$0,$0,$397,$88,$34,$0
5,2017-06-30,59.74,$7.31,8.17,$0.70,85.57,$-8.87,0.0,$-6.39,0.0,$0.23B,$0.04B,6.09,$0.00B,$0.23B,0.01,$0.02B,$0.02B,100.00%,$0.02B,$-0.20B,-1052.63%,$0.02B,$-0.20B,-1052.63%,$0.02B,$-0.20B,-1031.58%,$0.02B,$-0.20B,-1042.11%,$0.02B,$-0.20B,-1031.58%,$-0.20B,$0.23B,-64.90%,$-0.20B,$0.23B,-67.82%,$-0.20B,$0.28B,-56.57%,$-0.20B,$0.23B,-65.95%,$1,$0,$1,$33,$27,$78,$-77,$1,$-76,$-2,$-74,$-74,$-74,$-76,$-77,$31,31,$-2.40,$-2.40,$216,$0,$0,$226,$26,$23,$1,$1,$50,$277,$37,$1,$10,$11,$48,$0,$-379,$1,$228,$277,$-127,$2,$36,$38,$12,$0,$0,$-4,$13,$-76,$-7,$0,$0,$-67,$126,$60,$-3,$49,$-0,$0,$-0,$5,$5,$0,$0,$5,$-22,$18,$0
6,2017-03-31,53.34,$9.32,5.72,$0.70,76.5,$-7.53,0.0,$-5.03,0.0,$0.26B,$0.03B,8.86,$0.00B,$0.29B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$-0.15B,-800.00%,$0.02B,$-0.15B,-800.00%,$0.02B,$-0.15B,-778.95%,$0.02B,$-0.15B,-794.74%,$0.02B,$-0.15B,-794.74%,$-0.15B,$0.29B,-44.22%,$-0.15B,$0.27B,-46.57%,$-0.15B,$0.34B,-39.50%,$-0.15B,$0.29B,-44.38%,$1,$0,$1,$33,$21,$54,$-53,$1,$-52,$0,$-52,$-52,$-52,$-52,$-53,$31,31,$-1.70,$-1.70,$254,$0,$0,$263,$23,$32,$16,$1,$72,$335,$30,$1,$11,$16,$46,$0,$-305,$-2,$290,$335,$-52,$1,$10,$11,$11,$0,$0,$0,$8,$-33,$-2,$0,$0,$-24,$25,$1,$0,$-2,$-0,$0,$-0,$3,$3,$0,$0,$3,$-31,$9,$0
7,2016-12-31,49.9,$10.70,4.66,$0.70,70.89,$-6.83,0.0,$-4.28,0.0,$0.32B,$0.03B,10.49,$0.00B,$0.33B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$-0.13B,-657.89%,$0.02B,$-0.13B,-657.89%,$0.02B,$-0.12B,-636.84%,$0.02B,$-0.13B,-657.89%,$0.02B,$-0.13B,-657.89%,$-0.13B,$0.33B,-36.90%,$-0.13B,$0.31B,-38.88%,$-0.13B,$0.37B,-33.13%,$-0.13B,$0.33B,-36.82%,$16,$0,$16,$26,$16,$54,$-37,$1,$-37,$0,$-37,$-37,$-37,$-36,$-37,$29,29,$-1.23,$-1.23,$296,$0,$0,$315,$20,$22,$17,$1,$59,$374,$30,$1,$7,$14,$44,$0,$-252,$-1,$330,$374,$-124,$4,$35,$39,$0,$0,$0,$-6,$4,$-80,$-9,$0,$-6,$-280,$20,$-260,$-11,$-286,$2,$0,$2,$130,$130,$0,$0,$131,$-235,$25,$0
8,2016-09-30,60.06,$11.69,5.14,$0.90,67.09,$-6.03,0.0,$-3.28,0.0,$0.31B,$0.02B,12.82,$0.00B,$0.36B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$-0.09B,-470.00%,$0.02B,$-0.09B,-470.00%,$0.02B,$-0.09B,-455.00%,$0.02B,$-0.09B,-470.00%,$0.02B,$-0.09B,-470.00%,$-0.09B,$0.36B,-28.57%,$-0.09B,$0.34B,-29.77%,$-0.09B,$0.40B,-25.67%,$-0.09B,$0.36B,-28.55%,$1,$0,$1,$22,$12,$34,$-33,$1,$-33,$0,$-33,$-33,$-33,$-32,$-33,$30,30,$-1.07,$-1.07,$307,$0,$0,$309,$20,$52,$18,$1,$90,$400,$24,$1,$7,$16,$40,$0,$-216,$-0,$360,$400,$-87,$3,$17,$19,$0,$0,$0,$11,$16,$-52,$-7,$0,$-6,$-273,$5,$-268,$0,$-281,$2,$0,$2,$129,$129,$0,$0,$130,$-203,$17,$0
9,2016-06-30,51.13,$12.61,4.05,$0.91,56.42,$-5.44,0.0,$-2.91,0.0,$0.34B,$0.02B,18.02,$0.00B,$0.39B,0.0,$0.02B,$0.02B,100.00%,$0.02B,$-0.08B,-390.00%,$0.02B,$-0.08B,-390.00%,$0.02B,$-0.08B,-380.00%,$0.02B,$-0.08B,-390.00%,$0.02B,$-0.08B,-390.00%,$-0.08B,$0.39B,-27.18%,$-0.08B,$0.37B,-28.03%,$-0.08B,$0.42B,-24.11%,$-0.08B,$0.39B,-27.18%,$1,$0,$1,$20,$11,$30,$-29,$0,$-29,$0,$-29,$-29,$-29,$-28,$-29,$27,27,$-1.04,$-1.04,$332,$0,$0,$335,$20,$47,$18,$1,$85,$420,$19,$0,$8,$16,$35,$0,$-183,$0,$386,$420,$-54,$2,$11,$13,$0,$0,$0,$12,$10,$-31,$-6,$0,$-6,$-154,$0,$-154,$0,$-166,$0,$0,$0,$128,$128,$0,$0,$128,$-69,$12,$0
