,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,1.48,$-0.05,-29.37,$3.68,0.4,$0.93,1.59,$-0.01,0.0,$0.71B,$0.42B,1.68,$0.33B,$-0.03B,-13.41,$0.77B,$0.77B,100.00%,$0.77B,$0.16B,20.26%,$0.77B,$0.16B,20.26%,$0.77B,$0.25B,32.99%,$0.77B,$0.34B,44.29%,$0.77B,$-0.02B,-2.21%,$-0.02B,$-0.03B,67.33%,$-0.02B,$-0.03B,67.33%,$-0.02B,$1.42B,-1.15%,$0.16B,$0.31B,35.84%,$94,$0,$94,$0,$125,$125,$-31,$-5,$-36,$-1,$-35,$-35,$-15,$-6,$-31,$193,193,$-0.08,$-0.08,$195,$0,$79,$713,$0,$669,$0,$39,$708,$1422,$424,$333,$105,$1023,$1446,$0,$-3559,$0,$-25,$1422,$-56,$76,$34,$109,$344,$-135,$0,$-115,$94,$148,$-4,$0,$0,$0,$-252,$-252,$0,$-256,$0,$0,$0,$-294,$-294,$-21,$148,$-167,$-274,$0,$-21
1,2018-06-30,1.91,$-0.00,-658.83,$3.90,0.49,$-1.44,0.0,$0.02,95.53,$0.72B,$0.40B,1.84,$0.31B,$-0.00B,-211.69,$0.81B,$0.81B,100.00%,$0.81B,$0.20B,25.12%,$0.81B,$0.20B,25.12%,$0.81B,$0.30B,37.13%,$0.81B,$0.40B,48.89%,$0.81B,$0.00B,0.50%,$0.00B,$-0.00B,-5.65%,$0.00B,$-0.00B,-5.65%,$0.00B,$1.28B,0.26%,$0.20B,$0.31B,45.95%,$110,$0,$110,$0,$123,$123,$-13,$-23,$-36,$-3,$-33,$-33,$-12,$13,$-13,$193,193,$-0.06,$-0.06,$184,$0,$83,$724,$0,$513,$0,$45,$558,$1283,$395,$308,$108,$889,$1284,$0,$-3541,$0,$-1,$1283,$-21,$51,$14,$65,$324,$-23,$0,$-137,$164,$208,$-2,$0,$0,$0,$-198,$-198,$0,$-201,$-276,$0,$-276,$0,$0,$-17,$0,$-293,$-286,$0,$-17
2,2018-03-31,2.62,$0.04,60.71,$4.13,0.63,$-2.60,0.0,$0.15,17.44,$1.17B,$0.37B,3.18,$0.63B,$0.02B,29.62,$0.85B,$0.85B,100.00%,$0.85B,$0.26B,30.70%,$0.85B,$0.26B,30.70%,$0.85B,$0.36B,41.91%,$0.85B,$0.47B,55.49%,$0.85B,$0.03B,3.42%,$0.03B,$0.02B,-22.44%,$0.03B,$0.02B,-22.44%,$0.03B,$1.59B,1.81%,$0.26B,$0.65B,58.89%,$128,$0,$128,$0,$107,$107,$22,$-6,$16,$3,$13,$13,$3,$46,$22,$192,457,$0.02,$0.02,$609,$0,$94,$1166,$0,$377,$0,$42,$419,$1586,$366,$633,$97,$1198,$1564,$0,$-3525,$0,$21,$1586,$13,$25,$12,$37,$315,$-24,$0,$-181,$110,$160,$-1,$0,$0,$0,$-69,$-69,$0,$-70,$60,$0,$60,$0,$0,$-13,$3,$50,$140,$0,$-13
3,2017-12-31,2.39,$-0.18,-13.16,$4.60,0.52,$-2.71,0.0,$0.09,26.53,$1.34B,$0.57B,2.38,$0.57B,$-0.10B,-5.94,$0.86B,$0.86B,100.00%,$0.86B,$0.26B,30.42%,$0.86B,$0.26B,30.42%,$0.86B,$0.36B,41.38%,$0.86B,$0.47B,55.01%,$0.86B,$0.02B,2.21%,$0.02B,$-0.10B,-9.25%,$0.02B,$-0.10B,-9.25%,$0.02B,$1.64B,1.24%,$0.26B,$0.47B,84.26%,$438,$0,$438,$0,$260,$260,$178,$219,$397,$300,$97,$97,$7,$201,$178,$186,187,$0.04,$0.04,$470,$0,$116,$1344,$0,$282,$0,$13,$296,$1639,$565,$569,$155,$1170,$1735,$0,$-3556,$0,$-96,$1639,$154,$95,$309,$404,$-178,$-238,$0,$-426,$-842,$-284,$53,$0,$0,$0,$-171,$-171,$0,$-118,$-13,$0,$-13,$0,$150,$-13,$418,$542,$140,$0,$-13
4,2017-09-30,3.06,$-0.40,-7.73,$2.84,1.08,$-2.08,0.0,$0.08,38.2,$1.19B,$0.76B,1.57,$0.54B,$-0.21B,-2.61,$0.70B,$0.70B,100.00%,$0.70B,$0.09B,12.98%,$0.70B,$0.07B,10.56%,$0.70B,$0.19B,26.53%,$0.70B,$0.05B,6.99%,$0.70B,$0.02B,2.14%,$0.02B,$-0.21B,-5.88%,$0.02B,$-0.21B,-5.88%,$0.02B,$1.54B,1.01%,$0.09B,$0.33B,34.70%,$132,$0,$132,$0,$108,$116,$16,$2,$18,$2,$16,$16,$6,$40,$16,$186,186,$0.03,$0.03,$318,$0,$84,$1185,$0,$346,$0,$12,$358,$1543,$756,$541,$9,$995,$1751,$0,$-3559,$0,$-207,$1543,$57,$71,$31,$102,$99,$-237,$0,$-378,$-517,$-357,$54,$0,$0,$0,$-240,$-240,$0,$-186,$444,$0,$444,$-39,$111,$-9,$-14,$531,$-12,$0,$-9
5,2017-06-30,2.41,$-0.45,-5.38,$2.44,0.99,$-0.29,0.0,$0.10,24.13,$1.20B,$0.76B,1.57,$0.54B,$-0.24B,-2.3,$0.72B,$0.72B,100.00%,$0.72B,$0.10B,14.37%,$0.72B,$0.09B,12.83%,$0.72B,$0.21B,28.73%,$0.72B,$0.07B,10.18%,$0.72B,$0.02B,3.21%,$0.02B,$-0.24B,-8.48%,$0.02B,$-0.24B,-8.48%,$0.02B,$1.62B,1.58%,$0.10B,$0.31B,41.04%,$149,$0,$149,$0,$105,$105,$44,$-5,$39,$3,$36,$36,$13,$68,$44,$186,186,$0.07,$0.07,$276,$0,$126,$1196,$0,$393,$0,$35,$428,$1624,$764,$540,$110,$1095,$1859,$0,$-3560,$0,$-235,$1624,$42,$47,$11,$58,$96,$-82,$0,$-182,$-169,$-69,$54,$0,$0,$0,$-120,$-120,$0,$-66,$-55,$0,$-55,$0,$150,$-6,$-8,$82,$-54,$0,$-6
6,2017-03-31,2.11,$-0.63,-3.37,$1.96,1.08,$-0.17,0.0,$-0.41,0.0,$1.25B,$0.72B,1.73,$0.41B,$-0.28B,-1.45,$0.72B,$0.72B,100.00%,$0.72B,$-0.13B,-17.34%,$0.72B,$-0.13B,-18.03%,$0.72B,$-0.02B,-2.36%,$0.72B,$-0.15B,-20.67%,$0.72B,$-0.07B,-9.57%,$-0.07B,$-0.28B,22.51%,$-0.07B,$-0.28B,22.51%,$-0.07B,$1.31B,-4.97%,$-0.13B,$0.13B,-56.50%,$139,$0,$139,$0,$116,$116,$23,$-5,$18,$12,$6,$6,$-7,$46,$23,$186,186,$-0.04,$-0.04,$352,$0,$133,$1249,$0,$36,$0,$21,$57,$1307,$721,$411,$17,$869,$1591,$0,$-3570,$0,$-284,$1307,$6,$23,$14,$37,$116,$2,$0,$-169,$-51,$-8,$50,$0,$0,$0,$3,$3,$0,$54,$-167,$0,$-167,$0,$150,$-2,$-5,$-24,$22,$0,$-2
7,2016-12-31,3.08,$-0.61,-5.06,$2.24,1.37,$-0.45,0.0,$-0.75,0.0,$1.43B,$0.81B,1.77,$0.58B,$-0.29B,-1.96,$0.77B,$0.77B,100.00%,$0.77B,$-0.29B,-37.27%,$0.77B,$-0.29B,-37.27%,$0.77B,$-0.18B,-22.73%,$0.77B,$-0.31B,-39.61%,$0.77B,$-0.13B,-17.01%,$-0.13B,$-0.29B,45.76%,$-0.13B,$-0.29B,45.76%,$-0.13B,$1.49B,-9.52%,$-0.29B,$0.28B,-115.15%,$281,$0,$281,$0,$290,$273,$8,$-34,$-26,$-29,$3,$3,$3,$32,$-9,$183,480,$0.01,$0.04,$368,$0,$170,$1430,$0,$38,$0,$18,$55,$1486,$807,$577,$111,$973,$1780,$0,$-3563,$0,$-294,$1486,$-316,$95,$-2,$94,$-74,$-11,$0,$26,$-59,$-281,$-9,$0,$0,$0,$-8,$-8,$-0,$-16,$132,$0,$132,$0,$246,$0,$-5,$374,$76,$0,$0
8,2016-09-30,4.04,$-0.57,-7.11,$3.55,1.14,$2.36,1.72,$-0.89,0.0,$1.35B,$1.08B,1.25,$0.56B,$-0.27B,-2.06,$0.83B,$0.83B,100.00%,$0.83B,$-0.36B,-43.03%,$0.83B,$-0.35B,-42.19%,$0.83B,$-0.24B,-28.97%,$0.83B,$-0.39B,-47.24%,$0.83B,$-0.16B,-18.75%,$-0.16B,$-0.27B,-160.00%,$-0.16B,$-0.27B,-160.00%,$-0.16B,$1.39B,-4.24%,$-0.36B,$0.29B,-55.33%,$148,$0,$148,$0,$114,$120,$28,$13,$42,$10,$32,$32,$14,$60,$34,$183,480,$0.08,$0.05,$430,$0,$204,$1349,$0,$37,$0,$3,$39,$1388,$1077,$562,$1,$583,$1661,$0,$-3570,$0,$-272,$1388,$-319,$71,$28,$99,$78,$-11,$0,$242,$309,$89,$-8,$0,$0,$0,$-23,$-23,$-0,$-30,$117,$0,$117,$0,$0,$0,$0,$117,$176,$0,$0
9,2016-06-30,3.54,$-0.79,-4.5,$3.92,0.9,$2.96,1.19,$-0.88,0.0,$1.34B,$1.17B,1.14,$0.56B,$-0.38B,-1.49,$1.01B,$1.01B,100.00%,$1.01B,$-0.28B,-28.02%,$1.01B,$-0.28B,-27.92%,$1.01B,$-0.17B,-16.53%,$1.01B,$-0.36B,-35.45%,$1.01B,$-0.15B,-15.15%,$-0.15B,$-0.38B,-29.28%,$-0.15B,$-0.38B,-29.28%,$-0.15B,$1.38B,-2.57%,$-0.28B,$0.19B,-25.69%,$153,$0,$153,$0,$330,$336,$-184,$1,$-183,$11,$-194,$-194,$-79,$-155,$-178,$182,480,$-0.43,$-0.44,$368,$0,$208,$1337,$0,$29,$0,$9,$38,$1375,$1169,$562,$0,$583,$1752,$0,$-3584,$0,$-376,$1375,$-350,$45,$22,$67,$78,$-4,$0,$231,$305,$22,$-6,$0,$0,$0,$-18,$-18,$-0,$-24,$118,$0,$118,$0,$0,$0,$-2,$117,$114,$0,$0
