,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,25.01,$15.63,1.6,$44.26,0.57,$6.78,3.69,$0.59,42.39,$4.13B,$4.66B,0.89,$9.14B,$9.06B,1.01,$32.88B,$2.05B,6.25%,$32.88B,$1.22B,3.72%,$32.88B,$1.22B,3.72%,$32.88B,$1.75B,5.34%,$32.88B,$1.34B,4.07%,$32.88B,$1.08B,3.30%,$1.08B,$11.35B,9.82%,$1.08B,$8.81B,12.76%,$1.08B,$25.93B,4.23%,$1.22B,$20.49B,6.08%,$8792,$8094,$698,$0,$74,$8299,$493,$207,$700,$-10,$710,$710,$658,$624,$493,$726,799,$0.91,$0.87,$29,$824,$320,$4127,$14677,$2539,$2540,$1865,$21800,$25927,$4656,$9140,$781,$9921,$14577,$9058,$0,$0,$11350,$25927,$1099,$306,$-105,$201,$0,$0,$0,$-23,$-23,$1294,$114,$0,$0,$0,$-290,$-290,$-8,$-184,$-342,$0,$-342,$0,$0,$-753,$-20,$-1115,$-8,$59,$-653
1,2018-06-30,23.35,$14.92,1.57,$41.36,0.56,$7.15,3.27,$0.58,40.27,$3.85B,$5.12B,0.75,$8.97B,$8.53B,1.05,$29.96B,$1.62B,5.40%,$29.96B,$0.77B,2.58%,$29.96B,$0.77B,2.58%,$29.96B,$1.33B,4.42%,$29.96B,$0.63B,2.09%,$29.96B,$0.42B,1.40%,$0.42B,$10.82B,3.88%,$0.42B,$8.29B,5.09%,$0.42B,$25.70B,1.64%,$0.77B,$19.79B,3.83%,$8080,$7863,$217,$0,$80,$7992,$88,$-4,$84,$-16,$100,$100,$50,$136,$88,$725,727,$0.07,$0.07,$34,$636,$358,$3852,$14257,$3116,$2535,$1770,$21847,$25699,$5122,$8966,$787,$9753,$14875,$8532,$0,$0,$10824,$25699,$388,$175,$96,$271,$0,$0,$0,$343,$343,$1015,$-298,$0,$0,$0,$-207,$-207,$-1,$-506,$-72,$0,$-72,$0,$0,$-497,$60,$-509,$-3,$36,$-435
2,2018-03-31,21.49,$15.22,1.41,$38.60,0.56,$7.95,2.7,$0.72,29.85,$3.96B,$4.60B,0.86,$9.05B,$8.74B,1.04,$27.95B,$1.86B,6.64%,$27.95B,$0.94B,3.37%,$27.95B,$0.94B,3.37%,$27.95B,$1.58B,5.63%,$27.95B,$0.74B,2.65%,$27.95B,$0.52B,1.85%,$0.52B,$11.04B,4.83%,$0.52B,$8.49B,6.36%,$0.52B,$25.42B,2.04%,$0.94B,$20.09B,4.63%,$8398,$7811,$587,$0,$79,$8017,$381,$-32,$349,$61,$288,$288,$237,$508,$381,$725,727,$0.33,$0.33,$23,$620,$296,$3962,$14114,$2882,$2543,$1763,$21461,$25423,$4601,$9050,$736,$9786,$14387,$8744,$0,$0,$11036,$25423,$288,$127,$110,$237,$0,$0,$0,$-4,$-4,$521,$-183,$0,$0,$0,$-40,$-40,$2,$-221,$-156,$0,$-156,$0,$0,$-218,$63,$-311,$-14,$17,$-218
3,2017-12-31,19.85,$15.11,1.31,$35.85,0.55,$8.41,2.36,$0.97,20.47,$4.00B,$4.53B,0.88,$9.18B,$8.67B,1.06,$26.22B,$2.06B,7.84%,$26.22B,$1.15B,4.40%,$26.22B,$1.15B,4.40%,$26.22B,$1.78B,6.78%,$26.22B,$0.90B,3.44%,$26.22B,$0.69B,2.61%,$0.69B,$10.96B,6.47%,$0.69B,$8.39B,8.57%,$0.69B,$25.35B,2.71%,$1.15B,$20.14B,5.63%,$7605,$7053,$552,$0,$66,$7344,$261,$-57,$204,$13,$191,$191,$139,$486,$261,$717,718,$0.17,$0.17,$37,$713,$221,$4000,$14089,$2756,$2566,$1776,$21351,$25351,$4531,$9183,$679,$9862,$14393,$8665,$0,$0,$10958,$25351,$858,$626,$74,$700,$-511,$605,$847,$0,$941,$2499,$59,$0,$-1280,$0,$-395,$-395,$46,$-1570,$-2040,$36,$-2004,$1664,$2452,$-1386,$-5,$-943,$-10,$41,$-1386
4,2017-09-30,20.08,$14.18,1.42,$38.03,0.53,$4.96,4.05,$0.92,21.82,$4.02B,$4.02B,1.0,$10.49B,$8.77B,1.2,$24.57B,$1.93B,7.86%,$24.57B,$1.11B,4.51%,$24.57B,$1.11B,4.51%,$24.57B,$1.65B,6.73%,$24.57B,$0.84B,3.40%,$24.57B,$0.64B,2.59%,$0.64B,$10.28B,6.34%,$0.64B,$7.68B,8.48%,$0.64B,$25.48B,2.55%,$1.11B,$20.77B,5.50%,$5873,$5610,$263,$0,$68,$5829,$44,$-55,$-11,$-45,$34,$34,$-8,$195,$44,$725,725,$-0.01,$-0.01,$33,$884,$811,$4015,$14269,$2671,$2598,$1795,$21468,$25483,$4016,$10489,$698,$11187,$15203,$8717,$0,$0,$10280,$25483,$667,$401,$90,$491,$0,$0,$0,$741,$741,$1918,$-371,$0,$-1282,$0,$-335,$-335,$25,$-1963,$-508,$0,$-508,$1664,$1664,$-1168,$41,$29,$-14,$33,$-1168
5,2017-06-30,24.38,$14.49,1.68,$42.79,0.57,$3.47,7.03,$1.33,18.33,$3.53B,$3.76B,0.94,$10.04B,$8.99B,1.12,$23.87B,$2.12B,8.89%,$23.87B,$1.41B,5.92%,$23.87B,$1.41B,5.92%,$23.87B,$1.84B,7.71%,$23.87B,$1.15B,4.80%,$23.87B,$0.81B,3.38%,$0.81B,$10.50B,8.28%,$0.81B,$7.91B,11.10%,$0.81B,$25.00B,3.29%,$1.41B,$20.54B,7.19%,$6078,$5624,$454,$0,$68,$5821,$257,$-58,$199,$10,$189,$189,$148,$386,$257,$725,727,$0.21,$0.21,$47,$936,$457,$3528,$14322,$2626,$2596,$1815,$21476,$25004,$3757,$10040,$706,$10746,$14503,$8937,$0,$0,$10501,$25004,$633,$250,$137,$387,$0,$0,$0,$436,$436,$1461,$-160,$0,$-1281,$0,$-229,$-229,$16,$-1654,$-825,$0,$-825,$1664,$1664,$-770,$123,$192,$0,$22,$-770
6,2017-03-31,28.8,$14.64,1.97,$46.86,0.61,$1.88,15.36,$0.92,31.3,$4.21B,$4.16B,1.01,$9.88B,$9.08B,1.09,$22.74B,$2.09B,9.19%,$22.74B,$1.30B,5.73%,$22.74B,$1.30B,5.73%,$22.74B,$1.80B,7.93%,$22.74B,$1.04B,4.59%,$22.74B,$0.58B,2.54%,$0.58B,$10.59B,6.17%,$0.58B,$7.99B,8.33%,$0.58B,$25.27B,2.40%,$1.30B,$20.47B,6.81%,$6667,$5881,$786,$0,$74,$6076,$591,$-81,$510,$66,$444,$444,$406,$712,$591,$691,758,$0.59,$0.58,$38,$1219,$735,$4210,$14060,$2469,$2596,$1803,$21059,$25269,$4156,$9879,$644,$10523,$14679,$9027,$0,$0,$10590,$25269,$444,$121,$74,$195,$0,$0,$0,$177,$177,$816,$-114,$0,$-1254,$0,$-123,$-123,$0,$-1491,$-752,$0,$-752,$1664,$1664,$-371,$125,$666,$-9,$12,$-371
7,2016-12-31,28.91,$13.17,2.19,$48.37,0.6,$2.22,13.0,$0.41,70.52,$4.27B,$4.66B,0.92,$10.12B,$7.31B,1.39,$20.18B,$1.77B,8.76%,$20.18B,$0.99B,4.93%,$20.18B,$0.99B,4.93%,$20.18B,$1.49B,7.37%,$20.18B,$0.76B,3.74%,$20.18B,$0.20B,0.99%,$0.20B,$8.82B,2.21%,$0.20B,$6.47B,2.99%,$0.20B,$24.21B,0.86%,$0.99B,$18.94B,5.33%,$5951,$5522,$429,$0,$69,$5734,$217,$-80,$137,$10,$127,$127,$91,$360,$217,$464,466,$0.16,$0.16,$47,$1343,$603,$4272,$13872,$2343,$2344,$1186,$19938,$24210,$4664,$10124,$606,$10730,$15394,$7251,$0,$0,$8816,$24210,$730,$494,$-12,$482,$-524,$-463,$508,$0,$-479,$733,$-680,$0,$-282,$0,$-301,$-301,$-10,$-1273,$-633,$447,$-186,$796,$2365,$-1062,$-561,$556,$20,$60,$-1062
8,2016-09-30,27.64,$22.23,1.24,$48.22,0.57,$0.30,91.25,$0.51,54.2,$3.77B,$4.08B,0.93,$9.63B,$7.57B,1.27,$19.23B,$1.86B,9.65%,$19.23B,$1.12B,5.83%,$19.23B,$1.12B,5.83%,$19.23B,$1.59B,8.24%,$19.23B,$0.90B,4.68%,$19.23B,$0.20B,1.06%,$0.20B,$9.07B,2.30%,$0.20B,$6.72B,3.15%,$0.20B,$23.51B,0.89%,$1.12B,$18.71B,6.06%,$5170,$4718,$452,$0,$70,$4821,$349,$-50,$299,$1,$298,$298,$162,$381,$349,$401,402,$0.40,$0.40,$31,$1258,$538,$3773,$13811,$2216,$2353,$1208,$19734,$23507,$4077,$9634,$722,$10356,$14433,$7240,$0,$0,$9074,$23507,$602,$351,$-10,$341,$0,$0,$0,$-308,$-308,$648,$-392,$0,$-282,$0,$-171,$-171,$-9,$-854,$-368,$0,$-368,$283,$1852,$-835,$-443,$206,$4,$40,$-835
9,2016-06-30,23.58,$22.55,1.05,$49.27,0.48,$-1.31,0.0,$0.35,67.38,$3.60B,$4.03B,0.89,$9.49B,$7.46B,1.27,$19.61B,$1.91B,9.72%,$19.61B,$1.11B,5.65%,$19.61B,$1.11B,5.65%,$19.61B,$1.65B,8.39%,$19.61B,$0.87B,4.43%,$19.61B,$0.14B,0.71%,$0.14B,$8.97B,1.61%,$0.14B,$6.57B,2.24%,$0.14B,$23.16B,0.62%,$1.11B,$18.46B,6.03%,$4950,$4527,$423,$0,$73,$4804,$146,$-49,$97,$-5,$102,$102,$-81,$351,$146,$398,398,$-0.20,$-0.20,$34,$1085,$469,$3603,$13598,$2161,$2396,$1221,$19560,$23163,$4029,$9486,$678,$10164,$14193,$7085,$0,$0,$8970,$23163,$304,$319,$-11,$308,$0,$0,$0,$-231,$-231,$387,$-308,$0,$-85,$0,$-120,$-120,$-9,$-522,$-592,$0,$-592,$0,$1569,$-557,$-282,$138,$7,$26,$-557
