,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,20.4,$10.38,1.97,$69.94,0.29,$2.52,8.11,$1.09,18.72,$0.59B,$0.49B,1.21,$0.40B,$0.48B,0.83,$3.19B,$0.39B,12.30%,$3.19B,$0.08B,2.63%,$3.19B,$0.08B,2.63%,$3.19B,$0.14B,4.23%,$3.19B,$0.04B,1.35%,$3.19B,$0.04B,1.31%,$0.04B,$0.48B,8.98%,$0.04B,$0.30B,13.99%,$0.04B,$1.41B,2.99%,$0.08B,$0.87B,9.77%,$910,$823,$87,$0,$67,$905,$5,$-10,$-5,$0,$-6,$-6,$-6,$18,$5,$46,46,$-0.13,$-0.13,$88,$359,$0,$590,$483,$131,$178,$24,$816,$1406,$489,$395,$45,$440,$929,$0,$-123,$2,$477,$1406,$26,$39,$15,$54,$-13,$-9,$35,$-41,$-28,$52,$-29,$0,$-74,$0,$0,$0,$0,$-104,$-8,$0,$-8,$0,$0,$0,$30,$21,$-31,$5,$0
1,2018-06-30,17.38,$10.47,1.66,$61.78,0.28,$3.67,4.74,$1.50,11.59,$0.64B,$0.53B,1.2,$0.39B,$0.48B,0.82,$2.90B,$0.41B,14.06%,$2.90B,$0.11B,3.66%,$2.90B,$0.11B,3.66%,$2.90B,$0.16B,5.35%,$2.90B,$0.07B,2.35%,$2.90B,$0.07B,2.38%,$0.07B,$0.48B,15.16%,$0.07B,$0.30B,23.10%,$0.07B,$1.45B,5.07%,$0.11B,$0.88B,12.85%,$856,$748,$108,$0,$66,$827,$29,$-12,$17,$0,$16,$16,$16,$42,$29,$46,46,$0.35,$0.35,$83,$334,$0,$638,$478,$130,$179,$27,$814,$1451,$532,$394,$43,$438,$970,$0,$-117,$2,$482,$1451,$31,$26,$8,$34,$-11,$16,$11,$-50,$-34,$31,$-17,$0,$-74,$0,$0,$0,$0,$-91,$-5,$0,$-5,$0,$0,$0,$30,$24,$-36,$3,$0
2,2018-03-31,17.17,$10.08,1.7,$55.43,0.31,$4.46,3.85,$1.30,13.21,$0.59B,$0.51B,1.16,$0.39B,$0.46B,0.85,$2.60B,$0.39B,14.94%,$2.60B,$0.09B,3.57%,$2.60B,$0.09B,3.57%,$2.60B,$0.14B,5.42%,$2.60B,$0.06B,2.23%,$2.60B,$0.06B,2.31%,$0.06B,$0.46B,13.74%,$0.06B,$0.29B,20.62%,$0.06B,$1.41B,4.63%,$0.09B,$0.86B,11.83%,$765,$662,$104,$0,$62,$738,$28,$-12,$15,$0,$15,$15,$15,$41,$28,$46,46,$0.33,$0.33,$66,$296,$0,$588,$479,$133,$179,$29,$820,$1408,$509,$393,$42,$435,$944,$0,$-133,$2,$464,$1408,$15,$13,$-4,$9,$-6,$53,$21,$-81,$-12,$13,$-10,$0,$-75,$0,$0,$0,$0,$-84,$-3,$0,$-3,$0,$0,$0,$21,$18,$-53,$1,$0
3,2017-12-31,19.28,$9.78,1.97,$50.34,0.38,$4.73,4.08,$1.55,12.44,$0.60B,$0.47B,1.28,$0.39B,$0.45B,0.86,$2.44B,$0.39B,15.92%,$2.44B,$0.09B,3.85%,$2.44B,$0.09B,3.85%,$2.44B,$0.14B,5.73%,$2.44B,$0.07B,2.91%,$2.44B,$0.07B,2.95%,$0.07B,$0.45B,17.12%,$0.07B,$0.31B,25.20%,$0.07B,$1.35B,5.78%,$0.09B,$0.83B,12.42%,$663,$570,$94,$0,$60,$641,$22,$-6,$16,$-3,$19,$19,$17,$34,$22,$46,46,$0.42,$0.43,$119,$345,$0,$604,$450,$127,$134,$33,$744,$1347,$471,$386,$43,$429,$900,$0,$-148,$2,$448,$1347,$73,$46,$4,$50,$-19,$-147,$-34,$183,$-16,$106,$-32,$0,$0,$0,$0,$0,$1,$-31,$13,$0,$13,$0,$0,$0,$-18,$-5,$71,$7,$0
4,2017-09-30,20.8,$9.34,2.23,$49.09,0.42,$2.00,10.38,$1.44,14.44,$0.50B,$0.46B,1.09,$0.30B,$0.43B,0.71,$2.34B,$0.39B,16.56%,$2.34B,$0.10B,4.27%,$2.34B,$0.10B,4.27%,$2.34B,$0.15B,6.23%,$2.34B,$0.07B,2.94%,$2.34B,$0.07B,2.94%,$0.07B,$0.43B,17.22%,$0.07B,$0.29B,25.99%,$0.07B,$1.24B,5.78%,$0.10B,$0.73B,13.73%,$611,$509,$101,$0,$63,$584,$27,$-7,$20,$1,$19,$19,$21,$38,$27,$46,52,$0.41,$0.41,$79,$320,$0,$498,$449,$120,$135,$34,$738,$1235,$458,$304,$45,$349,$808,$0,$-167,$2,$427,$1235,$54,$34,$5,$39,$12,$-121,$-15,$136,$13,$105,$-20,$0,$0,$0,$0,$0,$0,$-20,$-53,$0,$-53,$0,$0,$0,$-2,$-56,$30,$6,$0
5,2017-06-30,18.04,$8.90,2.03,$49.62,0.36,$-1.04,0.0,$0.36,50.11,$0.46B,$0.43B,1.07,$0.32B,$0.41B,0.77,$2.24B,$0.34B,15.08%,$2.24B,$0.05B,2.27%,$2.24B,$0.05B,2.27%,$2.24B,$0.10B,4.28%,$2.24B,$0.02B,0.94%,$2.24B,$0.02B,0.89%,$0.02B,$0.41B,5.24%,$0.02B,$0.27B,8.11%,$0.02B,$1.20B,1.71%,$0.05B,$0.72B,7.05%,$564,$474,$90,$0,$62,$548,$16,$-9,$7,$0,$7,$7,$7,$28,$16,$46,46,$0.15,$0.15,$55,$307,$14,$457,$446,$120,$135,$37,$738,$1195,$428,$315,$44,$359,$787,$0,$-186,$2,$408,$1195,$35,$23,$5,$27,$21,$-108,$-22,$109,$0,$62,$-12,$0,$0,$0,$0,$0,$0,$-12,$-41,$0,$-41,$0,$0,$0,$-3,$-44,$6,$4,$0
6,2017-03-31,16.49,$8.72,1.89,$47.33,0.35,$-3.08,0.0,$-0.11,0.0,$0.46B,$0.42B,1.09,$0.34B,$0.40B,0.85,$2.09B,$0.30B,14.20%,$2.09B,$0.03B,1.53%,$2.09B,$0.03B,1.53%,$2.09B,$0.07B,3.35%,$2.09B,$-0.01B,-0.38%,$2.09B,$-0.00B,0.00%,$-0.00B,$0.40B,0.00%,$-0.00B,$0.26B,0.00%,$-0.00B,$1.20B,0.00%,$0.03B,$0.74B,4.69%,$605,$501,$104,$0,$63,$576,$29,$-1,$28,$1,$28,$28,$27,$40,$29,$45,52,$0.60,$0.58,$47,$293,$0,$461,$448,$118,$135,$42,$742,$1204,$423,$340,$42,$382,$805,$0,$-193,$2,$399,$1204,$28,$11,$-4,$7,$6,$-95,$-30,$109,$-10,$25,$-8,$0,$0,$0,$0,$0,$0,$-8,$-17,$0,$-17,$0,$0,$0,$-2,$-19,$-2,$3,$0
7,2016-12-31,14.54,$8.10,1.79,$44.88,0.32,$-3.18,0.0,$-1.15,0.0,$0.40B,$0.38B,1.05,$0.35B,$0.37B,0.95,$1.87B,$0.23B,12.23%,$1.87B,$-0.02B,-0.91%,$1.87B,$-0.02B,-0.91%,$1.87B,$0.02B,0.80%,$1.87B,$-0.05B,-2.90%,$1.87B,$-0.05B,-2.47%,$-0.05B,$0.37B,-13.42%,$-0.05B,$0.23B,-19.31%,$-0.05B,$1.15B,-4.61%,$-0.02B,$0.72B,-2.76%,$563,$470,$93,$0,$51,$535,$28,$-14,$14,$0,$14,$14,$14,$40,$28,$42,42,$0.37,$0.37,$49,$198,$0,$403,$451,$109,$136,$47,$742,$1145,$383,$352,$42,$394,$777,$0,$-221,$2,$369,$1145,$-46,$32,$10,$42,$-17,$49,$-27,$-25,$-20,$-24,$-22,$0,$-209,$0,$-55,$-55,$0,$-286,$153,$0,$153,$49,$49,$0,$-11,$190,$-120,$7,$0
8,2016-09-30,13.08,$7.74,1.69,$43.35,0.3,$0.83,15.79,$-3.17,0.0,$0.39B,$0.39B,1.01,$0.36B,$0.35B,1.02,$1.75B,$0.18B,10.26%,$1.75B,$-0.06B,-3.15%,$1.75B,$-0.06B,-3.15%,$1.75B,$-0.03B,-1.60%,$1.75B,$-0.13B,-7.68%,$1.75B,$-0.13B,-7.28%,$-0.13B,$0.35B,-37.83%,$-0.13B,$0.22B,-51.57%,$-0.13B,$1.15B,-13.58%,$-0.06B,$0.71B,-9.81%,$510,$459,$51,$0,$61,$532,$-22,$-6,$-28,$0,$-28,$-28,$-28,$-12,$-22,$42,42,$-0.67,$-0.67,$68,$197,$0,$390,$457,$116,$135,$48,$755,$1145,$385,$359,$48,$407,$792,$0,$-234,$0,$352,$1145,$-60,$20,$3,$23,$3,$50,$-36,$-22,$-5,$-41,$-17,$0,$-209,$0,$-55,$-55,$-10,$-291,$164,$0,$164,$49,$49,$0,$8,$221,$-112,$5,$0
9,2016-06-30,15.34,$7.94,1.93,$44.33,0.35,$5.66,2.71,$-2.11,0.0,$0.53B,$0.36B,1.46,$0.23B,$0.33B,0.72,$1.73B,$0.22B,12.59%,$1.73B,$-0.01B,-0.40%,$1.73B,$-0.01B,-0.40%,$1.73B,$0.02B,0.87%,$1.73B,$-0.09B,-5.26%,$1.73B,$-0.08B,-4.85%,$-0.08B,$0.33B,-25.42%,$-0.08B,$0.25B,-32.91%,$-0.08B,$0.94B,-9.76%,$-0.01B,$0.56B,-1.41%,$414,$365,$49,$0,$46,$417,$-3,$-18,$-22,$-8,$-13,$-13,$-13,$2,$-3,$41,41,$-0.32,$-0.32,$165,$238,$0,$526,$201,$112,$73,$26,$411,$937,$361,$233,$18,$250,$612,$0,$-207,$0,$326,$937,$-32,$10,$-0,$10,$6,$-19,$-20,$27,$-7,$-29,$-9,$0,$-5,$0,$-55,$-55,$0,$-69,$94,$0,$94,$0,$0,$0,$0,$95,$-4,$3,$0
