,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,14.04,$2.79,5.04,$25.34,0.55,$3.40,4.13,$0.36,39.0,$0.07B,$0.06B,1.17,$0.00B,$0.04B,0.0,$0.37B,$0.05B,14.67%,$0.37B,$0.01B,2.45%,$0.37B,$0.01B,2.45%,$0.37B,$0.01B,3.53%,$0.37B,$0.01B,2.45%,$0.37B,$0.01B,1.63%,$0.01B,$0.04B,14.91%,$0.01B,$0.02B,32.43%,$0.01B,$0.10B,5.29%,$0.01B,$0.04B,22.36%,$94,$82,$13,$0,$7,$92,$2,$0,$2,$1,$1,$1,$1,$3,$2,$14,14,$0.10,$0.10,$56,$0,$0,$73,$2,$0,$21,$3,$29,$102,$62,$0,$0,$0,$63,$54,$-19,$-0,$40,$102,$6,$3,$3,$6,$1,$0,$0,$-5,$-5,$5,$-1,$-1,$0,$0,$0,$0,$0,$-2,$0,$0,$0,$-9,$-9,$0,$-3,$-12,$-8,$3,$0
1,2018-06-30,16.46,$2.63,6.25,$24.92,0.66,$3.36,4.9,$0.40,41.15,$0.09B,$0.08B,1.1,$0.00B,$0.04B,0.0,$0.37B,$0.05B,14.21%,$0.37B,$0.01B,2.19%,$0.37B,$0.01B,2.19%,$0.37B,$0.01B,3.28%,$0.37B,$0.01B,2.19%,$0.37B,$0.01B,1.64%,$0.01B,$0.04B,14.55%,$0.01B,$0.02B,31.17%,$0.01B,$0.12B,5.23%,$0.01B,$0.04B,19.39%,$98,$84,$14,$0,$7,$95,$2,$0,$2,$1,$2,$2,$2,$3,$2,$14,15,$0.12,$0.12,$71,$0,$0,$86,$2,$0,$22,$3,$30,$116,$78,$0,$0,$0,$78,$54,$-20,$-0,$37,$116,$4,$2,$2,$4,$2,$0,$0,$11,$13,$19,$-1,$-1,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$-11,$-11,$0,$0,$-11,$7,$2,$0
2,2018-03-31,9.77,$2.88,3.4,$23.94,0.41,$1.83,5.35,$0.33,29.61,$0.09B,$0.08B,1.16,$0.00B,$0.04B,0.0,$0.35B,$0.05B,13.84%,$0.35B,$0.01B,1.98%,$0.35B,$0.01B,1.98%,$0.35B,$0.01B,3.11%,$0.35B,$0.01B,1.98%,$0.35B,$0.01B,1.41%,$0.01B,$0.04B,11.63%,$0.01B,$0.02B,24.39%,$0.01B,$0.12B,4.51%,$0.01B,$0.04B,16.28%,$89,$76,$14,$0,$7,$86,$3,$0,$3,$1,$2,$2,$2,$4,$3,$14,15,$0.16,$0.16,$71,$0,$0,$87,$2,$0,$22,$3,$30,$117,$75,$0,$0,$0,$76,$54,$-22,$-0,$41,$117,$2,$1,$1,$2,$0,$0,$0,$9,$9,$13,$-0,$-0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$-4,$-4,$0,$0,$-4,$7,$1,$0
3,2017-12-31,10.29,$2.95,3.49,$23.39,0.44,$0.76,13.57,$0.23,44.74,$0.09B,$0.08B,1.18,$0.00B,$0.04B,0.0,$0.35B,$0.05B,13.22%,$0.35B,$0.01B,1.44%,$0.35B,$0.01B,1.44%,$0.35B,$0.01B,2.59%,$0.35B,$0.01B,1.44%,$0.35B,$0.00B,1.15%,$0.00B,$0.04B,9.25%,$0.00B,$0.02B,19.75%,$0.00B,$0.12B,3.80%,$0.01B,$0.04B,11.56%,$87,$74,$13,$0,$8,$85,$2,$-0,$2,$0,$1,$1,$1,$3,$2,$15,15,$0.08,$0.08,$64,$0,$0,$89,$2,$0,$22,$3,$30,$119,$76,$0,$1,$1,$76,$56,$-24,$0,$43,$119,$3,$4,$4,$8,$-4,$0,$0,$7,$4,$17,$-1,$-1,$0,$10,$0,$10,$0,$7,$0,$0,$0,$-6,$-6,$0,$0,$-6,$17,$4,$0
4,2017-09-30,11.4,$2.97,3.84,$22.91,0.5,$0.27,42.92,$-0.09,0.0,$0.08B,$0.06B,1.25,$0.00B,$0.04B,0.0,$0.34B,$0.05B,13.12%,$0.34B,$0.01B,1.46%,$0.34B,$0.01B,1.46%,$0.34B,$0.01B,2.62%,$0.34B,0,0.00%,$0.34B,$-0.00B,-0.29%,$-0.00B,$0.04B,-2.35%,$-0.00B,$0.02B,-5.26%,$-0.00B,$0.11B,-0.99%,$0.01B,$0.04B,11.76%,$92,$80,$11,$0,$7,$91,$1,$0,$1,$0,$1,$1,$1,$2,$1,$15,15,$0.04,$0.04,$55,$0,$0,$77,$2,$0,$23,$3,$30,$107,$62,$0,$1,$1,$63,$58,$-26,$1,$44,$107,$2,$3,$3,$6,$-3,$0,$0,$-2,$-6,$4,$-1,$-1,$0,$10,$0,$10,$0,$8,$0,$0,$0,$-3,$-3,$0,$0,$-3,$8,$3,$0
5,2017-06-30,9.04,$2.95,3.07,$22.15,0.41,$-0.09,0.0,$-0.11,0.0,$0.07B,$0.06B,1.27,$0.00B,$0.04B,0.0,$0.33B,$0.04B,13.21%,$0.33B,$0.01B,1.50%,$0.33B,$0.01B,1.50%,$0.33B,$0.01B,2.70%,$0.33B,0,0.00%,$0.33B,$-0.00B,-0.60%,$-0.00B,$0.04B,-4.65%,$-0.00B,$0.02B,-10.53%,$-0.00B,$0.10B,-2.02%,$0.01B,$0.04B,11.63%,$86,$75,$11,$0,$7,$85,$1,$0,$1,$0,$1,$1,$1,$2,$1,$15,15,$0.05,$0.05,$51,$0,$0,$70,$2,$0,$23,$3,$30,$100,$55,$0,$1,$1,$56,$58,$-26,$0,$44,$100,$2,$2,$2,$4,$-1,$0,$0,$-6,$-10,$-4,$-1,$-1,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$-0,$-0,$0,$0,$-0,$-6,$2,$0
6,2017-03-31,7.72,$2.81,2.74,$21.87,0.35,$0.51,15.22,$-0.10,0.0,$0.07B,$0.05B,1.24,$0.00B,$0.04B,0.0,$0.33B,$0.04B,13.29%,$0.33B,$0.01B,1.51%,$0.33B,$0.01B,1.51%,$0.33B,$0.01B,3.02%,$0.33B,0,0.00%,$0.33B,$-0.00B,-0.60%,$-0.00B,$0.04B,-4.60%,$-0.00B,$0.02B,-10.67%,$-0.00B,$0.10B,-2.01%,$0.01B,$0.04B,11.49%,$83,$72,$11,$0,$6,$82,$1,$0,$1,$0,$1,$1,$1,$2,$1,$15,15,$0.06,$0.06,$53,$0,$0,$65,$2,$0,$23,$3,$30,$95,$52,$0,$1,$1,$53,$59,$-27,$-0,$42,$95,$1,$1,$1,$2,$-2,$0,$0,$-2,$-6,$-3,$-0,$-0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$-0,$-0,$0,$0,$-0,$-4,$1,$0
7,2016-12-31,7.64,$2.71,2.82,$21.09,0.36,$0.44,17.37,$-0.10,0.0,$0.07B,$0.06B,1.18,$0.00B,$0.04B,0.0,$0.32B,$0.04B,13.35%,$0.32B,$0.01B,1.55%,$0.32B,$0.01B,1.55%,$0.32B,$0.01B,3.11%,$0.32B,0,0.00%,$0.32B,$-0.00B,-0.62%,$-0.00B,$0.04B,-4.55%,$-0.00B,$0.02B,-10.53%,$-0.00B,$0.10B,-2.01%,$0.01B,$0.04B,11.36%,$82,$70,$12,$0,$7,$80,$2,$-5,$-3,$1,$-4,$-4,$-4,$3,$2,$15,15,$-0.24,$-0.24,$57,$0,$0,$73,$2,$0,$24,$3,$30,$103,$62,$0,$1,$1,$63,$58,$-28,$-0,$40,$103,$-2,$5,$7,$12,$-1,$0,$0,$-1,$0,$10,$-1,$-2,$0,$-10,$0,$-10,$1,$-13,$0,$0,$0,$-3,$-3,$0,$0,$-3,$-5,$2,$0
8,2016-09-30,8.96,$3.01,2.97,$20.71,0.43,$1.21,7.38,$0.20,44.8,$0.06B,$0.05B,1.23,$0.00B,$0.05B,0.0,$0.32B,$0.04B,12.81%,$0.32B,$0.00B,1.25%,$0.32B,$0.00B,1.25%,$0.32B,$0.01B,2.81%,$0.32B,$0.00B,1.25%,$0.32B,$0.00B,0.94%,$0.00B,$0.05B,6.74%,$0.00B,$0.02B,15.79%,$0.00B,$0.10B,3.03%,$0.00B,$0.05B,8.99%,$82,$72,$10,$0,$6,$82,$1,$-0,$1,$0,$0,$0,$0,$2,$1,$15,15,$0.02,$0.02,$48,$0,$0,$62,$2,$5,$25,$3,$36,$98,$51,$0,$1,$2,$52,$59,$-24,$0,$46,$98,$2,$3,$2,$5,$-1,$0,$0,$-8,$-9,$-1,$-1,$-1,$0,$0,$0,$0,$1,$-2,$0,$0,$0,$-1,$-1,$0,$0,$-1,$-4,$2,$0
9,2016-06-30,9.05,$3.00,3.02,$20.52,0.44,$1.83,4.95,$0.23,39.35,$0.07B,$0.06B,1.19,$0.00B,$0.05B,0.0,$0.32B,$0.04B,12.85%,$0.32B,$0.00B,1.25%,$0.32B,$0.00B,1.25%,$0.32B,$0.01B,2.82%,$0.32B,$0.00B,1.25%,$0.32B,$0.00B,1.25%,$0.00B,$0.05B,9.20%,$0.00B,$0.02B,22.22%,$0.00B,$0.10B,4.18%,$0.00B,$0.05B,9.20%,$84,$73,$11,$0,$7,$83,$1,$-0,$1,$0,$1,$1,$1,$3,$1,$15,15,$0.06,$0.06,$56,$0,$0,$68,$1,$5,$25,$3,$36,$103,$57,$0,$0,$1,$58,$59,$-25,$0,$46,$103,$2,$2,$1,$4,$-1,$0,$0,$-0,$-1,$5,$-0,$-1,$0,$0,$0,$0,$1,$-1,$0,$0,$0,$-1,$-1,$0,$0,$-1,$4,$1,$0
