,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,3.46,$4.51,0.77,$3.95,0.88,$0.86,4.05,$-0.38,0.0,$0.37B,$0.20B,1.85,$1.30B,$1.32B,0.98,$1.17B,$0.35B,29.71%,$1.17B,$-0.03B,-2.91%,$1.17B,$-0.03B,-2.91%,$1.17B,$0.23B,20.03%,$1.17B,$-0.15B,-12.59%,$1.17B,$-0.11B,-9.50%,$-0.11B,$1.32B,-8.05%,$-0.11B,$1.14B,-9.30%,$-0.11B,$2.90B,-3.70%,$-0.03B,$2.62B,-1.25%,$293,$208,$85,$0,$23,$300,$-7,$-23,$-31,$-7,$-23,$-23,$-23,$60,$-7,$294,294,$-0.08,$-0.08,$84,$25,$0,$370,$2315,$0,$185,$2,$2527,$2898,$200,$1300,$15,$1374,$1574,$1777,$-597,$106,$1324,$2898,$-73,$204,$66,$270,$0,$0,$0,$-14,$-14,$153,$-56,$-8,$0,$0,$0,$0,$2,$-62,$-59,$0,$-59,$0,$0,$0,$0,$-58,$34,$0,$0
1,2018-06-30,3.32,$0.00,0.0,$3.81,0.87,$0.61,5.48,$-0.37,0.0,$0.34B,$0.19B,1.79,$1.35B,$1.37B,0.98,$1.13B,$0.34B,30.02%,$1.13B,$-0.04B,-3.64%,$1.13B,$-0.04B,-3.64%,$1.13B,$0.24B,21.58%,$1.13B,$-0.16B,-13.77%,$1.13B,$-0.11B,-9.68%,$-0.11B,$1.37B,-7.69%,$-0.11B,$1.18B,-8.81%,$-0.11B,$2.99B,-3.55%,$-0.04B,$2.71B,-1.47%,$256,$183,$73,$0,$25,$277,$-20,$-26,$-47,$-10,$-37,$-37,$-37,$47,$-20,$293,293,$-0.12,$-0.12,$73,$26,$1,$344,$2426,$0,$188,$2,$2646,$2990,$192,$1345,$14,$1429,$1621,$1799,$-581,$113,$1369,$2990,$-51,$136,$48,$184,$0,$0,$0,$11,$11,$130,$-37,$-8,$0,$0,$0,$0,$-6,$-51,$-59,$0,$-59,$0,$0,$0,$0,$-59,$23,$0,$0
2,2018-03-31,2.77,$4.86,0.57,$3.62,0.77,$0.27,10.32,$-0.34,0.0,$0.39B,$0.18B,2.21,$1.41B,$1.43B,0.99,$1.08B,$0.32B,29.95%,$1.08B,$-0.05B,-4.65%,$1.08B,$-0.05B,-4.65%,$1.08B,$0.24B,22.05%,$1.08B,$-0.16B,-15.07%,$1.08B,$-0.10B,-9.21%,$-0.10B,$1.43B,-6.93%,$-0.10B,$1.24B,-7.89%,$-0.10B,$3.11B,-3.22%,$-0.05B,$2.83B,-1.78%,$317,$217,$100,$0,$23,$309,$8,$-26,$-18,$-4,$-14,$-14,$-14,$77,$8,$301,301,$-0.05,$-0.05,$65,$21,$23,$390,$2493,$0,$191,$2,$2719,$3109,$176,$1406,$13,$1507,$1683,$1835,$-556,$111,$1426,$3109,$-14,$69,$28,$97,$0,$0,$0,$-52,$-52,$30,$-13,$-6,$0,$0,$0,$0,$0,$-19,$0,$0,$0,$0,$0,$0,$0,$0,$13,$0,$0
3,2017-12-31,3.02,$4.76,0.63,$3.49,0.87,$0.25,12.18,$-0.35,0.0,$0.34B,$0.16B,2.11,$1.34B,$1.40B,0.96,$1.02B,$0.31B,29.93%,$1.02B,$-0.07B,-6.67%,$1.02B,$-0.07B,-6.67%,$1.02B,$0.22B,21.98%,$1.02B,$-0.18B,-17.57%,$1.02B,$-0.10B,-10.01%,$-0.10B,$1.40B,-7.10%,$-0.10B,$1.22B,-8.01%,$-0.10B,$3.00B,-3.28%,$-0.07B,$2.73B,-2.41%,$302,$213,$89,$0,$18,$317,$-15,$-36,$-51,$-14,$-37,$-37,$-37,$50,$-15,$293,293,$-0.13,$-0.13,$50,$19,$23,$341,$2448,$0,$180,$2,$2662,$3003,$162,$1335,$18,$1445,$1607,$1789,$-528,$102,$1396,$3003,$-102,$291,$49,$341,$-32,$-3,$0,$6,$-52,$90,$-46,$-18,$0,$0,$0,$0,$-6,$-70,$-48,$0,$-48,$0,$0,$0,$-8,$-57,$-39,$0,$0
4,2017-09-30,3.12,$5.05,0.62,$3.20,0.98,$-0.09,0.0,$-0.30,0.0,$0.39B,$0.18B,2.22,$1.42B,$1.48B,0.96,$0.93B,$0.29B,31.05%,$0.93B,$-0.07B,-7.92%,$0.93B,$-0.07B,-7.92%,$0.93B,$0.23B,24.41%,$0.93B,$-0.19B,-20.02%,$0.93B,$-0.09B,-9.31%,$-0.09B,$1.48B,-5.96%,$-0.09B,$1.32B,-6.69%,$-0.09B,$3.17B,-2.74%,$-0.07B,$2.90B,-2.57%,$251,$175,$76,$0,$18,$265,$-14,$-25,$-39,$-18,$-21,$-21,$-21,$69,$-14,$293,293,$-0.07,$-0.07,$105,$20,$24,$387,$2614,$0,$165,$0,$2779,$3166,$175,$1418,$19,$1509,$1684,$1851,$-509,$106,$1482,$3166,$-68,$226,$79,$305,$0,$0,$0,$-50,$-50,$74,$-50,$0,$0,$0,$0,$0,$-9,$-59,$0,$0,$0,$0,$0,$0,$-0,$-0,$13,$0,$0
5,2017-06-30,3.41,$4.80,0.71,$2.87,1.19,$-0.18,0.0,$-0.35,0.0,$0.33B,$0.15B,2.21,$1.37B,$1.41B,0.97,$0.84B,$0.26B,31.38%,$0.84B,$-0.10B,-12.29%,$0.84B,$-0.10B,-12.29%,$0.84B,$0.19B,22.55%,$0.84B,$-0.21B,-25.30%,$0.84B,$-0.10B,-12.17%,$-0.10B,$1.41B,-6.95%,$-0.10B,$1.25B,-7.79%,$-0.10B,$3.03B,-3.16%,$-0.10B,$2.78B,-3.54%,$205,$148,$57,$0,$15,$234,$-29,$-25,$-54,$-27,$-27,$-27,$-27,$41,$-29,$301,301,$-0.09,$-0.09,$71,$19,$31,$332,$2545,$0,$155,$0,$2701,$3032,$150,$1372,$17,$1474,$1624,$1725,$-455,$107,$1408,$3032,$-44,$143,$6,$149,$0,$0,$0,$-25,$-25,$27,$-33,$0,$0,$0,$0,$0,$-8,$-41,$0,$0,$0,$0,$0,$0,$-0,$-0,$-15,$0,$0
6,2017-03-31,4.72,$0.00,0.0,$2.63,1.8,$-0.01,0.0,$-0.41,0.0,$0.38B,$0.19B,1.98,$1.43B,$1.46B,0.98,$0.76B,$0.25B,32.50%,$0.76B,$-0.13B,-17.37%,$0.76B,$-0.13B,-17.37%,$0.76B,$0.17B,22.37%,$0.76B,$-0.24B,-31.84%,$0.76B,$-0.12B,-15.79%,$-0.12B,$1.46B,-7.96%,$-0.12B,$1.31B,-8.91%,$-0.12B,$3.22B,-3.58%,$-0.13B,$2.89B,-4.39%,$261,$178,$83,$0,$19,$271,$-10,$-25,$-35,$-18,$-17,$-17,$-17,$64,$-10,$283,283,$-0.06,$-0.06,$91,$19,$29,$381,$2680,$0,$159,$0,$2839,$3220,$193,$1430,$20,$1563,$1756,$1752,$-435,$116,$1464,$3220,$-17,$73,$9,$83,$0,$0,$0,$-39,$-39,$26,$-15,$0,$0,$0,$0,$0,$-6,$-21,$0,$0,$0,$0,$0,$0,$-0,$-0,$4,$0,$0
7,2016-12-31,5.45,$5.05,1.08,$2.45,2.22,$0.17,31.59,$-0.40,0.0,$0.36B,$0.18B,1.96,$1.44B,$1.48B,0.97,$0.72B,$0.26B,36.02%,$0.72B,$-0.12B,-16.55%,$0.72B,$-0.12B,-16.55%,$0.72B,$0.18B,24.76%,$0.72B,$-0.23B,-32.27%,$0.72B,$-0.12B,-16.27%,$-0.12B,$1.48B,-7.70%,$-0.12B,$1.32B,-8.60%,$-0.12B,$3.27B,-3.45%,$-0.12B,$2.92B,-3.92%,$217,$142,$74,$0,$24,$237,$-21,$-39,$-59,$-38,$-22,$-22,$-22,$54,$-21,$293,293,$-0.07,$-0.07,$87,$18,$29,$356,$2750,$0,$159,$0,$2909,$3266,$182,$1440,$30,$1602,$1784,$1752,$-417,$118,$1482,$3266,$-117,$296,$14,$310,$9,$-0,$0,$7,$13,$93,$-148,$0,$-9,$0,$0,$0,$-5,$-162,$-157,$0,$-157,$1,$1,$0,$-9,$-165,$-249,$0,$0
8,2016-09-30,4.18,$0.00,0.0,$2.60,1.61,$0.54,7.7,$-1.01,0.0,$0.47B,$0.17B,2.8,$1.54B,$1.52B,1.02,$0.76B,$0.31B,40.26%,$0.76B,$-0.46B,-60.39%,$0.76B,$-0.46B,-60.39%,$0.76B,$-0.13B,-17.50%,$0.76B,$-0.50B,-65.92%,$0.76B,$-0.30B,-39.21%,$-0.30B,$1.52B,-19.05%,$-0.30B,$1.35B,-21.24%,$-0.30B,$3.41B,-8.45%,$-0.46B,$3.05B,-14.59%,$155,$106,$49,$0,$17,$197,$-43,$-22,$-64,$-28,$-36,$-36,$-36,$30,$-43,$296,296,$-0.12,$-0.12,$270,$20,$20,$468,$2783,$0,$161,$0,$2944,$3412,$167,$1537,$24,$1730,$1897,$1778,$-400,$108,$1515,$3412,$-96,$221,$14,$235,$0,$0,$0,$43,$43,$115,$-117,$0,$0,$0,$0,$0,$-5,$-123,$-49,$0,$-49,$1,$1,$0,$-1,$-49,$-71,$0,$0
9,2016-06-30,5.3,$0.00,0.0,$3.02,1.75,$0.71,7.47,$-1.12,0.0,$0.52B,$0.13B,4.01,$1.59B,$1.57B,1.02,$0.88B,$0.36B,41.22%,$0.88B,$-0.43B,-48.13%,$0.88B,$-0.43B,-48.13%,$0.88B,$-0.09B,-9.85%,$0.88B,$-0.54B,-61.04%,$0.88B,$-0.33B,-37.15%,$-0.33B,$1.57B,-19.99%,$-0.33B,$1.40B,-22.17%,$-0.33B,$3.50B,-8.91%,$-0.43B,$3.16B,-13.11%,$127,$86,$41,$0,$23,$185,$-58,$-26,$-84,$-39,$-45,$-45,$-45,$22,$-58,$288,288,$-0.16,$-0.16,$354,$18,$11,$519,$2819,$0,$163,$0,$2982,$3501,$129,$1590,$24,$1805,$1934,$1800,$-368,$107,$1567,$3501,$-60,$149,$20,$169,$0,$0,$0,$55,$55,$103,$-60,$0,$0,$0,$0,$0,$-13,$-72,$-7,$0,$-7,$1,$1,$0,$-1,$-6,$8,$0,$0
