,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,33.9,$13.27,2.55,$0.49,69.39,$-4.17,0.0,$-2.67,0.0,$0.09B,$0.01B,14.1,$0.00B,$0.19B,0.0,$0.01B,0,0.00%,$0.01B,$-0.04B,-525.00%,$0.01B,$-0.04B,-525.00%,$0.01B,$-0.04B,-475.00%,$0.01B,$-0.04B,-500.00%,$0.01B,$-0.03B,-400.00%,$-0.03B,$0.19B,-15.65%,$-0.03B,$0.09B,-32.74%,$-0.03B,$0.21B,-14.78%,$-0.04B,$0.19B,-20.54%,$2,$2,$0,$1,$7,$14,$-12,$0,$-12,$0,$-12,$-12,$-12,$-11,$-12,$15,15,$-0.81,$-0.81,$86,$0,$0,$88,$11,$0,$108,$1,$120,$207,$6,$0,$4,$8,$14,$0,$-151,$0,$193,$207,$-24,$1,$8,$10,$-0,$0,$-0,$1,$2,$-12,$-0,$-1,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$1,$1,$0,$-0,$1,$-13,$7,$0
1,2018-06-30,24.95,$13.83,1.8,$0.47,53.35,$-4.15,0.0,$-2.43,0.0,$0.09B,$0.01B,18.56,$0.00B,$0.20B,0.0,$0.01B,0,0.00%,$0.01B,$-0.04B,-475.00%,$0.01B,$-0.04B,-475.00%,$0.01B,$-0.03B,-425.00%,$0.01B,$-0.04B,-450.00%,$0.01B,$-0.03B,-350.00%,$-0.03B,$0.20B,-13.33%,$-0.03B,$0.09B,-27.12%,$-0.03B,$0.21B,-12.56%,$-0.04B,$0.20B,-18.10%,$2,$2,$-0,$1,$7,$14,$-13,$0,$-12,$0,$-12,$-12,$-12,$-12,$-13,$14,14,$-0.85,$-0.85,$91,$0,$0,$93,$12,$0,$107,$1,$119,$212,$5,$0,$3,$7,$12,$0,$-139,$0,$201,$212,$-12,$1,$4,$5,$-0,$0,$-0,$0,$0,$-7,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$-7,$4,$0
2,2018-03-31,29.85,$14.39,2.07,$0.44,67.86,$-4.13,0.0,$-2.13,0.0,$0.10B,$0.01B,19.18,$0.00B,$0.21B,0.0,$0.01B,0,0.00%,$0.01B,$-0.03B,-457.14%,$0.01B,$-0.03B,-457.14%,$0.01B,$-0.03B,-414.29%,$0.01B,$-0.03B,-442.86%,$0.01B,$-0.02B,-342.86%,$-0.02B,$0.21B,-11.16%,$-0.02B,$0.10B,-22.12%,$-0.02B,$0.22B,-10.45%,$-0.03B,$0.21B,-14.88%,$2,$2,$-0,$1,$7,$10,$-9,$0,$-8,$0,$-8,$-8,$-8,$-8,$-9,$14,14,$-0.57,$-0.57,$98,$0,$0,$100,$13,$0,$107,$0,$120,$220,$5,$0,$2,$7,$12,$0,$-127,$0,$209,$220,$-25,$3,$-1,$2,$-0,$-0,$0,$-0,$1,$-22,$-1,$-2,$0,$0,$0,$0,$0,$-3,$-0,$0,$-0,$0,$0,$0,$-1,$-1,$-26,$6,$0
3,2017-12-31,32.1,$14.89,2.16,$0.40,79.27,$-4.50,0.0,$-2.49,0.0,$0.11B,$0.01B,20.13,$0.00B,$0.22B,0.0,$0.01B,$-0.00B,-16.67%,$0.01B,$-0.03B,-516.67%,$0.01B,$-0.03B,-516.67%,$0.01B,$-0.03B,-466.67%,$0.01B,$-0.03B,-516.67%,$0.01B,$-0.03B,-500.00%,$-0.03B,$0.22B,-13.65%,$-0.03B,$0.11B,-26.37%,$-0.03B,$0.23B,-12.71%,$-0.03B,$0.22B,-14.11%,$2,$2,$-0,$1,$7,$10,$-8,$0,$-8,$-8,$-0,$-0,$-0,$-7,$-8,$14,14,$-0.01,$-0.01,$104,$0,$0,$107,$13,$0,$107,$1,$121,$227,$5,$0,$2,$7,$12,$0,$-119,$0,$215,$227,$-16,$2,$-2,$-0,$-0,$0,$0,$-1,$-0,$-17,$-1,$-2,$0,$0,$0,$0,$0,$-3,$0,$0,$0,$0,$0,$0,$-0,$-0,$-20,$4,$0
4,2017-09-30,29.8,$14.86,2.01,$0.39,77.02,$-4.83,0.0,$-2.60,0.0,$0.11B,$0.00B,27.68,$0.00B,$0.22B,0.0,$0.01B,$-0.00B,-20.00%,$0.01B,$-0.03B,-600.00%,$0.01B,$-0.03B,-600.00%,$0.01B,$-0.03B,-560.00%,$0.01B,$-0.03B,-600.00%,$0.01B,$-0.04B,-740.00%,$-0.04B,$0.22B,-16.35%,$-0.04B,$0.11B,-30.71%,$-0.04B,$0.23B,-15.26%,$-0.03B,$0.22B,-13.26%,$2,$2,$-0,$1,$7,$9,$-8,$0,$-8,$1,$-8,$-8,$-8,$-7,$-8,$14,14,$-0.57,$-0.57,$111,$0,$0,$112,$14,$0,$107,$0,$121,$233,$4,$0,$2,$14,$18,$0,$-119,$0,$215,$233,$-16,$1,$4,$5,$-0,$0,$0,$0,$-0,$-11,$-1,$-2,$0,$0,$0,$0,$0,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$-14,$3,$0
5,2017-06-30,23.3,$15.34,1.52,$0.36,64.45,$-5.10,0.0,$-2.57,0.0,$0.12B,$0.00B,30.43,$0.00B,$0.22B,0.0,$0.00B,$-0.00B,-50.00%,$0.00B,$-0.03B,-750.00%,$0.00B,$-0.03B,-750.00%,$0.00B,$-0.03B,-700.00%,$0.00B,$-0.03B,-750.00%,$0.00B,$-0.04B,-925.00%,$-0.04B,$0.22B,-15.80%,$-0.04B,$0.12B,-28.68%,$-0.04B,$0.24B,-14.87%,$-0.03B,$0.22B,-12.81%,$1,$2,$-0,$1,$7,$9,$-7,$0,$-7,$1,$-8,$-8,$-8,$-7,$-7,$14,14,$-0.55,$-0.55,$116,$0,$0,$117,$15,$0,$107,$0,$122,$239,$4,$0,$2,$14,$18,$0,$-111,$0,$221,$239,$-8,$1,$2,$2,$-0,$0,$-0,$0,$-1,$-6,$-1,$-2,$0,$0,$0,$0,$0,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$-9,$1,$0
6,2017-03-31,21.85,$15.87,1.38,$0.33,65.67,$-5.31,0.0,$-2.72,0.0,$0.13B,$0.01B,26.63,$0.00B,$0.23B,0.0,$0.00B,$-0.00B,-75.00%,$0.00B,$-0.03B,-825.00%,$0.00B,$-0.03B,-825.00%,$0.00B,$-0.03B,-775.00%,$0.00B,$-0.03B,-825.00%,$0.00B,$-0.04B,-975.00%,$-0.04B,$0.23B,-16.10%,$-0.04B,$0.12B,-28.36%,$-0.04B,$0.25B,-15.29%,$-0.03B,$0.23B,-13.61%,$1,$2,$-1,$1,$6,$9,$-8,$0,$-8,$0,$-14,$-14,$-14,$-7,$-8,$14,14,$-0.97,$-0.97,$124,$0,$0,$126,$15,$0,$105,$0,$120,$245,$5,$0,$1,$13,$18,$0,$-103,$0,$228,$245,$-39,$2,$11,$14,$-0,$-0,$-0,$-0,$-1,$-27,$-2,$-1,$0,$0,$0,$0,$-0,$-2,$-0,$0,$-0,$0,$0,$0,$-0,$-0,$-29,$5,$0
7,2016-12-31,22.55,$16.78,1.34,$0.31,72.29,$-5.39,0.0,$-2.22,0.0,$0.13B,$0.01B,25.87,$0.00B,$0.24B,0.0,$0.00B,$-0.00B,-75.00%,$0.00B,$-0.03B,-800.00%,$0.00B,$-0.03B,-800.00%,$0.00B,$-0.03B,-775.00%,$0.00B,$-0.03B,-800.00%,$0.00B,$-0.03B,-800.00%,$-0.03B,$0.24B,-12.76%,$-0.03B,$0.14B,-21.88%,$-0.03B,$0.25B,-12.20%,$-0.03B,$0.24B,-12.74%,$1,$2,$-0,$1,$6,$9,$-7,$0,$-7,$0,$-7,$-7,$-7,$-7,$-7,$14,14,$-0.51,$-0.51,$131,$0,$0,$133,$15,$0,$105,$0,$120,$253,$5,$0,$1,$7,$12,$0,$-89,$0,$241,$253,$-25,$2,$4,$5,$-0,$0,$-0,$-0,$-1,$-21,$-2,$-1,$0,$0,$0,$0,$-0,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$-23,$4,$0
8,2016-09-30,22.9,$17.22,1.33,$0.28,80.45,$-5.42,0.0,$-2.07,0.0,$0.14B,$0.00B,32.44,$0.00B,$0.25B,0.0,$0.00B,$-0.00B,-75.00%,$0.00B,$-0.03B,-750.00%,$0.00B,$-0.03B,-750.00%,$0.00B,$-0.03B,-725.00%,$0.00B,$-0.03B,-750.00%,$0.00B,$-0.03B,-750.00%,$-0.03B,$0.25B,-11.65%,$-0.03B,$0.14B,-19.51%,$-0.03B,$0.26B,-11.16%,$-0.03B,$0.25B,-11.62%,$1,$2,$-1,$1,$7,$9,$-8,$0,$-8,$0,$-8,$-8,$-8,$-7,$-8,$14,14,$-0.54,$-0.54,$137,$0,$0,$138,$15,$0,$105,$0,$120,$258,$4,$0,$1,$7,$11,$0,$-81,$0,$247,$258,$-18,$1,$2,$3,$-0,$0,$-0,$0,$-1,$-15,$-1,$-1,$0,$0,$0,$0,$-0,$-1,$0,$0,$0,$0,$0,$0,$0,$0,$-17,$2,$0
9,2016-06-30,21.39,$17.73,1.21,$0.26,81.72,$-5.30,0.0,$-1.91,0.0,$0.15B,$0.00B,36.66,$0.00B,$0.25B,0.0,$0.00B,$-0.00B,-50.00%,$0.00B,$-0.03B,-675.00%,$0.00B,$-0.03B,-675.00%,$0.00B,$-0.03B,-675.00%,$0.00B,$-0.03B,-675.00%,$0.00B,$-0.03B,-675.00%,$-0.03B,$0.25B,-10.24%,$-0.03B,$0.15B,-16.77%,$-0.03B,$0.26B,-9.83%,$-0.03B,$0.25B,-10.21%,$1,$2,$-1,$1,$9,$11,$-10,$0,$-10,$0,$-10,$-10,$-10,$-10,$-10,$14,14,$-0.70,$-0.70,$143,$0,$0,$145,$15,$0,$104,$0,$120,$264,$4,$0,$1,$7,$11,$0,$-74,$0,$253,$264,$-10,$0,$1,$2,$-0,$0,$-0,$-0,$-1,$-10,$-0,$-0,$0,$0,$0,$0,$-0,$-1,$0,$0,$0,$0,$0,$0,$0,$0,$-10,$1,$0
