,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,19.87,$22.27,0.89,$4.95,4.01,$3.62,5.5,$1.45,13.7,$0.24B,$0.44B,0.54,$2.13B,$2.19B,0.98,$0.48B,$0.09B,19.33%,$0.48B,$0.04B,7.48%,$0.48B,$0.04B,7.48%,$0.48B,$0.28B,58.84%,$0.48B,$-0.05B,-9.98%,$0.48B,$0.15B,30.77%,$0.15B,$2.19B,6.53%,$0.15B,$1.91B,7.34%,$0.15B,$5.37B,2.84%,$0.04B,$4.31B,0.84%,$118,$98,$20,$0,$14,$114,$4,$-33,$-29,$3,$-32,$-32,$-13,$73,$4,$97,97,$-0.13,$-0.13,$132,$0,$35,$240,$4110,$372,$278,$362,$5132,$5372,$441,$2130,$496,$2746,$3187,$1,$-13,$-16,$2185,$5372,$-46,$188,$52,$240,$-0,$0,$0,$44,$36,$230,$-129,$0,$-133,$0,$0,$0,$-82,$-344,$110,$173,$283,$0,$0,$-124,$-36,$124,$8,$4,$-124
1,2018-06-30,18.75,$22.77,0.82,$4.79,3.92,$3.89,4.82,$1.24,15.12,$0.55B,$0.61B,0.91,$1.92B,$2.23B,0.86,$0.46B,$0.07B,15.60%,$0.46B,$0.02B,3.96%,$0.46B,$0.02B,3.96%,$0.46B,$0.25B,55.38%,$0.46B,$-0.07B,-15.60%,$0.46B,$0.13B,28.79%,$0.13B,$2.23B,5.81%,$0.13B,$1.95B,6.41%,$0.13B,$5.28B,2.59%,$0.02B,$4.16B,0.43%,$140,$96,$44,$0,$13,$113,$27,$-24,$3,$4,$-2,$-2,$33,$87,$27,$97,97,$0.34,$0.34,$121,$0,$351,$551,$3797,$344,$284,$296,$4733,$5284,$609,$1924,$401,$2441,$3050,$1,$0,$-33,$2234,$5284,$-14,$119,$37,$156,$-10,$0,$0,$5,$-18,$124,$-32,$0,$-211,$0,$0,$0,$-53,$-296,$91,$201,$292,$0,$0,$-82,$-28,$182,$-7,$2,$-82
2,2018-03-31,16.91,$23.39,0.72,$4.59,3.68,$4.30,3.93,$1.06,15.95,$0.32B,$0.46B,0.68,$2.13B,$2.30B,0.93,$0.42B,$0.05B,11.35%,$0.42B,$-0.00B,-0.71%,$0.42B,$-0.00B,-0.71%,$0.42B,$0.22B,52.72%,$0.42B,$-0.08B,-19.86%,$0.42B,$0.11B,26.48%,$0.11B,$2.30B,5.02%,$0.11B,$2.00B,5.44%,$0.11B,$5.42B,2.32%,$-0.00B,$4.42B,-0.07%,$112,$97,$14,$0,$15,$112,$-0,$-6,$-6,$7,$-13,$-13,$136,$59,$-0,$97,106,$1.39,$1.32,$171,$0,$62,$315,$4341,$348,$296,$106,$5107,$5422,$461,$2128,$408,$2666,$3127,$1,$0,$-27,$2295,$5422,$-13,$59,$10,$69,$-6,$0,$0,$5,$-29,$28,$-61,$0,$-158,$0,$0,$0,$-52,$-271,$93,$248,$341,$0,$0,$-41,$-14,$286,$42,$1,$-41
3,2017-12-31,20.52,$23.99,0.86,$4.69,4.38,$5.11,4.02,$-0.20,0.0,$0.27B,$0.22B,1.25,$1.88B,$2.35B,0.8,$0.41B,$0.06B,15.05%,$0.41B,$0.01B,2.43%,$0.41B,$0.01B,2.43%,$0.41B,$0.23B,54.61%,$0.41B,$-0.07B,-17.23%,$0.41B,$-0.02B,-4.37%,$-0.02B,$2.35B,-0.85%,$-0.02B,$2.21B,-0.90%,$-0.02B,$4.74B,-0.40%,$0.01B,$4.23B,0.26%,$111,$95,$15,$0,$10,$105,$5,$-21,$-16,$6,$-22,$-22,$-8,$64,$5,$89,89,$-0.08,$-0.08,$126,$0,$70,$270,$3965,$311,$136,$45,$4471,$4742,$217,$1879,$241,$2176,$2393,$1,$-112,$-26,$2348,$4742,$-82,$215,$54,$268,$-10,$0,$0,$19,$32,$218,$-44,$0,$-228,$0,$0,$0,$-47,$-319,$211,$-180,$31,$237,$237,$-145,$2,$125,$29,$5,$-145
4,2017-09-30,22.57,$24.26,0.93,$4.47,5.05,$4.80,4.7,$0.04,564.19,$0.24B,$0.47B,0.51,$1.87B,$2.15B,0.87,$0.38B,$0.05B,13.61%,$0.38B,0,0.00%,$0.38B,0,0.00%,$0.38B,$0.20B,53.14%,$0.38B,$-0.05B,-12.30%,$0.38B,$0.00B,1.05%,$0.00B,$2.15B,0.20%,$0.00B,$2.01B,0.21%,$0.00B,$4.77B,0.10%,$0.00B,$4.02B,0.00%,$92,$94,$-2,$0,$13,$106,$-14,$-38,$-52,$-4,$-48,$-48,$-30,$42,$-14,$87,87,$-0.34,$-0.34,$98,$0,$71,$239,$4023,$304,$139,$57,$4534,$4773,$471,$1872,$231,$2154,$2624,$1,$-104,$-25,$2149,$4773,$-61,$156,$41,$197,$-3,$0,$0,$13,$22,$159,$-44,$0,$-229,$0,$0,$0,$-41,$-315,$212,$73,$285,$22,$22,$-108,$-40,$160,$9,$4,$-108
5,2017-06-30,21.96,$24.28,0.9,$4.54,4.83,$4.42,4.97,$0.33,66.54,$0.30B,$0.29B,1.03,$1.71B,$2.13B,0.8,$0.38B,$0.07B,18.59%,$0.38B,$0.02B,4.71%,$0.38B,$0.02B,4.71%,$0.38B,$0.21B,55.50%,$0.38B,$-0.01B,-1.31%,$0.38B,$0.03B,7.85%,$0.03B,$2.13B,1.55%,$0.03B,$2.02B,1.63%,$0.03B,$4.40B,0.77%,$0.02B,$3.84B,0.52%,$108,$87,$21,$0,$15,$102,$6,$-16,$-10,$5,$-15,$-15,$14,$58,$6,$87,87,$0.16,$0.16,$176,$0,$66,$304,$3682,$241,$111,$58,$4100,$4404,$294,$1712,$227,$1982,$2277,$1,$-74,$-47,$2128,$4404,$-12,$100,$22,$121,$-8,$0,$0,$16,$48,$157,$-39,$0,$-170,$0,$0,$0,$16,$-193,$330,$-120,$210,$0,$0,$-72,$-21,$118,$84,$3,$-72
6,2017-03-31,18.23,$21.09,0.86,$4.56,4.0,$3.66,4.99,$0.13,140.25,$0.39B,$0.18B,2.15,$1.67B,$1.85B,0.9,$0.37B,$0.07B,17.98%,$0.37B,$0.02B,4.63%,$0.37B,$0.02B,4.63%,$0.37B,$0.21B,56.13%,$0.37B,$-0.01B,-2.45%,$0.37B,$0.01B,3.54%,$0.01B,$1.85B,0.72%,$0.01B,$1.76B,0.75%,$0.01B,$3.88B,0.35%,$0.02B,$3.52B,0.52%,$101,$73,$28,$0,$15,$87,$13,$-6,$7,$5,$3,$3,$6,$61,$13,$87,87,$0.06,$0.06,$253,$0,$71,$386,$3095,$233,$90,$62,$3489,$3875,$179,$1670,$141,$1848,$2027,$1,$-89,$-57,$1848,$3875,$3,$47,$7,$55,$-8,$0,$0,$2,$-13,$44,$-1,$0,$-0,$0,$0,$0,$4,$3,$340,$-180,$160,$0,$0,$-36,$-10,$114,$161,$1,$-36
7,2016-12-31,16.85,$21.49,0.78,$4.58,3.68,$3.04,5.54,$-0.25,0.0,$0.22B,$0.37B,0.59,$1.34B,$1.88B,0.71,$0.35B,$0.05B,14.12%,$0.35B,$0.01B,1.69%,$0.35B,$0.01B,1.69%,$0.35B,$0.19B,54.52%,$0.35B,$-0.04B,-12.43%,$0.35B,$-0.02B,-4.80%,$-0.02B,$1.88B,-0.96%,$-0.02B,$1.79B,-1.01%,$-0.02B,$3.75B,-0.45%,$0.01B,$3.21B,0.19%,$81,$76,$5,$0,$11,$86,$-5,$13,$8,$5,$3,$3,$14,$42,$-5,$79,79,$0.19,$0.19,$96,$0,$69,$218,$3135,$233,$92,$65,$3535,$3753,$367,$1335,$140,$1507,$1874,$1,$-94,$-62,$1879,$3753,$-52,$189,$16,$205,$8,$0,$0,$5,$11,$164,$-33,$0,$-136,$0,$0,$0,$44,$-124,$-48,$-175,$-223,$286,$286,$-120,$-20,$-77,$-37,$5,$-120
8,2016-09-30,19.53,$21.54,0.91,$4.84,4.03,$-2.33,0.0,$-0.38,0.0,$0.21B,$0.22B,0.95,$1.35B,$1.88B,0.72,$0.36B,$0.06B,17.03%,$0.36B,$0.02B,5.77%,$0.36B,$0.02B,5.77%,$0.36B,$0.21B,56.32%,$0.36B,$-0.05B,-14.29%,$0.36B,$-0.03B,-7.97%,$-0.03B,$1.88B,-1.66%,$-0.03B,$1.79B,-1.75%,$-0.03B,$3.65B,-0.77%,$0.02B,$3.23B,0.67%,$92,$75,$17,$0,$13,$88,$4,$-13,$-10,$1,$-11,$-11,$-4,$51,$4,$82,82,$-0.05,$-0.05,$77,$0,$74,$210,$3182,$87,$93,$68,$3444,$3654,$220,$1347,$180,$1550,$1770,$1,$-108,$-94,$1884,$3654,$-56,$141,$22,$164,$6,$0,$0,$2,$-1,$107,$-32,$0,$-4,$0,$0,$0,$42,$6,$-39,$-320,$-359,$287,$287,$-85,$-13,$-170,$-55,$4,$-85
9,2016-06-30,19.61,$21.96,0.89,$4.95,3.96,$-6.45,0.0,$-0.73,0.0,$0.24B,$0.52B,0.46,$1.36B,$1.65B,0.83,$0.36B,$0.07B,18.51%,$0.36B,$0.03B,8.29%,$0.36B,$0.03B,8.29%,$0.36B,$0.21B,57.73%,$0.36B,$-0.08B,-22.10%,$0.36B,$-0.05B,-14.92%,$-0.05B,$1.65B,-3.18%,$-0.05B,$1.55B,-3.38%,$-0.05B,$3.74B,-1.42%,$0.03B,$3.01B,0.98%,$93,$77,$16,$0,$11,$88,$5,$-19,$-14,$1,$-16,$-16,$-3,$52,$5,$74,74,$-0.04,$-0.04,$100,$0,$78,$241,$3226,$93,$94,$72,$3499,$3740,$522,$1363,$186,$1572,$2095,$1,$-104,$-94,$1646,$3740,$-45,$94,$26,$120,$-4,$0,$0,$8,$-5,$70,$-26,$0,$0,$0,$0,$0,$32,$6,$-22,$-20,$-42,$0,$0,$-56,$-9,$-108,$-30,$3,$-56
