,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,3.01,$0.00,0.0,$9.89,0.3,$3.58,0.84,$-1.33,0.0,$0.09B,$0.07B,1.31,$0.03B,$0.14B,0.18,$0.26B,$0.23B,90.70%,$0.26B,$-0.03B,-10.47%,$0.26B,$-0.03B,-10.47%,$0.26B,$-0.02B,-6.98%,$0.26B,$-0.03B,-12.40%,$0.26B,$-0.03B,-13.18%,$-0.03B,$0.14B,-24.24%,$-0.03B,$0.01B,-566.67%,$-0.03B,$0.25B,-13.29%,$-0.03B,$0.17B,-15.63%,$57,$5,$52,$4,$13,$54,$4,$-1,$2,$0,$2,$2,$2,$6,$4,$26,26,$0.08,$0.08,$41,$0,$0,$93,$16,$0,$133,$1,$154,$247,$71,$26,$6,$33,$103,$0,$-95,$0,$143,$247,$3,$7,$2,$9,$0,$0,$0,$16,$16,$28,$-1,$0,$-2,$6,$0,$6,$-1,$1,$-21,$0,$-21,$0,$0,$0,$0,$-21,$9,$2,$0
1,2018-06-30,1.17,$5.47,0.21,$10.16,0.12,$3.58,0.33,$-1.32,0.0,$0.09B,$0.07B,1.25,$0.03B,$0.14B,0.19,$0.27B,$0.24B,90.60%,$0.27B,$-0.03B,-10.53%,$0.27B,$-0.03B,-10.53%,$0.27B,$-0.02B,-6.77%,$0.27B,$-0.03B,-12.03%,$0.27B,$-0.03B,-12.41%,$-0.03B,$0.14B,-22.26%,$-0.03B,$0.01B,-1885.71%,$-0.03B,$0.25B,-12.23%,$-0.03B,$0.17B,-15.05%,$63,$6,$57,$5,$15,$60,$3,$-1,$2,$1,$1,$1,$1,$5,$3,$26,26,$0.03,$0.03,$35,$0,$0,$93,$16,$0,$134,$1,$155,$248,$74,$27,$6,$33,$108,$0,$-97,$0,$141,$248,$1,$5,$1,$6,$0,$0,$0,$11,$11,$17,$-0,$0,$0,$6,$0,$6,$-1,$5,$-19,$0,$-19,$0,$0,$0,$0,$-19,$3,$1,$0
2,2018-03-31,0.8,$0.00,0.0,$10.48,0.08,$3.32,0.24,$-2.73,0.0,$0.10B,$0.08B,1.2,$0.03B,$0.14B,0.21,$0.27B,$0.25B,90.84%,$0.27B,$-0.07B,-26.74%,$0.27B,$-0.07B,-26.74%,$0.27B,$-0.06B,-21.98%,$0.27B,$-0.08B,-28.57%,$0.27B,$-0.07B,-25.64%,$-0.07B,$0.14B,-44.87%,$-0.07B,$0.00B,2545.45%,$-0.07B,$0.25B,-24.69%,$-0.07B,$0.17B,-36.59%,$61,$6,$55,$6,$14,$61,$0,$-1,$-0,$-0,$0,$0,$0,$2,$0,$26,26,$0.00,$0.00,$42,$0,$0,$96,$17,$0,$135,$1,$158,$254,$80,$29,$7,$35,$115,$0,$-98,$1,$139,$254,$0,$2,$-1,$2,$0,$0,$0,$13,$13,$15,$-0,$0,$0,$6,$0,$6,$-1,$5,$-10,$0,$-10,$0,$0,$0,$0,$-10,$10,$1,$0
3,2017-12-31,1.03,$0.00,0.0,$10.52,0.1,$3.05,0.34,$-2.82,0.0,$0.11B,$0.08B,1.4,$0.05B,$0.14B,0.34,$0.27B,$0.25B,90.88%,$0.27B,$-0.08B,-27.37%,$0.27B,$-0.08B,-27.37%,$0.27B,$-0.06B,-21.53%,$0.27B,$-0.08B,-29.93%,$0.27B,$-0.07B,-26.28%,$-0.07B,$0.14B,-41.62%,$-0.07B,$0.00B,738.46%,$-0.07B,$0.27B,-23.57%,$-0.08B,$0.19B,-33.71%,$77,$7,$70,$4,$20,$111,$-34,$-2,$-36,$2,$-37,$-37,$-37,$-31,$-34,$26,26,$-1.45,$-1.45,$37,$0,$0,$114,$17,$0,$136,$1,$160,$274,$81,$47,$8,$54,$136,$0,$-98,$1,$138,$274,$-73,$17,$84,$101,$9,$0,$1,$-3,$8,$36,$-2,$0,$0,$3,$0,$3,$-6,$-5,$-14,$-7,$-21,$0,$0,$0,$-3,$-24,$8,$2,$0
4,2017-09-30,1.16,$0.00,0.0,$10.84,0.11,$2.85,0.41,$-1.38,0.0,$0.10B,$0.07B,1.32,$0.05B,$0.18B,0.28,$0.28B,$0.25B,88.65%,$0.28B,$-0.04B,-12.77%,$0.28B,$-0.04B,-12.77%,$0.28B,$-0.02B,-5.67%,$0.28B,$-0.04B,-14.89%,$0.28B,$-0.04B,-12.41%,$-0.04B,$0.18B,-18.37%,$-0.04B,$-0.01B,205.88%,$-0.04B,$0.30B,-10.64%,$-0.04B,$0.22B,-14.80%,$65,$6,$59,$4,$17,$62,$3,$-1,$2,$-1,$3,$3,$3,$6,$3,$26,27,$0.10,$0.10,$35,$0,$0,$96,$17,$0,$181,$1,$207,$303,$72,$48,$7,$55,$128,$0,$-61,$0,$175,$303,$-35,$13,$37,$50,$0,$0,$0,$14,$14,$29,$-1,$0,$0,$7,$0,$7,$-4,$1,$-12,$-7,$-19,$0,$0,$0,$-2,$-20,$10,$2,$0
5,2017-06-30,1.97,$6.65,0.3,$11.29,0.17,$2.50,0.79,$-1.26,0.0,$0.10B,$0.07B,1.3,$0.05B,$0.17B,0.3,$0.29B,$0.26B,90.03%,$0.29B,$-0.03B,-11.68%,$0.29B,$-0.03B,-11.68%,$0.29B,$-0.01B,-3.78%,$0.29B,$-0.04B,-13.75%,$0.29B,$-0.03B,-11.34%,$-0.03B,$0.17B,-16.65%,$-0.03B,$-0.01B,137.50%,$-0.03B,$0.30B,-9.61%,$-0.03B,$0.22B,-13.35%,$70,$6,$64,$4,$20,$112,$-42,$-1,$-44,$-8,$-36,$-36,$-36,$-37,$-42,$26,26,$-1.38,$-1.38,$22,$0,$0,$95,$16,$0,$183,$1,$207,$303,$73,$51,$7,$57,$131,$0,$-64,$0,$172,$303,$-38,$10,$38,$48,$0,$0,$0,$2,$2,$12,$-1,$0,$0,$7,$0,$7,$-3,$3,$-10,$-7,$-17,$0,$0,$0,$-1,$-18,$-3,$1,$0
6,2017-03-31,1.78,$0.00,0.0,$11.53,0.15,$2.36,0.75,$0.15,11.87,$0.09B,$0.07B,1.28,$0.05B,$0.21B,0.26,$0.30B,$0.27B,90.97%,$0.30B,$0.01B,3.34%,$0.30B,$0.01B,3.34%,$0.30B,$0.04B,11.71%,$0.30B,$0.00B,1.34%,$0.30B,$0.00B,1.34%,$0.00B,$0.21B,1.95%,$0.00B,$-0.02B,-11.35%,$0.00B,$0.34B,1.09%,$0.01B,$0.26B,3.76%,$62,$6,$56,$5,$18,$64,$-2,$-2,$-4,$-2,$-2,$-2,$-2,$3,$-2,$26,26,$-0.09,$-0.09,$23,$0,$0,$91,$15,$0,$231,$1,$251,$342,$71,$53,$6,$64,$135,$0,$-28,$0,$207,$342,$-2,$5,$1,$6,$0,$0,$0,$5,$5,$8,$-1,$0,$0,$8,$0,$8,$-1,$7,$-8,$-8,$-16,$0,$0,$0,$0,$-16,$-1,$1,$0
7,2016-12-31,1.42,$8.09,0.18,$12.11,0.12,$2.19,0.65,$0.03,47.33,$0.11B,$0.09B,1.31,$0.06B,$0.21B,0.29,$0.31B,$0.29B,92.01%,$0.31B,$0.01B,3.51%,$0.31B,$0.01B,3.51%,$0.31B,$0.04B,12.14%,$0.31B,$0.00B,1.28%,$0.31B,0,0.00%,$0.00B,$0.21B,0.00%,$0.00B,$-0.03B,0.00%,$0.00B,$0.37B,0.00%,$0.01B,$0.27B,4.12%,$85,$14,$71,$5,$16,$79,$5,$-2,$4,$3,$0,$0,$0,$12,$5,$25,26,$-0.03,$-0.03,$32,$0,$0,$114,$14,$0,$235,$2,$255,$368,$87,$60,$6,$74,$160,$0,$-26,$-0,$208,$368,$0,$26,$8,$34,$-5,$0,$-2,$6,$-3,$30,$-1,$0,$0,$34,$0,$34,$-4,$29,$-17,$-6,$-23,$0,$0,$0,$-30,$-53,$6,$7,$0
8,2016-09-30,1.2,$0.00,0.0,$11.59,0.1,$1.70,0.71,$-0.66,0.0,$0.10B,$0.08B,1.25,$0.06B,$0.21B,0.31,$0.30B,$0.28B,94.93%,$0.30B,$0.00B,1.01%,$0.30B,$0.00B,1.01%,$0.30B,$0.03B,9.46%,$0.30B,$-0.00B,-0.68%,$0.30B,$-0.02B,-5.74%,$-0.02B,$0.21B,-8.46%,$-0.02B,$-0.03B,30.36%,$-0.02B,$0.36B,-4.22%,$0.00B,$0.27B,1.12%,$74,$4,$71,$6,$21,$70,$5,$-1,$4,$1,$3,$3,$5,$11,$5,$25,26,$0.21,$0.21,$31,$0,$0,$100,$14,$0,$240,$1,$260,$360,$80,$63,$5,$74,$154,$0,$-26,$0,$206,$360,$3,$20,$0,$20,$0,$0,$0,$-4,$-4,$18,$-1,$0,$0,$35,$0,$35,$-4,$30,$-14,$0,$-14,$0,$0,$0,$-28,$-42,$6,$5,$0
9,2016-06-30,1.19,$7.87,0.15,$10.93,0.11,$2.00,0.59,$-3.84,0.0,$0.13B,$0.11B,1.21,$0.07B,$0.20B,0.33,$0.28B,$0.26B,94.91%,$0.28B,$-0.07B,-25.09%,$0.28B,$-0.07B,-25.09%,$0.28B,$-0.05B,-18.91%,$0.28B,$-0.07B,-26.91%,$0.28B,$-0.09B,-33.82%,$-0.09B,$0.20B,-46.33%,$-0.09B,$-0.06B,395.74%,$-0.09B,$0.40B,-24.14%,$-0.07B,$0.27B,-26.51%,$78,$4,$74,$7,$23,$76,$2,$-2,$0,$-2,$2,$2,$1,$9,$2,$25,27,$0.03,$0.03,$44,$0,$0,$127,$14,$0,$257,$2,$277,$404,$105,$65,$27,$99,$204,$0,$-31,$0,$200,$404,$-0,$14,$-2,$11,$0,$0,$0,$-3,$-3,$8,$-1,$0,$0,$30,$0,$30,$-3,$27,$-11,$-3,$-14,$0,$0,$0,$-6,$-20,$14,$4,$0
