,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,33.01,$6.28,5.26,$13.99,2.36,$5.52,5.98,$2.08,15.87,$0.12B,$0.02B,6.99,$0.00B,$0.13B,0.0,$0.29B,$0.10B,35.79%,$0.29B,$0.05B,18.95%,$0.29B,$0.05B,18.95%,$0.29B,$0.06B,20.00%,$0.29B,$0.06B,19.65%,$0.29B,$0.04B,15.09%,$0.04B,$0.13B,35.83%,$0.04B,$0.13B,36.13%,$0.04B,$0.15B,30.07%,$0.05B,$0.13B,45.00%,$71,$46,$25,$0,$12,$58,$13,$1,$14,$3,$11,$11,$11,$14,$13,$20,21,$0.53,$0.52,$87,$29,$0,$119,$28,$0,$1,$0,$29,$148,$17,$0,$0,$1,$18,$0,$119,$0,$130,$148,$23,$1,$2,$3,$0,$-5,$-1,$-0,$-6,$20,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$-11,$0,$-11,$9,$2,$-11
1,2018-06-30,43.74,$6.01,7.27,$13.78,3.17,$5.43,8.06,$1.99,21.98,$0.12B,$0.03B,4.41,$0.00B,$0.12B,0.0,$0.28B,$0.10B,35.59%,$0.28B,$0.05B,18.86%,$0.28B,$0.05B,18.86%,$0.28B,$0.06B,19.93%,$0.28B,$0.06B,19.57%,$0.28B,$0.04B,14.59%,$0.04B,$0.12B,36.12%,$0.04B,$0.12B,36.44%,$0.04B,$0.15B,29.87%,$0.05B,$0.12B,46.70%,$87,$57,$30,$0,$14,$72,$16,$1,$16,$4,$13,$13,$13,$16,$16,$20,20,$0.62,$0.62,$95,$25,$0,$123,$28,$0,$1,$0,$29,$153,$28,$0,$0,$1,$29,$0,$114,$0,$124,$153,$13,$1,$1,$1,$-0,$-2,$6,$-0,$8,$22,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$-5,$0,$-5,$17,$1,$-5
2,2018-03-31,41.16,$5.62,7.33,$13.40,3.07,$5.04,8.16,$1.82,22.62,$0.11B,$0.02B,5.81,$0.00B,$0.12B,0.0,$0.27B,$0.10B,35.40%,$0.27B,$0.05B,18.61%,$0.27B,$0.05B,18.61%,$0.27B,$0.06B,20.07%,$0.27B,$0.05B,19.71%,$0.27B,$0.04B,13.50%,$0.04B,$0.12B,34.50%,$0.04B,$0.12B,34.82%,$0.04B,$0.14B,28.35%,$0.05B,$0.12B,47.55%,$67,$42,$25,$0,$10,$53,$14,$0,$14,$4,$10,$10,$10,$15,$14,$20,20,$0.49,$0.50,$78,$23,$0,$105,$29,$0,$1,$0,$30,$135,$18,$0,$0,$1,$19,$0,$106,$0,$116,$135,$37,$2,$3,$5,$-1,$-3,$0,$0,$-5,$37,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$0,$0,$-17,$0,$-17,$19,$3,$-17
3,2017-12-31,44.6,$5.34,8.36,$13.20,3.38,$5.05,8.84,$1.69,26.39,$0.11B,$0.03B,4.24,$0.00B,$0.11B,0.0,$0.27B,$0.09B,34.81%,$0.27B,$0.05B,18.15%,$0.27B,$0.05B,18.15%,$0.27B,$0.05B,19.26%,$0.27B,$0.05B,19.26%,$0.27B,$0.04B,12.96%,$0.04B,$0.11B,34.48%,$0.04B,$0.11B,34.74%,$0.04B,$0.14B,28.00%,$0.05B,$0.11B,48.28%,$60,$38,$22,$0,$10,$49,$11,$0,$12,$3,$9,$9,$9,$12,$11,$20,20,$0.45,$0.44,$81,$22,$0,$106,$29,$0,$1,$0,$30,$136,$25,$0,$0,$1,$26,$0,$101,$0,$110,$136,$27,$2,$2,$3,$0,$-2,$-3,$0,$5,$35,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$0,$0,$-12,$0,$-12,$22,$2,$-12
4,2017-09-30,32.32,$5.06,6.38,$12.84,2.52,$4.42,7.31,$1.49,21.69,$0.10B,$0.02B,4.91,$0.00B,$0.10B,0.0,$0.26B,$0.09B,33.84%,$0.26B,$0.05B,17.49%,$0.26B,$0.05B,17.49%,$0.26B,$0.05B,18.25%,$0.26B,$0.05B,18.25%,$0.26B,$0.03B,11.79%,$0.03B,$0.10B,32.21%,$0.03B,$0.10B,32.38%,$0.03B,$0.13B,26.84%,$0.05B,$0.10B,47.79%,$67,$43,$23,$0,$11,$54,$12,$0,$13,$4,$9,$9,$9,$13,$12,$20,20,$0.43,$0.43,$68,$23,$0,$95,$29,$0,$1,$0,$30,$125,$19,$0,$0,$1,$21,$0,$96,$0,$104,$125,$18,$1,$1,$2,$-0,$-3,$-5,$-0,$-2,$18,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$-8,$0,$-8,$10,$1,$-8
5,2017-06-30,39.42,$4.82,8.17,$12.56,3.14,$4.62,8.54,$1.30,30.32,$0.10B,$0.03B,3.71,$0.00B,$0.10B,0.0,$0.26B,$0.08B,32.68%,$0.26B,$0.04B,16.34%,$0.26B,$0.04B,16.34%,$0.26B,$0.04B,16.73%,$0.26B,$0.04B,16.73%,$0.26B,$0.03B,10.51%,$0.03B,$0.10B,29.27%,$0.03B,$0.10B,29.43%,$0.03B,$0.13B,24.88%,$0.04B,$0.10B,45.53%,$80,$52,$27,$0,$13,$65,$14,$0,$15,$5,$9,$9,$9,$15,$14,$20,20,$0.46,$0.45,$69,$23,$0,$95,$30,$0,$1,$0,$31,$126,$26,$0,$0,$1,$27,$0,$92,$0,$99,$126,$9,$1,$0,$1,$-0,$-3,$1,$-0,$4,$14,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$-4,$0,$-4,$10,$0,$-4
6,2017-03-31,19.44,$4.55,4.27,$12.23,1.59,$4.46,4.36,$1.17,16.62,$0.08B,$0.02B,4.46,$0.00B,$0.09B,0.0,$0.25B,$0.08B,31.73%,$0.25B,$0.04B,15.26%,$0.25B,$0.04B,15.26%,$0.25B,$0.04B,15.66%,$0.25B,$0.04B,15.26%,$0.25B,$0.03B,10.04%,$0.03B,$0.09B,28.09%,$0.03B,$0.09B,28.17%,$0.03B,$0.11B,24.51%,$0.04B,$0.09B,42.70%,$63,$41,$22,$0,$10,$51,$12,$0,$12,$4,$8,$8,$8,$12,$12,$20,20,$0.37,$0.37,$59,$20,$0,$82,$30,$0,$1,$0,$31,$113,$18,$0,$0,$1,$19,$0,$87,$0,$93,$113,$24,$1,$4,$6,$-1,$5,$10,$1,$18,$47,$-11,$0,$0,$0,$0,$0,$0,$-11,$0,$0,$0,$0,$0,$-16,$0,$-16,$21,$2,$-16
7,2016-12-31,22.07,$4.35,5.07,$11.87,1.86,$2.71,8.16,$1.07,20.63,$0.07B,$0.01B,8.53,$0.00B,$0.09B,0.0,$0.24B,$0.08B,31.12%,$0.24B,$0.04B,14.52%,$0.24B,$0.04B,14.52%,$0.24B,$0.04B,14.94%,$0.24B,$0.04B,14.52%,$0.24B,$0.02B,9.13%,$0.02B,$0.09B,25.43%,$0.02B,$0.09B,25.58%,$0.02B,$0.10B,22.86%,$0.04B,$0.09B,40.46%,$53,$36,$17,$0,$9,$45,$8,$0,$8,$3,$5,$5,$5,$8,$8,$20,20,$0.24,$0.24,$48,$15,$0,$68,$29,$0,$1,$0,$30,$98,$8,$0,$0,$0,$8,$0,$83,$0,$89,$98,$16,$1,$3,$4,$-0,$11,$0,$0,$11,$32,$-10,$0,$0,$0,$0,$0,$0,$-10,$0,$0,$0,$0,$0,$-12,$0,$-12,$10,$1,$-12
8,2016-09-30,19.21,$4.29,4.48,$11.80,1.63,$2.75,6.99,$1.07,17.96,$0.08B,$0.01B,8.71,$0.00B,$0.09B,0.0,$0.24B,$0.08B,31.38%,$0.24B,$0.04B,14.64%,$0.24B,$0.04B,14.64%,$0.24B,$0.04B,15.06%,$0.24B,$0.04B,14.64%,$0.24B,$0.02B,9.21%,$0.02B,$0.09B,26.04%,$0.02B,$0.09B,26.27%,$0.02B,$0.10B,23.40%,$0.04B,$0.09B,41.42%,$61,$43,$18,$0,$10,$53,$8,$0,$8,$3,$5,$5,$5,$8,$8,$20,20,$0.24,$0.24,$52,$15,$0,$75,$21,$0,$1,$0,$22,$97,$9,$0,$0,$0,$9,$0,$82,$0,$88,$97,$11,$0,$2,$2,$0,$11,$1,$2,$14,$28,$-6,$0,$0,$0,$0,$0,$0,$-6,$0,$0,$0,$0,$0,$-8,$0,$-8,$14,$1,$-8
9,2016-06-30,17.61,$4.22,4.17,$11.62,1.52,$2.36,7.47,$1.05,16.77,$0.08B,$0.01B,5.75,$0.00B,$0.09B,0.0,$0.24B,$0.08B,32.34%,$0.24B,$0.03B,14.47%,$0.24B,$0.03B,14.47%,$0.24B,$0.04B,14.89%,$0.24B,$0.03B,14.47%,$0.24B,$0.02B,9.36%,$0.02B,$0.09B,26.75%,$0.02B,$0.09B,26.99%,$0.02B,$0.10B,23.98%,$0.03B,$0.09B,41.34%,$72,$50,$22,$0,$12,$62,$10,$0,$10,$4,$7,$7,$7,$11,$10,$20,20,$0.33,$0.32,$44,$27,$0,$77,$21,$0,$1,$0,$23,$100,$13,$0,$0,$0,$13,$0,$81,$0,$86,$100,$7,$0,$1,$1,$-1,$-1,$2,$1,$6,$13,$-3,$0,$0,$0,$0,$0,$0,$-3,$0,$0,$0,$0,$0,$-4,$0,$-4,$7,$0,$-4
