,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,7.4,$2.19,3.38,$17.04,0.43,$0.99,7.45,$0.08,92.5,$0.08B,$0.06B,1.31,$0.04B,$0.04B,0.95,$0.33B,$0.09B,26.07%,$0.33B,$0.01B,2.15%,$0.33B,$0.01B,2.15%,$0.33B,$0.02B,5.83%,$0.33B,$0.00B,1.23%,$0.33B,$0.00B,0.31%,$0.00B,$0.04B,2.40%,$0.00B,$-0.01B,-15.38%,$0.00B,$0.15B,0.61%,$0.01B,$0.08B,8.70%,$78,$58,$20,$0,$19,$77,$1,$-1,$0,$1,$-1,$-1,$-1,$3,$1,$19,19,$-0.04,$-0.04,$14,$5,$0,$81,$22,$0,$47,$4,$73,$154,$62,$40,$2,$50,$112,$0,$-111,$-1,$42,$154,$-2,$9,$3,$12,$19,$-0,$-22,$3,$0,$10,$-4,$0,$0,$0,$0,$0,$0,$-4,$-7,$0,$-7,$0,$0,$0,$-4,$-11,$-5,$3,$0
1,2018-06-30,9.72,$2.19,4.43,$17.08,0.57,$0.52,18.58,$0.11,88.36,$0.08B,$0.06B,1.3,$0.04B,$0.04B,0.96,$0.33B,$0.08B,25.85%,$0.33B,$0.01B,2.15%,$0.33B,$0.01B,2.15%,$0.33B,$0.02B,6.46%,$0.33B,$0.00B,1.23%,$0.33B,$0.00B,0.62%,$0.00B,$0.04B,4.94%,$0.00B,$-0.01B,-23.53%,$0.00B,$0.16B,1.20%,$0.01B,$0.08B,8.70%,$77,$57,$20,$0,$20,$77,$1,$-1,$-0,$1,$-1,$-1,$-1,$4,$1,$19,19,$-0.03,$-0.03,$14,$6,$0,$84,$22,$0,$48,$4,$73,$157,$64,$40,$2,$51,$115,$0,$-110,$-1,$42,$157,$-1,$6,$2,$8,$18,$-0,$-23,$1,$-4,$3,$-2,$0,$0,$0,$0,$0,$0,$-2,$-2,$0,$-2,$0,$0,$0,$-4,$-6,$-5,$2,$0
2,2018-03-31,8.74,$2.18,4.01,$17.20,0.51,$0.56,15.71,$-0.00,0.0,$0.09B,$0.07B,1.18,$0.04B,$0.04B,0.88,$0.33B,$0.08B,25.46%,$0.33B,$0.00B,1.23%,$0.33B,$0.00B,1.23%,$0.33B,$0.02B,5.83%,$0.33B,$0.00B,0.61%,$0.33B,0,0.00%,$0.00B,$0.04B,0.00%,$0.00B,$-0.01B,0.00%,$0.00B,$0.16B,0.00%,$0.00B,$0.08B,4.98%,$78,$57,$21,$0,$21,$78,$1,$-1,$0,$1,$-1,$-1,$-1,$4,$1,$19,19,$-0.04,$-0.04,$17,$7,$0,$85,$23,$0,$49,$4,$76,$161,$72,$37,$2,$47,$119,$0,$-110,$1,$42,$161,$-1,$3,$1,$4,$22,$-1,$-18,$0,$3,$6,$-1,$0,$0,$0,$0,$0,$0,$-1,$-8,$0,$-8,$0,$0,$0,$-0,$-8,$-2,$1,$0
3,2017-12-31,7.43,$2.17,3.42,$17.31,0.43,$0.25,30.0,$-0.22,0.0,$0.11B,$0.10B,1.14,$0.04B,$0.04B,0.92,$0.33B,$0.08B,24.46%,$0.33B,0,0.00%,$0.33B,0,0.00%,$0.33B,$0.02B,4.89%,$0.33B,$-0.00B,-0.61%,$0.33B,$-0.00B,-1.22%,$-0.00B,$0.04B,-10.67%,$-0.00B,$-0.01B,30.77%,$-0.00B,$0.19B,-2.24%,$0.00B,$0.08B,0.00%,$93,$69,$24,$0,$19,$88,$4,$-1,$4,$0,$4,$4,$4,$8,$4,$19,19,$0.20,$0.20,$19,$5,$0,$109,$24,$0,$49,$4,$77,$186,$95,$38,$2,$50,$144,$0,$-109,$0,$41,$186,$-4,$15,$3,$18,$11,$1,$-17,$2,$-3,$11,$-5,$0,$0,$0,$0,$0,$0,$-5,$-13,$0,$-13,$1,$1,$0,$-2,$-15,$-5,$3,$0
4,2017-09-30,8.35,$1.96,4.26,$17.94,0.47,$0.15,54.97,$-0.60,0.0,$0.09B,$0.07B,1.2,$0.05B,$0.04B,1.19,$0.34B,$0.08B,22.92%,$0.34B,$-0.01B,-1.79%,$0.34B,$-0.01B,-1.79%,$0.34B,$0.01B,3.27%,$0.34B,$-0.01B,-2.38%,$0.34B,$-0.01B,-3.57%,$-0.01B,$0.04B,-32.21%,$-0.01B,$-0.01B,84.21%,$-0.01B,$0.17B,-6.50%,$-0.01B,$0.08B,-7.08%,$77,$58,$19,$0,$18,$76,$1,$-1,$0,$0,$-0,$-0,$-0,$5,$1,$19,19,$-0.01,$-0.01,$13,$5,$0,$85,$26,$0,$51,$4,$80,$165,$71,$45,$3,$57,$128,$0,$-113,$0,$37,$165,$-8,$11,$3,$14,$25,$1,$-36,$4,$-5,$1,$-4,$0,$0,$0,$0,$0,$0,$-4,$-10,$0,$-10,$1,$1,$0,$-2,$-11,$-12,$3,$0
5,2017-06-30,8.26,$1.90,4.36,$18.14,0.46,$-0.25,0.0,$-0.65,0.0,$0.10B,$0.09B,1.13,$0.05B,$0.04B,1.28,$0.34B,$0.08B,22.42%,$0.34B,$-0.01B,-2.06%,$0.34B,$-0.01B,-2.06%,$0.34B,$0.01B,2.95%,$0.34B,$-0.01B,-2.65%,$0.34B,$-0.01B,-3.83%,$-0.01B,$0.04B,-33.33%,$-0.01B,$-0.02B,96.30%,$-0.01B,$0.18B,-6.88%,$-0.01B,$0.08B,-7.87%,$78,$59,$19,$0,$21,$80,$-2,$-1,$-2,$0,$-3,$-3,$-3,$2,$-2,$19,19,$-0.14,$-0.14,$19,$8,$0,$99,$27,$0,$51,$4,$82,$181,$88,$46,$2,$58,$145,$0,$-113,$0,$36,$181,$-7,$8,$2,$10,$20,$-1,$-21,$3,$1,$3,$-2,$0,$0,$0,$0,$0,$0,$-2,$-7,$0,$-7,$0,$0,$0,$-2,$-9,$-5,$2,$0
6,2017-03-31,6.53,$1.91,3.41,$18.15,0.36,$-0.51,0.0,$-0.63,0.0,$0.10B,$0.09B,1.14,$0.05B,$0.04B,1.29,$0.34B,$0.07B,21.89%,$0.34B,$-0.01B,-1.78%,$0.34B,$-0.01B,-1.78%,$0.34B,$0.01B,2.96%,$0.34B,$-0.01B,-2.66%,$0.34B,$-0.01B,-3.55%,$-0.01B,$0.04B,-29.09%,$-0.01B,$-0.02B,97.96%,$-0.01B,$0.18B,-6.36%,$-0.01B,$0.08B,-6.52%,$79,$60,$18,$0,$22,$82,$-3,$-1,$-4,$1,$-5,$-5,$-5,$1,$-3,$19,19,$-0.26,$-0.26,$16,$8,$0,$97,$28,$0,$52,$4,$84,$181,$85,$46,$5,$60,$145,$0,$-110,$-0,$36,$181,$-5,$4,$1,$5,$20,$-1,$-20,$2,$0,$-0,$-1,$0,$0,$0,$0,$0,$0,$-1,$-8,$0,$-8,$0,$0,$0,$0,$-8,$-9,$1,$0
7,2016-12-31,8.5,$2.15,3.95,$18.04,0.47,$-1.00,0.0,$-0.41,0.0,$0.13B,$0.11B,1.17,$0.05B,$0.04B,1.3,$0.33B,$0.07B,22.16%,$0.33B,$-0.00B,-0.90%,$0.33B,$-0.00B,-0.90%,$0.33B,$0.01B,3.89%,$0.33B,$-0.01B,-1.50%,$0.33B,$-0.01B,-2.40%,$-0.01B,$0.04B,-18.50%,$-0.01B,$-0.01B,86.49%,$-0.01B,$0.21B,-4.30%,$-0.00B,$0.09B,-3.32%,$102,$82,$21,$0,$22,$104,$-2,$-1,$-2,$1,$-4,$-4,$-4,$3,$-2,$19,19,$-0.19,$-0.19,$25,$7,$0,$126,$30,$0,$53,$2,$86,$211,$107,$52,$3,$64,$171,$0,$-105,$-1,$40,$211,$-8,$16,$3,$19,$-9,$3,$7,$1,$2,$13,$-9,$0,$-8,$0,$0,$0,$0,$-17,$16,$0,$16,$1,$1,$0,$-11,$7,$3,$2,$0
8,2016-09-30,8.93,$2.34,3.81,$17.63,0.51,$-0.21,0.0,$-0.25,0.0,$0.10B,$0.08B,1.3,$0.06B,$0.04B,1.25,$0.32B,$0.07B,22.67%,$0.32B,0,0.00%,$0.32B,0,0.00%,$0.32B,$0.02B,4.66%,$0.32B,$-0.00B,-0.93%,$0.32B,$-0.01B,-1.55%,$-0.01B,$0.04B,-11.30%,$-0.01B,$-0.01B,68.97%,$-0.01B,$0.18B,-2.76%,$0.00B,$0.10B,0.00%,$80,$62,$18,$0,$18,$80,$-0,$-1,$-1,$0,$-1,$-1,$-1,$4,$-0,$19,19,$-0.06,$-0.06,$16,$7,$0,$98,$29,$0,$54,$2,$85,$183,$75,$55,$0,$64,$139,$0,$-102,$1,$44,$183,$-4,$11,$-1,$11,$8,$2,$-24,$6,$-9,$-2,$-8,$0,$-8,$0,$0,$0,$0,$-16,$21,$0,$21,$1,$1,$0,$-11,$11,$-6,$2,$0
9,2016-06-30,9.5,$2.38,3.99,$17.35,0.55,$0.59,16.19,$-0.40,0.0,$0.10B,$0.08B,1.27,$0.05B,$0.05B,1.12,$0.31B,$0.07B,22.68%,$0.31B,$-0.00B,-0.96%,$0.31B,$-0.00B,-0.96%,$0.31B,$0.01B,3.83%,$0.31B,$-0.01B,-1.60%,$0.31B,$-0.01B,-2.56%,$-0.01B,$0.05B,-18.08%,$-0.01B,$-0.01B,110.34%,$-0.01B,$0.18B,-4.52%,$-0.00B,$0.09B,-3.72%,$77,$60,$17,$0,$19,$79,$-1,$-1,$-2,$0,$-2,$-2,$-2,$2,$-1,$19,19,$-0.12,$-0.12,$17,$8,$0,$96,$27,$0,$55,$2,$84,$180,$76,$50,$1,$60,$136,$0,$-101,$1,$45,$180,$-3,$7,$-0,$7,$12,$1,$-20,$6,$-1,$3,$-7,$0,$-8,$0,$0,$0,$0,$-15,$16,$0,$16,$1,$1,$0,$-11,$6,$-5,$1,$0
