,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,5.6,$0.93,6.03,$0.87,6.46,$2.51,2.23,$-0.11,0.0,$0.15B,$0.04B,3.62,$0.00B,$0.05B,0.0,$0.04B,$0.04B,100.00%,$0.04B,$-0.01B,-28.57%,$0.04B,$-0.01B,-28.57%,$0.04B,$-0.01B,-26.19%,$0.04B,$-0.01B,-16.67%,$0.04B,$-0.01B,-19.05%,$-0.01B,$0.05B,-19.05%,$-0.01B,$0.05B,-19.05%,$-0.01B,$0.15B,-5.41%,$-0.01B,$0.05B,-28.57%,$8,$0,$8,$11,$5,$16,$-8,$2,$-6,$0,$-6,$-6,$-6,$-8,$-8,$54,54,$-0.11,$-0.11,$137,$0,$0,$147,$5,$0,$0,$0,$5,$152,$41,$0,$0,$61,$101,$0,$-135,$0,$50,$152,$-15,$0,$3,$4,$0,$0,$0,$19,$19,$8,$-1,$0,$0,$0,$-3,$-3,$0,$-4,$0,$0,$0,$49,$49,$0,$0,$49,$52,$4,$0
1,2018-06-30,5.07,$1.02,4.95,$0.80,6.33,$3.58,1.42,$-0.16,0.0,$0.16B,$0.05B,2.99,$0.00B,$0.06B,0.0,$0.04B,$0.04B,100.00%,$0.04B,$-0.01B,-23.68%,$0.04B,$-0.01B,-23.68%,$0.04B,$-0.01B,-21.05%,$0.04B,$-0.01B,-21.05%,$0.04B,$-0.01B,-23.68%,$-0.01B,$0.06B,-29.27%,$-0.01B,$0.06B,-29.27%,$-0.01B,$0.16B,-6.69%,$-0.01B,$0.06B,-29.27%,$12,$0,$12,$9,$5,$14,$-2,$2,$-0,$-0,$-0,$-0,$-0,$-2,$-2,$54,54,$-0.00,$-0.00,$151,$0,$0,$157,$5,$1,$0,$0,$5,$162,$52,$0,$0,$54,$107,$0,$-129,$0,$55,$162,$-9,$0,$2,$3,$0,$0,$0,$29,$29,$22,$10,$0,$0,$0,$-67,$-67,$0,$-57,$0,$0,$0,$47,$48,$0,$0,$48,$13,$2,$0
2,2018-03-31,6.82,$0.94,7.26,$0.63,10.87,$3.40,2.0,$-0.39,0.0,$0.17B,$0.06B,3.03,$0.00B,$0.05B,0.0,$0.03B,$0.03B,100.00%,$0.03B,$-0.02B,-53.57%,$0.03B,$-0.02B,-53.57%,$0.03B,$-0.01B,-50.00%,$0.03B,$-0.02B,-60.71%,$0.03B,$-0.02B,-67.86%,$-0.02B,$0.05B,-98.70%,$-0.02B,$0.05B,-98.70%,$-0.02B,$0.17B,-15.77%,$-0.02B,$0.05B,-77.92%,$4,$0,$4,$8,$4,$12,$-8,$-1,$-9,$0,$-9,$-9,$-9,$-8,$-8,$50,50,$-0.17,$-0.17,$160,$0,$0,$166,$4,$3,$0,$0,$7,$173,$55,$0,$0,$68,$123,$0,$-129,$0,$51,$173,$-9,$0,$1,$1,$0,$0,$0,$39,$39,$31,$3,$0,$0,$0,$-11,$-11,$0,$-8,$0,$0,$0,$48,$48,$0,$0,$48,$72,$1,$0
3,2017-12-31,7.55,$0.26,29.5,$0.58,13.12,$3.31,2.28,$-0.41,0.0,$0.09B,$0.05B,1.96,$0.00B,$0.01B,0.0,$0.03B,$0.03B,100.00%,$0.03B,$-0.02B,-60.00%,$0.03B,$-0.02B,-60.00%,$0.03B,$-0.01B,-56.00%,$0.03B,$-0.02B,-64.00%,$0.03B,$-0.02B,-72.00%,$-0.02B,$0.01B,-163.64%,$-0.02B,$0.01B,-163.64%,$-0.02B,$0.10B,-19.41%,$-0.02B,$0.01B,-136.36%,$18,$0,$18,$5,$6,$12,$6,$1,$8,$0,$7,$7,$7,$7,$6,$44,44,$0.18,$0.18,$73,$0,$0,$90,$4,$10,$0,$0,$14,$104,$46,$0,$0,$47,$92,$0,$-120,$0,$12,$104,$-18,$0,$3,$4,$-14,$0,$-0,$76,$64,$50,$-2,$0,$0,$0,$-44,$-44,$0,$-46,$0,$0,$0,$4,$4,$0,$0,$4,$9,$3,$0
4,2017-09-30,5.76,$0.10,56.47,$0.23,25.3,$1.86,3.09,$-0.74,0.0,$0.10B,$0.04B,2.44,$0.00B,$0.01B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$-0.03B,-270.00%,$0.01B,$-0.03B,-270.00%,$0.01B,$-0.03B,-270.00%,$0.01B,$-0.03B,-300.00%,$0.01B,$-0.03B,-320.00%,$-0.03B,$0.01B,-224.56%,$-0.03B,$0.01B,-224.56%,$-0.03B,$0.10B,-42.38%,$-0.03B,$0.01B,-189.47%,$4,$0,$4,$6,$3,$9,$-5,$-2,$-7,$0,$-7,$-7,$-7,$-5,$-5,$44,44,$-0.16,$-0.16,$90,$0,$0,$95,$3,$0,$0,$0,$4,$99,$39,$0,$0,$55,$94,$0,$-128,$0,$5,$99,$-25,$0,$2,$2,$0,$0,$0,$77,$77,$54,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$3,$3,$0,$0,$3,$61,$2,$0
5,2017-06-30,5.06,$0.21,23.77,$0.16,32.13,$0.47,10.66,$-0.72,0.0,$0.10B,$0.04B,2.87,$0.00B,$0.01B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$-0.03B,-400.00%,$0.01B,$-0.03B,-400.00%,$0.01B,$-0.03B,-400.00%,$0.01B,$-0.03B,-414.29%,$0.01B,$-0.03B,-442.86%,$-0.03B,$0.01B,-149.40%,$-0.03B,$0.01B,-149.40%,$-0.03B,$0.11B,-50.20%,$-0.03B,$0.01B,-134.94%,$2,$0,$2,$5,$4,$10,$-8,$-1,$-9,$1,$-10,$-10,$-10,$-8,$-8,$43,43,$-0.23,$-0.23,$50,$0,$0,$103,$3,$0,$0,$0,$3,$106,$36,$0,$0,$61,$97,$0,$-121,$0,$9,$106,$-18,$0,$1,$2,$0,$0,$0,$36,$36,$19,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$1,$1,$0,$0,$1,$21,$1,$0
6,2017-03-31,2.6,$0.42,6.21,$0.14,18.44,$-0.05,0.0,$-0.63,0.0,$0.06B,$0.01B,5.13,$0.00B,$0.02B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$-0.03B,-433.33%,$0.01B,$-0.03B,-433.33%,$0.01B,$-0.03B,-433.33%,$0.01B,$-0.03B,-433.33%,$0.01B,$-0.03B,-450.00%,$-0.03B,$0.02B,-97.30%,$-0.03B,$0.02B,-97.30%,$-0.03B,$0.06B,-57.75%,$-0.03B,$0.02B,-93.69%,$1,$0,$1,$5,$4,$9,$-8,$0,$-8,$0,$-8,$-8,$-8,$-8,$-8,$43,43,$-0.19,$-0.19,$55,$0,$0,$59,$3,$0,$0,$0,$3,$62,$11,$0,$0,$32,$44,$0,$-111,$0,$18,$62,$-8,$0,$1,$1,$0,$0,$0,$33,$33,$26,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$26,$1,$0
7,2016-12-31,1.41,$0.59,2.4,$0.14,9.96,$-0.60,0.0,$-0.54,0.0,$0.03B,$0.01B,3.9,$0.00B,$0.03B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$-0.02B,-366.67%,$0.01B,$-0.02B,-366.67%,$0.01B,$-0.02B,-366.67%,$0.01B,$-0.02B,-366.67%,$0.01B,$-0.02B,-383.33%,$-0.02B,$0.03B,-76.67%,$-0.02B,$0.03B,-76.67%,$-0.02B,$0.04B,-56.79%,$-0.02B,$0.03B,-73.33%,$3,$0,$3,$7,$2,$9,$-6,$0,$-6,$0,$-7,$-7,$-7,$-6,$-6,$42,42,$-0.17,$-0.17,$29,$0,$0,$33,$2,$0,$0,$0,$2,$35,$8,$0,$0,$1,$10,$0,$-103,$0,$25,$35,$-23,$0,$2,$2,$-0,$0,$1,$3,$6,$-14,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$15,$15,$0,$0,$15,$0,$2,$0
8,2016-09-30,1.83,$0.73,2.5,$0.14,13.24,$-0.63,0.0,$-0.45,0.0,$0.04B,$0.01B,4.13,$0.00B,$0.03B,0.0,$0.01B,$0.01B,100.00%,$0.01B,$-0.02B,-380.00%,$0.01B,$-0.02B,-380.00%,$0.01B,$-0.02B,-360.00%,$0.01B,$-0.02B,-380.00%,$0.01B,$-0.02B,-380.00%,$-0.02B,$0.03B,-60.32%,$-0.02B,$0.03B,-60.32%,$-0.02B,$0.04B,-47.20%,$-0.02B,$0.03B,-60.32%,$1,$0,$1,$5,$2,$7,$-6,$-0,$-6,$0,$-6,$-6,$-6,$-6,$-6,$43,43,$-0.14,$-0.14,$37,$0,$0,$41,$2,$0,$0,$0,$3,$44,$10,$0,$0,$2,$12,$0,$-96,$0,$31,$44,$-16,$0,$1,$2,$0,$0,$3,$3,$7,$-8,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$15,$0,$0,$15,$7,$1,$0
9,2016-06-30,1.61,$0.87,1.86,$0.13,12.34,$-0.71,0.0,$-0.41,0.0,$0.04B,$0.01B,6.84,$0.00B,$0.04B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.02B,-425.00%,$0.00B,$-0.02B,-425.00%,$0.00B,$-0.02B,-400.00%,$0.00B,$-0.02B,-425.00%,$0.00B,$-0.02B,-425.00%,$-0.02B,$0.04B,-52.71%,$-0.02B,$0.04B,-52.71%,$-0.02B,$0.05B,-44.44%,$-0.02B,$0.04B,-52.71%,$1,$0,$1,$5,$2,$7,$-6,$-0,$-6,$0,$-6,$-6,$-6,$-6,$-6,$41,41,$-0.14,$-0.14,$40,$0,$0,$44,$2,$0,$0,$0,$3,$46,$6,$0,$0,$3,$9,$0,$-90,$0,$37,$46,$-10,$0,$1,$1,$0,$0,$0,$4,$5,$-4,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$15,$15,$0,$0,$15,$11,$1,$0
