,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,76.35,$55.91,1.37,$59.84,1.28,$75.17,1.02,$-1.30,0.0,$1.04B,$0.62B,1.68,$0.13B,$0.75B,0.17,$0.80B,$0.79B,98.87%,$0.80B,$0.08B,9.55%,$0.80B,$0.08B,9.55%,$0.80B,$0.10B,12.81%,$0.80B,$0.05B,6.66%,$0.80B,$-0.01B,-1.51%,$-0.01B,$0.75B,-1.62%,$-0.01B,$0.65B,-1.88%,$-0.01B,$1.49B,-0.73%,$0.08B,$0.87B,8.79%,$218,$2,$215,$0,$162,$180,$37,$-8,$30,$7,$22,$22,$19,$43,$37,$13,14,$1.45,$1.43,$69,$798,$0,$1041,$31,$152,$97,$69,$452,$1493,$621,$125,$0,$125,$746,$0,$170,$-1,$747,$1493,$38,$18,$30,$48,$-29,$441,$-13,$-124,$275,$360,$-12,$0,$0,$0,$0,$0,$0,$-12,$0,$-240,$-240,$-32,$-32,$-42,$1,$-313,$35,$32,$-42
1,2018-06-30,76.85,$55.29,1.39,$62.28,1.23,$81.51,0.94,$-6.64,0.0,$1.06B,$0.65B,1.62,$0.13B,$0.74B,0.17,$0.82B,$0.81B,98.90%,$0.82B,$-0.04B,-5.13%,$0.82B,$-0.04B,-5.13%,$0.82B,$0.10B,12.21%,$0.82B,$-0.06B,-7.20%,$0.82B,$-0.08B,-9.89%,$-0.08B,$0.74B,-10.80%,$-0.08B,$0.64B,-12.52%,$-0.08B,$1.52B,-4.73%,$-0.04B,$0.86B,-4.80%,$173,$2,$171,$0,$140,$158,$15,$-10,$5,$1,$5,$5,$6,$21,$15,$13,13,$0.43,$0.43,$26,$810,$0,$1056,$27,$156,$99,$78,$459,$1515,$652,$125,$0,$125,$777,$0,$153,$-1,$737,$1515,$15,$12,$22,$33,$-74,$542,$-14,$-209,$244,$293,$-6,$0,$0,$0,$0,$0,$0,$-6,$0,$-238,$-238,$-25,$-25,$-36,$5,$-294,$-8,$19,$-36
2,2018-03-31,82.64,$55.27,1.5,$64.65,1.28,$72.43,1.14,$-6.18,0.0,$1.11B,$0.72B,1.54,$0.13B,$0.74B,0.17,$0.84B,$0.84B,98.93%,$0.84B,$-0.04B,-4.27%,$0.84B,$-0.04B,-4.27%,$0.84B,$0.11B,12.68%,$0.84B,$-0.04B,-5.21%,$0.84B,$-0.08B,-8.89%,$-0.08B,$0.74B,-9.68%,$-0.08B,$0.63B,-11.73%,$-0.08B,$1.58B,-4.12%,$-0.04B,$0.86B,-4.00%,$169,$2,$167,$0,$140,$156,$13,$-5,$8,$-3,$11,$11,$6,$19,$13,$13,13,$0.47,$0.47,$28,$1034,$0,$1108,$25,$170,$102,$77,$470,$1577,$717,$125,$0,$125,$842,$0,$153,$-1,$735,$1577,$11,$6,$15,$20,$99,$271,$14,$-269,$115,$146,$-2,$0,$0,$0,$0,$0,$0,$-2,$0,$-104,$-104,$-17,$-17,$-30,$-1,$-152,$-6,$9,$-30
3,2017-12-31,83.88,$57.41,1.46,$67.54,1.24,$74.14,1.13,$-5.34,0.0,$1.56B,$1.16B,1.35,$0.13B,$0.74B,0.17,$0.88B,$0.87B,98.97%,$0.88B,$-0.03B,-2.85%,$0.88B,$-0.03B,-2.85%,$0.88B,$0.12B,13.58%,$0.88B,$-0.03B,-3.31%,$0.88B,$-0.06B,-7.31%,$-0.06B,$0.74B,-8.04%,$-0.06B,$0.64B,-10.17%,$-0.06B,$2.03B,-3.28%,$-0.03B,$0.87B,-2.68%,$236,$2,$234,$0,$205,$225,$11,$-1,$10,$57,$-47,$-47,$-43,$19,$11,$13,13,$-3.38,$-3.36,$34,$1383,$0,$1563,$25,$176,$105,$55,$462,$2025,$1158,$125,$0,$125,$1283,$0,$176,$-1,$741,$2025,$-60,$144,$36,$180,$99,$-51,$-51,$114,$111,$232,$-8,$0,$0,$0,$0,$0,$0,$-8,$-50,$-129,$-179,$-24,$-24,$-19,$-12,$-233,$-8,$40,$-19
4,2017-09-30,57.49,$60.99,0.94,$66.75,0.86,$59.84,0.96,$-4.71,0.0,$1.23B,$0.83B,1.48,$0.13B,$0.79B,0.16,$0.86B,$0.85B,98.96%,$0.86B,$-0.10B,-11.02%,$0.86B,$-0.10B,-11.02%,$0.86B,$0.13B,15.55%,$0.86B,$-0.10B,-11.37%,$0.86B,$-0.06B,-6.38%,$-0.06B,$0.79B,-6.75%,$-0.06B,$0.68B,-8.93%,$-0.06B,$1.74B,-2.78%,$-0.10B,$0.91B,-9.84%,$241,$2,$238,$0,$191,$322,$-81,$-1,$-82,$-31,$-51,$-51,$-50,$41,$-81,$13,13,$-3.91,$-3.91,$47,$1099,$0,$1227,$24,$180,$108,$55,$513,$1740,$828,$125,$0,$125,$953,$0,$227,$-1,$787,$1740,$-13,$136,$-22,$115,$164,$163,$-16,$8,$319,$421,$-4,$0,$0,$0,$0,$0,$0,$-4,$-50,$-342,$-392,$-23,$-23,$-14,$-12,$-441,$-23,$26,$-14
5,2017-06-30,57.75,$64.84,0.89,$64.54,0.89,$30.62,1.89,$-0.10,0.0,$1.36B,$0.97B,1.4,$0.13B,$0.84B,0.15,$0.82B,$0.81B,99.03%,$0.82B,$0.00B,0.49%,$0.82B,$0.00B,0.49%,$0.82B,$0.12B,14.96%,$0.82B,$0.00B,0.24%,$0.82B,$0.00B,0.49%,$0.00B,$0.84B,0.48%,$0.00B,$0.61B,0.69%,$0.00B,$1.93B,0.19%,$0.00B,$0.96B,0.40%,$198,$2,$196,$0,$158,$177,$21,$-1,$20,$5,$15,$15,$12,$28,$21,$13,13,$0.89,$0.89,$192,$944,$0,$1355,$25,$164,$226,$161,$576,$1931,$972,$125,$0,$125,$1097,$0,$282,$-2,$835,$1931,$38,$15,$21,$36,$26,$152,$1,$-92,$87,$161,$-3,$0,$0,$0,$0,$0,$0,$-3,$-50,$-88,$-138,$-22,$-22,$-9,$-16,$-186,$-27,$13,$-9
6,2017-03-31,61.18,$64.29,0.95,$62.43,0.98,$22.81,2.68,$-0.87,0.0,$1.54B,$1.12B,1.38,$0.18B,$0.82B,0.21,$0.79B,$0.79B,99.12%,$0.79B,$-0.01B,-1.26%,$0.79B,$-0.01B,-1.26%,$0.79B,$0.11B,14.11%,$0.79B,$-0.01B,-1.39%,$0.79B,$-0.01B,-0.76%,$-0.01B,$0.82B,-0.73%,$-0.01B,$0.59B,-1.09%,$-0.01B,$2.11B,-0.28%,$-0.01B,$1.00B,-1.00%,$201,$2,$199,$0,$158,$177,$24,$-1,$23,$-0,$23,$23,$17,$31,$24,$13,13,$1.33,$1.31,$299,$1018,$0,$1535,$25,$160,$230,$163,$578,$2113,$1116,$175,$0,$175,$1291,$0,$273,$-2,$822,$2113,$23,$7,$19,$26,$27,$74,$175,$-162,$115,$164,$-2,$0,$0,$0,$0,$0,$0,$-2,$0,$-122,$-122,$-18,$-18,$-5,$-16,$-161,$2,$5,$-5
7,2016-12-31,69.21,$65.87,1.05,$58.57,1.18,$4.52,15.3,$-2.02,0.0,$1.53B,$1.13B,1.35,$0.18B,$0.82B,0.21,$0.75B,$0.74B,99.06%,$0.75B,$-0.03B,-4.15%,$0.75B,$-0.03B,-4.15%,$0.75B,$0.09B,11.91%,$0.75B,$-0.03B,-4.15%,$0.75B,$-0.02B,-2.81%,$-0.02B,$0.82B,-2.52%,$-0.02B,$0.58B,-3.96%,$-0.02B,$2.13B,-0.97%,$-0.03B,$0.99B,-3.07%,$222,$2,$220,$0,$177,$281,$-59,$0,$-59,$-26,$-33,$-33,$-34,$34,$-59,$13,13,$-2.71,$-2.71,$230,$1059,$0,$1534,$25,$168,$233,$67,$592,$2126,$1134,$175,$0,$175,$1309,$0,$257,$-3,$816,$2126,$-14,$119,$25,$144,$-56,$18,$-15,$-29,$-82,$49,$-11,$0,$-73,$0,$0,$0,$0,$-84,$0,$-27,$-27,$-66,$-66,$0,$-18,$-112,$-149,$56,$0
8,2016-09-30,46.11,$68.35,0.67,$54.88,0.84,$27.53,1.67,$1.86,24.79,$1.58B,$1.20B,1.32,$0.18B,$0.84B,0.21,$0.72B,$0.72B,99.17%,$0.72B,$0.05B,6.93%,$0.72B,$0.05B,6.93%,$0.72B,$0.08B,11.50%,$0.72B,$0.05B,6.93%,$0.72B,$0.03B,3.46%,$0.03B,$0.84B,2.98%,$0.03B,$0.52B,4.71%,$0.03B,$2.21B,1.16%,$0.05B,$1.01B,4.94%,$201,$2,$199,$0,$159,$182,$18,$0,$18,$7,$12,$12,$9,$30,$18,$12,12,$0.70,$0.70,$245,$1080,$0,$1582,$23,$145,$320,$141,$629,$2211,$1197,$175,$0,$175,$1372,$0,$294,$-2,$839,$2211,$20,$27,$45,$72,$-68,$-50,$167,$-97,$-48,$43,$-7,$0,$-71,$0,$0,$0,$0,$-78,$0,$-20,$-20,$-70,$-70,$0,$-11,$-102,$-139,$44,$0
9,2016-06-30,35.99,$66.58,0.54,$49.27,0.73,$45.14,0.8,$1.48,24.32,$1.48B,$1.12B,1.32,$0.18B,$0.83B,0.21,$0.67B,$0.67B,99.11%,$0.67B,$0.04B,5.81%,$0.67B,$0.04B,5.81%,$0.67B,$0.07B,9.69%,$0.67B,$0.04B,5.81%,$0.67B,$0.02B,2.98%,$0.02B,$0.83B,2.39%,$0.02B,$0.50B,3.65%,$0.02B,$2.12B,0.92%,$0.04B,$1.00B,3.90%,$170,$2,$169,$0,$142,$164,$7,$0,$7,$2,$5,$5,$2,$17,$7,$13,13,$0.12,$0.12,$357,$968,$0,$1478,$22,$163,$328,$130,$644,$2121,$1119,$175,$0,$175,$1294,$0,$284,$-1,$827,$2121,$8,$15,$34,$49,$38,$22,$94,$-150,$5,$61,$-4,$0,$-71,$0,$0,$0,$0,$-75,$0,$56,$56,$-62,$-62,$0,$4,$-3,$-18,$26,$0
