,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,1.92,$0.07,29.0,$0.68,2.82,$-0.83,0.0,$-0.37,0.0,$0.12B,$0.12B,1.06,$0.16B,$0.01B,10.93,$0.15B,$-0.00B,-2.01%,$0.15B,$-0.08B,-50.34%,$0.15B,$-0.08B,-50.34%,$0.15B,$-0.06B,-39.60%,$0.15B,$-0.09B,-59.06%,$0.15B,$-0.08B,-56.38%,$-0.08B,$0.01B,-206.13%,$-0.08B,$0.00B,-305.45%,$-0.08B,$0.32B,-28.87%,$-0.08B,$0.17B,-51.11%,$53,$49,$4,$8,$9,$66,$-13,$-5,$-17,$-2,$-16,$-16,$-16,$-8,$-13,$219,219,$-0.07,$-0.07,$30,$53,$0,$124,$13,$0,$13,$169,$195,$319,$117,$157,$1,$188,$305,$2,$-1243,$2,$14,$319,$-61,$14,$4,$18,$-9,$13,$0,$6,$2,$-42,$-3,$-1,$0,$0,$0,$0,$-13,$-18,$117,$0,$117,$-38,$-38,$0,$-25,$53,$-6,$6,$0
1,2018-06-30,2.02,$0.12,16.6,$0.59,3.41,$-1.00,0.0,$-0.48,0.0,$0.12B,$0.11B,1.08,$0.11B,$0.03B,4.16,$0.13B,$-0.03B,-19.85%,$0.13B,$-0.10B,-74.81%,$0.13B,$-0.10B,-74.81%,$0.13B,$-0.09B,-64.89%,$0.13B,$-0.11B,-85.50%,$0.13B,$-0.11B,-83.21%,$-0.11B,$0.03B,-184.75%,$-0.11B,$0.01B,-238.25%,$-0.11B,$0.28B,-38.89%,$-0.10B,$0.14B,-70.63%,$36,$38,$-2,$8,$12,$59,$-23,$-6,$-29,$-3,$-26,$-26,$-26,$-18,$-23,$214,214,$-0.12,$-0.12,$28,$42,$0,$118,$12,$96,$13,$38,$158,$276,$110,$109,$3,$140,$250,$2,$-1224,$2,$26,$276,$-46,$9,$3,$11,$-16,$6,$0,$6,$-11,$-45,$-2,$-1,$0,$0,$0,$0,$-13,$-16,$110,$0,$110,$-43,$-43,$0,$-18,$49,$-13,$4,$0
2,2018-03-31,1.89,$0.23,8.18,$0.52,3.65,$-1.05,0.0,$-0.55,0.0,$0.15B,$0.11B,1.28,$0.11B,$0.05B,2.15,$0.12B,$-0.03B,-24.14%,$0.12B,$-0.10B,-88.79%,$0.12B,$-0.10B,-88.79%,$0.12B,$-0.09B,-80.17%,$0.12B,$-0.13B,-108.62%,$0.12B,$-0.13B,-108.62%,$-0.13B,$0.05B,-163.64%,$-0.13B,$0.04B,-197.65%,$-0.13B,$0.30B,-46.93%,$-0.10B,$0.16B,-73.70%,$27,$31,$-4,$9,$8,$48,$-21,$-2,$-23,$-3,$-20,$-20,$-20,$-18,$-21,$227,227,$-0.09,$-0.09,$61,$47,$0,$146,$11,$0,$13,$129,$153,$298,$113,$107,$3,$135,$249,$2,$-1198,$3,$49,$298,$-20,$3,$-0,$3,$-8,$1,$0,$1,$-7,$-24,$-1,$0,$0,$0,$0,$0,$-3,$-4,$91,$0,$91,$-43,$-43,$0,$1,$49,$21,$2,$0
3,2017-12-31,2.36,$0.32,7.32,$0.48,4.94,$-1.06,0.0,$-0.59,0.0,$0.12B,$0.12B,1.03,$0.05B,$0.07B,0.69,$0.10B,$-0.03B,-26.92%,$0.10B,$-0.10B,-98.08%,$0.10B,$-0.10B,-98.08%,$0.10B,$-0.09B,-88.46%,$0.10B,$-0.13B,-122.12%,$0.10B,$-0.13B,-125.00%,$-0.13B,$0.07B,-162.50%,$-0.13B,$0.06B,-194.76%,$-0.13B,$0.27B,-52.68%,$-0.10B,$0.12B,-80.47%,$33,$33,$-1,$9,$8,$50,$-18,$-2,$-19,$0,$-19,$-19,$-22,$-15,$-18,$216,216,$-0.10,$-0.10,$39,$49,$0,$120,$10,$0,$13,$128,$151,$271,$116,$50,$4,$81,$197,$2,$-1179,$2,$74,$271,$-127,$11,$61,$71,$-3,$-19,$0,$6,$-4,$-60,$-4,$0,$0,$0,$0,$0,$-40,$-44,$8,$0,$8,$41,$37,$0,$38,$83,$-21,$9,$0
4,2017-09-30,2.61,$0.38,6.85,$0.51,5.14,$-0.94,0.0,$-0.61,0.0,$0.13B,$0.10B,1.29,$0.05B,$0.09B,0.62,$0.10B,$-0.02B,-23.08%,$0.10B,$-0.10B,-92.31%,$0.10B,$-0.10B,-92.31%,$0.10B,$-0.09B,-82.69%,$0.10B,$-0.13B,-122.12%,$0.10B,$-0.13B,-122.12%,$-0.13B,$0.09B,-153.47%,$-0.13B,$0.07B,-181.43%,$-0.13B,$0.28B,-53.08%,$-0.10B,$0.14B,-73.99%,$35,$54,$-19,$7,$10,$71,$-36,$-5,$-41,$0,$-41,$-41,$-41,$-34,$-36,$226,226,$-0.18,$-0.18,$23,$45,$0,$133,$9,$0,$13,$121,$143,$276,$103,$53,$6,$86,$189,$2,$-1159,$2,$87,$276,$-108,$8,$58,$66,$-41,$-15,$0,$10,$-40,$-81,$-2,$0,$0,$0,$0,$0,$-26,$-28,$42,$0,$42,$38,$35,$0,$-12,$65,$-44,$7,$0
5,2017-06-30,2.04,$0.44,4.66,$0.45,4.52,$-0.75,0.0,$-0.50,0.0,$0.09B,$0.07B,1.31,$0.04B,$0.10B,0.41,$0.09B,$-0.01B,-5.75%,$0.09B,$-0.07B,-83.91%,$0.09B,$-0.07B,-83.91%,$0.09B,$-0.06B,-73.56%,$0.09B,$-0.10B,-113.79%,$0.09B,$-0.10B,-113.79%,$-0.10B,$0.10B,-117.16%,$-0.10B,$0.09B,-138.46%,$-0.10B,$0.23B,-43.76%,$-0.07B,$0.14B,-54.99%,$21,$24,$-4,$7,$18,$49,$-28,$-15,$-43,$0,$-43,$-43,$-43,$-26,$-28,$220,220,$-0.19,$-0.19,$17,$43,$0,$88,$8,$0,$13,$119,$141,$229,$67,$41,$4,$63,$130,$2,$-1118,$1,$98,$229,$-67,$5,$28,$33,$-3,$-13,$0,$-1,$-24,$-58,$-1,$0,$0,$0,$0,$0,$-19,$-21,$3,$0,$3,$37,$34,$0,$-4,$32,$-47,$5,$0
6,2017-03-31,1.38,$0.32,4.35,$0.47,2.93,$-0.59,0.0,$-0.38,0.0,$0.08B,$0.07B,1.16,$0.04B,$0.06B,0.71,$0.09B,$-0.00B,-1.16%,$0.09B,$-0.06B,-67.44%,$0.09B,$-0.06B,-67.44%,$0.09B,$-0.05B,-58.14%,$0.09B,$-0.07B,-80.23%,$0.09B,$-0.07B,-80.23%,$-0.07B,$0.06B,-80.00%,$-0.07B,$0.05B,-94.20%,$-0.07B,$0.21B,-30.36%,$-0.06B,$0.10B,-41.73%,$15,$20,$-4,$6,$9,$35,$-20,$-4,$-24,$0,$-24,$-24,$-24,$-17,$-20,$191,191,$-0.13,$-0.13,$27,$34,$0,$78,$8,$0,$12,$113,$133,$211,$67,$43,$14,$83,$150,$2,$-1079,$0,$61,$211,$-24,$2,$5,$7,$5,$-4,$0,$0,$-7,$-24,$-0,$0,$0,$0,$0,$0,$-9,$-10,$-0,$0,$-0,$0,$-4,$0,$2,$-2,$-35,$2,$0
7,2016-12-31,1.2,$0.45,2.7,$0.48,2.52,$-0.51,0.0,$-0.32,0.0,$0.11B,$0.07B,1.67,$0.05B,$0.09B,0.6,$0.09B,$0.00B,3.49%,$0.09B,$-0.05B,-59.30%,$0.09B,$-0.05B,-59.30%,$0.09B,$-0.05B,-52.33%,$0.09B,$-0.06B,-66.28%,$0.09B,$-0.06B,-66.28%,$-0.06B,$0.09B,-57.00%,$-0.06B,$0.07B,-65.52%,$-0.06B,$0.24B,-24.78%,$-0.05B,$0.14B,-35.05%,$33,$30,$3,$6,$9,$45,$-12,$-7,$-19,$0,$-19,$-19,$-19,$-9,$-12,$181,181,$-0.11,$-0.11,$57,$30,$0,$111,$8,$54,$12,$55,$130,$241,$66,$51,$12,$89,$156,$2,$-1051,$0,$85,$241,$-57,$7,$4,$11,$11,$3,$0,$-7,$17,$-30,$-3,$0,$0,$0,$0,$0,$-55,$-58,$22,$-1,$21,$12,$28,$0,$21,$70,$-18,$9,$0
8,2016-09-30,1.71,$0.52,3.3,$0.51,3.33,$-0.62,0.0,$-0.35,0.0,$0.11B,$0.06B,1.89,$0.06B,$0.09B,0.63,$0.09B,$-0.01B,-9.89%,$0.09B,$-0.06B,-69.23%,$0.09B,$-0.06B,-69.23%,$0.09B,$-0.06B,-64.84%,$0.09B,$-0.06B,-69.23%,$0.09B,$-0.06B,-69.23%,$-0.06B,$0.09B,-57.27%,$-0.06B,$0.08B,-65.12%,$-0.06B,$0.22B,-28.38%,$-0.06B,$0.15B,-43.00%,$18,$17,$0,$5,$9,$31,$-13,$-0,$-13,$0,$-13,$-13,$-13,$-12,$-13,$180,180,$-0.07,$-0.07,$48,$36,$0,$107,$8,$0,$13,$95,$117,$224,$56,$59,$2,$74,$130,$2,$-1032,$1,$94,$224,$-38,$4,$1,$5,$11,$-3,$0,$-11,$4,$-30,$-2,$0,$0,$0,$0,$0,$-43,$-45,$23,$-1,$22,$0,$0,$0,$31,$53,$-21,$7,$0
9,2016-06-30,1.86,$0.58,3.2,$0.59,3.13,$-0.67,0.0,$-0.34,0.0,$0.13B,$0.05B,2.57,$0.06B,$0.11B,0.57,$0.10B,$-0.01B,-8.65%,$0.10B,$-0.06B,-59.62%,$0.10B,$-0.06B,-59.62%,$0.10B,$-0.06B,-56.73%,$0.10B,$-0.06B,-57.69%,$0.10B,$-0.06B,-57.69%,$-0.06B,$0.11B,-48.48%,$-0.06B,$0.09B,-54.30%,$-0.06B,$0.23B,-27.62%,$-0.06B,$0.16B,-41.89%,$20,$20,$0,$5,$9,$34,$-13,$0,$-13,$0,$-13,$-13,$-13,$-12,$-13,$180,180,$-0.07,$-0.07,$70,$35,$0,$128,$9,$0,$13,$83,$106,$233,$50,$59,$6,$79,$129,$2,$-1019,$1,$105,$233,$-25,$2,$1,$3,$10,$-2,$0,$-8,$6,$-16,$-3,$0,$0,$0,$0,$0,$-26,$-29,$24,$-1,$23,$0,$0,$0,$24,$47,$2,$4,$0
