,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,9.35,$6.22,1.5,$2.74,3.42,$1.32,7.1,$0.91,10.27,$1.25B,$1.12B,1.12,$0.06B,$0.13B,0.45,$0.06B,$0.05B,81.25%,$0.06B,$0.01B,21.88%,$0.06B,0,0.00%,$0.06B,0,0.00%,$0.06B,$0.01B,21.88%,$0.06B,$0.03B,39.06%,$0.03B,$0.14B,20.12%,$0.03B,$0.14B,20.12%,$0.03B,$1.32B,1.89%,$0.01B,$0.19B,7.78%,$16,$4,$13,$0,$9,$13,$4,$0,$4,$-0,$4,$4,$4,$0,$0,$23,24,$0.17,$0.17,$178,$0,$0,$1253,$1,$39,$0,$15,$67,$1320,$1117,$58,$9,$66,$1184,$143,$-14,$-2,$136,$1320,$23,$0,$-11,$-10,$-0,$0,$0,$-1,$-2,$11,$-0,$0,$0,$1,$8,$9,$-19,$-11,$-1,$0,$-1,$0,$0,$0,$-22,$-23,$-22,$1,$0
1,2018-06-30,9.75,$5.66,1.72,$2.69,3.63,$1.19,8.21,$1.07,9.11,$1.29B,$1.17B,1.11,$0.05B,$0.13B,0.36,$0.06B,$0.05B,82.54%,$0.06B,$0.01B,22.22%,$0.06B,0,0.00%,$0.06B,0,0.00%,$0.06B,$0.01B,22.22%,$0.06B,$0.03B,39.68%,$0.03B,$0.13B,21.23%,$0.03B,$0.13B,21.23%,$0.03B,$1.36B,1.93%,$0.01B,$0.18B,8.37%,$17,$3,$14,$0,$9,$13,$4,$0,$4,$-11,$15,$15,$15,$0,$0,$23,24,$0.66,$0.65,$238,$0,$0,$1291,$1,$38,$0,$17,$67,$1358,$1168,$48,$10,$57,$1226,$151,$-18,$-1,$132,$1358,$19,$0,$-11,$-10,$-0,$0,$0,$-1,$-1,$8,$-0,$0,$0,$1,$9,$10,$2,$11,$-11,$0,$-11,$0,$0,$0,$28,$18,$37,$0,$0
2,2018-03-31,9.55,$4.99,1.91,$2.55,3.75,$1.02,9.36,$0.53,18.02,$1.24B,$1.11B,1.11,$0.06B,$0.12B,0.5,$0.06B,$0.05B,83.33%,$0.06B,$0.01B,21.67%,$0.06B,0,0.00%,$0.06B,0,0.00%,$0.06B,$0.01B,21.67%,$0.06B,$0.01B,21.67%,$0.01B,$0.12B,11.69%,$0.01B,$0.12B,11.69%,$0.01B,$1.30B,1.03%,$0.01B,$0.18B,8.28%,$16,$3,$13,$0,$10,$12,$4,$0,$4,$0,$4,$4,$4,$0,$0,$23,23,$0.16,$0.16,$187,$0,$0,$1241,$1,$39,$0,$16,$57,$1298,$1114,$58,$9,$67,$1181,$151,$-33,$-1,$116,$1298,$4,$0,$0,$0,$0,$0,$0,$-2,$-2,$2,$-0,$0,$0,$1,$8,$9,$1,$9,$0,$0,$0,$0,$0,$0,$-25,$-25,$-14,$0,$0
3,2017-12-31,8.75,$4.86,1.8,$2.40,3.64,$0.96,9.09,$0.45,19.44,$1.26B,$1.14B,1.1,$0.06B,$0.11B,0.52,$0.06B,$0.05B,84.21%,$0.06B,$0.01B,19.30%,$0.06B,0,0.00%,$0.06B,0,0.00%,$0.06B,$0.01B,19.30%,$0.06B,$0.01B,19.30%,$0.01B,$0.11B,10.19%,$0.01B,$0.11B,10.19%,$0.01B,$1.32B,0.89%,$0.01B,$0.17B,7.68%,$15,$3,$12,$0,$10,$13,$2,$0,$2,$-0,$2,$2,$2,$0,$0,$23,23,$0.10,$0.10,$201,$0,$0,$1258,$1,$48,$0,$15,$64,$1323,$1140,$58,$12,$70,$1210,$151,$-37,$-1,$113,$1323,$10,$0,$1,$1,$-1,$0,$0,$0,$-1,$11,$-0,$0,$0,$1,$4,$5,$-120,$-116,$25,$0,$25,$1,$1,$0,$138,$164,$59,$1,$0
4,2017-09-30,9.15,$4.75,1.92,$2.24,4.09,$0.68,13.39,$0.36,25.42,$1.14B,$1.06B,1.08,$0.03B,$0.11B,0.3,$0.05B,$0.05B,84.91%,$0.05B,$0.01B,16.98%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$0.01B,16.98%,$0.05B,$0.01B,16.98%,$0.01B,$0.11B,8.59%,$0.01B,$0.11B,8.59%,$0.01B,$1.21B,0.76%,$0.01B,$0.14B,6.74%,$15,$2,$13,$0,$9,$11,$4,$0,$4,$0,$4,$4,$4,$0,$0,$23,23,$0.16,$0.16,$111,$0,$0,$1143,$1,$50,$0,$11,$62,$1205,$1055,$33,$7,$40,$1095,$150,$-39,$-1,$110,$1205,$8,$0,$1,$1,$-1,$0,$0,$-0,$-1,$8,$-0,$0,$0,$0,$3,$3,$-96,$-93,$0,$0,$0,$1,$1,$0,$53,$54,$-31,$1,$0
5,2017-06-30,8.8,$4.57,1.92,$2.10,4.18,$0.43,20.37,$-1.13,0.0,$1.15B,$1.07B,1.08,$0.03B,$0.11B,0.31,$0.05B,$0.04B,84.00%,$0.05B,$-0.01B,-10.00%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$-0.01B,-10.00%,$0.05B,$-0.03B,-52.00%,$-0.03B,$0.11B,-25.37%,$-0.03B,$0.11B,-25.37%,$-0.03B,$1.21B,-2.26%,$-0.01B,$0.14B,-3.93%,$14,$2,$12,$0,$9,$11,$3,$0,$3,$0,$3,$3,$3,$0,$0,$23,23,$0.11,$0.11,$120,$0,$0,$1151,$1,$49,$0,$12,$62,$1212,$1067,$33,$7,$40,$1106,$150,$-43,$-1,$106,$1212,$4,$-0,$0,$0,$-0,$0,$0,$-1,$-1,$4,$-0,$0,$0,$0,$3,$3,$-96,$-93,$0,$0,$0,$1,$1,$0,$65,$66,$-23,$0,$0
6,2017-03-31,7.55,$4.44,1.7,$1.99,3.8,$0.30,25.28,$-1.45,0.0,$1.12B,$1.05B,1.06,$0.02B,$0.10B,0.17,$0.05B,$0.04B,82.98%,$0.05B,$-0.02B,-34.04%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$-0.02B,-34.04%,$0.05B,$-0.03B,-72.34%,$-0.03B,$0.10B,-31.26%,$-0.03B,$0.10B,-31.26%,$-0.03B,$1.18B,-3.02%,$-0.02B,$0.12B,-12.10%,$13,$2,$11,$0,$9,$11,$2,$0,$2,$0,$2,$2,$2,$0,$0,$23,23,$0.08,$0.08,$177,$0,$0,$1116,$1,$51,$0,$11,$63,$1180,$1053,$18,$6,$24,$1077,$150,$-45,$-2,$103,$1180,$2,$-0,$0,$0,$-0,$0,$0,$-1,$-1,$1,$-0,$0,$0,$0,$1,$1,$-4,$-4,$-15,$0,$-15,$1,$1,$0,$52,$37,$35,$0,$0
7,2016-12-31,7.3,$4.33,1.68,$1.91,3.82,$0.23,31.53,$-1.52,0.0,$1.08B,$1.00B,1.08,$0.03B,$0.10B,0.33,$0.05B,$0.04B,82.22%,$0.05B,$-0.02B,-40.00%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$-0.02B,-40.00%,$0.05B,$-0.04B,-80.00%,$-0.04B,$0.10B,-30.84%,$-0.04B,$0.10B,-30.84%,$-0.04B,$1.14B,-3.26%,$-0.02B,$0.13B,-12.59%,$11,$1,$9,$0,$9,$11,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$23,23,$0.02,$0.02,$143,$0,$0,$1077,$1,$52,$0,$11,$64,$1141,$1002,$33,$7,$39,$1041,$149,$-47,$-2,$100,$1141,$-35,$0,$38,$39,$-0,$0,$-0,$0,$0,$4,$-1,$0,$0,$1,$8,$9,$-101,$-92,$5,$0,$5,$0,$0,$0,$107,$113,$25,$1,$0
8,2016-09-30,7.37,$4.37,1.69,$1.95,3.79,$0.14,54.59,$-1.00,0.0,$1.01B,$0.95B,1.06,$0.02B,$0.10B,0.17,$0.04B,$0.04B,84.09%,$0.04B,$-0.02B,-38.64%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$-0.02B,-38.64%,$0.04B,$-0.02B,-54.55%,$-0.02B,$0.10B,-19.16%,$-0.02B,$0.10B,-19.16%,$-0.02B,$1.08B,-2.21%,$-0.02B,$0.12B,-11.31%,$12,$1,$10,$0,$20,$22,$-10,$0,$-10,$20,$-31,$-31,$-31,$0,$0,$23,23,$-1.33,$-1.33,$148,$0,$0,$1006,$1,$55,$0,$12,$69,$1075,$950,$18,$7,$24,$975,$148,$-47,$-0,$101,$1075,$-35,$0,$37,$38,$-0,$0,$-0,$-1,$-1,$2,$-1,$0,$0,$1,$6,$7,$-25,$-19,$-10,$0,$-10,$0,$0,$0,$56,$47,$31,$1,$0
9,2016-06-30,7.1,$5.70,1.25,$1.95,3.63,$0.12,60.07,$0.30,23.67,$1.01B,$0.94B,1.08,$0.03B,$0.13B,0.21,$0.04B,$0.04B,85.71%,$0.04B,$-0.01B,-16.67%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$-0.01B,-16.67%,$0.04B,$0.01B,14.29%,$0.01B,$0.13B,4.60%,$0.01B,$0.13B,4.60%,$0.01B,$1.10B,0.55%,$-0.01B,$0.16B,-4.43%,$11,$1,$9,$0,$18,$19,$-8,$0,$-8,$-4,$-5,$-5,$-5,$0,$0,$23,23,$-0.21,$-0.21,$135,$0,$0,$1010,$1,$57,$0,$12,$91,$1101,$937,$28,$6,$33,$970,$148,$-17,$-0,$131,$1101,$-4,$0,$6,$6,$-0,$0,$-0,$-1,$-1,$1,$-0,$0,$0,$1,$4,$5,$-31,$-26,$0,$0,$0,$0,$0,$0,$43,$43,$18,$1,$0
