,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,39.45,$23.20,1.7,$17.81,2.21,$-2.19,0.0,$1.08,36.53,$0.36B,$0.98B,0.37,$2.14B,$1.84B,1.17,$1.43B,$0.89B,62.27%,$1.43B,$0.27B,18.93%,$1.43B,$0.27B,18.93%,$1.43B,$0.55B,38.22%,$1.43B,$0.18B,12.41%,$1.43B,$0.09B,6.10%,$0.09B,$1.85B,4.85%,$0.09B,$1.57B,5.73%,$0.09B,$6.85B,1.29%,$0.27B,$3.99B,6.79%,$423,$145,$278,$0,$70,$295,$128,$-24,$104,$13,$92,$92,$88,$198,$128,$80,80,$1.10,$1.09,$35,$75,$115,$364,$5164,$362,$278,$3,$6485,$6849,$980,$2143,$1083,$4020,$5001,$1151,$722,$-101,$1848,$6849,$153,$207,$18,$225,$-20,$-9,$-33,$-16,$-61,$317,$-365,$0,$0,$0,$39,$39,$-0,$-327,$179,$-43,$137,$-12,$-12,$-64,$-21,$41,$31,$5,$-64
1,2018-06-30,38.64,$22.60,1.71,$17.77,2.17,$-0.80,0.0,$0.91,42.46,$0.33B,$0.96B,0.34,$2.12B,$1.79B,1.19,$1.42B,$0.89B,62.83%,$1.42B,$0.29B,20.17%,$1.42B,$0.29B,20.17%,$1.42B,$0.56B,39.35%,$1.42B,$0.19B,13.63%,$1.42B,$0.07B,5.13%,$0.07B,$1.80B,4.07%,$0.07B,$1.52B,4.81%,$0.07B,$6.75B,1.09%,$0.29B,$3.92B,7.16%,$352,$130,$223,$0,$63,$273,$79,$-32,$48,$5,$42,$42,$38,$149,$79,$80,80,$0.48,$0.48,$5,$75,$130,$331,$5101,$352,$278,$3,$6419,$6750,$962,$2122,$1084,$3988,$4950,$1150,$677,$-104,$1800,$6750,$61,$137,$9,$146,$-17,$-8,$-21,$-22,$-74,$134,$-246,$0,$0,$0,$45,$45,$-0,$-200,$160,$-23,$137,$-11,$-11,$-42,$-16,$67,$1,$3,$-42
2,2018-03-31,37.74,$22.10,1.71,$17.88,2.11,$0.22,169.85,$0.90,41.93,$0.28B,$0.78B,0.35,$2.27B,$1.75B,1.3,$1.43B,$0.90B,62.46%,$1.43B,$0.30B,20.59%,$1.43B,$0.30B,20.59%,$1.43B,$0.56B,39.36%,$1.43B,$0.21B,14.58%,$1.43B,$0.07B,5.09%,$0.07B,$1.76B,4.06%,$0.07B,$1.48B,4.81%,$0.07B,$6.68B,1.10%,$0.30B,$4.03B,7.32%,$318,$128,$190,$0,$68,$272,$46,$-27,$20,$1,$19,$19,$15,$114,$46,$80,80,$0.19,$0.19,$4,$69,$95,$277,$5032,$395,$278,$3,$6399,$6676,$783,$2272,$1087,$4133,$4916,$1151,$639,$-106,$1761,$6676,$19,$68,$2,$69,$18,$-3,$-27,$-11,$-9,$79,$-118,$0,$0,$0,$-2,$-2,$0,$-119,$145,$-67,$78,$-10,$-10,$-21,$-7,$40,$-0,$3,$-21
3,2017-12-31,39.62,$22.26,1.78,$18.03,2.2,$0.92,43.25,$1.00,39.62,$0.29B,$0.84B,0.35,$2.18B,$1.76B,1.24,$1.45B,$0.90B,62.35%,$1.45B,$0.31B,21.25%,$1.45B,$0.31B,21.25%,$1.45B,$0.57B,39.72%,$1.45B,$0.23B,15.64%,$1.45B,$0.08B,5.61%,$0.08B,$1.77B,4.51%,$0.08B,$1.50B,5.33%,$0.08B,$6.65B,1.23%,$0.31B,$3.95B,7.76%,$333,$136,$197,$0,$73,$316,$17,$-12,$5,$55,$-51,$-51,$-54,$84,$17,$80,80,$-0.68,$-0.68,$4,$67,$109,$294,$4980,$397,$278,$4,$6352,$6646,$836,$2181,$1084,$4037,$4873,$1158,$634,$-96,$1773,$6646,$95,$268,$132,$400,$-2,$1,$14,$15,$29,$524,$-500,$0,$0,$0,$34,$34,$0,$-466,$43,$18,$61,$-12,$-12,$-78,$-30,$-59,$-1,$6,$-78
4,2017-09-30,39.25,$23.16,1.69,$18.08,2.17,$-1.69,0.0,$1.99,19.73,$0.38B,$0.71B,0.53,$2.28B,$1.83B,1.25,$1.45B,$0.91B,62.71%,$1.45B,$0.35B,24.45%,$1.45B,$0.35B,24.45%,$1.45B,$0.62B,42.61%,$1.45B,$0.26B,18.16%,$1.45B,$0.16B,11.05%,$0.16B,$1.85B,8.92%,$0.16B,$1.57B,10.56%,$0.16B,$6.70B,2.44%,$0.35B,$4.13B,8.99%,$420,$136,$284,$0,$64,$275,$145,$-24,$121,$43,$78,$78,$74,$213,$145,$80,80,$0.92,$0.92,$43,$68,$132,$375,$5092,$364,$278,$4,$6323,$6697,$711,$2282,$594,$4142,$4853,$1157,$691,$-83,$1845,$6697,$146,$200,$59,$259,$-21,$-0,$4,$8,$11,$416,$-353,$0,$0,$0,$24,$24,$0,$-329,$54,$-21,$33,$-12,$-12,$-58,$-12,$-50,$38,$5,$-58
5,2017-06-30,37.04,$22.69,1.63,$17.84,2.08,$-4.74,0.0,$1.75,21.16,$0.35B,$0.77B,0.46,$2.20B,$1.80B,1.23,$1.43B,$0.88B,61.90%,$1.43B,$0.32B,22.20%,$1.43B,$0.32B,22.20%,$1.43B,$0.57B,40.13%,$1.43B,$0.23B,15.97%,$1.43B,$0.14B,9.80%,$0.14B,$1.81B,7.89%,$0.14B,$1.53B,9.35%,$0.14B,$6.58B,2.16%,$0.32B,$4.01B,8.13%,$362,$139,$224,$0,$62,$275,$87,$-24,$63,$22,$41,$41,$38,$153,$87,$80,80,$0.47,$0.47,$2,$67,$166,$354,$5027,$354,$278,$4,$6231,$6584,$767,$2199,$591,$4011,$4777,$1157,$656,$-86,$1807,$6584,$68,$132,$23,$155,$-12,$1,$-2,$-2,$-22,$201,$-231,$0,$0,$0,$17,$17,$0,$-213,$-20,$86,$66,$-12,$-12,$-39,$-6,$9,$-3,$5,$-39
6,2017-03-31,35.6,$22.18,1.61,$17.25,2.06,$-7.56,0.0,$1.62,21.97,$0.33B,$0.96B,0.34,$1.97B,$1.76B,1.12,$1.38B,$0.86B,61.98%,$1.38B,$0.30B,21.36%,$1.38B,$0.30B,21.36%,$1.38B,$0.54B,39.32%,$1.38B,$0.21B,15.35%,$1.38B,$0.13B,9.34%,$0.13B,$1.77B,7.33%,$0.13B,$1.49B,8.70%,$0.13B,$6.48B,2.01%,$0.30B,$3.74B,7.59%,$330,$135,$196,$0,$65,$272,$58,$-21,$37,$11,$26,$26,$23,$124,$58,$80,80,$0.29,$0.29,$32,$66,$113,$327,$4956,$346,$278,$0,$6151,$6478,$962,$1969,$583,$3749,$4711,$1156,$619,$-88,$1767,$6478,$26,$66,$5,$70,$21,$2,$-4,$4,$35,$132,$-115,$0,$0,$0,$8,$8,$0,$-107,$-9,$16,$7,$-10,$-10,$-19,$-4,$-27,$-2,$3,$-19
7,2016-12-31,32.76,$22.05,1.49,$17.01,1.93,$-10.12,0.0,$1.46,22.44,$0.38B,$0.81B,0.47,$2.12B,$1.75B,1.22,$1.36B,$0.84B,61.38%,$1.36B,$0.28B,20.48%,$1.36B,$0.28B,20.48%,$1.36B,$0.52B,38.11%,$1.36B,$0.20B,14.39%,$1.36B,$0.12B,8.59%,$0.12B,$1.76B,6.69%,$0.12B,$1.48B,7.95%,$0.12B,$6.47B,1.83%,$0.28B,$3.88B,7.13%,$336,$132,$204,$0,$71,$273,$64,$-22,$42,$13,$28,$28,$25,$127,$64,$80,80,$0.32,$0.31,$5,$73,$179,$378,$4905,$334,$278,$0,$6093,$6471,$805,$2119,$583,$3910,$4715,$1164,$605,$-92,$1756,$6471,$132,$242,$65,$307,$3,$-4,$3,$-28,$-23,$415,$-600,$0,$0,$9,$-108,$-99,$0,$-699,$300,$37,$336,$-8,$-8,$-71,$-15,$242,$-42,$6,$-71
8,2016-09-30,31.04,$22.22,1.4,$17.00,1.83,$-9.96,0.0,$0.00,0.0,$0.40B,$0.70B,0.57,$2.21B,$1.76B,1.26,$1.36B,$0.81B,59.47%,$1.36B,$0.10B,7.05%,$1.36B,$0.10B,7.05%,$1.36B,$0.33B,24.23%,$1.36B,$0.02B,1.47%,$1.36B,$0.00B,0.07%,$0.00B,$1.77B,0.06%,$0.00B,$1.49B,0.07%,$0.00B,$6.40B,0.02%,$0.10B,$3.98B,2.48%,$400,$140,$260,$0,$67,$292,$108,$-22,$86,$27,$59,$59,$54,$169,$108,$80,80,$0.68,$0.68,$51,$72,$159,$399,$4844,$341,$278,$1,$6005,$6404,$702,$2207,$588,$3932,$4634,$1163,$599,$-74,$1770,$6404,$103,$178,$58,$236,$-1,$-5,$6,$-40,$-18,$321,$-503,$0,$0,$9,$-111,$-102,$0,$-605,$215,$105,$321,$-8,$-8,$-53,$-14,$245,$-38,$4,$-53
9,2016-06-30,33.4,$21.97,1.52,$17.22,1.94,$-8.64,0.0,$0.08,417.49,$0.41B,$0.70B,0.58,$2.22B,$1.74B,1.28,$1.38B,$0.80B,58.09%,$1.38B,$0.11B,7.98%,$1.38B,$0.11B,7.98%,$1.38B,$0.34B,24.58%,$1.38B,$0.04B,2.54%,$1.38B,$0.01B,0.58%,$0.01B,$1.75B,0.45%,$0.01B,$1.47B,0.54%,$0.01B,$6.36B,0.13%,$0.11B,$3.97B,2.87%,$315,$119,$196,$0,$63,$251,$65,$-18,$47,$16,$31,$31,$27,$123,$65,$80,80,$0.34,$0.34,$5,$69,$236,$409,$4790,$344,$278,$1,$5952,$6360,$703,$2217,$585,$3908,$4611,$1162,$580,$-75,$1750,$6360,$45,$117,$21,$138,$4,$-1,$-4,$-55,$-61,$122,$-379,$0,$0,$9,$-124,$-115,$0,$-494,$231,$151,$382,$-8,$-8,$-35,$-8,$331,$-41,$4,$-35
