,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,37.2,$30.68,1.21,$8.93,4.17,$7.38,5.04,$2.00,18.6,$9.09B,$8.62B,1.06,$0.97B,$1.92B,0.51,$0.43B,$0.39B,89.77%,$0.43B,$0.17B,38.84%,$0.43B,0,0.00%,$0.43B,0,0.00%,$0.43B,$0.15B,33.95%,$0.43B,$0.10B,23.02%,$0.10B,$1.92B,6.94%,$0.10B,$1.00B,12.41%,$0.10B,$11.50B,1.11%,$0.17B,$2.89B,7.96%,$136,$16,$120,$0,$65,$86,$50,$-14,$36,$8,$28,$28,$28,$0,$0,$62,62,$0.46,$0.46,$270,$0,$0,$9086,$66,$1214,$913,$198,$2418,$11504,$8615,$972,$0,$972,$9588,$1,$261,$-17,$1916,$11504,$84,$24,$36,$60,$-11,$0,$0,$0,$9,$152,$-9,$0,$147,$0,$79,$79,$-288,$-72,$-11,$86,$76,$0,$0,$0,$-91,$-15,$66,$6,$0
1,2018-06-30,38.15,$27.63,1.38,$8.68,4.4,$6.02,6.34,$2.04,18.7,$6.43B,$6.39B,1.01,$0.48B,$1.29B,0.38,$0.37B,$0.34B,91.13%,$0.37B,$0.15B,39.78%,$0.37B,0,0.00%,$0.37B,0,0.00%,$0.37B,$0.14B,37.90%,$0.37B,$0.09B,24.46%,$0.09B,$1.29B,7.62%,$0.09B,$0.76B,13.16%,$0.09B,$8.16B,1.18%,$0.15B,$1.77B,8.52%,$101,$12,$89,$0,$49,$62,$38,$-1,$37,$10,$27,$27,$27,$0,$0,$46,47,$0.59,$0.58,$138,$0,$0,$6425,$54,$989,$533,$140,$1733,$8158,$6385,$484,$0,$484,$6870,$0,$232,$-12,$1289,$8158,$55,$10,$9,$19,$11,$0,$0,$0,$32,$107,$-5,$0,$-0,$0,$-127,$-127,$-105,$-238,$-11,$-147,$-157,$0,$0,$0,$222,$65,$-66,$4,$0
2,2018-03-31,40.2,$27.12,1.48,$8.44,4.76,$4.90,8.2,$1.81,22.21,$6.40B,$6.24B,1.03,$0.59B,$1.26B,0.47,$0.35B,$0.32B,92.53%,$0.35B,$0.14B,40.80%,$0.35B,0,0.00%,$0.35B,0,0.00%,$0.35B,$0.13B,36.21%,$0.35B,$0.08B,22.41%,$0.08B,$1.26B,7.02%,$0.08B,$0.73B,12.17%,$0.08B,$8.09B,1.07%,$0.14B,$1.85B,8.59%,$98,$10,$89,$0,$49,$61,$38,$-1,$37,$9,$28,$28,$28,$0,$0,$46,47,$0.61,$0.60,$133,$0,$0,$6400,$53,$970,$535,$115,$1687,$8087,$6236,$589,$0,$589,$6825,$0,$205,$-9,$1262,$8087,$28,$4,$7,$11,$8,$0,$0,$0,$-4,$36,$3,$0,$-0,$0,$-102,$-102,$-61,$-160,$-10,$-42,$-53,$-0,$-0,$0,$106,$53,$-71,$2,$0
3,2017-12-31,40.0,$26.86,1.49,$8.11,4.93,$4.33,9.24,$1.55,25.81,$6.42B,$6.14B,1.05,$0.64B,$1.24B,0.52,$0.30B,$0.28B,93.00%,$0.30B,$0.12B,41.00%,$0.30B,0,0.00%,$0.30B,0,0.00%,$0.30B,$0.10B,34.33%,$0.30B,$0.06B,20.00%,$0.06B,$1.24B,6.57%,$0.06B,$0.71B,10.93%,$0.06B,$8.03B,0.95%,$0.12B,$1.88B,8.76%,$95,$8,$88,$0,$45,$54,$41,$-5,$36,$19,$16,$16,$16,$0,$0,$38,39,$0.37,$0.37,$204,$0,$0,$6422,$53,$872,$536,$129,$1603,$8025,$6141,$641,$0,$641,$6783,$0,$177,$0,$1242,$8025,$60,$20,$167,$187,$-168,$0,$0,$0,$-163,$84,$-4,$0,$226,$0,$27,$27,$-545,$-296,$3,$61,$64,$3,$3,$0,$188,$255,$43,$6,$0
4,2017-09-30,37.75,$24.44,1.54,$7.46,5.06,$4.50,8.39,$1.62,23.3,$5.17B,$5.09B,1.02,$0.46B,$0.98B,0.47,$0.26B,$0.24B,93.33%,$0.26B,$0.10B,40.00%,$0.26B,0,0.00%,$0.26B,0,0.00%,$0.26B,$0.09B,33.73%,$0.26B,$0.06B,21.96%,$0.06B,$0.98B,7.80%,$0.06B,$0.58B,12.19%,$0.06B,$6.53B,1.06%,$0.10B,$1.44B,8.89%,$78,$6,$73,$0,$39,$47,$31,$-1,$31,$11,$20,$20,$20,$0,$0,$40,40,$0.51,$0.50,$126,$0,$0,$5173,$46,$781,$405,$106,$1359,$6532,$5089,$462,$0,$462,$5551,$0,$161,$2,$982,$6532,$44,$14,$8,$22,$-37,$0,$0,$0,$-26,$40,$-2,$0,$77,$-0,$135,$134,$-416,$-207,$0,$-74,$-74,$3,$3,$0,$203,$132,$-35,$4,$0
5,2017-06-30,36.9,$23.96,1.54,$7.26,5.08,$4.99,7.4,$1.45,25.45,$5.09B,$5.00B,1.02,$0.48B,$0.96B,0.5,$0.23B,$0.21B,93.33%,$0.23B,$0.09B,38.22%,$0.23B,0,0.00%,$0.23B,0,0.00%,$0.23B,$0.07B,31.11%,$0.23B,$0.05B,20.00%,$0.05B,$0.96B,7.69%,$0.05B,$0.55B,11.25%,$0.05B,$6.44B,0.98%,$0.09B,$1.44B,9.05%,$77,$5,$72,$0,$39,$46,$32,$-10,$22,$8,$14,$14,$14,$0,$0,$40,40,$0.36,$0.35,$233,$0,$0,$5094,$45,$767,$406,$106,$1346,$6441,$5004,$477,$0,$477,$5481,$0,$141,$3,$960,$6441,$24,$10,$5,$15,$0,$0,$0,$0,$5,$44,$-1,$0,$77,$0,$141,$141,$-264,$-46,$0,$-59,$-59,$3,$3,$0,$131,$75,$72,$3,$0
6,2017-03-31,38.55,$16.88,2.28,$6.96,5.53,$4.89,7.89,$1.47,26.22,$3.49B,$3.32B,1.05,$0.38B,$0.47B,0.81,$0.19B,$0.18B,93.26%,$0.19B,$0.07B,36.79%,$0.19B,0,0.00%,$0.19B,0,0.00%,$0.19B,$0.07B,33.68%,$0.19B,$0.04B,21.24%,$0.04B,$0.47B,9.00%,$0.04B,$0.36B,11.94%,$0.04B,$4.17B,1.05%,$0.07B,$0.85B,9.48%,$50,$4,$46,$0,$27,$31,$19,$-5,$14,$5,$10,$10,$10,$0,$0,$28,28,$0.35,$0.34,$104,$0,$0,$3492,$12,$481,$111,$65,$683,$4174,$3323,$381,$0,$381,$3703,$0,$127,$-2,$471,$4174,$10,$2,$7,$9,$-2,$0,$0,$0,$-10,$8,$-1,$0,$0,$0,$-53,$-53,$-145,$-199,$0,$-17,$-17,$-0,$-0,$0,$152,$135,$-56,$1,$0
7,2016-12-31,35.35,$16.54,2.14,$6.82,5.18,$5.04,7.02,$1.46,24.21,$3.40B,$3.18B,1.07,$0.40B,$0.46B,0.86,$0.19B,$0.17B,93.51%,$0.19B,$0.07B,37.30%,$0.19B,0,0.00%,$0.19B,0,0.00%,$0.19B,$0.07B,35.14%,$0.19B,$0.04B,21.62%,$0.04B,$0.46B,8.99%,$0.04B,$0.35B,12.03%,$0.04B,$4.04B,1.07%,$0.07B,$0.86B,9.97%,$50,$3,$47,$0,$26,$30,$20,$-1,$19,$7,$12,$12,$12,$0,$0,$27,27,$0.44,$0.43,$161,$0,$0,$3402,$12,$427,$112,$67,$634,$4036,$3179,$397,$0,$397,$3577,$0,$117,$-3,$460,$4036,$40,$16,$129,$145,$-117,$0,$0,$0,$-122,$63,$-2,$0,$40,$0,$80,$80,$-549,$-431,$-51,$182,$131,$1,$1,$0,$314,$446,$78,$3,$0
8,2016-09-30,26.46,$16.27,1.63,$6.67,3.97,$3.88,6.82,$1.40,18.9,$3.20B,$3.10B,1.03,$0.21B,$0.45B,0.46,$0.17B,$0.16B,92.98%,$0.17B,$0.06B,36.26%,$0.17B,0,0.00%,$0.17B,0,0.00%,$0.17B,$0.06B,34.50%,$0.17B,$0.04B,21.05%,$0.04B,$0.45B,8.89%,$0.04B,$0.34B,11.77%,$0.04B,$3.76B,1.05%,$0.06B,$0.66B,10.02%,$48,$3,$45,$0,$29,$33,$15,$0,$15,$6,$9,$9,$9,$0,$0,$27,28,$0.34,$0.33,$108,$0,$0,$3197,$11,$352,$112,$62,$557,$3755,$3099,$206,$0,$206,$3305,$0,$105,$1,$450,$3755,$28,$3,$88,$91,$-80,$0,$0,$0,$-79,$40,$-0,$0,$40,$0,$155,$155,$-377,$-182,$-61,$0,$-61,$1,$1,$0,$228,$168,$25,$2,$0
9,2016-06-30,24.0,$15.94,1.51,$6.50,3.69,$3.14,7.64,$1.43,16.78,$3.11B,$2.97B,1.05,$0.19B,$0.44B,0.43,$0.16B,$0.15B,92.36%,$0.16B,$0.06B,38.22%,$0.16B,0,0.00%,$0.16B,0,0.00%,$0.16B,$0.06B,36.31%,$0.16B,$0.04B,22.29%,$0.04B,$0.44B,9.59%,$0.04B,$0.33B,12.53%,$0.04B,$3.60B,1.11%,$0.06B,$0.63B,10.12%,$45,$3,$42,$0,$24,$28,$17,$-0,$17,$6,$10,$10,$10,$0,$0,$27,28,$0.38,$0.37,$189,$0,$0,$3113,$11,$282,$112,$64,$485,$3599,$2967,$191,$0,$191,$3158,$0,$96,$2,$441,$3599,$19,$3,$48,$51,$-43,$0,$0,$0,$-44,$26,$1,$0,$40,$0,$224,$224,$-209,$57,$-76,$0,$-76,$1,$1,$0,$99,$24,$107,$1,$0
