,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,29.26,$16.37,1.79,$11.13,2.63,$-1.72,0.0,$2.11,13.87,$2.55B,$4.38B,0.58,$19.92B,$11.78B,1.69,$7.77B,$6.25B,80.43%,$7.77B,$3.11B,40.03%,$7.77B,$3.11B,40.03%,$7.77B,$4.27B,54.97%,$7.77B,$2.32B,29.79%,$7.77B,$1.49B,19.17%,$1.49B,$11.78B,13.26%,$1.49B,$7.84B,20.51%,$1.49B,$43.04B,3.51%,$3.11B,$31.71B,9.94%,$1872,$355,$1517,$0,$556,$1186,$686,$-138,$548,$103,$445,$445,$445,$983,$686,$704,711,$0.63,$0.62,$842,$295,$563,$2545,$34018,$0,$3942,$397,$40497,$43042,$4383,$19924,$3459,$26876,$31259,$7,$4423,$-3648,$11783,$43042,$1412,$873,$-295,$578,$38,$25,$-55,$79,$155,$2210,$-2344,$0,$0,$0,$-65,$-65,$-57,$-2466,$325,$481,$806,$678,$678,$-846,$-20,$618,$353,$21,$-846
1,2018-06-30,28.55,$16.08,1.78,$11.17,2.55,$-2.11,0.0,$2.00,14.28,$2.60B,$4.45B,0.59,$20.22B,$11.24B,1.8,$7.75B,$6.23B,80.49%,$7.75B,$3.16B,40.81%,$7.75B,$3.16B,40.81%,$7.75B,$4.31B,55.64%,$7.75B,$2.24B,28.90%,$7.75B,$1.40B,18.08%,$1.40B,$11.24B,12.77%,$1.40B,$7.24B,19.92%,$1.40B,$42.83B,3.34%,$3.16B,$31.46B,10.26%,$1848,$337,$1511,$0,$580,$1190,$658,$-1,$657,$142,$515,$515,$515,$944,$658,$699,701,$0.74,$0.73,$852,$288,$593,$2600,$33823,$0,$4002,$377,$40230,$42830,$4448,$20217,$3500,$27142,$31590,$7,$4266,$-3495,$11240,$42830,$967,$576,$-220,$356,$46,$32,$-90,$0,$-63,$1325,$-1527,$0,$0,$0,$-65,$-65,$-57,$-1649,$334,$788,$1122,$147,$147,$-558,$-16,$695,$364,$16,$-558
2,2018-03-31,27.84,$16.03,1.74,$11.05,2.52,$-2.67,0.0,$1.70,16.38,$2.49B,$4.24B,0.59,$20.21B,$11.18B,1.81,$7.62B,$6.13B,80.41%,$7.62B,$3.16B,41.47%,$7.62B,$3.16B,41.47%,$7.62B,$4.29B,56.30%,$7.62B,$1.95B,25.57%,$7.62B,$1.18B,15.44%,$1.18B,$11.18B,10.92%,$1.18B,$7.17B,17.08%,$1.18B,$42.39B,2.86%,$3.16B,$31.39B,10.48%,$2126,$455,$1671,$0,$551,$1275,$851,$-282,$569,$117,$452,$452,$452,$1141,$851,$695,695,$0.65,$0.65,$629,$279,$594,$2490,$33736,$0,$4005,$260,$39898,$42388,$4238,$20214,$3422,$26974,$31212,$7,$4037,$-3279,$11176,$42388,$452,$290,$-44,$246,$-71,$43,$-36,$-90,$-132,$566,$-750,$-7,$0,$0,$0,$0,$4,$-753,$144,$369,$513,$100,$100,$-273,$-9,$331,$142,$15,$-273
3,2017-12-31,30.02,$15.52,1.93,$10.85,2.77,$-3.20,0.0,$1.64,18.3,$2.29B,$4.02B,0.57,$19.85B,$10.76B,1.84,$7.45B,$6.00B,80.61%,$7.45B,$3.07B,41.20%,$7.45B,$3.07B,41.20%,$7.45B,$4.17B,56.04%,$7.45B,$1.91B,25.67%,$7.45B,$1.13B,15.15%,$1.13B,$10.76B,10.73%,$1.13B,$6.81B,16.83%,$1.13B,$41.48B,2.80%,$3.07B,$30.61B,10.46%,$1926,$374,$1552,$0,$373,$1010,$916,$-375,$541,$463,$78,$78,$78,$1204,$916,$685,687,$0.10,$0.11,$485,$320,$642,$2294,$33092,$0,$3955,$350,$39185,$41479,$4023,$19847,$3457,$26695,$30718,$7,$3871,$-3422,$10761,$41479,$1128,$1105,$256,$1361,$-33,$40,$-10,$-28,$-28,$2461,$-3133,$-38,$0,$0,$0,$0,$15,$-3156,$1347,$115,$1462,$453,$453,$-1072,$-19,$824,$144,$38,$-1072
4,2017-09-30,36.4,$15.54,2.34,$10.74,3.39,$-2.26,0.0,$2.21,16.47,$2.33B,$4.15B,0.56,$19.11B,$10.69B,1.79,$7.35B,$5.92B,80.57%,$7.35B,$2.87B,38.98%,$7.35B,$2.87B,38.98%,$7.35B,$3.94B,53.62%,$7.35B,$1.97B,26.85%,$7.35B,$1.52B,20.60%,$1.52B,$10.69B,14.71%,$1.52B,$6.89B,23.18%,$1.52B,$40.76B,3.83%,$2.87B,$29.80B,10.02%,$1845,$345,$1500,$0,$507,$1109,$736,$-265,$471,$116,$355,$355,$355,$1020,$736,$687,689,$0.52,$0.51,$676,$323,$518,$2331,$31816,$0,$3800,$410,$38427,$40758,$4149,$19110,$1657,$25917,$30066,$7,$4066,$-3503,$10692,$40758,$1050,$817,$-127,$690,$25,$35,$-93,$-8,$14,$1754,$-2152,$0,$0,$0,$0,$0,$-16,$-2168,$1028,$269,$1297,$275,$275,$-800,$-34,$738,$331,$30,$-800
5,2017-06-30,36.71,$15.30,2.4,$10.84,3.39,$-1.46,0.0,$2.39,15.36,$2.17B,$4.35B,0.5,$18.40B,$10.49B,1.75,$7.40B,$5.94B,80.24%,$7.40B,$2.92B,39.42%,$7.40B,$2.92B,39.42%,$7.40B,$3.96B,53.51%,$7.40B,$2.12B,28.59%,$7.40B,$1.63B,22.08%,$1.63B,$10.49B,16.14%,$1.63B,$6.70B,25.76%,$1.63B,$39.96B,4.20%,$2.92B,$28.89B,10.35%,$1725,$319,$1406,$0,$502,$1067,$658,$-290,$368,$76,$292,$292,$292,$926,$658,$684,686,$0.43,$0.43,$467,$316,$539,$2166,$31233,$0,$3795,$397,$37798,$39964,$4350,$18397,$1679,$25124,$29474,$7,$3983,$-3523,$10490,$39964,$695,$533,$-244,$289,$26,$42,$-92,$-66,$-194,$790,$-1373,$0,$0,$0,$0,$0,$-12,$-1385,$534,$554,$1088,$177,$177,$-529,$-25,$711,$123,$22,$-529
6,2017-03-31,35.15,$14.81,2.37,$10.95,3.21,$-0.87,0.0,$2.67,13.17,$2.23B,$4.26B,0.52,$17.96B,$10.11B,1.78,$7.46B,$5.98B,80.25%,$7.46B,$2.98B,40.00%,$7.46B,$2.98B,40.00%,$7.46B,$4.01B,53.73%,$7.46B,$2.42B,32.48%,$7.46B,$1.82B,24.46%,$1.82B,$10.11B,18.10%,$1.82B,$6.42B,29.39%,$1.82B,$39.03B,4.71%,$2.98B,$28.07B,10.55%,$1951,$406,$1545,$0,$545,$1193,$758,$-226,$532,$129,$403,$403,$403,$1023,$758,$681,683,$0.59,$0.59,$409,$312,$573,$2227,$30407,$0,$3694,$435,$36807,$39034,$4256,$17958,$1748,$24669,$28925,$7,$3962,$-3777,$10109,$39034,$403,$265,$-325,$-60,$-43,$44,$-84,$-104,$-208,$135,$-677,$-3,$0,$0,$0,$0,$1,$-679,$64,$744,$808,$73,$73,$-258,$-16,$607,$66,$19,$-258
7,2016-12-31,31.67,$14.56,2.17,$11.05,2.86,$-0.22,0.0,$2.79,11.35,$2.07B,$3.84B,0.54,$17.81B,$9.90B,1.8,$7.52B,$6.02B,80.09%,$7.52B,$3.05B,40.55%,$7.52B,$3.05B,40.55%,$7.52B,$4.05B,53.93%,$7.52B,$2.55B,33.92%,$7.52B,$1.90B,25.30%,$1.90B,$9.90B,19.04%,$1.90B,$6.14B,31.48%,$1.90B,$38.32B,4.92%,$3.05B,$27.71B,10.80%,$1832,$359,$1473,$0,$525,$1118,$714,$-111,$603,$138,$465,$465,$465,$974,$714,$678,680,$0.68,$0.68,$341,$356,$595,$2067,$30074,$0,$3760,$487,$36248,$38315,$3837,$17808,$1749,$24579,$28416,$7,$3829,$-3778,$9899,$38315,$1902,$1006,$119,$1125,$-15,$-3,$57,$-207,$-137,$2890,$-2920,$-37,$0,$0,$2,$2,$37,$-2918,$412,$29,$441,$144,$144,$-1030,$6,$-439,$-495,$28,$-1030
8,2016-09-30,31.78,$14.68,2.16,$11.01,2.89,$-1.54,0.0,$2.70,11.77,$2.10B,$3.41B,0.62,$18.07B,$9.98B,1.81,$7.47B,$5.98B,80.11%,$7.47B,$2.95B,39.53%,$7.47B,$2.95B,39.53%,$7.47B,$3.94B,52.71%,$7.47B,$2.39B,31.95%,$7.47B,$1.84B,24.59%,$1.84B,$9.98B,18.37%,$1.84B,$6.11B,30.96%,$1.84B,$38.04B,4.72%,$2.95B,$28.04B,10.39%,$1889,$378,$1511,$0,$493,$1103,$786,$-174,$612,$139,$473,$473,$473,$1035,$786,$678,680,$0.70,$0.69,$416,$346,$508,$2099,$29969,$0,$3868,$337,$35939,$38038,$3412,$18069,$1761,$24651,$28063,$7,$3624,$-3480,$9975,$38038,$1437,$746,$180,$926,$-29,$8,$-40,$-144,$-133,$2230,$-2073,$-23,$0,$0,$0,$0,$30,$-2066,$336,$-268,$68,$133,$133,$-772,$13,$-558,$-420,$23,$-772
9,2016-06-30,34.33,$15.24,2.25,$11.02,3.12,$-2.55,0.0,$2.59,13.26,$2.36B,$3.41B,0.69,$18.95B,$10.33B,1.84,$7.45B,$5.94B,79.72%,$7.45B,$2.85B,38.25%,$7.45B,$2.85B,38.25%,$7.45B,$3.83B,51.40%,$7.45B,$2.31B,31.03%,$7.45B,$1.76B,23.56%,$1.76B,$10.33B,17.46%,$1.76B,$6.16B,29.83%,$1.76B,$39.53B,4.48%,$2.85B,$29.27B,10.04%,$1785,$330,$1455,$0,$499,$1060,$725,$-50,$675,$192,$483,$483,$483,$975,$725,$677,681,$0.71,$0.71,$492,$336,$690,$2360,$30794,$0,$4163,$449,$37168,$39528,$3408,$18949,$1889,$25795,$29203,$7,$3409,$-2857,$10325,$39528,$964,$497,$-113,$384,$16,$21,$-39,$-113,$-178,$1170,$-1346,$-14,$0,$0,$0,$0,$13,$-1347,$336,$-66,$270,$76,$76,$-513,$15,$-152,$-344,$18,$-513
