,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,36.0,$25.33,1.42,$19.01,1.89,$1.57,23.0,$3.04,11.84,$2.95B,$2.37B,1.24,$0.00B,$1.15B,0.0,$0.87B,$0.87B,100.00%,$0.87B,$0.21B,24.02%,$0.87B,$0.21B,24.02%,$0.87B,$0.26B,29.68%,$0.87B,$0.09B,10.62%,$0.87B,$0.14B,15.94%,$0.14B,$1.15B,12.01%,$0.14B,$0.61B,22.94%,$0.14B,$3.66B,3.77%,$0.21B,$1.15B,18.09%,$218,$0,$218,$0,$154,$173,$44,$-30,$14,$2,$13,$13,$10,$54,$44,$45,45,$0.22,$0.22,$114,$0,$0,$2952,$55,$22,$536,$27,$705,$3657,$2373,$0,$8,$136,$2509,$0,$1258,$-213,$1148,$3657,$57,$31,$-42,$-11,$0,$0,$-1,$6,$22,$68,$-17,$0,$0,$0,$-4,$-4,$-42,$-63,$34,$-12,$22,$0,$0,$0,$-18,$4,$-6,$7,$0
1,2018-06-30,38.55,$25.11,1.54,$18.66,2.07,$0.18,213.57,$3.16,12.2,$2.83B,$2.30B,1.23,$0.00B,$1.14B,0.0,$0.85B,$0.85B,100.00%,$0.85B,$0.22B,25.68%,$0.85B,$0.22B,25.68%,$0.85B,$0.27B,31.45%,$0.85B,$0.11B,12.49%,$0.85B,$0.14B,16.96%,$0.14B,$1.14B,12.76%,$0.14B,$0.60B,25.10%,$0.14B,$3.60B,3.99%,$0.22B,$1.14B,19.32%,$219,$0,$219,$0,$143,$163,$55,$-30,$25,$4,$22,$22,$20,$65,$55,$45,45,$0.43,$0.43,$72,$0,$0,$2829,$53,$81,$539,$32,$766,$3595,$2301,$0,$8,$157,$2458,$0,$1248,$-209,$1137,$3595,$45,$20,$-31,$-10,$0,$0,$0,$-1,$-8,$27,$-11,$0,$0,$0,$-12,$-12,$14,$-9,$-28,$-8,$-36,$0,$0,$0,$-16,$-52,$-49,$5,$0
2,2018-03-31,38.0,$25.96,1.46,$18.20,2.09,$-0.63,0.0,$2.98,12.75,$2.89B,$2.35B,1.23,$0.00B,$1.18B,0.0,$0.83B,$0.83B,100.00%,$0.83B,$0.21B,25.42%,$0.83B,$0.21B,25.42%,$0.83B,$0.26B,31.33%,$0.83B,$0.11B,12.77%,$0.83B,$0.14B,16.39%,$0.14B,$1.18B,12.41%,$0.14B,$0.61B,25.20%,$0.14B,$3.70B,3.83%,$0.21B,$1.18B,19.26%,$223,$0,$223,$0,$148,$170,$54,$-24,$29,$6,$23,$23,$21,$64,$54,$45,45,$0.47,$0.47,$101,$0,$0,$2893,$54,$88,$567,$38,$806,$3700,$2353,$0,$15,$171,$2524,$0,$1229,$-156,$1175,$3700,$23,$10,$-9,$2,$0,$0,$-3,$3,$9,$34,$-8,$0,$0,$0,$-14,$-14,$43,$21,$-49,$-6,$-56,$0,$0,$0,$-15,$-71,$-19,$2,$0
3,2017-12-31,33.2,$25.17,1.32,$17.71,1.88,$-0.56,0.0,$3.54,9.38,$2.93B,$2.37B,1.24,$0.00B,$1.14B,0.0,$0.81B,$0.81B,100.00%,$0.81B,$0.21B,25.80%,$0.81B,$0.21B,25.80%,$0.81B,$0.26B,31.70%,$0.81B,$0.16B,19.41%,$0.81B,$0.16B,20.02%,$0.16B,$1.14B,15.57%,$0.16B,$0.59B,32.65%,$0.16B,$3.70B,4.76%,$0.21B,$1.14B,20.06%,$206,$0,$206,$0,$130,$150,$55,$-31,$24,$-64,$89,$89,$87,$74,$55,$46,46,$1.92,$1.92,$121,$0,$0,$2930,$49,$78,$550,$33,$768,$3698,$2371,$0,$9,$190,$2560,$0,$1212,$-179,$1138,$3698,$169,$47,$-183,$-136,$0,$0,$3,$-6,$-32,$1,$-23,$0,$93,$0,$3,$3,$-354,$-280,$350,$13,$363,$-45,$-45,$0,$-23,$296,$26,$0,$0
4,2017-09-30,28.65,$23.55,1.22,$16.57,1.73,$1.90,15.1,$1.24,23.1,$2.71B,$2.15B,1.26,$0.00B,$1.06B,0.0,$0.76B,$0.76B,100.00%,$0.76B,$0.16B,21.23%,$0.76B,$0.16B,21.23%,$0.76B,$0.20B,25.82%,$0.76B,$0.11B,14.68%,$0.76B,$0.06B,7.60%,$0.06B,$1.06B,5.85%,$0.06B,$0.50B,12.90%,$0.06B,$3.46B,1.76%,$0.16B,$1.06B,16.33%,$201,$0,$201,$0,$128,$147,$54,$-27,$28,$11,$17,$17,$16,$64,$54,$45,45,$0.34,$0.34,$114,$0,$0,$2706,$36,$76,$564,$37,$754,$3461,$2150,$0,$1,$247,$2397,$0,$1125,$-166,$1064,$3461,$80,$28,$-85,$-57,$0,$0,$1,$-9,$-25,$-2,$-10,$0,$93,$0,$4,$4,$-174,$-87,$156,$10,$166,$-45,$-45,$0,$-22,$99,$19,$6,$0
5,2017-06-30,37.9,$22.25,1.7,$16.91,2.24,$4.47,8.49,$1.64,23.11,$2.63B,$2.09B,1.26,$0.00B,$1.01B,0.0,$0.78B,$0.78B,100.00%,$0.78B,$0.18B,22.32%,$0.78B,$0.18B,22.32%,$0.78B,$0.21B,27.04%,$0.78B,$0.14B,17.47%,$0.78B,$0.08B,9.69%,$0.08B,$1.01B,7.81%,$0.08B,$0.46B,17.94%,$0.08B,$3.36B,2.34%,$0.18B,$1.01B,17.99%,$200,$0,$200,$0,$133,$152,$48,$-24,$25,$11,$14,$14,$12,$58,$48,$46,46,$0.25,$0.25,$93,$0,$0,$2628,$37,$76,$542,$40,$733,$3361,$2093,$0,$3,$263,$2356,$0,$1109,$-204,$1005,$3361,$63,$18,$-81,$-63,$0,$0,$1,$-10,$-15,$-14,$-7,$0,$93,$0,$3,$3,$-145,$-56,$118,$9,$128,$-45,$-45,$0,$-21,$62,$-2,$4,$0
6,2017-03-31,33.15,$21.12,1.57,$17.48,1.9,$6.52,5.09,$2.18,15.21,$2.47B,$1.91B,1.29,$0.00B,$0.98B,0.0,$0.81B,$0.81B,100.00%,$0.81B,$0.20B,24.63%,$0.81B,$0.20B,24.63%,$0.81B,$0.24B,29.31%,$0.81B,$0.17B,20.44%,$0.81B,$0.10B,12.32%,$0.10B,$0.98B,10.47%,$0.10B,$0.45B,25.16%,$0.10B,$3.17B,3.10%,$0.20B,$0.98B,20.94%,$207,$0,$207,$0,$133,$153,$53,$28,$81,$31,$50,$50,$48,$62,$53,$46,47,$1.04,$1.03,$82,$0,$0,$2467,$38,$74,$534,$32,$707,$3174,$1912,$0,$13,$281,$2193,$0,$1098,$-233,$981,$3174,$50,$8,$-48,$-39,$0,$0,$1,$-0,$22,$33,$-3,$0,$89,$0,$-1,$-1,$-41,$45,$-89,$1,$-87,$0,$0,$0,$-3,$-90,$-12,$2,$0
7,2016-12-31,39.1,$19.79,1.98,$17.90,2.18,$6.03,6.49,$1.84,21.25,$2.42B,$1.97B,1.23,$0.00B,$0.92B,0.0,$0.83B,$0.83B,100.00%,$0.83B,$0.22B,26.27%,$0.83B,$0.22B,26.27%,$0.83B,$0.26B,31.20%,$0.83B,$0.13B,16.14%,$0.83B,$0.08B,10.12%,$0.08B,$0.92B,8.96%,$0.08B,$0.39B,22.47%,$0.08B,$3.16B,2.58%,$0.22B,$0.92B,23.26%,$155,$0,$155,$0,$131,$148,$7,$-29,$-22,$-7,$-15,$-15,$-18,$13,$7,$46,46,$-0.38,$-0.39,$94,$0,$0,$2423,$39,$69,$528,$77,$741,$3164,$1965,$0,$15,$282,$2247,$0,$1049,$-252,$917,$3164,$91,$41,$-18,$23,$0,$0,$-2,$18,$-8,$106,$-14,$0,$-60,$0,$1,$1,$-144,$-217,$83,$33,$116,$0,$0,$0,$-21,$94,$23,$0,$0
8,2016-09-30,34.54,$21.32,1.62,$19.31,1.79,$7.95,4.35,$3.08,11.21,$2.52B,$2.02B,1.25,$0.00B,$0.99B,0.0,$0.91B,$0.91B,100.00%,$0.91B,$0.28B,31.16%,$0.91B,$0.28B,31.16%,$0.91B,$0.33B,36.24%,$0.91B,$0.21B,23.43%,$0.91B,$0.14B,15.80%,$0.14B,$0.99B,15.58%,$0.14B,$0.40B,40.08%,$0.14B,$3.28B,4.45%,$0.28B,$0.99B,30.72%,$222,$0,$222,$0,$134,$154,$67,$-14,$53,$17,$37,$37,$34,$79,$67,$46,46,$0.74,$0.74,$92,$0,$0,$2519,$44,$67,$592,$37,$760,$3279,$2015,$0,$5,$276,$2291,$0,$1067,$-200,$988,$3279,$106,$35,$-6,$29,$0,$0,$-1,$11,$-16,$119,$-12,$0,$-67,$0,$10,$10,$-168,$-236,$74,$40,$114,$0,$0,$0,$-21,$93,$20,$0,$0
9,2016-06-30,24.14,$20.18,1.2,$19.26,1.25,$8.00,3.02,$2.70,8.94,$2.56B,$2.07B,1.24,$0.00B,$0.94B,0.0,$0.91B,$0.91B,100.00%,$0.91B,$0.27B,29.50%,$0.91B,$0.27B,29.50%,$0.91B,$0.31B,34.32%,$0.91B,$0.19B,21.16%,$0.91B,$0.13B,13.82%,$0.13B,$0.94B,14.06%,$0.13B,$0.36B,35.85%,$0.13B,$3.31B,4.02%,$0.27B,$0.94B,30.01%,$228,$0,$228,$0,$134,$156,$73,$-19,$54,$17,$37,$37,$36,$84,$73,$46,46,$0.79,$0.79,$117,$0,$0,$2561,$47,$67,$577,$39,$745,$3306,$2074,$0,$20,$296,$2370,$0,$1033,$-214,$935,$3306,$70,$24,$8,$32,$0,$0,$-1,$19,$-18,$83,$-9,$0,$-65,$0,$9,$9,$-177,$-243,$170,$10,$180,$0,$0,$0,$-11,$169,$46,$0,$0
