,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,110.19,$15.10,7.3,$42.31,2.6,$6.04,18.25,$1.00,110.19,$0.82B,$0.92B,0.89,$1.19B,$0.98B,1.22,$2.80B,$0.78B,27.72%,$2.80B,$0.19B,6.75%,$2.80B,$0.19B,6.75%,$2.80B,$0.31B,11.08%,$2.80B,$0.11B,3.93%,$2.80B,$0.07B,2.36%,$0.07B,$0.98B,6.92%,$0.07B,$-1.25B,-5.03%,$0.07B,$3.25B,2.01%,$0.19B,$2.17B,8.67%,$718,$514,$203,$0,$93,$679,$39,$-17,$22,$20,$2,$2,$1,$69,$39,$64,67,$0.02,$0.02,$128,$0,$76,$820,$150,$0,$2227,$54,$2430,$3251,$920,$1192,$51,$1350,$2270,$1,$183,$-150,$980,$3251,$83,$91,$72,$163,$-13,$0,$0,$-35,$-48,$199,$-40,$0,$0,$0,$0,$0,$0,$-40,$-114,$-92,$-206,$19,$19,$0,$-35,$-222,$-65,$20,$0
1,2018-06-30,93.36,$14.85,6.29,$40.35,2.31,$4.85,19.27,$1.71,54.6,$0.81B,$0.87B,0.93,$1.27B,$0.95B,1.33,$2.66B,$0.74B,27.83%,$2.66B,$0.21B,7.81%,$2.66B,$0.21B,7.81%,$2.66B,$0.32B,12.02%,$2.66B,$0.12B,4.43%,$2.66B,$0.11B,4.24%,$0.11B,$0.95B,11.99%,$0.11B,$-1.29B,-8.51%,$0.11B,$3.25B,3.42%,$0.21B,$2.23B,9.48%,$723,$529,$194,$0,$91,$649,$74,$-14,$60,$17,$42,$42,$42,$105,$74,$64,66,$0.66,$0.64,$124,$0,$82,$808,$147,$0,$2247,$51,$2445,$3253,$872,$1272,$51,$1427,$2299,$1,$182,$-149,$954,$3253,$81,$61,$17,$77,$-21,$0,$0,$-50,$-72,$87,$-26,$0,$0,$0,$0,$0,$-0,$-27,$-14,$-92,$-106,$2,$2,$0,$-24,$-128,$-69,$13,$0
2,2018-03-31,82.96,$14.75,5.62,$37.54,2.21,$3.84,21.63,$1.52,54.58,$0.80B,$0.95B,0.83,$1.22B,$0.95B,1.29,$2.47B,$0.70B,28.46%,$2.47B,$0.20B,8.04%,$2.47B,$0.20B,8.04%,$2.47B,$0.30B,12.05%,$2.47B,$0.10B,3.96%,$2.47B,$0.10B,4.08%,$0.10B,$0.95B,11.02%,$0.10B,$-1.35B,-8.64%,$0.10B,$3.28B,3.27%,$0.20B,$2.16B,9.71%,$702,$522,$179,$0,$92,$630,$72,$-15,$57,$18,$39,$39,$39,$102,$72,$64,66,$0.61,$0.59,$131,$0,$71,$795,$147,$0,$2295,$47,$2490,$3284,$953,$1219,$60,$1386,$2340,$1,$140,$-115,$945,$3284,$39,$30,$10,$39,$-25,$0,$0,$-20,$-44,$35,$-14,$0,$0,$0,$0,$0,$-0,$-14,$-7,$0,$-7,$2,$2,$0,$-80,$-85,$-62,$6,$0
3,2017-12-31,91.07,$14.72,6.19,$34.38,2.65,$3.24,28.15,$1.32,68.99,$0.88B,$0.97B,0.9,$1.23B,$0.94B,1.31,$2.26B,$0.67B,29.42%,$2.26B,$0.18B,7.83%,$2.26B,$0.18B,7.83%,$2.26B,$0.26B,11.64%,$2.26B,$0.07B,3.27%,$2.26B,$0.09B,3.85%,$0.09B,$0.94B,9.96%,$0.09B,$-1.36B,-8.71%,$0.09B,$3.36B,3.08%,$0.18B,$2.16B,9.32%,$656,$456,$200,$0,$92,$652,$4,$-32,$-29,$-12,$-16,$-16,$-16,$34,$4,$62,66,$-0.26,$-0.25,$193,$0,$57,$877,$143,$0,$2296,$42,$2481,$3358,$972,$1225,$112,$1450,$2422,$1,$161,$-136,$936,$3358,$87,$87,$73,$160,$-136,$0,$0,$63,$-27,$220,$-61,$0,$-558,$0,$0,$0,$-69,$-687,$415,$92,$507,$7,$7,$0,$-7,$507,$44,$13,$0
4,2017-09-30,76.17,$14.78,5.15,$31.74,2.4,$2.78,27.35,$1.79,42.55,$0.89B,$0.89B,1.01,$1.29B,$0.94B,1.38,$2.08B,$0.60B,29.09%,$2.08B,$0.21B,10.16%,$2.08B,$0.21B,10.16%,$2.08B,$0.29B,13.82%,$2.08B,$0.13B,6.17%,$2.08B,$0.12B,5.64%,$0.12B,$0.94B,14.23%,$0.12B,$-1.31B,-13.95%,$0.12B,$3.31B,4.62%,$0.21B,$2.23B,12.13%,$582,$414,$168,$0,$79,$524,$58,$-27,$30,$-18,$49,$49,$48,$79,$58,$63,66,$0.77,$0.73,$194,$0,$70,$893,$131,$0,$2247,$39,$2417,$3310,$888,$1293,$63,$1485,$2373,$1,$177,$-146,$936,$3310,$103,$57,$23,$80,$-52,$0,$0,$-14,$-66,$118,$-39,$0,$-560,$0,$0,$0,$-1,$-600,$523,$0,$523,$6,$6,$0,$-6,$524,$45,$8,$0
5,2017-06-30,75.01,$13.54,5.54,$29.93,2.51,$2.23,33.67,$1.55,48.39,$0.77B,$0.65B,1.17,$0.79B,$0.85B,0.94,$1.95B,$0.58B,29.58%,$1.95B,$0.21B,10.68%,$1.95B,$0.21B,10.68%,$1.95B,$0.28B,14.54%,$1.95B,$0.14B,7.19%,$1.95B,$0.10B,5.14%,$0.10B,$0.85B,12.94%,$0.10B,$-0.66B,-14.37%,$0.10B,$2.41B,4.42%,$0.21B,$1.64B,13.10%,$534,$376,$157,$0,$76,$469,$65,$-25,$40,$10,$30,$30,$30,$83,$65,$62,66,$0.47,$0.45,$115,$0,$43,$765,$103,$0,$1505,$36,$1645,$2410,$653,$794,$114,$908,$1561,$1,$129,$-173,$848,$2410,$55,$35,$26,$61,$-121,$0,$0,$21,$-100,$16,$-22,$0,$-36,$0,$0,$0,$-1,$-59,$-16,$0,$-16,$3,$3,$0,$20,$7,$-34,$4,$0
6,2017-03-31,65.23,$12.45,5.24,$28.89,2.26,$2.42,26.96,$1.70,38.37,$0.66B,$0.57B,1.16,$0.79B,$0.78B,1.01,$1.87B,$0.56B,29.86%,$1.87B,$0.19B,10.33%,$1.87B,$0.19B,10.33%,$1.87B,$0.27B,14.45%,$1.87B,$0.15B,7.92%,$1.87B,$0.11B,5.83%,$0.11B,$0.78B,14.75%,$0.11B,$-0.67B,-14.98%,$0.11B,$2.23B,4.92%,$0.19B,$1.56B,12.25%,$488,$348,$140,$0,$74,$438,$50,$-17,$33,$8,$25,$25,$25,$67,$50,$62,65,$0.41,$0.39,$125,$0,$41,$663,$89,$0,$1445,$33,$1566,$2229,$572,$786,$96,$882,$1454,$1,$99,$-207,$775,$2229,$25,$17,$5,$22,$-64,$0,$0,$5,$-58,$-11,$-8,$0,$0,$0,$0,$0,$-0,$-8,$-8,$0,$-8,$1,$1,$0,$0,$-7,$-24,$2,$0
7,2016-12-31,55.12,$11.84,4.66,$28.58,1.93,$2.91,18.94,$1.04,53.0,$0.63B,$0.56B,1.11,$0.80B,$0.73B,1.09,$1.81B,$0.55B,30.20%,$1.81B,$0.16B,8.95%,$1.81B,$0.16B,8.95%,$1.81B,$0.24B,13.31%,$1.81B,$0.09B,5.19%,$1.81B,$0.07B,3.75%,$0.07B,$0.73B,9.41%,$0.07B,$-0.72B,-8.86%,$0.07B,$2.19B,3.08%,$0.16B,$1.53B,10.24%,$472,$333,$139,$0,$70,$434,$38,$-14,$25,$11,$14,$14,$14,$58,$38,$61,64,$0.23,$0.24,$149,$0,$0,$625,$88,$0,$1446,$24,$1566,$2190,$564,$797,$26,$897,$1461,$1,$74,$-225,$729,$2190,$68,$79,$48,$127,$-31,$0,$0,$-10,$-35,$160,$-33,$0,$-4,$0,$0,$0,$3,$-35,$-215,$0,$-215,$1,$1,$0,$113,$-102,$23,$7,$0
8,2016-09-30,56.51,$12.04,4.69,$28.04,2.02,$2.83,19.94,$1.27,44.5,$0.63B,$0.50B,1.25,$0.88B,$0.74B,1.2,$1.77B,$0.54B,30.26%,$1.77B,$0.17B,9.50%,$1.77B,$0.17B,9.50%,$1.77B,$0.25B,14.03%,$1.77B,$0.10B,5.83%,$1.77B,$0.08B,4.69%,$0.08B,$0.74B,11.59%,$0.08B,$-0.74B,-10.38%,$0.08B,$2.22B,3.74%,$0.17B,$1.62B,10.50%,$453,$313,$140,$0,$67,$398,$55,$-13,$42,$11,$31,$31,$31,$75,$55,$61,65,$0.52,$0.49,$136,$0,$42,$625,$88,$0,$1478,$30,$1595,$2220,$500,$882,$100,$982,$1482,$1,$60,$-186,$738,$2220,$54,$59,$36,$95,$-52,$0,$0,$-30,$-82,$67,$-26,$0,$-1,$0,$0,$0,$-1,$-27,$-151,$0,$-151,$1,$1,$0,$120,$-31,$9,$5,$0
9,2016-06-30,41.76,$11.72,3.56,$27.36,1.53,$2.93,14.27,$1.15,36.31,$0.61B,$0.52B,1.16,$0.88B,$0.71B,1.23,$1.72B,$0.53B,30.66%,$1.72B,$0.16B,9.42%,$1.72B,$0.16B,9.42%,$1.72B,$0.24B,14.14%,$1.72B,$0.10B,5.70%,$1.72B,$0.08B,4.42%,$0.08B,$0.71B,10.78%,$0.08B,$-0.78B,-9.10%,$0.08B,$2.22B,3.42%,$0.16B,$1.60B,10.16%,$456,$317,$139,$0,$68,$405,$50,$-3,$48,$12,$35,$39,$39,$70,$50,$61,64,$0.64,$0.60,$101,$0,$40,$605,$88,$0,$1498,$28,$1614,$2219,$523,$882,$100,$982,$1504,$1,$29,$-177,$714,$2219,$23,$39,$33,$72,$-47,$0,$0,$-23,$-71,$24,$-18,$0,$-0,$0,$0,$0,$-1,$-19,$-151,$0,$-151,$0,$0,$0,$120,$-31,$-25,$3,$0
