,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,0.4,$0.39,1.02,$0.33,1.21,$-1.95,0.0,$-0.62,0.0,$0.00B,$0.01B,0.14,$0.00B,$0.01B,0.3,$0.00B,0,0.00%,$0.00B,$-0.02B,-450.00%,$0.00B,$-0.02B,-450.00%,$0.00B,$-0.02B,-450.00%,$0.00B,$-0.02B,-475.00%,$0.00B,$-0.03B,-650.00%,$-0.03B,$0.01B,-221.28%,$-0.03B,$-0.01B,216.67%,$-0.03B,$0.03B,-100.00%,$-0.02B,$0.01B,-122.03%,$1,$1,$-0,$0,$0,$5,$-4,$0,$-4,$0,$-4,$-4,$-4,$-4,$-4,$23,23,$-0.17,$-0.17,$0,$0,$0,$1,$0,$0,$23,$0,$23,$25,$10,$3,$2,$5,$15,$0,$-41,$0,$9,$25,$-9,$1,$3,$4,$-0,$-0,$1,$0,$1,$-5,$-0,$0,$0,$0,$0,$0,$0,$-0,$3,$0,$3,$2,$2,$0,$-0,$5,$-0,$-0,$0
1,2018-06-30,0.37,$0.54,0.68,$0.34,1.09,$-2.34,0.0,$-1.98,0.0,$0.00B,$0.01B,0.13,$0.00B,$0.01B,0.23,$0.00B,0,0.00%,$0.00B,$-0.02B,-600.00%,$0.00B,$-0.02B,-600.00%,$0.00B,$-0.02B,-500.00%,$0.00B,$-0.02B,-700.00%,$0.00B,$-0.03B,-1066.67%,$-0.03B,$0.01B,-220.69%,$-0.03B,$-0.01B,266.67%,$-0.03B,$0.03B,-112.28%,$-0.02B,$0.02B,-105.88%,$1,$1,$0,$0,$0,$3,$-2,$-1,$-3,$0,$-3,$-3,$-3,$-2,$-2,$21,21,$-0.15,$-0.15,$0,$0,$0,$1,$0,$0,$24,$0,$25,$26,$9,$3,$1,$4,$14,$0,$-37,$0,$12,$26,$-5,$1,$1,$2,$-0,$-0,$-0,$0,$-0,$-4,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$2,$2,$2,$2,$0,$-0,$3,$-0,$-0,$0
2,2018-03-31,0.54,$0.68,0.79,$0.74,0.72,$-3.71,0.0,$-17.18,0.0,$0.00B,$0.01B,0.14,$0.00B,$0.01B,0.22,$0.00B,0,0.00%,$0.00B,$-0.02B,-850.00%,$0.00B,$-0.02B,-850.00%,$0.00B,$-0.01B,-700.00%,$0.00B,$-0.02B,-1100.00%,$0.00B,$-0.04B,-1900.00%,$-0.04B,$0.01B,-230.30%,$-0.04B,$-0.01B,298.04%,$-0.04B,$0.03B,-121.60%,$-0.02B,$0.02B,-93.15%,$1,$1,$0,$0,$0,$3,$-2,$0,$-2,$0,$-2,$-2,$-6,$-2,$-2,$13,13,$-0.47,$-0.47,$0,$0,$0,$1,$0,$0,$25,$0,$25,$26,$9,$3,$1,$4,$13,$0,$-34,$0,$13,$26,$-2,$0,$0,$1,$0,$0,$-0,$0,$0,$-1,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$1,$1,$0,$0,$1,$-0,$-0,$0
3,2017-12-31,1.2,$1.28,0.94,$1.24,0.97,$-4.34,0.0,$-18.81,0.0,$0.00B,$0.01B,0.17,$0.00B,$0.01B,0.23,$0.00B,0,0.00%,$0.00B,$-0.02B,-1600.00%,$0.00B,$-0.02B,-1600.00%,$0.00B,$-0.01B,-1300.00%,$0.00B,$-0.02B,-2100.00%,$0.00B,$-0.03B,-3300.00%,$-0.03B,$0.01B,-412.50%,$-0.03B,$-0.01B,216.39%,$-0.03B,$0.03B,-132.00%,$-0.02B,$0.02B,-177.78%,$1,$1,$0,$0,$0,$11,$-10,$1,$-10,$0,$-10,$-10,$-13,$-10,$-10,$5,5,$11.24,$11.24,$0,$0,$0,$2,$0,$0,$25,$0,$26,$27,$10,$3,$1,$4,$14,$0,$-32,$0,$13,$27,$-21,$3,$13,$15,$-0,$-0,$1,$-0,$-1,$-7,$-0,$0,$0,$0,$0,$0,$0,$-0,$-1,$-0,$-1,$0,$8,$0,$-0,$7,$0,$0,$0
4,2017-09-30,2.16,$2.16,1.0,$2.46,0.88,$-5.09,0.0,$-18.81,0.0,$0.00B,$0.01B,0.08,$0.00B,$0.02B,0.01,$0.00B,$0.00B,100.00%,$0.00B,$-0.01B,-500.00%,$0.00B,$-0.01B,-500.00%,$0.00B,$-0.00B,-200.00%,$0.00B,$-0.01B,-1000.00%,$0.00B,$-0.02B,-1900.00%,$-0.02B,$0.02B,-584.62%,$-0.02B,$-0.01B,138.18%,$-0.02B,$0.04B,-102.70%,$-0.01B,$0.02B,-111.11%,$0,$0,$-0,$0,$0,$4,$-4,$-3,$-6,$0,$-6,$-6,$-10,$-1,$-4,$7,7,$-1.36,$-1.36,$0,$0,$0,$1,$0,$0,$34,$0,$34,$35,$14,$0,$1,$1,$15,$0,$-22,$0,$20,$35,$-11,$2,$5,$7,$-0,$0,$0,$0,$-1,$-4,$0,$0,$0,$0,$0,$0,$0,$0,$1,$-2,$-1,$0,$5,$0,$-0,$5,$0,$0,$0
5,2017-06-30,9.0,$3.09,2.92,$3.27,2.76,$-5.96,0.0,$-19.85,0.0,$0.00B,$0.02B,0.11,$0.00B,$0.02B,0.01,$0.00B,$0.00B,100.00%,$0.00B,$-0.00B,-100.00%,$0.00B,$-0.00B,-100.00%,$0.00B,$-0.00B,-100.00%,$0.00B,$-0.00B,-400.00%,$0.00B,$-0.01B,-900.00%,$-0.01B,$0.02B,144.00%,$-0.01B,$-0.02B,59.02%,$-0.01B,$0.04B,-87.80%,$-0.00B,$0.02B,19.05%,$0,$0,$-0,$0,$0,$1,$-1,$-3,$-4,$0,$-4,$-4,$-9,$-1,$-1,$1,1,$-15.35,$-15.35,$1,$0,$0,$2,$0,$0,$35,$0,$35,$37,$16,$0,$1,$1,$17,$0,$-15,$0,$20,$37,$-4,$0,$3,$3,$-0,$0,$0,$-0,$1,$-1,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$1,$1,$0,$0,$0,$-0,$2,$1,$0,$0
6,2017-03-31,20.1,$-23.08,-0.87,$3.99,5.04,$-5.32,0.0,$-6.01,0.0,$0.00B,$0.02B,0.03,$0.00B,$-0.02B,0.0,$0.00B,$0.00B,50.00%,$0.00B,0,0.00%,$0.00B,0,0.00%,$0.00B,0,0.00%,$0.00B,0,0.00%,$0.00B,0,0.00%,$0.00B,$-0.02B,0.00%,$0.00B,$-0.02B,0.00%,$0.00B,$0.00B,0.00%,$0.00B,$-0.02B,0.00%,$0,$0,$0,$0,$0,$1,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-1,$-1,$0,0,$-1.69,$-1.69,$0,$0,$0,$1,$0,$0,$1,$0,$1,$1,$21,$0,$1,$1,$22,$0,$-227,$0,$-21,$1,$-1,$0,$0,$0,$-0,$-0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$0,$0
7,2016-12-31,8.53,$-14.36,-0.59,$3.79,2.25,$-7.47,0.0,$-8.71,0.0,$0.00B,$0.00B,0.18,$0.00B,$-0.01B,-0.66,$0.00B,$0.00B,50.00%,$0.00B,$-0.00B,-50.00%,$0.00B,$-0.00B,-50.00%,$0.00B,$-0.00B,-50.00%,$0.00B,$-0.00B,-50.00%,$0.00B,$-0.00B,-150.00%,$-0.00B,$-0.01B,21.82%,$-0.00B,$-0.01B,20.34%,$-0.00B,$0.00B,-120.00%,$-0.00B,$-0.00B,7.84%,$1,$-0,$1,$0,$0,$-1,$1,$-0,$1,$0,$1,$1,$1,$1,$1,$0,0,$-1.86,$-1.86,$0,$0,$0,$1,$0,$0,$0,$0,$0,$1,$3,$4,$0,$4,$7,$0,$-11,$0,$-6,$1,$-2,$0,$0,$1,$-0,$-0,$0,$-0,$1,$-1,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$1,$0,$0,$0,$-0,$1,$-0,$0,$0
8,2016-09-30,8.46,$-22.17,-0.38,$3.35,2.52,$-35.92,0.0,$-8.71,0.0,$0.00B,$0.02B,0.05,$0.00B,$-0.02B,0.0,$0.00B,0,0.00%,$0.00B,$-0.00B,-400.00%,$0.00B,$-0.00B,-400.00%,$0.00B,$-0.00B,-400.00%,$0.00B,$-0.01B,-500.00%,$0.00B,$-0.02B,-2400.00%,$-0.02B,$-0.02B,154.84%,$-0.02B,$-0.02B,143.28%,$-0.02B,$0.00B,-685.71%,$-0.00B,$-0.02B,25.81%,$0,$0,$0,$0,$0,$1,$-0,$-0,$-0,$0,$-0,$-0,$-0,$-0,$-0,$0,0,$-1.15,$-1.15,$0,$0,$1,$1,$0,$0,$1,$0,$1,$2,$18,$0,$2,$2,$20,$0,$-220,$0,$-18,$2,$-1,$0,$0,$1,$-0,$-0,$0,$-0,$0,$-1,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$0,$-0,$0,$0
9,2016-06-30,16.5,$-21.17,-0.78,$3.23,5.1,$-55.64,0.0,$-22.82,0.0,$0.00B,$0.02B,0.1,$0.00B,$-0.02B,0.0,$0.00B,0,0.00%,$0.00B,$-0.01B,-600.00%,$0.00B,$-0.01B,-600.00%,$0.00B,$-0.01B,-600.00%,$0.00B,$-0.01B,-700.00%,$0.00B,$-0.03B,-3200.00%,$-0.03B,$-0.02B,345.95%,$-0.03B,$-0.02B,261.22%,$-0.03B,$0.00B,-355.56%,$-0.01B,$-0.02B,64.86%,$1,$0,$0,$0,$0,$1,$-0,$-0,$-0,$0,$-0,$-0,$-0,$-0,$-0,$0,0,$-1.03,$-1.03,$0,$0,$1,$2,$0,$0,$1,$0,$1,$3,$18,$0,$2,$2,$19,$0,$-218,$0,$-16,$3,$-1,$0,$0,$0,$-0,$-0,$0,$0,$-0,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$0,$-0,$0,$0
