,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-08-31,86.85,$24.91,3.49,$105.18,0.83,$0.70,123.33,$2.44,35.59,$0.49B,$0.35B,1.4,$0.09B,$0.76B,0.12,$3.17B,$0.51B,16.14%,$3.17B,$0.13B,3.95%,$3.17B,$0.13B,3.95%,$3.17B,$0.18B,5.62%,$3.17B,$0.12B,3.88%,$3.17B,$0.07B,2.34%,$0.07B,$0.76B,9.96%,$0.07B,$0.70B,10.67%,$0.07B,$1.22B,6.07%,$0.13B,$0.85B,15.08%,$778,$651,$127,$0,$99,$751,$27,$-1,$26,$7,$19,$19,$19,$41,$27,$30,30,$0.62,$0.62,$126,$321,$0,$488,$594,$11,$61,$52,$729,$1216,$349,$88,$10,$108,$458,$0,$474,$-121,$759,$1216,$74,$53,$20,$73,$-1,$-10,$-16,$0,$-28,$119,$-98,$0,$-24,$-32,$0,$-32,$0,$-154,$-4,$0,$-4,$-3,$-3,$-21,$-0,$-28,$-69,$10,$-21
1,2018-05-31,84.3,$24.64,3.42,$103.78,0.81,$-0.43,0.0,$2.46,34.27,$0.51B,$0.38B,1.36,$0.09B,$0.75B,0.12,$3.12B,$0.50B,16.07%,$3.12B,$0.13B,4.13%,$3.12B,$0.13B,4.13%,$3.12B,$0.18B,5.76%,$3.12B,$0.13B,4.07%,$3.12B,$0.08B,2.40%,$0.08B,$0.75B,10.26%,$0.08B,$0.68B,10.91%,$0.08B,$1.25B,6.20%,$0.13B,$0.84B,15.80%,$782,$653,$130,$0,$100,$754,$28,$-2,$27,$8,$19,$19,$19,$42,$28,$30,30,$0.61,$0.61,$142,$326,$0,$510,$597,$11,$67,$51,$737,$1246,$376,$91,$14,$120,$496,$0,$455,$-109,$751,$1246,$55,$38,$17,$55,$3,$-15,$-7,$0,$-19,$91,$-74,$0,$-24,$0,$0,$0,$0,$-98,$-0,$0,$-0,$-2,$-2,$-11,$0,$-12,$-21,$7,$-11
2,2018-02-28,78.42,$24.04,3.26,$102.13,0.77,$-1.39,0.0,$2.47,31.75,$0.51B,$0.36B,1.42,$0.08B,$0.73B,0.11,$3.07B,$0.49B,15.79%,$3.07B,$0.13B,4.20%,$3.07B,$0.13B,4.20%,$3.07B,$0.18B,5.80%,$3.07B,$0.13B,4.14%,$3.07B,$0.08B,2.44%,$0.08B,$0.73B,10.49%,$0.08B,$0.70B,11.03%,$0.08B,$1.19B,6.33%,$0.13B,$0.81B,16.03%,$840,$708,$132,$0,$92,$802,$37,$-0,$37,$23,$14,$14,$14,$50,$37,$30,30,$0.47,$0.47,$152,$315,$0,$506,$580,$11,$35,$49,$686,$1192,$357,$83,$11,$104,$460,$0,$436,$-106,$731,$1192,$37,$25,$14,$38,$6,$-4,$-18,$0,$-16,$59,$-46,$0,$0,$0,$0,$0,$0,$-46,$-10,$0,$-10,$-2,$-2,$-11,$0,$-22,$-10,$5,$-11
3,2017-11-30,84.77,$24.09,3.52,$100.67,0.84,$-2.56,0.0,$2.90,29.23,$0.55B,$0.39B,1.39,$0.08B,$0.73B,0.11,$3.02B,$0.48B,15.84%,$3.02B,$0.13B,4.33%,$3.02B,$0.13B,4.33%,$3.02B,$0.18B,5.92%,$3.02B,$0.13B,4.27%,$3.02B,$0.09B,2.91%,$0.09B,$0.73B,12.56%,$0.09B,$0.70B,13.23%,$0.09B,$1.22B,7.49%,$0.13B,$0.81B,16.49%,$767,$645,$122,$0,$88,$734,$33,$-1,$33,$10,$22,$22,$22,$45,$33,$30,30,$0.74,$0.74,$130,$372,$0,$545,$567,$11,$36,$49,$678,$1223,$393,$80,$7,$97,$491,$0,$443,$-111,$732,$1223,$22,$12,$2,$14,$-7,$-61,$21,$0,$-47,$-10,$-20,$0,$0,$0,$0,$0,$0,$-20,$-8,$2,$-5,$0,$0,$0,$0,$-5,$-33,$2,$0
4,2017-08-31,80.55,$23.31,3.46,$99.84,0.81,$-2.07,0.0,$2.98,27.03,$0.51B,$0.36B,1.4,$0.09B,$0.71B,0.12,$3.00B,$0.48B,15.95%,$3.00B,$0.14B,4.54%,$3.00B,$0.14B,4.54%,$3.00B,$0.18B,6.11%,$3.00B,$0.13B,4.40%,$3.00B,$0.09B,3.04%,$0.09B,$0.71B,13.36%,$0.09B,$0.67B,14.10%,$0.09B,$1.18B,7.92%,$0.14B,$0.80B,17.61%,$734,$616,$118,$0,$86,$703,$31,$-1,$30,$10,$20,$20,$20,$43,$31,$30,30,$0.64,$0.64,$163,$311,$0,$510,$558,$11,$36,$47,$667,$1178,$363,$88,$7,$105,$469,$0,$421,$-110,$709,$1178,$91,$46,$9,$55,$2,$-28,$3,$0,$-23,$123,$-135,$0,$0,$0,$0,$0,$0,$-135,$18,$-17,$2,$-2,$-2,$-21,$0,$-22,$-37,$10,$-21
5,2017-05-31,87.12,$22.68,3.84,$99.16,0.88,$0.47,183.65,$3.08,28.29,$0.50B,$0.33B,1.5,$0.10B,$0.69B,0.15,$2.97B,$0.47B,15.94%,$2.97B,$0.14B,4.64%,$2.97B,$0.14B,4.64%,$2.97B,$0.18B,6.19%,$2.97B,$0.13B,4.51%,$2.97B,$0.09B,3.13%,$0.09B,$0.69B,14.02%,$0.09B,$0.65B,14.81%,$0.09B,$1.14B,8.24%,$0.14B,$0.79B,18.37%,$730,$618,$113,$0,$85,$703,$28,$-0,$27,$8,$19,$19,$19,$40,$28,$30,30,$0.62,$0.62,$193,$279,$0,$501,$533,$11,$36,$50,$643,$1144,$333,$104,$6,$121,$454,$0,$401,$-108,$689,$1144,$71,$34,$12,$46,$-1,$3,$-33,$0,$-30,$87,$-100,$0,$0,$0,$0,$0,$0,$-100,$37,$-17,$20,$-2,$-2,$-11,$0,$8,$-7,$7,$-11
6,2017-02-28,87.27,$22.09,3.95,$98.36,0.89,$2.91,30.0,$3.01,28.99,$0.51B,$0.37B,1.39,$0.10B,$0.67B,0.15,$2.95B,$0.47B,15.88%,$2.95B,$0.14B,4.65%,$2.95B,$0.14B,4.65%,$2.95B,$0.18B,6.17%,$2.95B,$0.13B,4.51%,$2.95B,$0.09B,3.09%,$0.09B,$0.67B,14.12%,$0.09B,$0.64B,14.95%,$0.09B,$1.16B,8.23%,$0.14B,$0.77B,18.93%,$793,$668,$126,$0,$86,$754,$39,$-0,$39,$12,$27,$27,$27,$51,$39,$30,30,$0.90,$0.90,$183,$297,$0,$507,$535,$11,$36,$56,$650,$1157,$366,$102,$6,$119,$485,$0,$382,$-105,$672,$1157,$52,$23,$5,$27,$1,$-14,$-1,$0,$-14,$65,$-87,$0,$0,$0,$0,$0,$0,$-87,$28,$-10,$18,$-2,$-2,$-11,$0,$6,$-17,$5,$-11
7,2016-11-30,89.78,$21.54,4.17,$97.93,0.92,$4.90,18.32,$2.96,30.33,$0.54B,$0.38B,1.42,$0.07B,$0.66B,0.11,$2.93B,$0.46B,15.75%,$2.93B,$0.14B,4.67%,$2.93B,$0.14B,4.67%,$2.93B,$0.18B,6.14%,$2.93B,$0.13B,4.47%,$2.93B,$0.09B,3.07%,$0.09B,$0.66B,14.45%,$0.09B,$0.62B,15.33%,$0.09B,$1.12B,8.42%,$0.14B,$0.73B,19.69%,$740,$619,$121,$0,$82,$701,$38,$-2,$36,$11,$25,$25,$25,$49,$38,$30,30,$0.82,$0.82,$176,$327,$0,$535,$469,$11,$36,$55,$583,$1118,$376,$70,$6,$87,$463,$0,$376,$-114,$655,$1118,$25,$11,$4,$15,$-7,$-44,$13,$0,$-38,$2,$-17,$0,$0,$0,$0,$0,$0,$-17,$-4,$-3,$-7,$0,$0,$0,$0,$-7,$-24,$2,$0
8,2016-08-31,82.14,$20.99,3.91,$97.08,0.85,$4.88,16.82,$2.92,28.13,$0.51B,$0.37B,1.39,$0.07B,$0.64B,0.12,$2.91B,$0.46B,15.66%,$2.91B,$0.14B,4.68%,$2.91B,$0.14B,4.68%,$2.91B,$0.18B,6.09%,$2.91B,$0.13B,4.51%,$2.91B,$0.09B,3.06%,$0.09B,$0.64B,14.66%,$0.09B,$0.60B,15.57%,$0.09B,$1.10B,8.47%,$0.14B,$0.71B,19.94%,$711,$597,$114,$0,$80,$678,$33,$-1,$32,$10,$22,$22,$22,$44,$33,$30,30,$0.74,$0.74,$200,$283,$0,$513,$473,$11,$36,$52,$584,$1097,$368,$74,$6,$91,$459,$0,$351,$-104,$638,$1097,$89,$40,$13,$53,$-7,$-16,$23,$0,$1,$142,$-78,$0,$0,$0,$-0,$-0,$0,$-78,$-2,$10,$7,$-3,$-3,$-21,$0,$-17,$44,$9,$-21
9,2016-05-31,86.74,$20.14,4.31,$96.74,0.9,$3.47,24.97,$2.93,29.61,$0.48B,$0.35B,1.38,$0.07B,$0.61B,0.12,$2.89B,$0.45B,15.69%,$2.89B,$0.14B,4.77%,$2.89B,$0.14B,4.77%,$2.89B,$0.18B,6.12%,$2.89B,$0.13B,4.60%,$2.89B,$0.09B,3.08%,$0.09B,$0.61B,15.10%,$0.09B,$0.58B,16.07%,$0.09B,$1.05B,8.69%,$0.14B,$0.68B,20.78%,$704,$597,$107,$0,$79,$677,$27,$-1,$26,$9,$17,$17,$17,$38,$27,$30,30,$0.55,$0.55,$203,$254,$0,$481,$457,$11,$36,$51,$569,$1050,$349,$71,$7,$89,$438,$0,$329,$-106,$612,$1050,$66,$29,$5,$34,$-2,$13,$1,$0,$12,$112,$-52,$0,$0,$0,$-0,$-0,$0,$-52,$-3,$4,$1,$-2,$-2,$-11,$1,$-11,$46,$6,$-11
