,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,5.16,$2.37,2.18,$5.62,0.92,$2.11,2.44,$-0.06,0.0,$0.42B,$0.38B,1.1,$0.33B,$0.39B,0.84,$0.94B,$0.16B,17.06%,$0.94B,$0.04B,4.26%,$0.94B,$0.04B,4.26%,$0.94B,$0.21B,22.17%,$0.94B,$0.00B,0.11%,$0.94B,$0.01B,0.53%,$0.01B,$0.39B,1.25%,$0.01B,$0.10B,5.01%,$0.01B,$1.15B,0.41%,$0.04B,$0.71B,5.43%,$227,$182,$45,$0,$34,$214,$13,$-3,$10,$3,$7,$7,$7,$55,$13,$165,166,$0.04,$0.04,$180,$22,$0,$416,$319,$0,$288,$2,$736,$1152,$378,$325,$24,$388,$766,$1,$148,$0,$386,$1152,$10,$121,$24,$145,$29,$4,$-21,$-27,$-15,$140,$-65,$-33,$0,$-39,$0,$-39,$-1,$-138,$-103,$0,$-103,$-23,$-23,$0,$-15,$-141,$-139,$3,$0
1,2018-06-30,3.83,$2.34,1.64,$5.63,0.68,$2.75,1.39,$0.03,127.67,$0.43B,$0.37B,1.14,$0.33B,$0.39B,0.83,$0.95B,$0.17B,18.20%,$0.95B,$0.05B,5.61%,$0.95B,$0.05B,5.61%,$0.95B,$0.22B,23.17%,$0.95B,$0.01B,1.38%,$0.95B,$0.01B,1.38%,$0.01B,$0.39B,3.17%,$0.01B,$0.10B,12.90%,$0.01B,$1.16B,1.01%,$0.05B,$0.72B,6.88%,$218,$181,$37,$0,$33,$212,$6,$-4,$2,$1,$1,$1,$1,$44,$6,$168,169,$0.00,$0.00,$180,$20,$0,$425,$319,$0,$292,$2,$733,$1158,$372,$326,$24,$392,$764,$1,$140,$0,$394,$1158,$3,$79,$17,$96,$21,$5,$-21,$-17,$-12,$87,$-45,$-21,$0,$-39,$0,$-39,$0,$-105,$-103,$0,$-103,$-4,$-4,$0,$-13,$-120,$-138,$2,$0
2,2018-03-31,4.59,$2.45,1.87,$5.78,0.79,$3.18,1.44,$0.09,50.98,$0.48B,$0.42B,1.13,$0.34B,$0.41B,0.83,$0.96B,$0.18B,19.12%,$0.96B,$0.08B,7.94%,$0.96B,$0.08B,7.94%,$0.96B,$0.25B,25.60%,$0.96B,$0.03B,2.61%,$0.96B,$0.02B,2.30%,$0.02B,$0.41B,5.35%,$0.02B,$0.10B,23.04%,$0.02B,$1.25B,1.67%,$0.08B,$0.75B,9.72%,$235,$196,$39,$0,$32,$226,$9,$-5,$4,$1,$3,$3,$3,$50,$9,$168,169,$0.02,$0.02,$200,$31,$0,$476,$335,$0,$309,$2,$770,$1246,$421,$342,$27,$413,$834,$1,$144,$0,$412,$1246,$3,$41,$11,$52,$8,$-4,$-5,$-10,$-11,$44,$-27,$-11,$0,$-43,$0,$-43,$0,$-81,$-85,$0,$-85,$0,$0,$0,$-10,$-95,$-132,$1,$0
3,2017-12-31,6.15,$2.46,2.5,$5.81,1.06,$3.35,1.84,$0.16,38.45,$0.58B,$0.52B,1.11,$0.35B,$0.41B,0.85,$0.94B,$0.19B,19.62%,$0.94B,$0.09B,9.65%,$0.94B,$0.09B,9.65%,$0.94B,$0.26B,27.47%,$0.94B,$0.04B,4.14%,$0.94B,$0.03B,3.50%,$0.03B,$0.41B,8.49%,$0.03B,$0.10B,46.81%,$0.03B,$1.36B,2.42%,$0.09B,$0.76B,11.08%,$258,$219,$39,$0,$31,$246,$12,$-27,$-15,$-9,$-6,$-6,$-6,$59,$12,$163,165,$-0.04,$-0.04,$293,$27,$0,$579,$340,$0,$318,$1,$782,$1361,$522,$350,$28,$425,$947,$1,$142,$0,$414,$1361,$33,$168,$55,$223,$84,$1,$19,$-72,$32,$280,$-64,$-44,$0,$87,$0,$87,$1,$-20,$-224,$0,$-224,$55,$55,$0,$-48,$-217,$43,$6,$0
4,2017-09-30,5.25,$2.51,2.09,$5.53,0.95,$3.39,1.55,$0.23,22.83,$0.62B,$0.45B,1.38,$0.42B,$0.42B,1.01,$0.89B,$0.18B,19.69%,$0.89B,$0.08B,9.22%,$0.89B,$0.08B,9.22%,$0.89B,$0.25B,28.12%,$0.89B,$0.05B,5.62%,$0.89B,$0.04B,4.16%,$0.04B,$0.42B,10.35%,$0.04B,$0.10B,90.80%,$0.04B,$1.36B,2.72%,$0.08B,$0.84B,9.70%,$234,$177,$57,$0,$33,$208,$26,$-4,$22,$7,$15,$15,$15,$66,$26,$167,169,$0.09,$0.09,$329,$25,$0,$615,$320,$0,$318,$1,$746,$1361,$445,$422,$25,$496,$941,$1,$152,$0,$420,$1361,$46,$121,$32,$153,$77,$2,$-1,$-50,$28,$225,$-41,$-33,$0,$85,$0,$85,$1,$12,$-184,$0,$-184,$54,$54,$0,$-24,$-154,$83,$5,$0
5,2017-06-30,5.17,$2.39,2.16,$5.58,0.93,$3.21,1.61,$0.17,30.41,$0.56B,$0.47B,1.18,$0.37B,$0.40B,0.92,$0.88B,$0.16B,18.16%,$0.88B,$0.07B,8.29%,$0.88B,$0.07B,8.29%,$0.88B,$0.24B,26.79%,$0.88B,$0.04B,4.20%,$0.88B,$0.03B,3.06%,$0.03B,$0.40B,8.26%,$0.03B,$0.08B,348.39%,$0.03B,$1.31B,1.97%,$0.07B,$0.77B,8.39%,$230,$182,$48,$0,$36,$201,$29,$-15,$14,$4,$10,$10,$10,$70,$29,$158,160,$0.06,$0.06,$257,$27,$0,$557,$322,$0,$319,$1,$756,$1313,$472,$366,$24,$441,$913,$1,$130,$0,$400,$1313,$24,$81,$23,$104,$62,$0,$-13,$-43,$6,$133,$-25,$-12,$0,$129,$0,$129,$0,$92,$-206,$0,$-206,$54,$54,$0,$-21,$-173,$52,$3,$0
6,2017-03-31,5.23,$2.04,2.56,$5.62,0.93,$3.04,1.72,$0.15,34.86,$0.66B,$0.42B,1.56,$0.59B,$0.32B,1.84,$0.88B,$0.16B,17.53%,$0.88B,$0.06B,6.90%,$0.88B,$0.06B,6.90%,$0.88B,$0.22B,25.34%,$0.88B,$0.03B,3.73%,$0.88B,$0.02B,2.71%,$0.02B,$0.32B,8.07%,$0.02B,$0.00B,-97.96%,$0.02B,$1.41B,1.74%,$0.06B,$0.91B,6.72%,$221,$180,$41,$0,$34,$197,$24,$-6,$18,$4,$14,$14,$14,$64,$24,$156,156,$0.09,$0.09,$349,$26,$0,$659,$319,$0,$318,$1,$751,$1410,$422,$592,$23,$667,$1089,$1,$114,$0,$321,$1410,$14,$40,$2,$42,$31,$1,$-13,$-21,$-2,$54,$-12,$-7,$0,$56,$0,$56,$0,$37,$-3,$0,$-3,$0,$0,$0,$-5,$-8,$83,$0,$0
7,2016-12-31,4.69,$1.84,2.55,$5.85,0.8,$2.99,1.57,$0.09,52.11,$0.61B,$0.42B,1.46,$0.57B,$0.29B,1.98,$0.92B,$0.16B,17.57%,$0.92B,$0.05B,5.53%,$0.92B,$0.05B,5.53%,$0.92B,$0.22B,23.64%,$0.92B,$0.02B,2.49%,$0.92B,$0.01B,1.52%,$0.01B,$0.29B,4.89%,$0.01B,$-0.02B,-32.56%,$0.01B,$1.35B,1.01%,$0.05B,$0.86B,5.59%,$204,$175,$29,$0,$42,$201,$3,$-7,$-4,$-2,$-2,$-2,$-2,$50,$3,$156,158,$-0.01,$-0.01,$304,$25,$0,$608,$314,$0,$312,$1,$744,$1352,$418,$571,$23,$645,$1063,$1,$93,$0,$289,$1352,$14,$167,$21,$188,$56,$6,$-10,$-17,$35,$245,$-31,$-18,$0,$-118,$0,$-118,$1,$-166,$-106,$0,$-106,$0,$0,$0,$-28,$-134,$-55,$0,$0
8,2016-09-30,4.54,$1.95,2.33,$6.23,0.73,$2.80,1.62,$-0.01,0.0,$0.62B,$0.43B,1.44,$0.65B,$0.30B,2.18,$0.98B,$0.16B,16.16%,$0.98B,$0.06B,5.62%,$0.98B,$0.06B,5.62%,$0.98B,$0.25B,25.15%,$0.98B,$0.01B,0.51%,$0.98B,$-0.00B,-0.10%,$-0.00B,$0.30B,-0.36%,$-0.00B,$-0.03B,1.69%,$-0.00B,$1.40B,-0.07%,$0.06B,$0.94B,6.47%,$226,$184,$42,$0,$42,$209,$17,$-8,$9,$4,$5,$5,$5,$52,$17,$156,158,$0.03,$0.03,$304,$16,$0,$617,$328,$0,$327,$1,$781,$1398,$428,$646,$21,$673,$1101,$1,$96,$0,$297,$1398,$16,$120,$38,$158,$35,$16,$-11,$-40,$0,$169,$-25,$-14,$0,$0,$0,$0,$1,$-38,$-52,$0,$-52,$0,$0,$0,$-21,$-73,$58,$10,$0
9,2016-06-30,4.52,$1.86,2.43,$6.44,0.7,$2.64,1.72,$-0.05,0.0,$0.56B,$0.43B,1.32,$0.63B,$0.28B,2.24,$1.01B,$0.16B,15.97%,$1.01B,$0.04B,3.67%,$1.01B,$0.04B,3.67%,$1.01B,$0.23B,22.92%,$1.01B,$-0.01B,-0.60%,$1.01B,$-0.01B,-0.79%,$-0.01B,$0.28B,-2.92%,$-0.01B,$-0.05B,10.92%,$-0.01B,$1.36B,-0.56%,$0.04B,$0.91B,4.10%,$233,$190,$43,$0,$43,$216,$17,$-7,$10,$3,$7,$7,$7,$58,$17,$156,158,$0.04,$0.04,$238,$21,$0,$561,$336,$0,$330,$1,$800,$1361,$425,$632,$21,$654,$1079,$1,$86,$0,$282,$1361,$10,$85,$21,$106,$9,$10,$-8,$-26,$-15,$98,$-18,$-9,$0,$0,$0,$0,$0,$-27,$-57,$0,$-57,$0,$0,$0,$-17,$-74,$-3,$0,$0
