,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,65.09,$22.67,2.87,$81.17,0.8,$2.99,21.8,$6.39,10.19,$0.12B,$0.13B,0.96,$0.14B,$0.14B,1.05,$0.51B,$0.31B,61.58%,$0.51B,$0.03B,5.94%,$0.51B,$0.03B,5.94%,$0.51B,$0.08B,15.25%,$0.51B,$0.03B,5.15%,$0.51B,$0.05B,9.70%,$0.05B,$0.14B,37.48%,$0.05B,$0.14B,37.48%,$0.05B,$0.47B,11.57%,$0.03B,$0.28B,12.18%,$140,$53,$87,$0,$35,$127,$13,$-1,$12,$3,$9,$9,$9,$25,$13,$6,6,$1.53,$1.52,$29,$2,$0,$121,$342,$0,$0,$3,$345,$466,$126,$143,$0,$203,$329,$0,$193,$0,$136,$466,$18,$37,$6,$43,$-19,$0,$12,$1,$-3,$58,$-38,$0,$0,$-2,$0,$-2,$0,$-41,$-27,$20,$-7,$-10,$-10,$0,$0,$-17,$0,$1,$0
1,2018-06-30,46.97,$21.41,2.19,$75.21,0.62,$3.22,14.58,$6.93,6.78,$0.12B,$0.13B,0.94,$0.13B,$0.13B,0.98,$0.47B,$0.29B,60.97%,$0.47B,$0.02B,4.43%,$0.47B,$0.02B,4.43%,$0.47B,$0.07B,13.92%,$0.47B,$0.02B,4.22%,$0.47B,$0.04B,9.07%,$0.04B,$0.13B,35.46%,$0.04B,$0.13B,35.46%,$0.04B,$0.44B,10.70%,$0.02B,$0.26B,9.41%,$135,$52,$83,$0,$34,$125,$10,$-1,$9,$2,$7,$7,$7,$23,$10,$6,6,$1.18,$1.17,$28,$2,$0,$117,$319,$0,$0,$3,$322,$439,$125,$128,$0,$184,$309,$0,$184,$0,$130,$439,$9,$24,$3,$28,$-17,$0,$5,$3,$-7,$30,$-35,$0,$0,$-2,$0,$-2,$0,$-37,$-12,$27,$15,$-7,$-7,$0,$0,$8,$0,$0,$0
2,2018-03-31,36.35,$20.93,1.74,$70.39,0.52,$6.86,5.3,$6.01,6.05,$0.11B,$0.12B,0.89,$0.09B,$0.13B,0.71,$0.45B,$0.27B,60.49%,$0.45B,$0.01B,3.13%,$0.45B,$0.01B,3.13%,$0.45B,$0.06B,12.50%,$0.45B,$0.01B,3.13%,$0.45B,$0.04B,8.48%,$0.04B,$0.13B,33.70%,$0.04B,$0.13B,33.70%,$0.04B,$0.40B,9.90%,$0.01B,$0.22B,6.71%,$119,$46,$74,$0,$33,$116,$4,$-2,$2,$0,$1,$1,$1,$15,$4,$6,6,$0.22,$0.22,$26,$2,$0,$107,$287,$0,$0,$3,$290,$397,$120,$92,$0,$147,$268,$0,$177,$0,$129,$397,$1,$12,$2,$13,$-7,$0,$4,$2,$1,$16,$-12,$0,$0,$-1,$0,$-1,$0,$-13,$-8,$5,$-3,$0,$0,$0,$0,$-3,$0,$0,$0
3,2017-12-31,34.43,$20.71,1.66,$68.34,0.5,$8.26,4.17,$6.15,5.6,$0.10B,$0.11B,0.92,$0.10B,$0.13B,0.78,$0.44B,$0.26B,60.05%,$0.44B,$0.01B,2.97%,$0.44B,$0.01B,2.97%,$0.44B,$0.05B,12.33%,$0.44B,$0.02B,3.65%,$0.44B,$0.04B,8.90%,$0.04B,$0.13B,37.32%,$0.04B,$0.13B,37.32%,$0.04B,$0.39B,10.34%,$0.01B,$0.23B,6.35%,$111,$44,$67,$0,$30,$108,$3,$-1,$3,$-29,$32,$32,$32,$14,$3,$6,6,$4.99,$4.93,$27,$2,$0,$102,$287,$0,$0,$3,$290,$392,$111,$99,$0,$154,$265,$0,$168,$7,$128,$392,$39,$42,$-28,$14,$-1,$0,$1,$-1,$-2,$50,$-49,$0,$0,$4,$0,$4,$0,$-45,$7,$-6,$1,$-6,$-6,$0,$0,$-5,$0,$1,$0
4,2017-09-30,23.93,$15.59,1.53,$67.31,0.36,$7.04,3.4,$1.26,18.99,$0.11B,$0.11B,0.96,$0.09B,$0.10B,0.91,$0.44B,$0.26B,60.69%,$0.44B,$0.01B,2.76%,$0.44B,$0.01B,2.76%,$0.44B,$0.05B,11.95%,$0.44B,$0.01B,3.22%,$0.44B,$0.01B,1.84%,$0.01B,$0.10B,8.33%,$0.01B,$0.10B,8.33%,$0.01B,$0.38B,2.14%,$0.01B,$0.19B,5.92%,$109,$44,$65,$0,$29,$105,$4,$2,$6,$2,$3,$3,$3,$14,$4,$6,6,$0.54,$0.54,$25,$2,$0,$105,$272,$0,$0,$2,$275,$379,$109,$89,$0,$172,$281,$0,$136,$5,$98,$379,$7,$31,$1,$32,$-7,$0,$9,$0,$4,$44,$-22,$0,$0,$4,$0,$4,$0,$-18,$-18,$-6,$-24,$-2,$-2,$0,$0,$-26,$0,$0,$0
5,2017-06-30,18.95,$15.18,1.25,$67.16,0.28,$5.31,3.57,$1.25,15.16,$0.10B,$0.09B,1.11,$0.10B,$0.10B,1.06,$0.44B,$0.27B,61.61%,$0.44B,$0.01B,2.99%,$0.44B,$0.01B,2.99%,$0.44B,$0.05B,12.18%,$0.44B,$0.01B,3.22%,$0.44B,$0.01B,1.84%,$0.01B,$0.10B,8.47%,$0.01B,$0.10B,8.47%,$0.01B,$0.37B,2.14%,$0.01B,$0.20B,6.26%,$109,$44,$65,$0,$30,$106,$3,$-0,$3,$1,$2,$2,$2,$13,$3,$6,6,$0.25,$0.25,$25,$2,$0,$96,$268,$0,$0,$2,$270,$367,$87,$102,$0,$183,$270,$0,$133,$6,$96,$367,$4,$21,$1,$22,$-2,$0,$-2,$3,$0,$26,$-9,$0,$0,$3,$0,$3,$0,$-6,$-14,$-5,$-19,$-1,$-1,$0,$0,$-20,$0,$0,$0
6,2017-03-31,16.29,$14.97,1.09,$67.23,0.24,$3.63,4.49,$1.61,10.12,$0.10B,$0.08B,1.23,$0.11B,$0.10B,1.16,$0.44B,$0.27B,62.56%,$0.44B,$0.02B,3.88%,$0.44B,$0.02B,3.88%,$0.44B,$0.06B,13.01%,$0.44B,$0.02B,3.88%,$0.44B,$0.01B,2.28%,$0.01B,$0.10B,10.72%,$0.01B,$0.10B,10.72%,$0.01B,$0.37B,2.66%,$0.02B,$0.21B,8.10%,$109,$43,$66,$0,$31,$107,$3,$1,$4,$1,$2,$2,$2,$13,$3,$6,6,$0.36,$0.36,$26,$2,$0,$101,$267,$0,$0,$2,$269,$370,$82,$111,$0,$192,$274,$0,$131,$7,$96,$370,$2,$11,$-0,$10,$-4,$0,$0,$1,$-0,$12,$-0,$0,$0,$2,$0,$2,$0,$2,$-11,$-4,$-15,$0,$0,$0,$0,$-15,$0,$0,$0
7,2016-12-31,25.98,$14.72,1.77,$64.70,0.4,$1.50,17.28,$1.66,15.65,$0.10B,$0.08B,1.24,$0.12B,$0.09B,1.32,$0.43B,$0.27B,63.28%,$0.43B,$0.02B,4.62%,$0.43B,$0.02B,4.62%,$0.43B,$0.06B,13.63%,$0.43B,$0.02B,4.16%,$0.43B,$0.01B,2.54%,$0.01B,$0.09B,11.52%,$0.01B,$0.09B,11.52%,$0.01B,$0.38B,2.91%,$0.02B,$0.22B,9.55%,$108,$40,$68,$0,$33,$107,$2,$-1,$1,$0,$1,$1,$1,$12,$2,$7,7,$0.12,$0.12,$28,$2,$0,$100,$277,$0,$0,$2,$280,$380,$81,$124,$0,$205,$286,$0,$129,$7,$94,$380,$11,$39,$2,$41,$-7,$0,$3,$-1,$-5,$47,$-54,$0,$0,$1,$0,$1,$0,$-53,$36,$-10,$26,$-21,$-21,$0,$0,$5,$-0,$0,$0
8,2016-09-30,20.02,$14.42,1.39,$62.39,0.32,$-1.72,0.0,$2.00,10.01,$0.11B,$0.09B,1.18,$0.11B,$0.09B,1.24,$0.43B,$0.27B,63.70%,$0.43B,$0.02B,5.39%,$0.43B,$0.02B,5.39%,$0.43B,$0.06B,14.29%,$0.43B,$0.02B,5.15%,$0.43B,$0.01B,3.04%,$0.01B,$0.09B,13.33%,$0.01B,$0.09B,13.33%,$0.01B,$0.38B,3.49%,$0.02B,$0.21B,11.22%,$109,$40,$69,$0,$32,$104,$5,$0,$6,$2,$3,$3,$3,$15,$5,$6,6,$0.54,$0.53,$26,$2,$0,$107,$267,$0,$0,$2,$269,$376,$91,$114,$0,$193,$284,$0,$128,$6,$92,$376,$10,$29,$3,$31,$-10,$0,$10,$0,$0,$42,$-31,$0,$0,$1,$0,$1,$-5,$-36,$19,$-4,$15,$-21,$-21,$0,$0,$-6,$-0,$0,$0
9,2016-06-30,15.89,$14.05,1.13,$60.29,0.26,$-4.68,0.0,$2.27,7.0,$0.11B,$0.10B,1.13,$0.12B,$0.09B,1.27,$0.43B,$0.28B,64.71%,$0.43B,$0.03B,6.59%,$0.43B,$0.03B,6.59%,$0.43B,$0.07B,15.29%,$0.43B,$0.03B,5.88%,$0.43B,$0.02B,3.76%,$0.02B,$0.09B,16.16%,$0.02B,$0.09B,16.16%,$0.02B,$0.38B,4.37%,$0.03B,$0.21B,14.16%,$112,$41,$71,$0,$32,$104,$7,$-1,$6,$2,$4,$4,$4,$17,$7,$7,7,$0.61,$0.61,$28,$2,$0,$107,$268,$0,$0,$2,$271,$378,$95,$115,$0,$193,$287,$0,$124,$7,$91,$378,$7,$19,$2,$21,$-12,$0,$9,$2,$0,$28,$-21,$0,$0,$-1,$0,$-1,$-4,$-26,$22,$-4,$18,$-20,$-20,$0,$0,$-2,$-0,$0,$0
