,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,33.95,$14.94,2.27,$6.79,5.0,$5.62,6.04,$1.61,21.09,$1.77B,$1.91B,0.92,$0.00B,$0.28B,0.0,$0.13B,$0.12B,94.57%,$0.13B,$0.05B,41.09%,$0.13B,0,0.00%,$0.13B,0,0.00%,$0.13B,$0.05B,37.21%,$0.13B,$0.03B,23.26%,$0.03B,$0.28B,11.18%,$0.03B,$0.25B,12.57%,$0.03B,$2.21B,1.39%,$0.05B,$0.28B,19.76%,$33,$2,$31,$0,$17,$19,$14,$0,$14,$3,$10,$10,$10,$0,$0,$19,19,$0.56,$0.55,$55,$0,$0,$1767,$37,$326,$29,$42,$446,$2213,$1914,$0,$19,$19,$1933,$0,$199,$-6,$280,$2213,$30,$4,$5,$9,$1,$0,$0,$5,$6,$45,$-9,$0,$0,$0,$8,$8,$-95,$-96,$0,$2,$2,$1,$1,$-6,$57,$55,$4,$1,$-6
1,2018-06-30,35.59,$14.54,2.45,$6.35,5.6,$5.35,6.65,$1.40,25.42,$1.74B,$1.87B,0.93,$0.00B,$0.27B,0.0,$0.12B,$0.11B,95.00%,$0.12B,$0.05B,40.00%,$0.12B,0,0.00%,$0.12B,0,0.00%,$0.12B,$0.04B,35.83%,$0.12B,$0.03B,21.67%,$0.03B,$0.27B,10.02%,$0.03B,$0.24B,10.95%,$0.03B,$2.16B,1.26%,$0.05B,$0.27B,18.50%,$33,$2,$31,$0,$17,$19,$14,$0,$14,$3,$10,$10,$10,$0,$0,$19,19,$0.56,$0.55,$52,$0,$0,$1741,$29,$311,$29,$41,$421,$2162,$1872,$0,$18,$18,$1890,$0,$191,$-5,$272,$2162,$19,$3,$3,$6,$-0,$0,$0,$2,$2,$27,$-0,$0,$0,$0,$26,$26,$-65,$-40,$0,$50,$50,$1,$1,$-4,$-33,$14,$1,$0,$-4
2,2018-03-31,32.1,$14.13,2.27,$5.91,5.43,$5.73,5.61,$1.20,26.75,$1.73B,$1.89B,0.92,$0.00B,$0.26B,0.0,$0.11B,$0.11B,95.50%,$0.11B,$0.04B,39.64%,$0.11B,0,0.00%,$0.11B,0,0.00%,$0.11B,$0.04B,35.14%,$0.11B,$0.02B,19.82%,$0.02B,$0.26B,8.75%,$0.02B,$0.24B,9.28%,$0.02B,$2.16B,1.13%,$0.04B,$0.26B,17.50%,$32,$1,$30,$0,$18,$20,$12,$-0,$12,$3,$9,$9,$9,$0,$0,$19,19,$0.48,$0.48,$42,$0,$0,$1727,$30,$329,$29,$39,$437,$2163,$1886,$0,$14,$14,$1900,$0,$182,$-4,$264,$2163,$9,$1,$2,$3,$0,$0,$0,$0,$1,$13,$-0,$0,$0,$0,$9,$9,$-61,$-52,$0,$39,$39,$1,$1,$-2,$-8,$30,$-9,$0,$-2
3,2017-12-31,30.03,$13.91,2.16,$5.47,5.49,$5.95,5.04,$1.08,27.8,$1.68B,$1.86B,0.91,$0.00B,$0.26B,0.0,$0.10B,$0.10B,96.08%,$0.10B,$0.04B,40.20%,$0.10B,0,0.00%,$0.10B,0,0.00%,$0.10B,$0.04B,35.29%,$0.10B,$0.02B,19.61%,$0.02B,$0.26B,8.20%,$0.02B,$0.23B,8.45%,$0.02B,$2.12B,1.09%,$0.04B,$0.26B,16.80%,$31,$1,$30,$0,$17,$18,$13,$0,$8,$7,$1,$1,$1,$0,$0,$18,18,$0.03,$0.03,$51,$0,$0,$1679,$30,$341,$30,$34,$445,$2124,$1855,$0,$11,$11,$1866,$0,$175,$-2,$257,$2124,$20,$5,$7,$12,$8,$0,$0,$-3,$5,$37,$-7,$0,$-112,$0,$75,$75,$-147,$-192,$0,$37,$37,$1,$1,$-6,$105,$138,$-17,$0,$-6
4,2017-09-30,32.07,$13.62,2.35,$5.09,6.3,$5.62,5.71,$1.41,22.74,$1.42B,$1.53B,0.93,$0.00B,$0.25B,0.0,$0.09B,$0.09B,96.81%,$0.09B,$0.04B,40.43%,$0.09B,0,0.00%,$0.09B,0,0.00%,$0.09B,$0.04B,40.43%,$0.09B,$0.03B,27.66%,$0.03B,$0.25B,10.97%,$0.03B,$0.25B,10.98%,$0.03B,$1.79B,1.51%,$0.04B,$0.25B,16.03%,$24,$1,$23,$0,$14,$15,$9,$0,$9,$3,$6,$6,$6,$0,$0,$18,18,$0.35,$0.34,$207,$0,$0,$1422,$26,$305,$0,$27,$368,$1790,$1532,$0,$12,$12,$1545,$0,$175,$-1,$245,$1790,$19,$4,$2,$6,$9,$0,$-0,$2,$12,$37,$-6,$0,$0,$0,$105,$105,$-97,$2,$0,$1,$1,$1,$1,$-4,$103,$100,$139,$0,$-4
5,2017-06-30,26.4,$13.37,1.97,$5.05,5.23,$5.39,4.89,$1.41,18.72,$1.26B,$1.47B,0.86,$0.00B,$0.24B,0.0,$0.09B,$0.09B,96.77%,$0.09B,$0.04B,41.94%,$0.09B,0,0.00%,$0.09B,0,0.00%,$0.09B,$0.04B,41.94%,$0.09B,$0.03B,27.96%,$0.03B,$0.24B,11.21%,$0.03B,$0.24B,11.22%,$0.03B,$1.72B,1.54%,$0.04B,$0.24B,16.81%,$24,$1,$23,$0,$13,$13,$10,$0,$10,$4,$6,$6,$6,$0,$0,$18,18,$0.36,$0.35,$57,$0,$0,$1255,$24,$405,$0,$26,$464,$1718,$1465,$0,$14,$14,$1478,$0,$171,$-1,$240,$1718,$13,$3,$1,$4,$13,$0,$-0,$5,$18,$35,$-3,$0,$0,$0,$5,$5,$-82,$-80,$0,$0,$0,$1,$1,$-3,$36,$34,$-11,$0,$-3
6,2017-03-31,25.97,$13.07,1.99,$4.99,5.21,$4.87,5.33,$1.37,18.96,$1.25B,$1.47B,0.85,$0.00B,$0.23B,0.0,$0.09B,$0.09B,97.80%,$0.09B,$0.04B,41.76%,$0.09B,0,0.00%,$0.09B,0,0.00%,$0.09B,$0.04B,41.76%,$0.09B,$0.03B,28.57%,$0.03B,$0.23B,11.45%,$0.03B,$0.23B,11.47%,$0.03B,$1.72B,1.57%,$0.04B,$0.23B,16.74%,$23,$1,$22,$0,$13,$13,$9,$0,$9,$3,$7,$7,$7,$0,$0,$18,18,$0.36,$0.36,$91,$0,$0,$1245,$23,$414,$0,$26,$473,$1718,$1472,$0,$11,$11,$1483,$0,$166,$-1,$234,$1718,$7,$1,$0,$2,$8,$0,$-0,$2,$10,$18,$-1,$0,$0,$0,$-4,$-4,$-32,$-38,$0,$0,$0,$0,$0,$-1,$44,$43,$23,$0,$-1
7,2016-12-31,26.28,$12.82,2.05,$4.92,5.34,$4.78,5.5,$1.30,20.22,$1.20B,$1.43B,0.84,$0.00B,$0.23B,0.0,$0.09B,$0.09B,97.75%,$0.09B,$0.04B,41.57%,$0.09B,0,0.00%,$0.09B,0,0.00%,$0.09B,$0.04B,41.57%,$0.09B,$0.02B,26.97%,$0.02B,$0.23B,10.80%,$0.02B,$0.23B,10.81%,$0.02B,$1.67B,1.49%,$0.04B,$0.23B,16.65%,$23,$1,$23,$0,$13,$13,$10,$0,$10,$3,$7,$7,$7,$0,$0,$18,18,$0.37,$0.36,$68,$0,$0,$1197,$22,$411,$1,$25,$468,$1666,$1429,$0,$9,$9,$1437,$0,$161,$-1,$229,$1666,$24,$6,$1,$6,$-3,$0,$-0,$-1,$-4,$26,$-2,$0,$0,$0,$-14,$-14,$-71,$-88,$0,$-24,$-24,$1,$1,$-5,$116,$88,$26,$0,$-5
8,2016-09-30,19.84,$12.66,1.57,$4.89,4.06,$4.66,4.26,$1.21,16.4,$1.21B,$1.42B,0.85,$0.00B,$0.23B,0.0,$0.09B,$0.08B,96.55%,$0.09B,$0.03B,39.08%,$0.09B,0,0.00%,$0.09B,0,0.00%,$0.09B,$0.03B,39.08%,$0.09B,$0.02B,25.29%,$0.02B,$0.23B,10.13%,$0.02B,$0.23B,10.13%,$0.02B,$1.65B,1.39%,$0.03B,$0.23B,15.65%,$23,$1,$22,$0,$12,$13,$10,$0,$10,$4,$6,$6,$6,$0,$0,$18,18,$0.35,$0.34,$98,$0,$0,$1208,$22,$389,$0,$26,$446,$1654,$1415,$0,$13,$13,$1429,$0,$156,$1,$225,$1654,$17,$4,$1,$5,$3,$0,$-0,$3,$6,$28,$-2,$0,$0,$0,$11,$11,$-57,$-48,$0,$-24,$-24,$1,$1,$-4,$103,$76,$56,$0,$-4
9,2016-06-30,16.12,$12.42,1.3,$4.77,3.38,$3.83,4.21,$1.16,13.9,$1.18B,$1.35B,0.88,$0.00B,$0.22B,0.0,$0.08B,$0.08B,97.62%,$0.08B,$0.03B,38.10%,$0.08B,0,0.00%,$0.08B,0,0.00%,$0.08B,$0.03B,38.10%,$0.08B,$0.02B,25.00%,$0.02B,$0.22B,9.87%,$0.02B,$0.22B,9.87%,$0.02B,$1.58B,1.34%,$0.03B,$0.22B,15.04%,$22,$1,$22,$0,$13,$13,$9,$0,$9,$3,$6,$6,$6,$0,$0,$18,18,$0.31,$0.31,$87,$0,$0,$1184,$22,$344,$0,$26,$399,$1583,$1350,$0,$13,$13,$1363,$0,$151,$1,$220,$1583,$11,$3,$1,$4,$6,$0,$-0,$3,$10,$24,$-1,$0,$0,$0,$58,$58,$-48,$9,$0,$-24,$-24,$1,$1,$-2,$37,$11,$44,$0,$-2
