,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,13.17,$0.00,0.0,$7.33,1.8,$3.73,3.53,$0.63,20.9,$0.67B,$0.51B,1.32,$0.00B,$0.38B,0.0,$0.45B,$0.23B,51.33%,$0.45B,$0.07B,14.44%,$0.45B,$0.07B,14.44%,$0.45B,$0.08B,17.33%,$0.45B,$0.07B,14.44%,$0.45B,$0.05B,11.11%,$0.05B,$0.37B,13.44%,$0.05B,$0.21B,25.67%,$0.05B,$0.90B,6.30%,$0.07B,$0.37B,17.47%,$121,$59,$62,$0,$39,$105,$16,$1,$17,$4,$13,$13,$13,$19,$16,$62,62,$0.21,$0.21,$532,$0,$11,$674,$17,$24,$166,$2,$225,$899,$511,$0,$3,$14,$525,$0,$125,$0,$374,$899,$52,$9,$-1,$8,$5,$0,$11,$-54,$95,$161,$-9,$-4,$4,$0,$-4,$-4,$0,$-13,$0,$0,$0,$0,$0,$0,$0,$0,$159,$8,$0
1,2018-06-30,15.75,$0.00,0.0,$6.76,2.33,$1.32,11.94,$0.85,18.53,$0.53B,$0.37B,1.42,$0.00B,$0.37B,0.0,$0.42B,$0.22B,51.80%,$0.42B,$0.07B,15.83%,$0.42B,$0.07B,15.83%,$0.42B,$0.08B,18.94%,$0.42B,$0.06B,15.35%,$0.42B,$0.05B,12.23%,$0.05B,$0.37B,13.89%,$0.05B,$0.20B,27.57%,$0.05B,$0.76B,6.98%,$0.07B,$0.37B,17.97%,$111,$55,$56,$0,$35,$94,$17,$1,$18,$4,$15,$15,$15,$20,$17,$61,61,$0.24,$0.24,$400,$0,$12,$529,$16,$25,$170,$1,$230,$758,$373,$0,$3,$15,$388,$0,$117,$0,$370,$758,$37,$6,$-3,$3,$25,$0,$-22,$-30,$-2,$38,$-7,$-2,$0,$0,$-4,$-4,$0,$-13,$0,$0,$0,$0,$0,$0,$0,$0,$33,$3,$0
2,2018-03-31,19.11,$0.00,0.0,$6.27,3.05,$0.88,21.79,$0.91,21.0,$0.50B,$0.35B,1.42,$0.00B,$0.38B,0.0,$0.39B,$0.20B,52.45%,$0.39B,$0.07B,17.57%,$0.39B,$0.07B,17.57%,$0.39B,$0.08B,20.93%,$0.39B,$0.07B,17.57%,$0.39B,$0.05B,13.95%,$0.05B,$0.38B,14.95%,$0.05B,$0.19B,30.73%,$0.05B,$0.75B,7.80%,$0.07B,$0.38B,18.82%,$112,$54,$58,$0,$33,$90,$22,$0,$20,$4,$16,$16,$16,$25,$22,$61,61,$0.27,$0.26,$361,$0,$11,$501,$17,$37,$188,$1,$247,$748,$354,$0,$0,$12,$366,$0,$111,$0,$382,$748,$20,$3,$0,$3,$38,$0,$-55,$-14,$-27,$-3,$-5,$-1,$0,$0,$-2,$-2,$0,$-9,$0,$0,$0,$0,$0,$0,$0,$0,$-14,$1,$0
3,2017-12-31,17.33,$5.94,2.92,$5.76,3.01,$0.75,23.07,$0.89,19.47,$0.53B,$0.39B,1.35,$0.00B,$0.36B,0.0,$0.36B,$0.19B,53.22%,$0.36B,$0.07B,19.05%,$0.36B,$0.07B,19.05%,$0.36B,$0.08B,22.97%,$0.36B,$0.07B,18.49%,$0.36B,$0.05B,14.85%,$0.05B,$0.36B,14.95%,$0.05B,$0.18B,31.64%,$0.05B,$0.77B,7.98%,$0.07B,$0.36B,19.18%,$106,$51,$55,$0,$40,$96,$10,$-2,$10,$4,$7,$7,$6,$14,$10,$61,61,$0.12,$0.11,$356,$0,$11,$532,$12,$36,$185,$1,$239,$771,$394,$0,$0,$14,$409,$0,$98,$0,$362,$771,$66,$14,$-2,$11,$-63,$0,$58,$-30,$-19,$61,$-6,$-14,$0,$0,$-8,$-8,$0,$-28,$0,$0,$0,$0,$0,$-37,$-0,$-37,$-10,$7,$-37
4,2017-09-30,16.94,$0.00,0.0,$5.13,3.3,$1.13,14.97,$0.72,23.53,$0.39B,$0.28B,1.42,$0.00B,$0.35B,0.0,$0.32B,$0.17B,52.83%,$0.32B,$0.06B,17.92%,$0.32B,$0.06B,17.92%,$0.32B,$0.07B,22.01%,$0.32B,$0.05B,16.67%,$0.32B,$0.04B,13.52%,$0.04B,$0.36B,12.68%,$0.04B,$0.17B,27.43%,$0.04B,$0.65B,6.93%,$0.06B,$0.36B,16.81%,$88,$41,$47,$0,$27,$71,$17,$0,$16,$2,$14,$14,$14,$20,$17,$64,64,$0.22,$0.22,$298,$0,$12,$393,$10,$36,$186,$17,$253,$646,$277,$0,$0,$14,$291,$0,$91,$0,$355,$646,$55,$10,$-3,$7,$15,$0,$-35,$-10,$-42,$21,$-18,$-3,$0,$0,$-8,$-8,$0,$-30,$0,$0,$0,$0,$0,$-37,$0,$-37,$-52,$5,$-37
5,2017-06-30,24.37,$0.00,0.0,$4.84,5.04,$1.49,16.35,$0.75,32.49,$0.37B,$0.25B,1.5,$0.00B,$0.35B,0.0,$0.30B,$0.16B,52.67%,$0.30B,$0.06B,20.67%,$0.30B,$0.06B,20.67%,$0.30B,$0.08B,25.00%,$0.30B,$0.06B,18.67%,$0.30B,$0.05B,15.00%,$0.05B,$0.35B,13.51%,$0.05B,$0.16B,30.00%,$0.05B,$0.61B,7.46%,$0.06B,$0.35B,18.62%,$81,$38,$43,$0,$21,$62,$19,$3,$22,$3,$18,$18,$18,$22,$19,$61,61,$0.30,$0.30,$304,$0,$9,$372,$10,$36,$183,$1,$234,$606,$248,$0,$0,$12,$260,$0,$89,$0,$346,$606,$39,$7,$-5,$2,$37,$0,$-56,$-1,$-35,$5,$-1,$-2,$-14,$0,$4,$4,$0,$-13,$0,$0,$0,$0,$0,$-24,$0,$-24,$-35,$2,$-24
6,2017-03-31,16.77,$0.00,0.0,$4.70,3.57,$1.10,15.25,$0.69,24.31,$0.39B,$0.26B,1.49,$0.00B,$0.36B,0.0,$0.29B,$0.15B,52.43%,$0.29B,$0.07B,22.57%,$0.29B,$0.07B,22.57%,$0.29B,$0.08B,27.08%,$0.29B,$0.05B,18.06%,$0.29B,$0.04B,14.24%,$0.04B,$0.36B,12.53%,$0.04B,$0.16B,28.62%,$0.04B,$0.63B,7.00%,$0.07B,$0.36B,19.86%,$82,$37,$45,$0,$19,$60,$22,$-4,$18,$3,$15,$15,$15,$26,$22,$63,63,$0.24,$0.24,$328,$0,$9,$391,$10,$29,$194,$1,$244,$634,$263,$0,$0,$16,$279,$0,$88,$0,$355,$634,$18,$4,$1,$5,$46,$0,$-67,$0,$-38,$-15,$-1,$-1,$-14,$0,$-23,$-23,$0,$-39,$0,$0,$0,$0,$0,$0,$0,$0,$-60,$1,$0
7,2016-12-31,12.35,$4.94,2.5,$4.34,2.84,$0.75,16.4,$0.62,19.92,$0.41B,$0.28B,1.44,$0.00B,$0.30B,0.0,$0.27B,$0.14B,51.87%,$0.27B,$0.06B,23.13%,$0.27B,$0.06B,23.13%,$0.27B,$0.07B,27.61%,$0.27B,$0.05B,17.54%,$0.27B,$0.04B,13.81%,$0.04B,$0.30B,11.74%,$0.04B,$0.13B,27.46%,$0.04B,$0.60B,6.67%,$0.06B,$0.30B,19.67%,$67,$35,$33,$0,$17,$68,$-1,$-3,$-3,$-2,$-4,$-4,$-4,$2,$-1,$60,61,$-0.06,$-0.05,$312,$0,$11,$408,$9,$8,$165,$1,$187,$595,$283,$0,$0,$13,$296,$0,$72,$0,$300,$595,$47,$12,$22,$34,$-11,$0,$15,$-2,$4,$83,$-6,$-4,$-0,$0,$13,$13,$0,$3,$-0,$0,$-0,$0,$0,$-69,$-0,$-70,$-5,$3,$-69
8,2016-09-30,13.91,$0.00,0.0,$4.34,3.21,$-0.82,0.0,$0.95,14.65,$0.37B,$0.23B,1.6,$0.00B,$0.33B,0.0,$0.27B,$0.13B,49.25%,$0.27B,$0.07B,24.63%,$0.27B,$0.07B,24.63%,$0.27B,$0.08B,29.85%,$0.27B,$0.07B,27.61%,$0.27B,$0.06B,21.64%,$0.06B,$0.33B,17.43%,$0.06B,$0.14B,40.49%,$0.06B,$0.58B,10.04%,$0.07B,$0.33B,19.83%,$70,$33,$37,$0,$12,$48,$22,$-2,$19,$4,$16,$16,$16,$25,$22,$62,64,$0.26,$0.25,$293,$0,$16,$366,$8,$8,$190,$1,$211,$577,$229,$0,$0,$16,$245,$0,$92,$0,$331,$577,$52,$9,$5,$14,$23,$0,$-46,$0,$-33,$30,$-4,$-3,$0,$0,$14,$14,$0,$7,$0,$0,$0,$0,$0,$-60,$0,$-60,$-42,$2,$-60
9,2016-06-30,12.26,$0.00,0.0,$4.41,2.78,$-2.66,0.0,$1.19,10.3,$0.33B,$0.20B,1.68,$0.00B,$0.32B,0.0,$0.27B,$0.13B,47.58%,$0.27B,$0.06B,22.68%,$0.27B,$0.06B,22.68%,$0.27B,$0.07B,27.51%,$0.27B,$0.09B,32.71%,$0.27B,$0.07B,27.14%,$0.07B,$0.32B,22.17%,$0.07B,$0.14B,52.05%,$0.07B,$0.54B,12.81%,$0.06B,$0.32B,18.53%,$69,$33,$36,$0,$11,$47,$22,$-4,$18,$4,$14,$14,$14,$25,$22,$58,58,$0.24,$0.24,$263,$0,$12,$330,$7,$6,$187,$1,$205,$536,$197,$0,$0,$16,$213,$0,$89,$0,$323,$536,$32,$6,$4,$10,$24,$0,$-64,$2,$-56,$-17,$-2,$-2,$0,$0,$-2,$-2,$0,$-6,$0,$0,$0,$0,$0,$-45,$0,$-45,$-85,$0,$-45
