,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,21.29,$12.64,1.68,$25.81,0.82,$5.92,3.6,$2.91,7.32,$3.64B,$3.77B,0.97,$5.89B,$5.76B,1.02,$13.04B,$4.55B,34.90%,$13.04B,$1.26B,9.64%,$13.04B,$1.26B,9.64%,$13.04B,$1.88B,14.40%,$13.04B,$1.55B,11.90%,$13.04B,$2.11B,16.15%,$2.11B,$5.76B,30.51%,$2.11B,$-6.28B,-40.15%,$2.11B,$17.67B,10.75%,$1.26B,$11.64B,9.37%,$3231,$2109,$1122,$0,$718,$2994,$237,$-149,$88,$6,$82,$82,$72,$404,$237,$459,461,$0.16,$0.16,$532,$1727,$198,$3643,$1300,$554,$12036,$140,$14030,$17673,$3768,$5885,$255,$8148,$11916,$5,$5747,$-116,$5757,$17673,$677,$489,$-161,$328,$0,$0,$0,$444,$-38,$996,$-172,$0,$0,$0,$208,$208,$-120,$-84,$-273,$0,$-273,$-623,$-623,$0,$-387,$-1283,$-373,$67,$0
1,2018-06-30,20.91,$12.58,1.66,$23.22,0.9,$5.90,3.54,$3.01,6.95,$3.47B,$3.46B,1.0,$6.25B,$5.80B,1.08,$12.19B,$4.26B,34.91%,$12.19B,$1.23B,10.08%,$12.19B,$1.23B,10.08%,$12.19B,$1.86B,15.27%,$12.19B,$1.51B,12.38%,$12.19B,$2.33B,19.12%,$2.33B,$5.80B,31.69%,$2.33B,$-6.31B,-54.17%,$2.33B,$17.83B,11.35%,$1.23B,$12.05B,8.67%,$3233,$2050,$1183,$0,$666,$2875,$358,$-135,$223,$25,$198,$198,$187,$517,$358,$467,471,$0.40,$0.40,$657,$1510,$200,$3470,$1303,$824,$12106,$126,$14359,$17829,$3459,$6253,$225,$8569,$12028,$5,$5784,$-102,$5801,$17829,$595,$322,$-131,$191,$0,$0,$0,$188,$-75,$711,$-98,$0,$0,$0,$-50,$-50,$-58,$-206,$121,$0,$121,$-493,$-493,$0,$-384,$-756,$-247,$46,$0
2,2018-03-31,24.49,$12.62,1.94,$20.70,1.18,$5.91,4.14,$2.85,8.59,$4.30B,$3.94B,1.09,$6.39B,$5.97B,1.07,$11.31B,$3.93B,34.76%,$11.31B,$1.12B,9.94%,$11.31B,$1.12B,9.94%,$11.31B,$1.80B,15.95%,$11.31B,$1.54B,13.58%,$11.31B,$2.32B,20.50%,$2.32B,$5.97B,29.80%,$2.32B,$-6.22B,-68.41%,$2.32B,$18.72B,10.88%,$1.12B,$12.36B,7.62%,$3230,$2093,$1137,$0,$680,$2936,$294,$-9,$285,$29,$256,$256,$384,$457,$294,$562,568,$0.68,$0.68,$1055,$1510,$465,$4303,$1357,$815,$12191,$49,$14412,$18715,$3937,$6388,$332,$8810,$12747,$5,$5853,$3,$5968,$18715,$397,$163,$-207,$-44,$0,$0,$0,$22,$-65,$288,$-47,$0,$0,$0,$-22,$-22,$-20,$-89,$672,$0,$672,$-217,$-217,$0,$-516,$-61,$151,$23,$0
3,2017-12-31,24.55,$18.00,1.36,$19.32,1.27,$6.22,3.95,$2.75,8.93,$4.17B,$3.44B,1.21,$7.55B,$10.08B,0.75,$10.40B,$3.62B,34.75%,$10.40B,$1.04B,10.02%,$10.40B,$1.04B,10.02%,$10.40B,$1.77B,16.99%,$10.40B,$1.52B,14.64%,$10.40B,$2.44B,23.46%,$2.44B,$10.08B,30.15%,$2.44B,$-2.18B,-94.59%,$2.44B,$24.12B,11.18%,$1.04B,$17.64B,6.85%,$3344,$2236,$1108,$0,$574,$2976,$368,$588,$956,$-1091,$2047,$2047,$1463,$499,$368,$531,535,$2.78,$2.75,$903,$1411,$125,$4165,$1341,$2672,$12259,$50,$19957,$24122,$3441,$7553,$242,$10598,$14039,$6,$9068,$-133,$10083,$24122,$2487,$725,$-1802,$-1077,$0,$0,$0,$-143,$82,$1492,$-204,$0,$22,$0,$-156,$-156,$-53,$-391,$-162,$0,$-162,$-765,$-765,$0,$-109,$-1036,$78,$123,$0
4,2017-09-30,24.21,$14.44,1.68,$18.20,1.33,$5.78,4.19,$1.10,22.01,$3.12B,$2.65B,1.18,$7.05B,$7.56B,0.93,$10.22B,$3.58B,35.05%,$10.22B,$1.05B,10.24%,$10.22B,$1.05B,10.24%,$10.22B,$1.85B,18.12%,$10.22B,$1.05B,10.26%,$10.22B,$1.30B,12.69%,$1.30B,$7.56B,17.79%,$1.30B,$-2.50B,-44.56%,$1.30B,$21.45B,6.21%,$1.05B,$14.61B,7.31%,$2381,$1554,$827,$0,$439,$2173,$208,$-163,$45,$-33,$78,$78,$296,$388,$208,$534,539,$0.55,$0.55,$895,$1197,$81,$3118,$1117,$7122,$10060,$30,$18329,$21447,$2646,$7050,$177,$11242,$13888,$6,$7605,$-157,$7559,$21447,$1011,$594,$-628,$-34,$0,$0,$0,$162,$95,$1080,$-126,$0,$0,$0,$-140,$-140,$-36,$-302,$-228,$0,$-228,$-452,$-452,$0,$-40,$-720,$71,$59,$0
5,2017-06-30,24.8,$13.97,1.78,$17.66,1.4,$5.36,4.63,$0.97,25.57,$2.98B,$2.47B,1.21,$6.94B,$7.50B,0.93,$10.25B,$3.59B,35.04%,$10.25B,$1.00B,9.71%,$10.25B,$1.00B,9.71%,$10.25B,$1.85B,18.00%,$10.25B,$1.65B,16.04%,$10.25B,$1.47B,14.34%,$1.47B,$7.50B,20.34%,$1.47B,$-2.65B,-47.06%,$1.47B,$20.97B,7.07%,$1.00B,$14.43B,6.96%,$2352,$1494,$858,$0,$398,$2098,$254,$-4,$250,$76,$174,$174,$175,$460,$254,$536,541,$0.33,$0.32,$905,$1096,$86,$2978,$1116,$6696,$10152,$31,$17995,$20973,$2470,$6935,$149,$11004,$13474,$6,$7574,$-185,$7499,$20973,$703,$414,$-454,$-40,$0,$0,$0,$299,$120,$783,$-74,$0,$0,$0,$-118,$-118,$-29,$-221,$-298,$0,$-298,$-152,$-152,$0,$-41,$-491,$80,$37,$0
6,2017-03-31,19.88,$13.51,1.47,$17.39,1.14,$4.92,4.04,$0.99,20.08,$2.92B,$2.43B,1.2,$7.01B,$7.25B,0.97,$10.46B,$3.68B,35.14%,$10.46B,$0.99B,9.48%,$10.46B,$0.99B,9.48%,$10.46B,$1.86B,17.75%,$10.46B,$1.99B,19.06%,$10.46B,$1.67B,16.00%,$1.67B,$7.25B,23.57%,$1.67B,$-2.99B,-48.93%,$1.67B,$20.76B,8.08%,$0.99B,$14.26B,7.05%,$2327,$1505,$822,$0,$401,$2114,$213,$59,$272,$84,$188,$188,$507,$421,$213,$538,541,$0.94,$0.94,$821,$1050,$80,$2920,$1124,$6440,$10239,$35,$17838,$20758,$2425,$7013,$162,$11086,$13511,$6,$7399,$-243,$7247,$20758,$519,$208,$-393,$-185,$0,$0,$0,$254,$92,$426,$-30,$0,$0,$0,$-21,$-21,$-1,$-52,$-205,$0,$-205,$-152,$-152,$0,$-30,$-387,$-4,$16,$0
7,2016-12-31,20.25,$12.62,1.6,$17.05,1.19,$4.57,4.43,$0.97,20.88,$3.17B,$2.53B,1.25,$7.17B,$6.86B,1.04,$10.65B,$3.74B,35.12%,$10.65B,$0.97B,9.09%,$10.65B,$0.97B,9.09%,$10.65B,$1.84B,17.30%,$10.65B,$1.85B,17.39%,$10.65B,$1.24B,11.60%,$1.24B,$6.86B,17.70%,$1.24B,$-3.50B,-33.11%,$1.24B,$20.36B,5.95%,$0.97B,$14.03B,7.04%,$3162,$2086,$1076,$0,$493,$2790,$372,$110,$482,$158,$324,$324,$319,$583,$372,$610,616,$0.54,$0.54,$825,$968,$68,$3169,$1131,$5664,$10359,$32,$17186,$20355,$2534,$7166,$158,$10960,$13494,$6,$7032,$-266,$6861,$20355,$1274,$874,$-724,$150,$0,$0,$0,$136,$19,$1443,$-233,$0,$0,$910,$-2133,$-1223,$-36,$-1492,$-1071,$0,$-1071,$-799,$-799,$0,$298,$-1572,$-1624,$5,$0
8,2016-09-30,20.11,$11.97,1.68,$17.32,1.16,$3.90,5.16,$1.01,19.91,$2.70B,$2.42B,1.12,$7.26B,$7.30B,0.99,$10.86B,$3.82B,35.21%,$10.86B,$0.96B,8.84%,$10.86B,$0.96B,8.84%,$10.86B,$1.85B,17.02%,$10.86B,$1.37B,12.59%,$10.86B,$1.21B,11.15%,$1.21B,$7.30B,17.34%,$1.21B,$-3.35B,-30.87%,$1.21B,$21.03B,5.77%,$0.96B,$14.56B,6.94%,$2412,$1575,$837,$0,$455,$2255,$157,$484,$641,$190,$451,$451,$469,$382,$157,$615,622,$0.76,$0.75,$505,$1189,$154,$2696,$1211,$6415,$10653,$57,$18336,$21032,$2415,$7255,$182,$11315,$13730,$6,$7381,$-198,$7302,$21032,$944,$663,$-552,$111,$0,$0,$0,$349,$-35,$1020,$-177,$0,$0,$910,$-2117,$-1207,$-14,$-1398,$-941,$0,$-941,$-603,$-603,$0,$-44,$-1588,$-1944,$-17,$0
9,2016-06-30,24.89,$11.30,2.2,$16.98,1.47,$3.59,6.93,$1.21,20.57,$2.71B,$3.21B,0.84,$6.44B,$6.99B,0.92,$10.60B,$3.78B,35.67%,$10.60B,$1.05B,9.91%,$10.60B,$1.05B,9.91%,$10.60B,$1.86B,17.57%,$10.60B,$1.01B,9.53%,$10.60B,$0.93B,8.79%,$0.93B,$6.99B,14.10%,$0.93B,$-3.84B,-24.54%,$0.93B,$20.69B,4.59%,$1.05B,$13.43B,7.84%,$2563,$1621,$942,$0,$471,$2313,$250,$349,$599,$212,$387,$387,$379,$471,$250,$621,628,$0.61,$0.60,$510,$1088,$204,$2714,$1230,$5856,$10837,$56,$17979,$20693,$3214,$6440,$288,$10485,$13699,$6,$7065,$-191,$6994,$20693,$466,$438,$-117,$321,$0,$0,$0,$392,$-116,$671,$-125,$0,$0,$910,$-2313,$-1403,$-1,$-1529,$-654,$0,$-654,$-417,$-417,$0,$-23,$-1094,$-1939,$-36,$0
