,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2015-03-31,2.22,$0.00,0.0,$0.77,2.88,$1.14,1.94,$0.01,222.32,$0.12B,$0.03B,4.11,$0.03B,$0.24B,0.11,$0.09B,$0.03B,26.88%,$0.09B,$0.01B,10.75%,$0.09B,$0.01B,10.75%,$0.09B,$0.05B,48.39%,$0.09B,$0.01B,10.75%,$0.09B,$0.00B,2.15%,$0.00B,$0.24B,0.81%,$0.00B,$0.09B,2.37%,$0.00B,$0.30B,0.62%,$0.01B,$0.26B,3.61%,$20,$14,$5,$1,$7,$31,$-12,$0,$-11,$-2,$-9,$-9,$-9,$5,$-12,$119,119,$-0.08,$-0.08,$118,$0,$0,$121,$2,$0,$152,$0,$176,$296,$29,$26,$4,$30,$59,$428,$-223,$16,$237,$296,$-5,$9,$1,$10,$1,$0,$0,$-2,$-2,$2,$-0,$-7,$0,$0,$0,$0,$0,$-7,$0,$0,$0,$-0,$-0,$-5,$1,$-4,$-9,$0,$-5
1,2014-12-31,2.65,$2.04,1.3,$0.82,3.24,$1.30,2.04,$0.08,33.09,$0.13B,$0.04B,3.59,$0.03B,$0.25B,0.11,$0.10B,$0.04B,35.35%,$0.10B,$0.02B,20.20%,$0.10B,$0.02B,20.20%,$0.10B,$0.06B,55.56%,$0.10B,$0.02B,21.21%,$0.10B,$0.01B,11.11%,$0.01B,$0.25B,4.37%,$0.01B,$0.09B,12.54%,$0.01B,$0.31B,3.35%,$0.02B,$0.27B,7.08%,$20,$17,$4,$1,$7,$31,$-11,$1,$-10,$-2,$-8,$-8,$-8,$11,$-11,$119,119,$-0.07,$-0.07,$128,$0,$0,$130,$2,$0,$159,$0,$183,$313,$36,$27,$4,$31,$67,$426,$-213,$16,$246,$313,$10,$35,$9,$44,$10,$0,$0,$-4,$5,$59,$-0,$-43,$0,$0,$0,$0,$0,$-43,$0,$0,$0,$0,$0,$-19,$0,$-18,$-4,$2,$-19
2,2014-09-30,3.14,$0.00,0.0,$0.88,3.59,$0.72,4.35,$0.10,31.44,$0.13B,$0.04B,3.39,$0.03B,$0.25B,0.12,$0.11B,$0.04B,38.68%,$0.11B,$0.02B,22.64%,$0.11B,$0.02B,22.64%,$0.11B,$0.06B,55.66%,$0.11B,$0.03B,24.53%,$0.11B,$0.01B,11.32%,$0.01B,$0.25B,4.74%,$0.01B,$0.08B,13.56%,$0.01B,$0.33B,3.59%,$0.02B,$0.28B,8.40%,$12,$12,$0,$1,$7,$27,$-15,$1,$-14,$-2,$-12,$-12,$-12,$12,$-15,$119,119,$-0.10,$-0.10,$126,$0,$0,$134,$2,$0,$166,$0,$191,$325,$40,$31,$5,$35,$75,$426,$-208,$16,$250,$325,$9,$26,$8,$34,$6,$0,$0,$-4,$2,$45,$-0,$-36,$0,$0,$0,$0,$0,$-37,$0,$0,$0,$0,$0,$-13,$0,$-13,$-6,$2,$-13
3,2014-06-30,2.74,$2.13,1.29,$0.84,3.26,$0.25,10.91,$0.05,54.86,$0.15B,$0.05B,2.78,$0.03B,$0.26B,0.13,$0.10B,$0.03B,28.43%,$0.10B,$0.01B,12.75%,$0.10B,$0.01B,12.75%,$0.10B,$0.05B,46.08%,$0.10B,$0.02B,14.71%,$0.10B,$0.01B,5.88%,$0.01B,$0.26B,2.36%,$0.01B,$0.08B,6.56%,$0.01B,$0.35B,1.76%,$0.01B,$0.29B,4.52%,$23,$14,$9,$1,$7,$27,$-4,$-11,$-15,$-3,$-12,$-12,$-12,$17,$-4,$119,119,$-0.10,$-0.10,$140,$0,$0,$146,$2,$0,$174,$0,$201,$347,$53,$34,$5,$39,$92,$426,$-202,$16,$256,$347,$10,$17,$4,$21,$7,$0,$0,$-3,$2,$33,$-0,$-16,$0,$0,$0,$0,$0,$-17,$0,$0,$0,$1,$1,$-9,$0,$-8,$8,$1,$-9
4,2014-03-31,2.54,$2.11,1.2,$0.79,3.2,$-0.04,0.0,$-0.06,0.0,$0.15B,$0.04B,3.91,$0.03B,$0.25B,0.13,$0.10B,$0.01B,14.58%,$0.10B,$-0.01B,-6.25%,$0.10B,$-0.01B,-6.25%,$0.10B,$0.03B,28.13%,$0.10B,$-0.00B,-4.17%,$0.10B,$-0.01B,-8.33%,$-0.01B,$0.25B,-3.11%,$-0.01B,$0.10B,-7.82%,$-0.01B,$0.33B,-2.37%,$-0.01B,$0.29B,-2.10%,$86,$18,$67,$1,$7,$35,$51,$-16,$35,$9,$26,$26,$26,$15,$51,$119,119,$0.22,$0.22,$142,$0,$0,$145,$2,$0,$155,$0,$184,$329,$37,$33,$6,$39,$76,$425,$-203,$16,$254,$329,$4,$9,$2,$11,$10,$0,$0,$-2,$6,$21,$-0,$-6,$0,$0,$0,$0,$0,$-6,$0,$0,$0,$0,$0,$-5,$0,$-4,$11,$1,$-5
5,2013-12-31,2.84,$2.11,1.34,$0.73,3.89,$-0.25,0.0,$-0.14,0.0,$0.14B,$0.04B,3.25,$0.03B,$0.25B,0.13,$0.09B,0,0.00%,$0.09B,$-0.02B,-22.73%,$0.09B,$-0.02B,-22.73%,$0.09B,$0.01B,12.50%,$0.09B,$-0.02B,-20.45%,$0.09B,$-0.02B,-20.45%,$-0.02B,$0.25B,-6.81%,$-0.02B,$0.09B,-15.35%,$-0.02B,$0.34B,-5.35%,$-0.02B,$0.29B,-7.01%,$19,$10,$9,$1,$4,$22,$-3,$1,$-3,$-6,$4,$4,$4,$15,$-3,$119,119,$0.03,$0.03,$132,$0,$0,$144,$2,$0,$163,$0,$193,$337,$44,$33,$7,$40,$84,$425,$-203,$16,$253,$337,$-18,$30,$-3,$26,$-11,$0,$0,$-4,$-18,$-9,$-2,$-10,$0,$0,$0,$0,$0,$-12,$0,$0,$0,$-7,$-7,$-18,$0,$-25,$-45,$4,$-18
6,2013-09-30,3.21,$0.00,0.0,$0.66,4.86,$0.12,27.87,$-0.18,0.0,$0.16B,$0.05B,3.1,$0.03B,$0.26B,0.13,$0.08B,$-0.01B,-10.00%,$0.08B,$-0.03B,-33.75%,$0.08B,$-0.03B,-33.75%,$0.08B,$0.00B,2.50%,$0.08B,$-0.03B,-32.50%,$0.08B,$-0.02B,-27.50%,$-0.02B,$0.26B,-8.02%,$-0.02B,$0.10B,-16.24%,$-0.02B,$0.35B,-6.56%,$-0.03B,$0.29B,-9.38%,$8,$7,$0,$0,$2,$15,$-8,$1,$-7,$0,$-7,$-7,$-7,$-0,$-8,$119,119,$-0.06,$-0.06,$142,$0,$0,$156,$2,$0,$160,$0,$192,$348,$50,$34,$8,$42,$92,$426,$-201,$16,$255,$348,$-21,$21,$-6,$15,$-11,$0,$0,$-4,$-5,$-11,$-2,$-4,$0,$0,$0,$0,$0,$-5,$-6,$0,$-6,$0,$0,$-14,$0,$-19,$-34,$3,$-14
7,2013-06-30,3.79,$0.00,0.0,$0.66,5.71,$0.35,10.71,$-0.11,0.0,$0.17B,$0.05B,3.5,$0.01B,$0.27B,0.05,$0.08B,$0.00B,5.00%,$0.08B,$-0.02B,-20.00%,$0.08B,$-0.02B,-20.00%,$0.08B,$0.01B,13.75%,$0.08B,$-0.02B,-18.75%,$0.08B,$-0.01B,-17.50%,$-0.01B,$0.27B,-4.92%,$-0.01B,$0.12B,-9.21%,$-0.01B,$0.34B,-4.22%,$-0.02B,$0.28B,-5.51%,$30,$0,$30,$0,$2,$20,$10,$0,$10,$1,$9,$9,$9,$-3,$10,$119,119,$0.07,$0.07,$159,$0,$0,$166,$1,$0,$145,$0,$173,$339,$47,$14,$9,$23,$71,$429,$-190,$16,$268,$339,$-14,$13,$-2,$11,$-5,$0,$0,$-3,$1,$-2,$-0,$-3,$0,$0,$0,$0,$0,$-3,$0,$0,$0,$-2,$-2,$-9,$0,$-11,$-17,$2,$-9
8,2013-03-31,3.24,$0.00,0.0,$0.67,4.83,$0.44,7.42,$-0.05,0.0,$0.17B,$0.03B,6.06,$0.00B,$0.28B,0.01,$0.08B,$0.02B,19.75%,$0.08B,$-0.01B,-6.17%,$0.08B,$-0.01B,-6.17%,$0.08B,$0.02B,25.93%,$0.08B,$-0.00B,-4.94%,$0.08B,$-0.01B,-7.41%,$-0.01B,$0.28B,-2.05%,$-0.01B,$0.16B,-3.62%,$-0.01B,$0.32B,-1.81%,$-0.01B,$0.28B,-1.69%,$17,$5,$11,$0,$2,$14,$3,$0,$3,$2,$1,$1,$1,$-1,$3,$119,119,$0.01,$0.01,$167,$0,$0,$174,$1,$0,$123,$0,$148,$323,$29,$2,$10,$12,$41,$431,$-177,$16,$282,$323,$-6,$7,$-2,$5,$-5,$0,$0,$-2,$-4,$-5,$-0,$-1,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$-0,$-0,$-4,$0,$-5,$-10,$1,$-4
9,2012-12-31,3.67,$2.40,1.53,$0.72,5.07,$0.53,6.96,$-0.12,0.0,$0.18B,$0.03B,7.15,$0.00B,$0.29B,0.01,$0.09B,$0.03B,36.36%,$0.09B,$0.02B,18.18%,$0.09B,$0.02B,18.18%,$0.09B,$0.07B,75.00%,$0.09B,$-0.02B,-18.18%,$0.09B,$-0.01B,-15.91%,$-0.01B,$0.29B,-4.70%,$-0.01B,$0.16B,-8.21%,$-0.01B,$0.33B,-4.15%,$0.02B,$0.30B,5.31%,$16,$6,$10,$0,$3,$19,$-3,$0,$-3,$0,$-3,$-3,$-3,$6,$-3,$119,119,$-0.03,$-0.03,$177,$0,$0,$178,$1,$0,$129,$0,$152,$331,$25,$3,$11,$14,$39,$431,$-166,$16,$292,$331,$-15,$51,$9,$60,$1,$0,$0,$-5,$-11,$34,$-0,$-25,$0,$-0,$-1,$-1,$0,$-27,$-249,$0,$-249,$3,$3,$-15,$0,$-260,$-257,$4,$-15
