,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,60.55,$3.69,16.4,$5.34,11.35,$-1.52,0.0,$-0.47,0.0,$0.34B,$0.06B,5.62,$0.18B,$0.16B,1.13,$0.23B,$0.11B,49.34%,$0.23B,$-0.03B,-11.01%,$0.23B,$-0.03B,-11.01%,$0.23B,$0.00B,1.76%,$0.23B,$-0.03B,-13.22%,$0.23B,$-0.03B,-13.22%,$-0.03B,$0.16B,-20.69%,$-0.03B,$0.14B,-24.59%,$-0.03B,$0.44B,-8.06%,$-0.03B,$0.34B,-8.98%,$61,$30,$30,$13,$23,$68,$-7,$-2,$-9,$-0,$-9,$-9,$-9,$1,$-7,$43,43,$-0.21,$-0.21,$300,$0,$0,$343,$35,$0,$21,$10,$92,$435,$61,$180,$1,$214,$275,$0,$-161,$-0,$160,$435,$-24,$24,$21,$45,$-10,$0,$1,$-16,$-25,$-4,$-12,$-0,$-0,$31,$-76,$-44,$0,$-57,$223,$0,$223,$33,$33,$0,$-42,$215,$154,$21,$0
1,2018-06-30,57.05,$3.69,15.44,$5.14,11.1,$-1.42,0.0,$-0.61,0.0,$0.33B,$0.06B,6.0,$0.18B,$0.16B,1.12,$0.22B,$0.11B,49.07%,$0.22B,$-0.02B,-11.11%,$0.22B,$-0.02B,-11.11%,$0.22B,$0.00B,1.39%,$0.22B,$-0.03B,-12.50%,$0.22B,$-0.03B,-12.50%,$-0.03B,$0.16B,-20.65%,$-0.03B,$0.14B,-25.41%,$-0.03B,$0.42B,-8.58%,$-0.02B,$0.34B,-10.96%,$59,$29,$29,$12,$23,$65,$-7,$-2,$-9,$-0,$-9,$-9,$-9,$1,$-7,$43,43,$-0.20,$-0.20,$281,$0,$1,$327,$37,$0,$22,$7,$91,$419,$55,$178,$1,$206,$260,$0,$-152,$-0,$158,$419,$-15,$15,$14,$29,$-14,$0,$-1,$-18,$-36,$-21,$-11,$0,$-0,$14,$-74,$-60,$0,$-72,$223,$0,$223,$30,$30,$0,$-42,$212,$119,$13,$0
2,2018-03-31,45.55,$3.65,12.47,$4.92,9.25,$-1.11,0.0,$-0.60,0.0,$0.33B,$0.06B,5.35,$0.18B,$0.16B,1.13,$0.21B,$0.10B,48.78%,$0.21B,$-0.03B,-12.20%,$0.21B,$-0.03B,-12.20%,$0.21B,0,0.00%,$0.21B,$-0.03B,-12.68%,$0.21B,$-0.03B,-12.68%,$-0.03B,$0.16B,-22.37%,$-0.03B,$0.13B,-28.73%,$-0.03B,$0.42B,-10.07%,$-0.03B,$0.33B,-15.63%,$55,$27,$28,$11,$21,$60,$-5,$-1,$-6,$-0,$-6,$-6,$-6,$2,$-5,$42,42,$-0.14,$-0.14,$296,$0,$0,$330,$37,$0,$23,$7,$91,$422,$62,$175,$0,$205,$267,$0,$-143,$-0,$155,$422,$-6,$7,$6,$14,$-4,$0,$-1,$-6,$-15,$-7,$-5,$0,$-0,$3,$0,$3,$0,$-3,$224,$0,$224,$25,$25,$0,$-42,$207,$197,$6,$0
3,2017-12-31,36.85,$2.54,14.5,$4.72,7.81,$-1.22,0.0,$-0.63,0.0,$0.13B,$0.07B,1.93,$0.00B,$0.11B,0.0,$0.20B,$0.09B,48.21%,$0.20B,$-0.03B,-13.85%,$0.20B,$-0.03B,-13.85%,$0.20B,$-0.00B,-2.05%,$0.20B,$-0.03B,-13.85%,$0.20B,$-0.03B,-13.85%,$-0.03B,$0.11B,-26.34%,$-0.03B,$0.08B,-35.64%,$-0.03B,$0.21B,-13.45%,$-0.03B,$0.11B,-26.34%,$52,$27,$25,$11,$20,$58,$-6,$0,$-6,$-1,$-6,$-6,$-6,$-0,$-6,$41,41,$-0.13,$-0.13,$102,$0,$0,$131,$35,$0,$25,$1,$82,$213,$68,$0,$0,$38,$106,$0,$-152,$-0,$107,$213,$-26,$23,$21,$43,$-1,$0,$3,$-6,$-8,$9,$-13,$0,$-4,$28,$-28,$0,$-1,$-18,$0,$0,$0,$12,$12,$0,$0,$12,$3,$21,$0
4,2017-09-30,41.65,$2.46,16.9,$4.53,9.19,$-1.47,0.0,$-0.69,0.0,$0.13B,$0.06B,1.96,$0.00B,$0.10B,0.0,$0.19B,$0.09B,48.65%,$0.19B,$-0.03B,-15.14%,$0.19B,$-0.03B,-15.14%,$0.19B,$-0.01B,-3.24%,$0.19B,$-0.03B,-15.14%,$0.19B,$-0.03B,-15.68%,$-0.03B,$0.10B,-28.78%,$-0.03B,$0.08B,-39.59%,$-0.03B,$0.21B,-14.66%,$-0.03B,$0.10B,-27.79%,$50,$26,$24,$10,$20,$56,$-6,$0,$-6,$0,$-6,$-6,$-6,$0,$-6,$41,41,$-0.14,$-0.14,$92,$0,$0,$126,$32,$0,$26,$1,$80,$205,$64,$0,$1,$39,$103,$0,$-147,$-0,$103,$205,$-21,$17,$15,$32,$-4,$0,$2,$-3,$-10,$1,$-12,$0,$-4,$19,$-25,$-7,$-2,$-25,$0,$0,$0,$8,$8,$0,$0,$8,$-15,$15,$0
5,2017-06-30,36.95,$2.43,15.18,$4.28,8.63,$-1.63,0.0,$-0.79,0.0,$0.11B,$0.05B,2.16,$0.00B,$0.10B,0.0,$0.17B,$0.09B,49.13%,$0.17B,$-0.03B,-17.92%,$0.17B,$-0.03B,-17.92%,$0.17B,$-0.01B,-5.78%,$0.17B,$-0.03B,-17.92%,$0.17B,$-0.03B,-18.50%,$-0.03B,$0.10B,-31.84%,$-0.03B,$0.07B,-43.99%,$-0.03B,$0.19B,-16.18%,$-0.03B,$0.10B,-30.85%,$48,$24,$23,$10,$20,$55,$-8,$0,$-8,$0,$-8,$-8,$-8,$-2,$-8,$41,41,$-0.19,$-0.19,$82,$0,$0,$112,$32,$0,$28,$1,$81,$193,$52,$0,$1,$41,$93,$0,$-141,$-0,$100,$193,$-15,$11,$9,$20,$-3,$0,$1,$-6,$-16,$-10,$-8,$0,$-4,$14,$-16,$-2,$-2,$-16,$0,$0,$0,$6,$6,$0,$0,$6,$-20,$9,$0
6,2017-03-31,34.85,$2.45,14.21,$4.03,8.64,$-1.49,0.0,$-0.85,0.0,$0.11B,$0.05B,2.12,$0.00B,$0.10B,0.0,$0.16B,$0.08B,49.07%,$0.16B,$-0.03B,-20.50%,$0.16B,$-0.03B,-20.50%,$0.16B,$-0.01B,-8.07%,$0.16B,$-0.03B,-20.50%,$0.16B,$-0.03B,-21.12%,$-0.03B,$0.10B,-33.25%,$-0.03B,$0.07B,-45.95%,$-0.03B,$0.19B,-17.04%,$-0.03B,$0.10B,-32.27%,$45,$23,$22,$10,$18,$51,$-7,$0,$-7,$0,$-7,$-7,$-7,$-2,$-7,$41,41,$-0.17,$-0.17,$83,$0,$0,$110,$32,$0,$29,$0,$82,$192,$52,$0,$0,$40,$91,$0,$-133,$-0,$100,$192,$-7,$5,$4,$10,$4,$0,$1,$-10,$-13,$-11,$-6,$0,$-1,$6,$-3,$3,$0,$-4,$0,$0,$0,$3,$3,$0,$0,$3,$-12,$4,$0
7,2016-12-31,28.85,$2.48,11.64,$3.80,7.59,$-1.18,0.0,$-0.93,0.0,$0.13B,$0.06B,2.12,$0.00B,$0.10B,0.0,$0.15B,$0.07B,48.67%,$0.15B,$-0.04B,-23.33%,$0.15B,$-0.04B,-23.33%,$0.15B,$-0.02B,-10.67%,$0.15B,$-0.04B,-23.33%,$0.15B,$-0.04B,-24.67%,$-0.04B,$0.10B,-35.15%,$-0.04B,$0.07B,-48.37%,$-0.04B,$0.20B,-18.27%,$-0.04B,$0.10B,-33.25%,$42,$21,$21,$9,$18,$49,$-7,$-0,$-7,$0,$-8,$-8,$-8,$-2,$-7,$40,40,$-0.18,$-0.18,$98,$0,$0,$126,$27,$0,$28,$1,$75,$201,$59,$0,$0,$42,$101,$0,$-126,$-0,$100,$201,$-36,$20,$13,$33,$-3,$0,$0,$-1,$7,$3,$-17,$-0,$-0,$41,$-40,$1,$0,$-17,$-0,$0,$-0,$6,$6,$0,$-5,$1,$-12,$13,$0
8,2016-09-30,28.66,$2.56,11.22,$3.55,8.06,$-0.89,0.0,$-0.96,0.0,$0.13B,$0.06B,2.11,$0.00B,$0.10B,0.0,$0.14B,$0.07B,47.83%,$0.14B,$-0.04B,-26.09%,$0.14B,$-0.04B,-26.09%,$0.14B,$-0.02B,-13.77%,$0.14B,$-0.04B,-26.09%,$0.14B,$-0.04B,-26.81%,$-0.04B,$0.10B,-33.71%,$-0.04B,$0.07B,-45.96%,$-0.04B,$0.21B,-18.20%,$-0.04B,$0.10B,-32.80%,$38,$20,$19,$8,$18,$48,$-9,$-0,$-9,$0,$-9,$-9,$-9,$-4,$-9,$40,40,$-0.24,$-0.24,$94,$0,$0,$127,$29,$0,$29,$1,$78,$205,$60,$0,$0,$42,$103,$0,$-118,$-0,$102,$205,$-29,$14,$9,$23,$-7,$0,$1,$2,$4,$-1,$-15,$-0,$-0,$35,$-32,$3,$0,$-13,$-0,$0,$-0,$4,$4,$0,$-5,$-1,$-15,$9,$0
9,2016-06-30,28.02,$2.69,10.41,$3.34,8.38,$-0.55,0.0,$-0.91,0.0,$0.12B,$0.05B,2.37,$0.00B,$0.11B,0.0,$0.13B,$0.06B,46.88%,$0.13B,$-0.03B,-26.56%,$0.13B,$-0.03B,-26.56%,$0.13B,$-0.02B,-14.06%,$0.13B,$-0.03B,-26.56%,$0.13B,$-0.04B,-27.34%,$-0.04B,$0.11B,-30.43%,$-0.04B,$0.08B,-39.89%,$-0.04B,$0.20B,-17.35%,$-0.03B,$0.11B,-29.57%,$36,$19,$17,$8,$17,$46,$-10,$-0,$-10,$0,$-10,$-10,$-10,$-5,$-10,$39,39,$-0.25,$-0.25,$98,$0,$0,$124,$28,$0,$29,$1,$76,$200,$52,$0,$0,$41,$93,$0,$-109,$0,$107,$200,$-19,$9,$6,$15,$-2,$0,$1,$-3,$2,$-2,$-10,$-0,$-0,$21,$-21,$0,$0,$-10,$-0,$0,$-0,$3,$3,$0,$-5,$-2,$-15,$5,$0
