,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,14.38,$5.30,2.71,$48.76,0.29,$8.37,1.72,$0.77,18.68,$1.05B,$0.41B,2.56,$0.54B,$0.28B,1.9,$2.64B,$1.68B,63.68%,$2.64B,$-0.01B,-0.45%,$2.64B,$-0.01B,-0.45%,$2.64B,$0.68B,25.59%,$2.64B,$-0.06B,-2.08%,$2.64B,$0.04B,1.59%,$0.04B,$0.28B,15.57%,$0.04B,$0.23B,19.79%,$0.04B,$1.35B,3.04%,$-0.01B,$0.82B,-1.39%,$645,$237,$408,$0,$41,$619,$26,$-10,$15,$3,$13,$13,$13,$197,$26,$54,55,$0.24,$0.24,$111,$776,$0,$1048,$243,$0,$58,$3,$304,$1352,$409,$540,$0,$659,$1068,$1,$804,$-11,$284,$1352,$7,$518,$22,$540,$-6,$-375,$8,$-3,$-363,$184,$-6,$0,$-2,$0,$0,$0,$0,$-8,$-139,$0,$-139,$1,$1,$0,$-0,$-139,$38,$4,$0
1,2018-06-30,14.72,$5.02,2.93,$49.09,0.3,$6.75,2.18,$0.29,50.76,$1.05B,$0.40B,2.6,$0.58B,$0.27B,2.15,$2.64B,$1.68B,63.86%,$2.64B,$-0.05B,-1.74%,$2.64B,$-0.05B,-1.74%,$2.64B,$0.64B,24.31%,$2.64B,$-0.09B,-3.41%,$2.64B,$0.02B,0.61%,$0.02B,$0.27B,6.20%,$0.02B,$0.21B,7.97%,$0.02B,$1.37B,1.14%,$-0.05B,$0.85B,-5.23%,$656,$232,$424,$0,$42,$629,$27,$-11,$17,$3,$14,$14,$14,$201,$27,$53,54,$0.26,$0.25,$117,$782,$0,$1051,$254,$0,$57,$4,$315,$1366,$404,$577,$0,$694,$1098,$1,$791,$-11,$268,$1366,$-6,$347,$13,$360,$-6,$-229,$2,$11,$-211,$143,$-1,$0,$-1,$0,$0,$0,$0,$-2,$-98,$0,$-98,$1,$1,$0,$-0,$-97,$44,$3,$0
2,2018-03-31,8.63,$4.77,1.81,$49.73,0.17,$5.49,1.57,$-0.13,0.0,$1.06B,$0.42B,2.51,$0.60B,$0.26B,2.34,$2.66B,$1.69B,63.67%,$2.66B,$-0.07B,-2.78%,$2.66B,$-0.07B,-2.78%,$2.66B,$0.62B,23.20%,$2.66B,$-0.12B,-4.55%,$2.66B,$-0.01B,-0.26%,$-0.01B,$0.26B,-2.76%,$-0.01B,$0.20B,-3.57%,$-0.01B,$1.39B,-0.49%,$-0.07B,$0.85B,-8.33%,$698,$261,$437,$0,$45,$708,$-10,$-11,$-21,$-2,$-20,$-20,$-20,$163,$-10,$53,53,$-0.37,$-0.37,$81,$813,$0,$1055,$270,$0,$58,$4,$331,$1386,$421,$597,$0,$711,$1131,$1,$778,$-9,$255,$1386,$-20,$173,$6,$179,$2,$-103,$0,$-3,$-75,$84,$1,$0,$-0,$0,$0,$0,$0,$0,$-78,$0,$-78,$0,$0,$0,$-0,$-77,$8,$2,$0
3,2017-12-31,11.1,$5.11,2.17,$50.61,0.22,$4.61,2.41,$0.11,100.91,$1.08B,$0.39B,2.77,$0.67B,$0.27B,2.47,$2.70B,$1.72B,63.60%,$2.70B,$-0.06B,-2.33%,$2.70B,$-0.06B,-2.33%,$2.70B,$0.64B,23.64%,$2.70B,$-0.11B,-4.07%,$2.70B,$0.01B,0.22%,$0.01B,$0.27B,2.36%,$0.01B,$0.22B,3.04%,$0.01B,$1.42B,0.41%,$-0.06B,$0.95B,-6.97%,$639,$228,$411,$0,$40,$694,$-55,$-11,$-66,$-101,$35,$35,$35,$114,$-55,$53,54,$0.66,$0.66,$73,$869,$0,$1076,$283,$0,$57,$4,$344,$1421,$388,$673,$0,$760,$1148,$1,$799,$-11,$272,$1421,$7,$702,$-49,$653,$-16,$-487,$-18,$-10,$-549,$111,$-61,$0,$-3,$0,$0,$0,$0,$-63,$-53,$0,$-53,$0,$0,$-13,$-5,$-71,$-22,$4,$-13
4,2017-09-30,11.48,$4.45,2.58,$51.62,0.22,$9.30,1.23,$-3.30,0.0,$1.06B,$0.42B,2.55,$0.64B,$0.24B,2.69,$2.75B,$1.75B,63.72%,$2.75B,$-0.17B,-6.08%,$2.75B,$-0.17B,-6.08%,$2.75B,$0.70B,25.29%,$2.75B,$-0.22B,-7.82%,$2.75B,$-0.18B,-6.37%,$-0.18B,$0.24B,-69.38%,$-0.18B,$0.18B,-89.86%,$-0.18B,$1.43B,-11.66%,$-0.17B,$0.88B,-18.25%,$644,$232,$412,$0,$44,$652,$-8,$-11,$-20,$-7,$-13,$-13,$-13,$163,$-8,$53,53,$-0.24,$-0.24,$76,$870,$0,$1063,$305,$0,$57,$4,$367,$1430,$416,$637,$0,$777,$1193,$1,$764,$-10,$237,$1430,$-28,$533,$-19,$514,$-4,$-339,$-20,$1,$-350,$135,$-50,$0,$-2,$0,$0,$0,$0,$-52,$-87,$0,$-87,$0,$0,$-13,$-5,$-105,$-19,$2,$-13
5,2017-06-30,11.72,$4.67,2.51,$52.52,0.22,$13.91,0.84,$-2.94,0.0,$1.10B,$0.44B,2.53,$0.64B,$0.25B,2.56,$2.80B,$1.80B,64.19%,$2.80B,$-0.14B,-5.08%,$2.80B,$-0.14B,-5.08%,$2.80B,$0.73B,25.98%,$2.80B,$-0.19B,-6.79%,$2.80B,$-0.16B,-5.58%,$-0.16B,$0.25B,-48.83%,$-0.16B,$0.19B,-69.88%,$-0.16B,$1.47B,-9.87%,$-0.14B,$0.88B,-14.14%,$678,$245,$433,$0,$47,$679,$-1,$-13,$-14,$-5,$-9,$-9,$-9,$177,$-1,$53,53,$-0.17,$-0.17,$74,$906,$0,$1101,$312,$0,$56,$4,$372,$1473,$435,$636,$0,$789,$1224,$1,$777,$-9,$249,$1473,$-16,$361,$-10,$351,$-1,$-223,$5,$-1,$-224,$112,$-39,$0,$-0,$0,$0,$0,$0,$-39,$-87,$0,$-87,$0,$0,$-9,$-0,$-96,$-22,$1,$-9
6,2017-03-31,8.81,$4.86,1.81,$53.84,0.16,$17.75,0.5,$-2.58,0.0,$1.12B,$0.42B,2.65,$0.65B,$0.26B,2.53,$2.87B,$1.86B,64.91%,$2.87B,$-0.11B,-3.94%,$2.87B,$-0.11B,-3.94%,$2.87B,$0.77B,26.69%,$2.87B,$-0.16B,-5.57%,$2.87B,$-0.14B,-4.77%,$-0.14B,$0.26B,-35.77%,$-0.14B,$0.20B,-55.41%,$-0.14B,$1.50B,-8.30%,$-0.11B,$0.91B,-10.37%,$742,$279,$463,$0,$40,$741,$1,$-11,$-10,$-4,$-7,$-7,$-7,$185,$1,$53,53,$-0.13,$-0.13,$58,$945,$0,$1122,$313,$0,$56,$4,$373,$1495,$423,$653,$0,$813,$1237,$1,$790,$-11,$258,$1495,$-7,$184,$-10,$174,$-0,$-105,$-26,$3,$-108,$59,$-22,$0,$0,$0,$0,$0,$0,$-22,$-72,$0,$-72,$0,$0,$-4,$-0,$-76,$-37,$-1,$-4
7,2016-12-31,11.0,$4.98,2.21,$55.57,0.2,$21.04,0.52,$-1.98,0.0,$1.22B,$0.44B,2.78,$0.72B,$0.27B,2.73,$2.96B,$1.94B,65.28%,$2.96B,$-0.07B,-2.23%,$2.96B,$-0.07B,-2.23%,$2.96B,$0.82B,27.80%,$2.96B,$-0.11B,-3.81%,$2.96B,$-0.11B,-3.54%,$-0.11B,$0.27B,-23.73%,$-0.11B,$0.20B,-39.33%,$-0.11B,$1.60B,-6.08%,$-0.07B,$0.99B,-5.63%,$684,$241,$443,$0,$48,$843,$-159,$-12,$-171,$-24,$-146,$-146,$-146,$170,$-159,$53,53,$-2.76,$-2.76,$95,$1002,$0,$1222,$316,$0,$61,$4,$381,$1603,$440,$724,$0,$897,$1338,$1,$801,$-16,$265,$1603,$-105,$890,$-5,$886,$-16,$-524,$12,$104,$-426,$354,$-56,$0,$-3,$0,$0,$0,$0,$-59,$-234,$0,$-234,$0,$0,$-26,$-0,$-260,$35,$9,$-26
8,2016-09-30,12.36,$9.52,1.3,$57.65,0.21,$18.56,0.67,$-16.42,0.0,$1.22B,$0.41B,2.95,$0.73B,$0.51B,1.43,$3.07B,$2.02B,65.65%,$3.07B,$-1.03B,-33.44%,$3.07B,$-1.03B,-33.44%,$3.07B,$0.90B,29.31%,$3.07B,$-1.08B,-34.97%,$3.07B,$-0.96B,-31.20%,$-0.96B,$0.51B,-203.07%,$-0.96B,$0.29B,-370.99%,$-0.96B,$1.75B,-52.74%,$-1.03B,$1.23B,-81.64%,$694,$237,$457,$0,$38,$677,$17,$-12,$5,$-1,$6,$6,$6,$195,$17,$53,53,$0.12,$0.12,$130,$970,$0,$1218,$315,$0,$212,$4,$531,$1749,$413,$725,$0,$829,$1243,$1,$1038,$-11,$506,$1749,$41,$561,$7,$568,$-1,$-334,$1,$102,$-235,$375,$-42,$0,$-3,$0,$0,$0,$0,$-45,$-233,$0,$-233,$0,$0,$-21,$-0,$-255,$70,$7,$-21
9,2016-06-30,11.93,$9.46,1.26,$59.52,0.2,$16.09,0.74,$-16.62,0.0,$1.22B,$0.43B,2.84,$0.73B,$0.50B,1.44,$3.17B,$2.05B,64.63%,$3.17B,$-1.04B,-32.72%,$3.17B,$-1.04B,-32.72%,$3.17B,$0.91B,28.66%,$3.17B,$-1.09B,-34.24%,$3.17B,$-0.97B,-30.55%,$-0.97B,$0.50B,-139.17%,$-0.97B,$0.29B,-510.67%,$-0.97B,$1.76B,-45.26%,$-1.04B,$1.23B,-67.81%,$750,$249,$500,$0,$40,$722,$28,$-12,$16,$6,$10,$10,$10,$216,$28,$53,53,$0.19,$0.19,$88,$1006,$0,$1222,$317,$0,$213,$4,$534,$1756,$431,$725,$0,$823,$1254,$1,$1036,$-10,$503,$1756,$35,$383,$-6,$376,$-2,$-212,$-3,$96,$-108,$303,$-25,$0,$-3,$0,$0,$0,$0,$-28,$-233,$0,$-233,$0,$0,$-17,$-0,$-250,$28,$5,$-17
10,2016-03-31,15.3,$9.34,1.64,$60.75,0.25,$13.70,1.12,$-16.38,0.0,$1.25B,$0.45B,2.81,$0.74B,$0.50B,1.5,$3.24B,$2.09B,64.54%,$3.24B,$-1.02B,-31.39%,$3.24B,$-1.02B,-31.39%,$3.24B,$0.95B,29.32%,$3.24B,$-1.06B,-32.87%,$3.24B,$-0.96B,-29.53%,$-0.96B,$0.50B,-103.32%,$-0.96B,$0.28B,-757.23%,$-0.96B,$1.80B,-38.55%,$-1.02B,$1.24B,-55.89%,$836,$301,$535,$0,$43,$787,$48,$-12,$37,$11,$25,$25,$25,$243,$48,$53,53,$0.47,$0.47,$46,$1074,$0,$1251,$326,$0,$214,$5,$545,$1795,$446,$744,$0,$854,$1300,$1,$1031,$-9,$496,$1795,$25,$194,$-3,$191,$-2,$-112,$-3,$97,$11,$227,$-13,$0,$-3,$0,$0,$0,$0,$-16,$-212,$0,$-212,$0,$0,$-13,$-0,$-225,$-14,$2,$-13
11,2015-12-31,14.38,$7.23,1.99,$61.53,0.23,$13.72,1.05,$-16.34,0.0,$1.43B,$0.43B,3.32,$0.96B,$0.38B,2.49,$3.28B,$2.12B,64.62%,$3.28B,$-1.01B,-30.71%,$3.28B,$-1.01B,-30.71%,$3.28B,$0.96B,29.37%,$3.28B,$-1.06B,-32.24%,$3.28B,$-0.95B,-29.09%,$-0.95B,$0.38B,-82.78%,$-0.95B,$0.17B,-1563.93%,$-0.95B,$1.97B,-33.79%,$-1.01B,$1.34B,-48.33%,$794,$267,$526,$0,$39,$1915,$-1121,$-12,$-1133,$-133,$-1000,$-1000,$-1000,$247,$-1121,$53,53,$-18.84,$-18.83,$60,$1136,$0,$1425,$331,$0,$214,$5,$550,$1974,$429,$956,$0,$1162,$1591,$1,$923,$-11,$384,$1974,$-954,$1971,$-108,$1863,$-19,$-622,$-46,$32,$-678,$231,$-65,$0,$-25,$0,$0,$0,$0,$-90,$-74,$0,$-74,$1,$1,$-51,$-0,$-124,$14,$10,$-51
12,2015-09-30,22.93,$26.43,0.87,$61.56,0.37,$9.64,2.38,$1.34,17.11,$1.32B,$0.48B,2.75,$0.91B,$1.40B,0.65,$3.28B,$2.14B,65.14%,$3.28B,$0.16B,4.94%,$3.28B,$0.16B,4.94%,$3.28B,$0.96B,29.31%,$3.28B,$0.11B,3.38%,$3.28B,$0.07B,2.19%,$0.07B,$1.40B,5.13%,$0.07B,$0.02B,338.82%,$0.07B,$3.04B,2.29%,$0.16B,$2.32B,6.87%,$792,$303,$489,$0,$40,$785,$7,$-12,$-6,$-2,$-4,$-4,$-4,$203,$7,$53,53,$-0.08,$-0.08,$60,$1121,$0,$1320,$331,$0,$1383,$4,$1719,$3039,$480,$914,$0,$1156,$1637,$1,$1936,$-8,$1402,$3039,$46,$603,$-76,$527,$-9,$-428,$-29,$126,$-324,$249,$-49,$0,$-19,$0,$0,$0,$0,$-68,$-128,$0,$-128,$1,$1,$-38,$0,$-165,$14,$7,$-38
13,2015-06-30,26.54,$26.74,0.99,$61.11,0.43,$6.03,4.4,$1.90,13.97,$1.39B,$0.46B,3.0,$0.96B,$1.42B,0.67,$3.25B,$2.19B,67.27%,$3.25B,$0.20B,6.18%,$3.25B,$0.20B,6.18%,$3.25B,$0.99B,30.55%,$3.25B,$0.15B,4.64%,$3.25B,$0.10B,3.13%,$0.10B,$1.42B,7.29%,$0.10B,$0.04B,529.87%,$0.10B,$3.11B,3.24%,$0.20B,$2.38B,8.49%,$815,$277,$539,$0,$45,$766,$50,$-12,$38,$15,$23,$23,$23,$256,$50,$53,53,$0.44,$0.43,$71,$1179,$0,$1388,$335,$0,$1384,$4,$1723,$3111,$463,$956,$0,$1230,$1693,$1,$1952,$-6,$1419,$3111,$50,$407,$-57,$350,$-5,$-303,$-25,$128,$-211,$189,$-39,$0,$-14,$0,$0,$0,$0,$-53,$-87,$0,$-87,$1,$1,$-25,$0,$-111,$24,$5,$-25
