,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,129.94,$54.26,2.39,$43.11,3.01,$7.86,16.53,$8.41,15.45,$1.36B,$7.07B,0.19,$7.65B,$11.34B,0.67,$9.17B,$4.12B,44.94%,$9.17B,$1.84B,20.05%,$9.17B,$1.84B,20.05%,$9.17B,$2.87B,31.32%,$9.17B,$1.78B,19.45%,$9.17B,$1.78B,19.45%,$1.78B,$11.34B,16.41%,$1.78B,$9.96B,17.30%,$1.78B,$27.09B,7.32%,$1.84B,$18.99B,10.15%,$2796,$1411,$1385,$0,$325,$1996,$800,$11,$810,$0,$810,$810,$810,$1075,$800,$209,210,$3.88,$3.86,$255,$152,$107,$1359,$22600,$0,$1375,$1760,$25735,$27094,$7073,$7647,$498,$8682,$15755,$2,$10094,$-231,$11338,$27094,$1495,$785,$167,$952,$-17,$-22,$35,$273,$299,$2747,$-2509,$0,$-916,$0,$-2,$-2,$69,$-3359,$793,$995,$1788,$-571,$-571,$-381,$-70,$766,$135,$63,$-381
1,2018-06-30,103.6,$51.18,2.02,$41.69,2.48,$17.37,5.96,$8.04,12.89,$1.10B,$5.50B,0.2,$7.34B,$10.77B,0.68,$8.94B,$3.99B,44.57%,$8.94B,$1.78B,19.85%,$8.94B,$1.78B,19.85%,$8.94B,$2.79B,31.15%,$8.94B,$1.73B,19.31%,$8.94B,$1.73B,19.31%,$1.73B,$10.77B,16.22%,$1.73B,$10.49B,16.67%,$1.73B,$24.06B,7.46%,$1.78B,$18.12B,10.14%,$2338,$1314,$1023,$0,$313,$1881,$457,$9,$466,$0,$466,$466,$466,$716,$457,$212,213,$2.20,$2.19,$109,$122,$94,$1100,$21430,$0,$288,$1239,$22957,$24057,$5502,$7341,$440,$7781,$13283,$2,$9430,$-265,$10774,$24057,$685,$510,$142,$652,$16,$-10,$59,$588,$595,$1932,$-2213,$0,$0,$0,$13,$13,$59,$-2141,$899,$0,$899,$-365,$-365,$-255,$-65,$214,$-11,$32,$-255
2,2018-03-31,117.08,$50.28,2.33,$40.85,2.87,$26.18,4.47,$7.56,15.49,$1.04B,$5.20B,0.2,$7.67B,$10.65B,0.72,$8.80B,$3.90B,44.33%,$8.80B,$1.74B,19.76%,$8.80B,$1.74B,19.76%,$8.80B,$2.74B,31.10%,$8.80B,$1.63B,18.53%,$8.80B,$1.63B,18.53%,$1.63B,$10.65B,15.72%,$1.63B,$10.36B,16.17%,$1.63B,$23.97B,7.21%,$1.74B,$18.31B,10.22%,$2028,$1176,$852,$0,$337,$1754,$274,$-55,$219,$0,$219,$219,$219,$524,$274,$213,214,$1.03,$1.02,$111,$111,$74,$1035,$21208,$0,$288,$1440,$22936,$23971,$5195,$7665,$464,$8129,$13324,$2,$9091,$-183,$10647,$23971,$219,$250,$32,$283,$-10,$1,$110,$388,$423,$924,$-1720,$0,$0,$0,$0,$0,$75,$-1645,$1151,$0,$1151,$-271,$-271,$-128,$-40,$712,$-9,$20,$-128
3,2017-12-31,118.04,$50.17,2.35,$40.67,2.9,$34.10,3.46,$7.53,15.68,$0.91B,$4.86B,0.19,$6.35B,$10.70B,0.59,$8.78B,$3.88B,44.21%,$8.78B,$1.74B,19.87%,$8.78B,$1.74B,19.87%,$8.78B,$2.74B,31.23%,$8.78B,$1.63B,18.52%,$8.78B,$1.63B,18.52%,$1.63B,$10.70B,16.22%,$1.63B,$10.41B,16.71%,$1.63B,$22.36B,7.35%,$1.74B,$17.05B,10.60%,$2004,$1146,$859,$0,$311,$1697,$307,$-19,$288,$0,$288,$288,$288,$556,$307,$215,216,$1.34,$1.34,$120,$111,$99,$908,$19735,$0,$289,$1430,$21453,$22361,$4855,$6351,$453,$6804,$11659,$2,$9022,$-334,$10702,$22361,$1625,$997,$-86,$911,$-32,$2,$37,$296,$338,$2875,$-334,$0,$0,$0,$-10,$-10,$131,$-214,$-1968,$0,$-1968,$-222,$-222,$-437,$-48,$-2676,$-12,$69,$-437
4,2017-09-30,116.74,$48.75,2.39,$40.20,2.9,$22.42,5.21,$7.40,15.78,$0.80B,$5.06B,0.16,$6.08B,$10.44B,0.58,$8.68B,$3.81B,43.85%,$8.68B,$1.73B,19.97%,$8.68B,$1.73B,19.97%,$8.68B,$2.73B,31.41%,$8.68B,$1.60B,18.41%,$8.68B,$1.60B,18.41%,$1.60B,$10.44B,16.61%,$1.60B,$10.15B,17.12%,$1.60B,$22.10B,7.23%,$1.73B,$16.51B,10.51%,$2570,$1318,$1251,$0,$274,$1832,$737,$15,$753,$0,$753,$753,$753,$989,$737,$215,216,$3.51,$3.49,$140,$120,$53,$798,$19689,$0,$289,$1324,$21301,$22099,$5057,$6076,$530,$6607,$11664,$2,$8862,$-527,$10435,$22099,$1337,$748,$-45,$703,$16,$-6,$77,$267,$414,$2455,$-157,$0,$0,$0,$0,$0,$79,$-78,$-1916,$0,$-1916,$-123,$-123,$-309,$-22,$-2370,$7,$52,$-309
5,2017-06-30,107.02,$45.02,2.38,$40.18,2.66,$10.33,10.36,$7.12,15.03,$0.77B,$5.29B,0.15,$6.48B,$9.68B,0.67,$8.68B,$3.78B,43.57%,$8.68B,$1.73B,19.96%,$8.68B,$1.73B,19.96%,$8.68B,$2.72B,31.31%,$8.68B,$1.54B,17.73%,$8.68B,$1.54B,17.73%,$1.54B,$9.68B,16.70%,$1.54B,$9.40B,17.24%,$1.54B,$22.02B,6.93%,$1.73B,$16.16B,10.39%,$2195,$1257,$938,$0,$284,$1776,$420,$-50,$370,$0,$370,$370,$370,$667,$420,$215,216,$1.72,$1.71,$130,$109,$0,$768,$19799,$0,$288,$1170,$21257,$22024,$5286,$6479,$576,$7055,$12341,$2,$8238,$-761,$9683,$22024,$584,$497,$-14,$483,$33,$5,$70,$527,$592,$1659,$-42,$0,$0,$0,$0,$0,$49,$8,$-1454,$0,$-1454,$2,$2,$-206,$-12,$-1669,$-2,$35,$-206
6,2017-03-31,95.71,$43.09,2.22,$39.76,2.41,$-0.75,0.0,$6.47,14.79,$0.76B,$5.27B,0.14,$6.84B,$9.27B,0.74,$8.59B,$3.64B,42.36%,$8.59B,$1.59B,18.56%,$8.59B,$1.59B,18.56%,$8.59B,$2.57B,29.89%,$8.59B,$1.40B,16.29%,$8.59B,$1.40B,16.29%,$1.40B,$9.27B,15.84%,$1.40B,$8.98B,16.38%,$1.40B,$22.02B,6.27%,$1.59B,$16.11B,9.40%,$2009,$1176,$833,$0,$317,$1729,$280,$-65,$215,$0,$215,$215,$215,$529,$280,$215,216,$1.00,$0.99,$109,$108,$0,$757,$19861,$0,$288,$1111,$21261,$22017,$5272,$6841,$637,$7479,$12750,$2,$7972,$-892,$9267,$22017,$215,$249,$-18,$231,$-1,$5,$56,$302,$350,$797,$107,$0,$0,$0,$0,$0,$16,$124,$-834,$0,$-834,$2,$2,$-103,$-9,$-944,$-23,$17,$-103
7,2016-12-31,79.63,$42.51,1.87,$39.26,2.03,$-3.89,0.0,$5.94,13.41,$0.75B,$4.44B,0.17,$8.10B,$9.12B,0.89,$8.50B,$3.48B,40.97%,$8.50B,$1.48B,17.38%,$8.50B,$1.48B,17.38%,$8.50B,$2.42B,28.53%,$8.50B,$1.28B,15.10%,$8.50B,$1.28B,15.10%,$1.28B,$9.12B,15.12%,$1.28B,$8.83B,15.65%,$1.28B,$22.31B,5.82%,$1.48B,$17.22B,8.76%,$1910,$1123,$786,$0,$256,$1613,$297,$-36,$261,$0,$261,$261,$261,$543,$297,$215,216,$1.20,$1.20,$133,$114,$0,$748,$20161,$0,$288,$1112,$21562,$22310,$4442,$8102,$646,$8747,$13189,$2,$7860,$-916,$9121,$22310,$1283,$948,$24,$972,$5,$-2,$30,$200,$261,$2517,$-2494,$0,$0,$0,$-9,$-9,$-221,$-2725,$973,$0,$973,$-298,$-298,$-346,$-85,$244,$11,$33,$-346
8,2016-09-30,72.33,$40.97,1.77,$39.05,1.85,$-2.49,0.0,$5.67,12.76,$0.80B,$4.50B,0.18,$8.42B,$8.79B,0.96,$8.49B,$3.42B,40.33%,$8.49B,$1.43B,16.85%,$8.49B,$1.43B,16.85%,$8.49B,$2.39B,28.18%,$8.49B,$1.23B,14.48%,$8.49B,$1.23B,14.48%,$1.23B,$8.79B,14.95%,$1.23B,$8.50B,15.49%,$1.23B,$22.45B,5.67%,$1.43B,$17.21B,8.68%,$2564,$1340,$1224,$0,$259,$1829,$735,$-42,$693,$0,$693,$693,$693,$978,$735,$215,216,$3.23,$3.21,$178,$119,$1,$803,$20231,$0,$288,$1128,$21647,$22450,$4501,$8420,$740,$9160,$13660,$2,$7702,$-1078,$8790,$22450,$1022,$701,$28,$729,$10,$-6,$-17,$188,$249,$2001,$-2314,$0,$0,$0,$-9,$-9,$-195,$-2518,$1220,$0,$1220,$-298,$-298,$-244,$-82,$597,$57,$22,$-244
9,2016-06-30,64.38,$37.84,1.7,$38.57,1.67,$0.08,781.37,$3.49,18.45,$0.86B,$4.37B,0.2,$9.15B,$8.15B,1.12,$8.45B,$3.34B,39.49%,$8.45B,$0.95B,11.28%,$8.45B,$0.95B,11.28%,$8.45B,$1.88B,22.29%,$8.45B,$0.77B,9.06%,$8.45B,$0.77B,9.06%,$0.77B,$8.15B,9.46%,$0.77B,$7.86B,9.81%,$0.77B,$22.47B,3.59%,$0.95B,$17.30B,5.91%,$2105,$1311,$795,$0,$291,$1823,$282,$-52,$230,$0,$230,$230,$230,$517,$282,$215,216,$1.07,$1.06,$175,$112,$90,$858,$20186,$0,$288,$1139,$21614,$22471,$4374,$9153,$799,$9952,$14326,$2,$7112,$-1172,$8146,$22471,$329,$458,$-33,$425,$34,$1,$41,$413,$517,$1271,$-2047,$0,$0,$0,$0,$0,$-165,$-2212,$1562,$0,$1562,$-249,$-249,$-244,$-69,$1000,$54,$13,$-244
