,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,4.27,$2.01,2.13,$16.03,0.27,$-0.56,0.0,$0.20,21.35,$0.06B,$0.02B,2.45,$0.02B,$0.03B,0.99,$0.20B,$0.05B,25.38%,$0.20B,$0.00B,0.51%,$0.20B,$0.00B,0.51%,$0.20B,$0.01B,3.05%,$0.20B,0,0.00%,$0.20B,$0.00B,1.02%,$0.00B,$0.03B,8.51%,$0.00B,$0.01B,17.02%,$0.00B,$0.07B,2.71%,$0.00B,$0.05B,1.94%,$43,$32,$11,$0,$9,$41,$1,$-0,$1,$0,$1,$1,$1,$2,$1,$12,12,$0.06,$0.06,$1,$0,$0,$56,$4,$0,$12,$0,$18,$73,$23,$24,$1,$26,$49,$1,$-64,$-3,$25,$73,$2,$1,$1,$3,$-2,$0,$0,$-1,$-3,$2,$-1,$0,$0,$0,$0,$0,$-0,$-1,$-3,$0,$-3,$0,$0,$0,$-0,$-3,$-2,$0,$0
1,2018-06-30,4.94,$1.94,2.55,$16.18,0.31,$-0.10,0.0,$0.22,22.45,$0.06B,$0.02B,2.94,$0.03B,$0.02B,1.23,$0.20B,$0.05B,25.76%,$0.20B,$0.00B,1.01%,$0.20B,$0.00B,1.01%,$0.20B,$0.01B,3.03%,$0.20B,0,0.00%,$0.20B,$0.00B,1.01%,$0.00B,$0.02B,7.77%,$0.00B,$0.01B,14.55%,$0.00B,$0.07B,2.80%,$0.00B,$0.05B,4.00%,$52,$39,$13,$0,$10,$51,$1,$-0,$1,$0,$0,$0,$0,$1,$1,$12,12,$0.03,$0.03,$0,$0,$0,$56,$3,$0,$12,$0,$17,$74,$19,$29,$1,$31,$50,$1,$-64,$-3,$24,$74,$1,$1,$1,$1,$-6,$0,$0,$1,$-6,$-4,$-1,$0,$0,$0,$0,$0,$-0,$-1,$2,$0,$2,$0,$0,$0,$-0,$2,$-2,$0,$0
2,2018-03-31,5.77,$1.91,3.03,$15.74,0.37,$0.64,9.0,$0.21,27.48,$0.06B,$0.02B,3.28,$0.03B,$0.02B,1.37,$0.19B,$0.05B,26.04%,$0.19B,$0.00B,1.04%,$0.19B,$0.00B,1.04%,$0.19B,$0.01B,3.13%,$0.19B,0,0.00%,$0.19B,$0.00B,1.04%,$0.00B,$0.02B,7.21%,$0.00B,$0.01B,12.70%,$0.00B,$0.08B,2.88%,$0.00B,$0.06B,4.23%,$51,$38,$13,$0,$10,$49,$2,$-0,$1,$0,$1,$1,$1,$2,$2,$12,12,$0.09,$0.09,$0,$0,$0,$57,$3,$0,$12,$0,$17,$75,$17,$32,$1,$34,$51,$1,$-65,$-2,$23,$75,$1,$0,$0,$1,$-6,$0,$0,$-1,$-9,$-7,$-0,$0,$0,$0,$0,$0,$-0,$-0,$5,$0,$5,$0,$0,$0,$0,$5,$-2,$0,$0
3,2017-12-31,6.25,$1.81,3.46,$15.44,0.4,$1.39,4.51,$0.17,36.76,$0.06B,$0.02B,2.51,$0.03B,$0.02B,1.24,$0.19B,$0.05B,26.20%,$0.19B,$0.00B,0.53%,$0.19B,$0.00B,0.53%,$0.19B,$0.01B,2.67%,$0.19B,0,0.00%,$0.19B,$0.00B,1.07%,$0.00B,$0.02B,6.67%,$0.00B,$0.01B,11.43%,$0.00B,$0.07B,2.97%,$0.00B,$0.05B,2.23%,$51,$38,$13,$0,$10,$54,$-3,$-0,$-3,$-4,$0,$0,$0,$1,$-3,$12,12,$0.02,$0.02,$3,$0,$0,$56,$3,$0,$12,$0,$18,$73,$22,$27,$1,$29,$51,$1,$-66,$-2,$22,$73,$2,$5,$-1,$5,$-0,$0,$0,$-1,$-2,$5,$-1,$0,$-1,$0,$0,$0,$0,$-2,$13,$0,$13,$0,$0,$-12,$-2,$-1,$3,$1,$-12
4,2017-09-30,5.72,$2.83,2.02,$14.78,0.39,$1.92,2.97,$0.13,44.0,$0.05B,$0.02B,2.42,$0.01B,$0.03B,0.28,$0.18B,$0.05B,26.67%,$0.18B,$0.00B,2.22%,$0.18B,$0.00B,2.22%,$0.18B,$0.00B,2.22%,$0.18B,$0.00B,1.67%,$0.18B,$0.00B,1.11%,$0.00B,$0.03B,6.20%,$0.00B,$0.02B,10.13%,$0.00B,$0.06B,3.01%,$0.00B,$0.04B,9.09%,$44,$32,$12,$0,$10,$42,$2,$-0,$1,$0,$1,$1,$1,$2,$2,$12,12,$0.08,$0.08,$1,$0,$0,$48,$4,$0,$13,$0,$16,$64,$20,$9,$0,$10,$30,$1,$-66,$-2,$34,$64,$2,$1,$2,$3,$4,$0,$0,$-1,$2,$7,$-1,$0,$0,$0,$0,$0,$0,$-1,$-5,$0,$-5,$0,$0,$0,$-1,$-6,$1,$1,$0
5,2017-06-30,5.05,$2.69,1.88,$14.37,0.35,$2.33,2.17,$0.06,84.17,$0.05B,$0.02B,2.18,$0.01B,$0.03B,0.31,$0.18B,$0.05B,26.14%,$0.18B,$0.00B,1.14%,$0.18B,$0.00B,1.14%,$0.18B,$0.00B,1.70%,$0.18B,$0.00B,1.14%,$0.18B,$0.00B,0.57%,$0.00B,$0.03B,3.10%,$0.00B,$0.02B,5.00%,$0.00B,$0.07B,1.49%,$0.00B,$0.04B,4.49%,$46,$33,$12,$0,$10,$45,$1,$-0,$1,$1,$0,$0,$0,$1,$1,$12,12,$0.02,$0.02,$0,$0,$0,$49,$4,$0,$13,$0,$17,$66,$23,$10,$0,$11,$33,$1,$-67,$-3,$32,$66,$1,$1,$2,$3,$2,$0,$0,$0,$2,$5,$-1,$0,$0,$0,$0,$0,$0,$-1,$-4,$0,$-4,$-0,$-0,$0,$-0,$-5,$0,$0,$0
6,2017-03-31,4.76,$2.67,1.78,$14.24,0.33,$2.50,1.91,$0.11,43.27,$0.05B,$0.02B,2.4,$0.01B,$0.03B,0.4,$0.18B,$0.05B,26.29%,$0.18B,$0.00B,1.71%,$0.18B,$0.00B,1.71%,$0.18B,$0.00B,2.29%,$0.18B,$0.00B,1.14%,$0.18B,$0.00B,1.14%,$0.00B,$0.03B,6.11%,$0.00B,$0.02B,9.76%,$0.00B,$0.07B,2.93%,$0.00B,$0.05B,6.49%,$46,$35,$12,$0,$10,$45,$1,$-0,$1,$0,$1,$1,$1,$1,$1,$12,12,$0.05,$0.05,$0,$0,$0,$49,$4,$0,$12,$0,$16,$66,$21,$13,$0,$13,$34,$1,$-67,$-3,$32,$66,$1,$0,$0,$1,$1,$0,$0,$0,$0,$2,$-0,$0,$0,$0,$0,$0,$0,$-0,$-2,$0,$-2,$-0,$-0,$0,$-0,$-2,$0,$0,$0
7,2016-12-31,6.36,$2.61,2.43,$14.15,0.45,$2.40,2.65,$0.14,45.43,$0.05B,$0.02B,2.24,$0.01B,$0.03B,0.46,$0.18B,$0.05B,26.70%,$0.18B,$0.00B,2.27%,$0.18B,$0.00B,2.27%,$0.18B,$0.01B,2.84%,$0.18B,$0.00B,1.70%,$0.18B,$0.00B,1.14%,$0.00B,$0.03B,6.06%,$0.00B,$0.02B,9.52%,$0.00B,$0.07B,2.83%,$0.00B,$0.05B,8.29%,$44,$32,$12,$0,$10,$44,$0,$-0,$-0,$0,$-0,$-0,$-0,$0,$0,$12,12,$-0.02,$-0.02,$0,$0,$0,$53,$4,$0,$12,$0,$17,$70,$24,$14,$0,$15,$39,$1,$-68,$-3,$31,$70,$2,$2,$2,$4,$5,$0,$0,$1,$6,$12,$-1,$0,$0,$0,$0,$0,$0,$-1,$-7,$0,$-7,$-4,$-4,$0,$-1,$-12,$-1,$1,$0
8,2016-09-30,6.63,$2.76,2.4,$14.27,0.46,$2.28,2.9,$0.40,16.57,$0.05B,$0.02B,2.48,$0.01B,$0.03B,0.33,$0.18B,$0.05B,27.37%,$0.18B,$0.01B,3.35%,$0.18B,$0.01B,3.35%,$0.18B,$0.01B,4.47%,$0.18B,$0.01B,2.79%,$0.18B,$0.01B,2.79%,$0.01B,$0.03B,15.04%,$0.01B,$0.02B,23.53%,$0.01B,$0.07B,6.80%,$0.01B,$0.05B,12.00%,$40,$30,$10,$0,$9,$39,$0,$-0,$0,$0,$0,$0,$0,$1,$0,$12,12,$0.01,$0.01,$0,$0,$0,$50,$4,$0,$12,$0,$16,$66,$20,$11,$1,$12,$32,$1,$-68,$-2,$34,$66,$2,$1,$1,$2,$9,$0,$0,$0,$8,$12,$-1,$0,$0,$0,$0,$0,$0,$-1,$-10,$0,$-10,$-1,$-1,$0,$-1,$-12,$-1,$1,$0
9,2016-06-30,5.21,$2.76,1.89,$14.54,0.36,$1.75,2.98,$0.46,11.33,$0.05B,$0.02B,2.61,$0.02B,$0.03B,0.44,$0.18B,$0.05B,28.26%,$0.18B,$0.01B,4.35%,$0.18B,$0.01B,4.35%,$0.18B,$0.01B,4.89%,$0.18B,$0.01B,3.80%,$0.18B,$0.01B,3.26%,$0.01B,$0.03B,16.78%,$0.01B,$0.02B,25.26%,$0.01B,$0.07B,7.74%,$0.01B,$0.05B,14.95%,$45,$33,$12,$0,$10,$44,$2,$-0,$1,$1,$1,$1,$1,$2,$2,$12,12,$0.07,$0.07,$0,$0,$0,$54,$5,$0,$12,$0,$17,$71,$21,$15,$1,$16,$37,$1,$-68,$-2,$34,$71,$2,$1,$1,$1,$3,$0,$0,$2,$4,$8,$-1,$0,$0,$0,$0,$0,$0,$-1,$-6,$0,$-6,$-1,$-1,$0,$-1,$-8,$-1,$0,$0
