,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,17.8,$2.09,8.53,$1.60,11.1,$-12.63,0.0,$-5.57,0.0,$0.26B,$0.05B,5.5,$0.18B,$0.10B,1.85,$0.07B,$0.07B,89.19%,$0.07B,$-0.24B,-317.57%,$0.07B,$-0.24B,-317.57%,$0.07B,$-0.22B,-295.95%,$0.07B,$-0.25B,-340.54%,$0.07B,$-0.25B,-340.54%,$-0.25B,$0.10B,-150.67%,$-0.25B,$0.09B,-158.24%,$-0.25B,$0.32B,-65.37%,$-0.24B,$0.27B,-69.53%,$28,$2,$25,$27,$44,$73,$-45,$-5,$-50,$0,$-50,$-50,$-50,$-41,$-45,$45,45,$-1.09,$-1.09,$235,$6,$1,$264,$5,$42,$8,$1,$55,$319,$48,$176,$0,$176,$224,$0,$-1063,$-1,$95,$319,$-180,$12,$22,$34,$-8,$-1,$2,$-4,$-19,$-164,$-0,$0,$0,$0,$97,$97,$0,$97,$0,$0,$0,$12,$12,$0,$0,$12,$-56,$22,$0
1,2018-06-30,29.47,$3.01,9.8,$1.30,22.62,$-13.08,0.0,$-5.79,0.0,$0.26B,$0.05B,5.39,$0.17B,$0.14B,1.26,$0.06B,$0.05B,91.53%,$0.06B,$-0.25B,-416.95%,$0.06B,$-0.25B,-416.95%,$0.06B,$-0.23B,-391.53%,$0.06B,$-0.26B,-440.68%,$0.06B,$-0.26B,-440.68%,$-0.26B,$0.14B,-118.18%,$-0.26B,$0.13B,-122.79%,$-0.26B,$0.36B,-60.12%,$-0.25B,$0.31B,-63.48%,$23,$2,$21,$26,$49,$88,$-65,$-4,$-69,$0,$-69,$-69,$-69,$-61,$-65,$45,45,$-1.52,$-1.52,$232,$6,$1,$257,$5,$87,$8,$1,$100,$357,$48,$173,$0,$173,$221,$0,$-1013,$-1,$137,$357,$-130,$8,$16,$23,$-7,$-2,$-1,$-1,$-14,$-122,$-0,$0,$0,$0,$45,$45,$0,$44,$0,$0,$0,$11,$11,$0,$0,$11,$-67,$16,$0
2,2018-03-31,35.94,$4.32,8.33,$0.83,43.44,$-13.23,0.0,$-5.85,0.0,$0.26B,$0.04B,6.55,$0.17B,$0.20B,0.87,$0.04B,$0.03B,91.89%,$0.04B,$-0.25B,-675.68%,$0.04B,$-0.25B,-675.68%,$0.04B,$-0.24B,-643.24%,$0.04B,$-0.26B,-700.00%,$0.04B,$-0.26B,-700.00%,$-0.26B,$0.20B,-109.05%,$-0.26B,$0.19B,-112.98%,$-0.26B,$0.40B,-64.27%,$-0.25B,$0.36B,-69.06%,$15,$1,$13,$23,$48,$72,$-58,$-4,$-62,$0,$-62,$-62,$-62,$-54,$-58,$45,45,$-1.37,$-1.37,$236,$5,$2,$258,$6,$132,$8,$1,$146,$404,$39,$169,$0,$169,$209,$0,$-944,$-1,$195,$404,$-62,$4,$8,$11,$-4,$-1,$1,$-1,$-20,$-70,$-0,$0,$0,$0,$-1,$-1,$0,$-1,$0,$0,$0,$8,$8,$0,$0,$8,$-62,$8,$0
3,2017-12-31,31.77,$5.42,5.86,$0.50,63.08,$-12.89,0.0,$-5.80,0.0,$0.27B,$0.05B,5.04,$0.17B,$0.24B,0.69,$0.02B,$0.02B,95.45%,$0.02B,$-0.25B,-1136.36%,$0.02B,$-0.25B,-1136.36%,$0.02B,$-0.24B,-1095.45%,$0.02B,$-0.25B,-1154.55%,$0.02B,$-0.25B,-1154.55%,$-0.25B,$0.24B,-99.90%,$-0.25B,$0.23B,-102.42%,$-0.25B,$0.46B,-67.60%,$-0.25B,$0.41B,-74.29%,$8,$1,$7,$23,$51,$74,$-67,$-4,$-71,$0,$-71,$-71,$-71,$-63,$-67,$44,44,$-1.59,$-1.59,$253,$4,$2,$270,$6,$177,$8,$1,$192,$462,$53,$166,$0,$166,$220,$0,$-882,$-0,$242,$462,$-254,$7,$35,$42,$-4,$-4,$-2,$-5,$6,$-207,$-2,$-9,$0,$0,$-238,$-238,$0,$-249,$305,$0,$305,$20,$20,$0,$-9,$316,$-140,$35,$0
4,2017-09-30,38.55,$6.87,5.61,$0.33,117.28,$-11.44,0.0,$-5.43,0.0,$0.49B,$0.04B,12.87,$0.16B,$0.31B,0.53,$0.01B,$0.01B,100.00%,$0.01B,$-0.24B,-1685.71%,$0.01B,$-0.24B,-1685.71%,$0.01B,$-0.23B,-1650.00%,$0.01B,$-0.24B,-1685.71%,$0.01B,$-0.24B,-1685.71%,$-0.24B,$0.31B,-87.25%,$-0.24B,$0.30B,-88.64%,$-0.24B,$0.51B,-68.36%,$-0.24B,$0.47B,-75.82%,$13,$0,$13,$21,$48,$69,$-56,$-2,$-58,$0,$-58,$-58,$-58,$-53,$-56,$44,44,$-1.31,$-1.31,$468,$3,$0,$491,$7,$0,$8,$1,$16,$507,$38,$163,$0,$163,$201,$0,$-811,$0,$306,$507,$-183,$3,$29,$32,$-12,$-3,$-2,$-6,$-16,$-167,$-12,$0,$0,$0,$53,$53,$0,$41,$305,$0,$305,$19,$19,$0,$-9,$314,$188,$29,$0
5,2017-06-30,45.23,$4.77,9.49,$0.02,2003.5,$-9.82,0.0,$-5.19,0.0,$0.22B,$0.03B,7.04,$0.00B,$0.21B,0.0,$0.00B,$0.00B,100.00%,$0.00B,$-0.23B,-22700.00%,$0.00B,$-0.23B,-22700.00%,$0.00B,$-0.23B,-22500.00%,$0.00B,$-0.22B,-22400.00%,$0.00B,$-0.22B,-22400.00%,$-0.22B,$0.21B,-79.43%,$-0.22B,$0.20B,-80.00%,$-0.22B,$0.24B,-71.57%,$-0.23B,$0.21B,-80.50%,$1,$0,$1,$20,$50,$70,$-69,$0,$-68,$0,$-68,$-68,$-68,$-68,$-69,$43,43,$-1.58,$-1.58,$215,$2,$0,$224,$7,$0,$9,$1,$16,$239,$32,$0,$0,$0,$32,$0,$-753,$0,$207,$239,$-125,$1,$21,$21,$-1,$-2,$-2,$-4,$-9,$-113,$-10,$0,$0,$0,$-6,$-6,$0,$-16,$0,$0,$0,$5,$5,$0,$0,$5,$-123,$21,$0
6,2017-03-31,38.65,$6.06,6.38,0,0.0,$-8.70,0.0,$-4.62,0.0,$0.29B,$0.03B,8.75,$0.00B,$0.26B,0.0,$0.00B,0,nan%,$0.00B,$-0.20B,inf%,$0.00B,$-0.20B,inf%,$0.00B,$-0.20B,inf%,$0.00B,$-0.20B,inf%,$0.00B,$-0.20B,inf%,$-0.20B,$0.26B,-60.72%,$-0.20B,$0.26B,-60.72%,$-0.20B,$0.30B,-55.98%,$-0.20B,$0.26B,-61.63%,$0,$0,$0,$20,$38,$58,$-58,$1,$-57,$0,$-57,$-57,$-57,$-57,$-58,$43,43,$-1.32,$-1.32,$282,$0,$0,$289,$6,$0,$0,$1,$7,$295,$33,$0,$0,$0,$33,$0,$-685,$0,$262,$295,$-57,$0,$9,$9,$0,$0,$1,$-4,$-5,$-53,$-0,$0,$0,$0,$-34,$-34,$0,$-34,$0,$0,$0,$3,$3,$0,$0,$3,$-84,$9,$0
7,2016-12-31,38.03,$7.12,5.34,0,0.0,$-8.26,0.0,$-4.24,0.0,$0.34B,$0.03B,10.23,$0.00B,$0.31B,0.0,$0.00B,0,nan%,$0.00B,$-0.19B,inf%,$0.00B,$-0.19B,inf%,$0.00B,$-0.18B,inf%,$0.00B,$-0.18B,inf%,$0.00B,$-0.18B,inf%,$-0.18B,$0.31B,-49.36%,$-0.18B,$0.31B,-49.36%,$-0.18B,$0.34B,-46.31%,$-0.19B,$0.31B,-50.17%,$0,$0,$0,$26,$27,$53,$-53,$0,$-53,$0,$-53,$-53,$-53,$-53,$-53,$43,43,$-1.22,$-1.22,$332,$0,$1,$335,$5,$0,$0,$1,$5,$340,$33,$0,$0,$0,$33,$0,$-629,$0,$307,$340,$-183,$1,$26,$27,$0,$0,$-0,$4,$16,$-140,$-3,$0,$0,$0,$239,$239,$0,$236,$0,$0,$0,$3,$3,$0,$0,$3,$99,$26,$0
8,2016-09-30,54.09,$8.17,6.62,0,0.0,$-7.17,0.0,$-3.79,0.0,$0.37B,$0.03B,14.76,$0.00B,$0.35B,0.0,$0.00B,0,nan%,$0.00B,$-0.17B,inf%,$0.00B,$-0.17B,inf%,$0.00B,$-0.16B,inf%,$0.00B,$-0.16B,inf%,$0.00B,$-0.16B,inf%,$-0.16B,$0.35B,-39.78%,$-0.16B,$0.35B,-39.78%,$-0.16B,$0.38B,-37.81%,$-0.17B,$0.35B,-40.76%,$0,$0,$0,$27,$19,$47,$-47,$1,$-46,$0,$-46,$-46,$-46,$-47,$-47,$43,43,$-1.07,$-1.07,$370,$0,$0,$373,$4,$0,$0,$1,$5,$378,$25,$0,$0,$0,$26,$0,$-576,$0,$352,$378,$-130,$1,$19,$20,$0,$0,$-4,$3,$7,$-103,$-2,$0,$0,$0,$142,$142,$0,$140,$0,$0,$0,$2,$2,$0,$0,$2,$39,$19,$0
9,2016-06-30,36.75,$9.05,4.06,0,0.0,$-6.19,0.0,$-3.40,0.0,$0.41B,$0.02B,20.75,$0.00B,$0.39B,0.0,$0.00B,0,nan%,$0.00B,$-0.15B,inf%,$0.00B,$-0.15B,inf%,$0.00B,$-0.14B,inf%,$0.00B,$-0.14B,inf%,$0.00B,$-0.14B,inf%,$-0.14B,$0.39B,-32.62%,$-0.14B,$0.39B,-32.62%,$-0.14B,$0.41B,-31.27%,$-0.15B,$0.39B,-33.07%,$0,$0,$0,$27,$17,$44,$-44,$1,$-43,$0,$-43,$-43,$-43,$-44,$-44,$43,43,$-1.01,$-1.01,$401,$0,$0,$406,$3,$0,$0,$0,$3,$409,$20,$0,$0,$0,$20,$0,$-530,$0,$390,$409,$-84,$1,$11,$12,$0,$0,$-3,$2,$-0,$-73,$-1,$0,$0,$0,$33,$33,$0,$32,$0,$0,$0,$2,$2,$0,$0,$2,$-39,$11,$0
