,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,21.58,$0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,$2.63B,$6.45B,0.41,$7.02B,$2.94B,2.39,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$2.94B,0.00%,$0.00B,$-10.64B,0.00%,$0.00B,$17.87B,0.00%,$0.00B,$9.97B,0.00%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$143,$271,$30,$2632,$0,$333,$13584,$482,$14981,$17871,$6446,$7023,$427,$8482,$14927,$305,$1196,$0,$2944,$17871,$1319,$421,$0,$421,$0,$0,$0,$0,$-86,$1229,$-29,$0,$-920,$0,$0,$-11,$-155,$-1115,$0,$142,$1213,$0,$-727,$-751,$0,$-124,$-8,$0,$0
1,2017-12-31,23.13,$0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,$2.78B,$5.83B,0.48,$5.42B,$3.06B,1.77,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$3.06B,0.00%,$0.00B,$-8.75B,0.00%,$0.00B,$15.83B,0.00%,$0.00B,$8.48B,0.00%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$143,$254,$37,$2783,$1121,$313,$11804,$139,$13900,$15830,$5833,$5423,$563,$6938,$12771,$289,$845,$0,$3060,$15830,$2455,$754,$0,$754,$0,$0,$0,$0,$-61,$2382,$-64,$0,$-125,$0,$0,$-13,$-342,$-544,$0,$-191,$201,$0,$-911,$-995,$0,$-1896,$-66,$0,$0
2,2017-06-30,21.23,$0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,$2.57B,$5.43B,0.47,$5.76B,$2.45B,2.35,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$2.45B,0.00%,$0.00B,$-9.62B,0.00%,$0.00B,$15.79B,0.00%,$0.00B,$8.21B,0.00%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$205,$258,$98,$2567,$0,$301,$12074,$82,$12940,$15787,$5426,$5762,$839,$7911,$13337,$292,$642,$0,$2450,$15787,$1214,$408,$0,$408,$0,$0,$0,$0,$-134,$1118,$-24,$0,$-22,$0,$0,$-10,$-164,$-220,$0,$-231,$652,$0,$-639,$-675,$0,$-894,$-3,$0,$0
3,2016-12-31,17.14,$0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,$3.19B,$7.19B,0.44,$4.99B,$3.20B,1.56,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$3.20B,0.00%,$0.00B,$-10.35B,0.00%,$0.00B,$18.06B,0.00%,$0.00B,$8.19B,0.00%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$220,$283,$35,$3189,$1244,$324,$13548,$66,$15784,$18057,$7189,$4993,$1138,$7672,$14861,$306,$762,$0,$3196,$18057,$2315,$812,$0,$812,$0,$0,$0,$0,$-98,$2280,$-68,$0,$-507,$0,$0,$-8,$-323,$-905,$0,$367,$165,$0,$-957,$-938,$0,$-1362,$54,$0,$0
4,2015-12-31,16.58,$0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,$2.95B,$6.39B,0.46,$5.01B,$3.33B,1.51,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$3.33B,0.00%,$0.00B,$-9.49B,0.00%,$0.00B,$17.10B,0.00%,$0.00B,$8.34B,0.00%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$187,$242,$70,$2946,$1223,$370,$12824,$78,$15029,$17102,$6385,$5012,$846,$7387,$13772,$342,$864,$0,$3330,$17102,$2151,$0,$0,$0,$0,$0,$0,$0,$0,$2151,$-98,$0,$-240,$0,$0,$-24,$-283,$-645,$0,$-518,$466,$0,$-763,$-904,$0,$-1719,$-235,$0,$0
5,2015-06-30,15.01,$0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,$2.51B,$4.97B,0.51,$5.43B,$2.79B,1.94,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$2.79B,0.00%,$0.00B,$-9.34B,0.00%,$0.00B,$16.01B,0.00%,$0.00B,$8.22B,0.00%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$282,$225,$54,$2511,$0,$395,$12133,$0,$13170,$16007,$4974,$5429,$1251,$8238,$13213,$346,$0,$0,$2794,$16007,$713,$0,$0,$0,$0,$0,$0,$0,$0,$955,$-58,$0,$-127,$0,$0,$0,$-167,$-352,$0,$-188,$775,$0,$-459,$-645,$-269,$-787,$-202,$0,$0
6,2014-12-31,15.44,$0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,$2.96B,$6.02B,0.49,$4.82B,$3.94B,1.22,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$3.27B,0.00%,$0.00B,$-10.70B,0.00%,$0.00B,$16.95B,0.00%,$0.00B,$8.08B,0.00%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$422,$217,$0,$2960,$1225,$540,$13967,$0,$16528,$16952,$6018,$4815,$1388,$8013,$13685,$363,$277,$0,$3267,$19012,$3051,$0,$0,$0,$0,$0,$0,$0,$0,$2269,$-110,$0,$-653,$0,$0,$0,$-167,$-931,$0,$0,$476,$0,$-1053,$-932,$404,$-1105,$263,$0,$0
7,2014-06-30,14.58,$0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,$2.48B,$5.93B,0.42,$4.65B,$3.25B,1.43,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$3.25B,0.00%,$0.00B,$-9.22B,0.00%,$0.00B,$16.61B,0.00%,$0.00B,$7.91B,0.00%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$338,$244,$0,$2481,$0,$463,$12469,$88,$13762,$16611,$5931,$4652,$1015,$7427,$13358,$379,$0,$0,$3253,$16611,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
8,2013-12-31,13.26,$0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,$2.84B,$6.03B,0.47,$4.12B,$3.79B,1.09,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$3.79B,0.00%,$0.00B,$-8.26B,0.00%,$0.00B,$16.42B,0.00%,$0.00B,$7.91B,0.00%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$401,$222,$0,$2839,$0,$440,$12049,$33,$13213,$16423,$6028,$4120,$800,$6603,$12631,$351,$0,$0,$3792,$16423,$2108,$886,$0,$886,$0,$0,$0,$0,$-2,$2169,$-80,$0,$175,$0,$0,$-16,$-574,$-494,$0,$264,$-1144,$0,$-743,$-859,$-25,$-2507,$-796,$0,$0
9,2013-06-30,10.0,$0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,$0.00B,$0.00B,0.0,$0.00B,$1.95B,0.0,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,0,nan%,$0.00B,$1.95B,0.00%,$0.00B,$1.95B,0.00%,$0.00B,$1.95B,0.00%,$0.00B,$1.95B,0.00%,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0,$0.00,$0.00,$0,$0,$0,$0,$0,$1953,$0,$0,$1953,$1953,$0,$0,$0,$0,$0,$278,$0,$0,$1953,$1953,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
