,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,7.11,$0.65,10.88,$3.96,1.79,$-5.31,0.0,$-3.18,0.0,$0.07B,$0.05B,1.36,$0.06B,$0.01B,4.04,$0.08B,$0.04B,48.10%,$0.08B,$-0.05B,-67.09%,$0.08B,$-0.05B,-67.09%,$0.08B,$-0.05B,-56.96%,$0.08B,$-0.07B,-84.81%,$0.08B,$-0.06B,-78.48%,$-0.06B,$0.01B,-269.57%,$-0.06B,$-0.03B,354.29%,$-0.06B,$0.18B,-34.44%,$-0.05B,$0.07B,-68.83%,$18,$8,$10,$11,$7,$32,$-14,$-2,$-16,$-2,$-13,$-13,$-13,$-12,$-14,$21,21,$-0.64,$-0.64,$37,$10,$7,$70,$42,$0,$39,$0,$106,$176,$51,$55,$56,$111,$162,$0,$-147,$0,$14,$176,$-38,$6,$6,$11,$-2,$-0,$0,$-4,$-8,$-35,$-4,$0,$-0,$2,$0,$2,$0,$-2,$0,$0,$0,$12,$12,$0,$-0,$12,$-25,$5,$0
1,2018-06-30,5.02,$1.18,4.25,$3.98,1.26,$-4.59,0.0,$-3.02,0.0,$0.08B,$0.05B,1.59,$0.05B,$0.02B,2.22,$0.08B,$0.04B,48.72%,$0.08B,$-0.05B,-64.10%,$0.08B,$-0.05B,-64.10%,$0.08B,$-0.04B,-53.85%,$0.08B,$-0.06B,-80.77%,$0.08B,$-0.06B,-74.36%,$-0.06B,$0.02B,-181.25%,$-0.06B,$-0.02B,644.44%,$-0.06B,$0.18B,-32.54%,$-0.05B,$0.08B,-63.49%,$22,$12,$10,$10,$13,$35,$-13,$-2,$-15,$-3,$-13,$-13,$-13,$-11,$-13,$20,20,$-0.62,$-0.62,$49,$8,$7,$79,$39,$0,$40,$0,$101,$180,$50,$54,$52,$106,$156,$0,$-134,$0,$24,$180,$-25,$4,$1,$5,$-2,$2,$0,$-3,$-4,$-24,$-3,$0,$-0,$4,$0,$4,$0,$1,$0,$0,$0,$12,$12,$0,$-0,$12,$-12,$3,$0
2,2018-03-31,11.01,$1.26,8.76,$3.79,2.9,$-4.00,0.0,$-2.88,0.0,$0.08B,$0.05B,1.78,$0.05B,$0.03B,2.2,$0.07B,$0.03B,46.58%,$0.07B,$-0.05B,-63.01%,$0.07B,$-0.05B,-63.01%,$0.07B,$-0.04B,-53.42%,$0.07B,$-0.06B,-80.82%,$0.07B,$-0.05B,-73.97%,$-0.05B,$0.03B,-134.16%,$-0.05B,$-0.02B,3600.00%,$-0.05B,$0.18B,-30.73%,$-0.05B,$0.08B,-58.23%,$20,$10,$9,$8,$10,$32,$-13,$-2,$-15,$-2,$-12,$-12,$-12,$-11,$-13,$19,19,$-0.65,$-0.65,$51,$10,$6,$79,$38,$0,$41,$0,$99,$178,$45,$54,$55,$109,$154,$0,$-121,$-0,$25,$178,$-12,$2,$3,$5,$-0,$-0,$0,$-1,$-7,$-15,$-2,$0,$0,$-1,$0,$-1,$0,$-3,$0,$0,$0,$4,$4,$0,$-0,$3,$-15,$2,$0
3,2017-12-31,9.25,$1.51,6.13,$3.76,2.46,$-3.61,0.0,$-2.65,0.0,$0.09B,$0.05B,1.75,$0.05B,$0.03B,1.86,$0.07B,$0.03B,45.83%,$0.07B,$-0.04B,-55.56%,$0.07B,$-0.04B,-55.56%,$0.07B,$-0.03B,-45.83%,$0.07B,$-0.05B,-72.22%,$0.07B,$-0.05B,-69.44%,$-0.05B,$0.03B,-100.00%,$-0.05B,$-0.01B,-645.16%,$-0.05B,$0.19B,-28.53%,$-0.04B,$0.08B,-49.38%,$19,$10,$9,$9,$8,$32,$-13,$-8,$-21,$3,$-24,$-24,$-24,$-11,$-13,$19,19,$-1.27,$-1.25,$64,$10,$0,$87,$39,$0,$41,$0,$99,$186,$50,$54,$54,$107,$157,$0,$-111,$-0,$29,$186,$-50,$7,$25,$33,$1,$-1,$0,$-2,$0,$-17,$-6,$0,$-1,$-4,$0,$-4,$0,$-10,$33,$0,$33,$0,$0,$0,$-9,$24,$-3,$6,$0
4,2017-09-30,8.98,$2.60,3.45,$4.38,2.05,$-3.04,0.0,$-2.19,0.0,$0.07B,$0.04B,1.59,$0.03B,$0.05B,0.5,$0.07B,$0.03B,42.86%,$0.07B,$-0.04B,-52.86%,$0.07B,$-0.04B,-52.86%,$0.07B,$-0.03B,-42.86%,$0.07B,$-0.04B,-60.00%,$0.07B,$-0.04B,-51.43%,$-0.04B,$0.05B,-59.26%,$-0.04B,$0.01B,-202.82%,$-0.04B,$0.17B,-20.63%,$-0.04B,$0.08B,-44.05%,$17,$7,$10,$9,$7,$28,$-11,$-1,$-12,$-3,$-9,$-9,$-9,$-9,$-11,$19,19,$-0.48,$-0.48,$41,$10,$0,$67,$38,$0,$42,$0,$102,$169,$42,$25,$52,$77,$119,$0,$-87,$-0,$50,$169,$-26,$6,$10,$16,$-3,$-1,$0,$-2,$-8,$-18,$-5,$0,$-0,$-30,$0,$-30,$0,$-35,$0,$0,$0,$0,$0,$0,$-0,$0,$-53,$4,$0
5,2017-06-30,7.03,$2.99,2.35,$5.06,1.39,$-2.43,0.0,$-2.21,0.0,$0.07B,$0.01B,5.8,$0.02B,$0.06B,0.4,$0.07B,$0.03B,44.29%,$0.07B,$-0.03B,-42.86%,$0.07B,$-0.03B,-42.86%,$0.07B,$-0.02B,-32.86%,$0.07B,$-0.04B,-50.00%,$0.07B,$-0.03B,-45.71%,$-0.03B,$0.06B,-54.70%,$-0.03B,$0.01B,-216.95%,$-0.03B,$0.17B,-18.96%,$-0.03B,$0.08B,-37.04%,$17,$10,$6,$7,$6,$26,$-9,$-1,$-11,$-2,$-9,$-9,$-9,$-8,$-9,$19,19,$-0.46,$-0.48,$50,$7,$0,$70,$38,$0,$43,$0,$100,$170,$12,$23,$78,$101,$113,$0,$-78,$-0,$57,$170,$-17,$4,$6,$9,$0,$2,$0,$-1,$-3,$-11,$-3,$0,$-0,$-42,$0,$-42,$0,$-45,$0,$0,$0,$0,$0,$0,$0,$0,$-56,$2,$0
6,2017-03-31,8.74,$3.38,2.59,$5.99,1.46,$-2.37,0.0,$-2.56,0.0,$0.08B,$0.01B,5.97,$0.02B,$0.06B,0.35,$0.07B,$0.03B,47.14%,$0.07B,$-0.03B,-40.00%,$0.07B,$-0.03B,-40.00%,$0.07B,$-0.02B,-28.57%,$0.07B,$-0.03B,-45.71%,$0.07B,$-0.03B,-44.29%,$-0.03B,$0.06B,-59.62%,$-0.03B,$0.02B,-400.00%,$-0.03B,$0.18B,-19.41%,$-0.03B,$0.09B,-37.58%,$19,$10,$8,$8,$4,$26,$-7,$-1,$-8,$-0,$-8,$-8,$-8,$-5,$-7,$19,19,$-0.42,$-0.42,$56,$8,$0,$77,$37,$0,$43,$0,$99,$176,$13,$23,$76,$99,$112,$0,$-69,$-0,$64,$176,$-8,$2,$3,$5,$-2,$1,$0,$-1,$-4,$-7,$-2,$0,$0,$-36,$0,$-36,$0,$-38,$0,$0,$0,$0,$0,$0,$0,$0,$-45,$1,$0
7,2016-12-31,8.06,$3.76,2.14,$6.92,1.16,$-2.21,0.0,$-2.85,0.0,$0.09B,$0.02B,5.21,$0.02B,$0.07B,0.31,$0.07B,$0.03B,46.38%,$0.07B,$-0.03B,-37.68%,$0.07B,$-0.03B,-37.68%,$0.07B,$-0.02B,-26.09%,$0.07B,$-0.03B,-44.93%,$0.07B,$-0.03B,-43.48%,$-0.03B,$0.07B,-67.04%,$-0.03B,$0.03B,12000.00%,$-0.03B,$0.18B,-20.07%,$-0.03B,$0.09B,-38.66%,$17,$12,$6,$10,$3,$27,$-10,$-1,$-11,$-1,$-10,$-10,$-10,$-8,$-10,$11,11,$-0.78,$-0.78,$64,$9,$0,$85,$37,$0,$44,$0,$98,$183,$16,$22,$73,$95,$111,$0,$-61,$0,$72,$183,$-30,$8,$13,$20,$-2,$0,$0,$-0,$7,$-3,$-4,$0,$0,$0,$0,$0,$0,$-4,$-6,$0,$-6,$58,$58,$0,$-0,$52,$45,$4,$0
8,2016-09-30,8.84,$3.42,2.58,$7.22,1.23,$-0.86,0.0,$-0.91,0.0,$0.05B,$0.01B,4.35,$0.02B,$0.04B,0.56,$0.07B,$0.03B,49.28%,$0.07B,$-0.02B,-27.54%,$0.07B,$-0.02B,-27.54%,$0.07B,$-0.01B,-15.94%,$0.07B,$-0.03B,-36.23%,$0.07B,$-0.01B,-13.04%,$-0.01B,$0.04B,-24.49%,$-0.01B,$-0.00B,102.86%,$-0.01B,$0.15B,-6.50%,$-0.02B,$0.06B,-31.54%,$17,$6,$11,$7,$4,$21,$-4,$-1,$-5,$0,$-5,$-5,$-5,$-2,$-4,$11,11,$-0.50,$-0.50,$25,$10,$0,$49,$36,$0,$45,$0,$97,$146,$11,$23,$71,$94,$105,$0,$-51,$0,$41,$146,$-20,$6,$11,$17,$-4,$-1,$0,$-1,$-1,$-4,$-2,$0,$0,$0,$0,$0,$0,$-2,$-6,$4,$-2,$13,$13,$0,$-0,$11,$5,$3,$0
9,2016-06-30,7.95,$3.17,2.51,$7.46,1.07,$0.38,21.2,$-0.65,0.0,$0.04B,$0.01B,2.85,$0.02B,$0.03B,0.71,$0.07B,$0.03B,43.48%,$0.07B,$-0.02B,-21.74%,$0.07B,$-0.02B,-21.74%,$0.07B,$-0.01B,-10.14%,$0.07B,$-0.02B,-31.88%,$0.07B,$-0.01B,-8.70%,$-0.01B,$0.03B,-17.91%,$-0.01B,$-0.01B,48.00%,$-0.01B,$0.13B,-4.42%,$-0.02B,$0.05B,-25.97%,$17,$10,$8,$8,$3,$24,$-7,$-1,$-8,$-0,$-8,$-8,$-8,$-5,$-7,$10,10,$-0.83,$-0.83,$15,$7,$0,$35,$37,$0,$45,$0,$98,$134,$12,$22,$68,$90,$102,$0,$-45,$0,$31,$134,$-14,$4,$5,$9,$-3,$2,$0,$-1,$0,$-5,$-1,$0,$0,$0,$0,$0,$0,$-1,$-3,$4,$2,$0,$0,$0,$0,$2,$-5,$1,$0
10,2016-03-31,5.97,$3.76,1.59,$8.03,0.74,$1.12,5.34,$0.01,0.0,$0.04B,$0.01B,2.91,$0.02B,$0.04B,0.64,$0.07B,$0.03B,43.66%,$0.07B,$-0.01B,-11.27%,$0.07B,$-0.01B,-11.27%,$0.07B,$-0.00B,-2.82%,$0.07B,$-0.02B,-21.13%,$0.07B,$0.00B,1.41%,$0.00B,$0.04B,3.39%,$0.00B,$-0.01B,-5.80%,$0.00B,$0.14B,0.74%,$-0.01B,$0.06B,-14.04%,$18,$10,$7,$8,$3,$23,$-5,$-2,$-7,$0,$-7,$-7,$-7,$-3,$-5,$9,9,$-0.71,$-0.71,$15,$8,$0,$36,$37,$0,$46,$0,$99,$135,$12,$23,$65,$88,$100,$0,$-38,$0,$35,$135,$-7,$2,$2,$4,$-4,$1,$0,$-0,$0,$-2,$-0,$0,$0,$0,$0,$0,$0,$-0,$-3,$1,$-2,$0,$0,$0,$0,$-2,$-5,$1,$0
11,2015-12-31,9.0,$4.37,2.06,$6.11,1.47,$1.04,8.68,$0.19,47.37,$0.04B,$0.01B,4.08,$0.03B,$0.04B,0.63,$0.05B,$0.02B,45.28%,$0.05B,$-0.01B,-13.21%,$0.05B,$-0.01B,-13.21%,$0.05B,$-0.00B,-5.66%,$0.05B,$-0.01B,-22.64%,$0.05B,$0.00B,7.55%,$0.00B,$0.04B,16.33%,$0.00B,$-0.01B,-37.21%,$0.00B,$0.14B,3.79%,$-0.01B,$0.07B,-15.14%,$17,$9,$8,$5,$5,$20,$-3,$-2,$-5,$0,$11,$11,$11,$-1,$-3,$8,9,$1.30,$1.15,$20,$9,$0,$39,$38,$0,$46,$0,$100,$139,$9,$25,$64,$89,$98,$0,$-31,$0,$40,$139,$3,$6,$-8,$-2,$4,$1,$0,$0,$8,$8,$-2,$0,$-53,$0,$0,$0,$0,$-55,$34,$0,$34,$15,$15,$0,$-2,$47,$0,$3,$0
12,2015-09-30,12.03,$3.08,3.91,$4.20,2.87,$-1.40,0.0,$-1.39,0.0,$0.05B,$0.02B,2.53,$0.02B,$0.03B,0.86,$0.04B,$0.02B,44.44%,$0.04B,$-0.01B,-19.44%,$0.04B,$-0.01B,-19.44%,$0.04B,$-0.01B,-13.89%,$0.04B,$-0.01B,-27.78%,$0.04B,$-0.01B,-27.78%,$-0.01B,$0.03B,-51.95%,$-0.01B,$-0.02B,222.22%,$-0.01B,$0.14B,-13.20%,$-0.01B,$0.05B,-20.29%,$17,$10,$7,$3,$3,$17,$-0,$-2,$-2,$0,$-2,$-2,$-2,$2,$-0,$9,9,$-0.24,$-0.24,$28,$9,$0,$48,$39,$0,$47,$0,$86,$135,$19,$24,$63,$87,$106,$0,$-42,$0,$28,$135,$-8,$4,$5,$9,$0,$1,$0,$3,$7,$8,$-2,$0,$-53,$0,$0,$0,$0,$-54,$40,$0,$40,$15,$15,$0,$-0,$55,$9,$2,$0
13,2015-06-30,12.92,$1.88,6.88,$2.38,5.42,$-2.92,0.0,$-1.76,0.0,$0.04B,$0.02B,2.69,$0.04B,$0.02B,2.48,$0.02B,$0.01B,47.37%,$0.02B,$-0.01B,-63.16%,$0.02B,$-0.01B,-63.16%,$0.02B,$-0.01B,-63.16%,$0.02B,$-0.01B,-68.42%,$0.02B,$-0.01B,-68.42%,$-0.01B,$0.02B,-73.24%,$-0.01B,$-0.03B,-226.09%,$-0.01B,$0.13B,-27.08%,$-0.01B,$0.05B,-44.86%,$19,$9,$9,$3,$3,$18,$0,$-2,$-1,$0,$-1,$-1,$-1,$0,$0,$8,8,$-0.17,$-0.17,$16,$10,$0,$42,$39,$0,$48,$0,$87,$130,$16,$36,$63,$99,$115,$0,$-40,$0,$15,$130,$-5,$2,$4,$6,$-2,$0,$0,$-0,$1,$2,$-1,$0,$-53,$0,$0,$0,$0,$-54,$50,$0,$50,$0,$0,$0,$-2,$48,$-4,$1,$0
14,2015-03-31,9.07,$1.96,4.62,0,0.0,$-3.34,0.0,$-1.95,0.0,$0.02B,$0.00B,6.69,$0.00B,$0.02B,0.0,$0.00B,0,nan%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$0.02B,-72.29%,$-0.02B,$0.02B,-72.29%,$-0.02B,$0.02B,-66.67%,$-0.02B,$0.02B,-72.29%,$0,$0,$0,$2,$2,$4,$-4,$0,$-4,$0,$-4,$-4,$-4,$-4,$-4,$8,8,$-0.53,$-0.53,$17,$0,$0,$17,$0,$0,$0,$0,$1,$18,$3,$0,$0,$0,$3,$0,$-38,$0,$15,$18,$-4,$0,$0,$0,$0,$0,$0,$0,$1,$-3,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$-0,$-3,$0,$0
15,2014-12-31,2.86,$2.46,1.16,0,0.0,$-3.42,0.0,$-1.62,0.0,$0.02B,$0.00B,14.09,$0.00B,$0.02B,0.0,$0.00B,0,nan%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.01B,inf%,$0.00B,$-0.02B,inf%,$0.00B,$-0.02B,inf%,$-0.02B,$0.02B,-70.10%,$-0.02B,$0.02B,-70.10%,$-0.02B,$0.02B,-66.67%,$-0.01B,$0.02B,-49.48%,$0,$0,$0,$2,$1,$3,$-3,$0,$-3,$0,$-3,$-3,$-3,$-3,$-3,$6,6,$1.85,$1.85,$20,$0,$0,$20,$0,$0,$0,$0,$0,$20,$1,$0,$0,$0,$1,$0,$-34,$0,$19,$20,$-16,$0,$5,$5,$-0,$0,$0,$-1,$0,$-11,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$30,$30,$0,$0,$31,$20,$1,$0
