,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,10.85,$9.79,1.11,$2.93,3.71,$-4.62,0.0,$-1.61,0.0,$0.14B,$0.09B,1.6,$0.00B,$0.53B,0.0,$0.16B,$0.08B,51.59%,$0.16B,$-0.07B,-47.13%,$0.16B,$-0.07B,-47.13%,$0.16B,$0.01B,3.82%,$0.16B,$-0.13B,-84.71%,$0.16B,$-0.13B,-84.71%,$-0.13B,$0.53B,-22.55%,$-0.13B,$0.51B,-22.68%,$-0.13B,$2.31B,-6.58%,$-0.07B,$0.53B,-12.55%,$48,$21,$27,$0,$5,$96,$-48,$-0,$-48,$0,$-48,$-48,$-48,$-25,$-48,$54,54,$-0.89,$-0.89,$115,$0,$0,$139,$2005,$0,$13,$151,$2170,$2309,$87,$0,$0,$0,$1784,$1,$-658,$0,$525,$2309,$-97,$63,$13,$76,$-2,$0,$-0,$-15,$8,$-13,$-402,$0,$-1,$-25,$6,$-19,$-9,$-431,$428,$0,$428,$-0,$-0,$-24,$-5,$398,$-46,$2,$-24
1,2018-06-30,10.42,$10.83,0.96,$2.47,4.22,$5.12,2.04,$-2.41,0.0,$0.18B,$0.06B,2.75,$0.00B,$0.58B,0.0,$0.13B,$0.06B,44.36%,$0.13B,$-0.07B,-49.62%,$0.13B,$-0.07B,-49.62%,$0.13B,$0.01B,6.02%,$0.13B,$-0.13B,-96.24%,$0.13B,$-0.13B,-96.24%,$-0.13B,$0.58B,-20.29%,$-0.13B,$0.58B,-20.29%,$-0.13B,$1.89B,-6.71%,$-0.07B,$0.58B,-10.46%,$41,$18,$23,$0,$4,$63,$-22,$1,$-21,$0,$-21,$-21,$-21,$-2,$-22,$54,54,$-0.40,$-0.40,$149,$0,$0,$175,$1663,$0,$0,$48,$1710,$1885,$63,$0,$0,$0,$1305,$1,$-602,$0,$580,$1885,$-49,$41,$12,$52,$-1,$0,$0,$-3,$-0,$3,$55,$0,$0,$-17,$5,$-12,$0,$44,$-30,$0,$-30,$-0,$-0,$-16,$-13,$-60,$-13,$1,$-16
2,2018-03-31,9.91,$11.38,0.87,$1.96,5.06,$5.13,1.93,$-3.05,0.0,$0.19B,$0.06B,3.22,$0.00B,$0.61B,0.0,$0.11B,$0.03B,25.71%,$0.11B,$-0.10B,-95.24%,$0.11B,$-0.10B,-95.24%,$0.11B,$-0.03B,-27.62%,$0.11B,$-0.16B,-155.24%,$0.11B,$-0.16B,-155.24%,$-0.16B,$0.61B,-24.30%,$-0.16B,$0.61B,-24.30%,$-0.16B,$1.92B,-8.49%,$-0.10B,$0.61B,-14.91%,$40,$17,$23,$0,$2,$66,$-26,$-1,$-27,$0,$-27,$-27,$-27,$-6,$-26,$53,53,$-0.51,$-0.51,$156,$0,$0,$188,$1676,$0,$0,$57,$1733,$1921,$59,$0,$0,$0,$1312,$1,$-573,$0,$609,$1921,$-27,$21,$9,$29,$-4,$0,$-0,$-1,$-6,$-4,$32,$0,$0,$-7,$2,$-6,$-1,$25,$-18,$0,$-18,$0,$0,$-8,$-0,$-26,$-5,$-0,$-8
3,2017-12-31,11.52,$12.06,0.96,$1.76,6.55,$5.13,2.25,$-3.46,0.0,$0.19B,$0.06B,3.22,$0.00B,$0.65B,0.0,$0.09B,$0.01B,9.57%,$0.09B,$-0.12B,-130.85%,$0.09B,$-0.12B,-130.85%,$0.09B,$-0.06B,-58.51%,$0.09B,$-0.19B,-196.81%,$0.09B,$-0.19B,-196.81%,$-0.19B,$0.65B,-25.70%,$-0.19B,$0.65B,-25.70%,$-0.19B,$1.98B,-9.35%,$-0.12B,$0.65B,-17.09%,$28,$20,$8,$0,$4,$6,$22,$-59,$-37,$-0,$-37,$-37,$-37,$39,$22,$53,53,$-0.71,$-0.71,$161,$0,$0,$193,$1694,$0,$0,$88,$1782,$1975,$60,$0,$0,$0,$1330,$1,$-537,$0,$645,$1975,$-185,$69,$77,$146,$-2,$0,$-1,$-5,$-9,$-48,$129,$0,$0,$-38,$527,$489,$3,$621,$-495,$0,$-495,$-5,$-5,$-32,$-8,$-541,$32,$4,$-32
4,2017-09-30,10.66,$12.89,0.83,$1.46,7.29,$2.98,3.58,$-3.90,0.0,$0.30B,$0.06B,4.77,$0.00B,$0.69B,0.0,$0.08B,$-0.01B,-16.67%,$0.08B,$-0.19B,-242.31%,$0.08B,$-0.19B,-242.31%,$0.08B,$-0.12B,-153.85%,$0.08B,$-0.21B,-267.95%,$0.08B,$-0.21B,-267.95%,$-0.21B,$0.69B,-26.99%,$-0.21B,$0.69B,-26.99%,$-0.21B,$1.85B,-10.16%,$-0.19B,$0.69B,-24.41%,$24,$18,$5,$0,$4,$63,$-40,$-3,$-43,$0,$-43,$-43,$-43,$-23,$-40,$53,53,$-0.80,$-0.80,$212,$0,$0,$302,$1417,$0,$0,$134,$1551,$1852,$63,$0,$0,$0,$1163,$1,$-492,$0,$689,$1852,$-148,$51,$59,$110,$-5,$0,$-1,$-5,$-6,$-43,$150,$0,$0,$-29,$471,$441,$3,$594,$-434,$0,$-434,$-5,$-5,$-24,$-5,$-468,$83,$3,$-24
5,2017-06-30,12.25,$13.86,0.88,$1.10,11.13,$-0.18,0.0,$-4.16,0.0,$0.29B,$0.06B,4.68,$0.00B,$0.74B,0.0,$0.06B,$-0.04B,-62.07%,$0.06B,$-0.20B,-337.93%,$0.06B,$-0.20B,-337.93%,$0.06B,$-0.14B,-236.21%,$0.06B,$-0.22B,-386.21%,$0.06B,$-0.22B,-386.21%,$-0.22B,$0.74B,-26.81%,$-0.22B,$0.74B,-26.81%,$-0.22B,$1.93B,-10.29%,$-0.20B,$0.74B,-23.46%,$13,$22,$-9,$0,$3,$69,$-56,$0,$-56,$0,$-56,$-56,$-56,$-39,$-56,$53,53,$-1.04,$-1.04,$202,$0,$0,$288,$1499,$0,$0,$143,$1642,$1930,$62,$0,$0,$0,$1190,$1,$-441,$0,$740,$1930,$-105,$34,$39,$73,$4,$0,$-0,$-1,$6,$-25,$85,$0,$0,$-23,$463,$440,$3,$527,$-404,$0,$-404,$-5,$-5,$-16,$-5,$-429,$73,$2,$-16
6,2017-03-31,14.27,$15.04,0.95,$0.85,16.72,$-0.48,0.0,$-4.28,0.0,$0.56B,$0.06B,9.42,$0.00B,$0.81B,0.0,$0.05B,$-0.05B,-117.78%,$0.05B,$-0.19B,-426.67%,$0.05B,$-0.19B,-426.67%,$0.05B,$-0.14B,-320.00%,$0.05B,$-0.23B,-515.56%,$0.05B,$-0.23B,-515.56%,$-0.23B,$0.81B,-25.72%,$-0.23B,$0.81B,-25.72%,$-0.23B,$2.16B,-10.63%,$-0.19B,$0.81B,-21.29%,$29,$25,$5,$0,$4,$79,$-49,$0,$-49,$0,$-49,$-49,$-49,$-32,$-49,$54,54,$-0.92,$-0.92,$101,$0,$0,$558,$1435,$0,$0,$167,$1602,$2160,$59,$0,$0,$0,$1355,$1,$-377,$0,$805,$2160,$-49,$18,$12,$30,$-1,$0,$-0,$-1,$-1,$-21,$48,$0,$-0,$-13,$118,$104,$3,$155,$-150,$0,$-150,$-2,$-2,$-8,$-2,$-162,$-28,$2,$-8
7,2016-12-31,10.23,$16.08,0.64,$1.03,9.93,$-1.59,0.0,$-4.18,0.0,$0.73B,$0.06B,12.92,$0.00B,$0.86B,0.0,$0.06B,$-0.05B,-85.71%,$0.06B,$-0.17B,-307.14%,$0.06B,$-0.17B,-307.14%,$0.06B,$-0.13B,-237.50%,$0.06B,$-0.23B,-408.93%,$0.06B,$-0.23B,-408.93%,$-0.23B,$0.86B,-23.59%,$-0.23B,$0.86B,-23.59%,$-0.23B,$2.29B,-10.52%,$-0.17B,$0.86B,-17.72%,$12,$26,$-14,$0,$3,$56,$-44,$-17,$-61,$0,$-61,$-61,$-61,$-26,$-44,$54,54,$-1.14,$-1.14,$129,$0,$0,$733,$1409,$0,$0,$143,$1552,$2285,$57,$0,$0,$0,$1422,$1,$-320,$0,$863,$2285,$-228,$40,$51,$91,$4,$0,$5,$-5,$24,$-113,$78,$0,$0,$-53,$543,$490,$-1,$568,$-391,$0,$-391,$-21,$-21,$-38,$-11,$-462,$-8,$1,$-38
8,2016-09-30,9.83,$17.35,0.57,$1.23,7.97,$-4.17,0.0,$-4.22,0.0,$0.74B,$0.06B,12.98,$0.00B,$0.93B,0.0,$0.07B,$-0.05B,-66.18%,$0.07B,$-0.18B,-264.71%,$0.07B,$-0.18B,-264.71%,$0.07B,$-0.15B,-225.00%,$0.07B,$-0.23B,-344.12%,$0.07B,$-0.23B,-344.12%,$-0.23B,$0.93B,-22.44%,$-0.23B,$0.93B,-22.44%,$-0.23B,$2.33B,-10.55%,$-0.18B,$0.93B,-17.26%,$4,$23,$-18,$0,$3,$52,$-47,$-10,$-58,$-0,$-58,$-58,$-58,$-40,$-47,$54,54,$-1.06,$-1.06,$80,$0,$0,$740,$1406,$0,$0,$184,$1591,$2331,$57,$0,$0,$0,$1397,$1,$-250,$0,$934,$2331,$-167,$22,$30,$52,$9,$0,$5,$-5,$28,$-87,$24,$0,$0,$-38,$509,$470,$9,$503,$-416,$0,$-416,$-19,$-19,$-30,$-8,$-473,$-57,$0,$-30
9,2016-06-30,8.29,$18.47,0.45,$2.18,3.81,$-5.73,0.0,$-3.25,0.0,$1.00B,$0.05B,20.95,$0.00B,$1.01B,0.0,$0.12B,$0.00B,0.81%,$0.12B,$-0.13B,-101.63%,$0.12B,$-0.13B,-101.63%,$0.12B,$-0.10B,-82.11%,$0.12B,$-0.18B,-147.15%,$0.12B,$-0.18B,-147.15%,$-0.18B,$1.01B,-16.21%,$-0.18B,$1.01B,-16.21%,$-0.18B,$1.96B,-7.80%,$-0.13B,$1.01B,-11.19%,$0,$26,$-26,$0,$4,$53,$-52,$-11,$-64,$0,$-64,$-64,$-64,$-46,$-52,$55,55,$-1.16,$-1.16,$243,$0,$0,$1002,$726,$0,$0,$228,$953,$1955,$48,$0,$0,$0,$949,$1,$-184,$0,$1006,$1955,$-109,$14,$13,$27,$5,$0,$5,$-1,$17,$-65,$109,$0,$0,$-22,$486,$464,$4,$577,$-366,$0,$-366,$-12,$-12,$-22,$-6,$-406,$106,$0,$-22
