,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-07-31,9.95,$2.96,3.37,$5.94,1.67,$0.91,10.92,$0.60,16.58,$0.03B,$0.01B,4.72,$0.00B,$0.03B,0.0,$0.06B,$0.02B,34.55%,$0.06B,$0.01B,12.73%,$0.06B,$0.01B,12.73%,$0.06B,$0.01B,14.55%,$0.06B,$0.01B,12.73%,$0.06B,$0.01B,9.09%,$0.01B,$0.03B,21.05%,$0.01B,$0.02B,29.85%,$0.01B,$0.03B,16.53%,$0.01B,$0.03B,29.47%,$14,$9,$5,$0,$2,$12,$2,$0,$2,$0,$2,$2,$2,$2,$2,$9,10,$0.19,$0.18,$12,$7,$1,$25,$1,$0,$7,$0,$8,$33,$5,$0,$0,$0,$6,$0,$6,$0,$27,$33,$5,$1,$0,$1,$-2,$-1,$0,$1,$-1,$5,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$1,$1,$-1,$0,$0,$6,$0,$-1
1,2018-04-30,5.63,$2.75,2.05,$5.39,1.04,$0.48,11.77,$0.44,12.81,$0.03B,$0.01B,2.67,$0.00B,$0.03B,0.0,$0.05B,$0.02B,32.65%,$0.05B,$0.01B,10.20%,$0.05B,$0.01B,10.20%,$0.05B,$0.01B,12.24%,$0.05B,$0.01B,10.20%,$0.05B,$0.00B,6.12%,$0.00B,$0.03B,13.48%,$0.00B,$0.02B,20.00%,$0.00B,$0.04B,10.62%,$0.01B,$0.03B,22.47%,$22,$14,$8,$1,$3,$18,$4,$0,$4,$1,$3,$3,$3,$4,$4,$9,9,$0.35,$0.34,$8,$7,$1,$28,$1,$0,$7,$0,$8,$36,$10,$0,$0,$0,$11,$0,$5,$0,$25,$36,$4,$0,$0,$1,$-8,$-1,$5,$2,$-2,$2,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$-0,$0,$0,$2,$0,$-0
2,2018-01-31,3.13,$2.44,1.28,$3.87,0.81,$0.16,19.12,$0.11,28.43,$0.02B,$0.01B,3.85,$0.00B,$0.02B,0.0,$0.04B,$0.01B,28.57%,$0.04B,$0.00B,2.86%,$0.04B,$0.00B,2.86%,$0.04B,$0.00B,5.71%,$0.04B,$0.00B,2.86%,$0.04B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.02B,4.71%,$10,$7,$3,$0,$2,$10,$1,$0,$1,$0,$0,$0,$0,$1,$1,$9,9,$0.05,$0.05,$6,$7,$1,$19,$1,$0,$7,$0,$8,$27,$5,$0,$0,$0,$5,$0,$2,$0,$22,$27,$0,$0,$0,$0,$-1,$-1,$1,$0,$-1,$-0,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$0,$-0,$-0,$0,$-0
3,2017-10-31,2.41,$2.41,1.0,$3.48,0.69,$0.10,23.46,$0.04,60.35,$0.02B,$0.00B,4.67,$0.00B,$0.02B,0.0,$0.03B,$0.01B,28.13%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.03B,$0.00B,3.13%,$0.03B,0,0.00%,$0.03B,0,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.02B,0.00%,$9,$6,$3,$0,$2,$8,$0,$0,$0,$0,$0,$0,$0,$1,$0,$9,9,$0.03,$0.03,$6,$6,$1,$17,$1,$0,$7,$0,$8,$25,$4,$0,$0,$0,$4,$0,$2,$0,$21,$25,$0,$1,$-0,$1,$0,$-0,$0,$0,$0,$2,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$-1,$0,$-1,$1,$0,$-1
4,2017-07-31,1.81,$2.38,0.76,$3.41,0.53,$-0.21,0.0,$-0.33,0.0,$0.02B,$0.00B,4.92,$0.00B,$0.02B,0.0,$0.03B,$0.01B,25.81%,$0.03B,$-0.00B,-9.68%,$0.03B,$-0.00B,-9.68%,$0.03B,$-0.00B,-9.68%,$0.03B,$-0.00B,-9.68%,$0.03B,$-0.00B,-9.68%,$-0.00B,$0.02B,-14.29%,$-0.00B,$0.01B,-23.08%,$-0.00B,$0.03B,-11.76%,$-0.00B,$0.02B,-14.29%,$8,$6,$2,$0,$2,$8,$0,$0,$0,$0,$0,$0,$0,$0,$0,$9,9,$0.02,$0.02,$5,$6,$1,$17,$1,$0,$8,$0,$8,$25,$3,$0,$0,$0,$4,$0,$1,$0,$21,$25,$0,$1,$0,$1,$0,$-0,$0,$-0,$-0,$1,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$-1,$-0,$-1,$0,$0,$-1
5,2017-04-30,1.54,$2.38,0.65,$3.39,0.46,$-0.53,0.0,$-0.42,0.0,$0.02B,$0.00B,4.15,$0.00B,$0.02B,0.0,$0.03B,$0.01B,25.81%,$0.03B,$-0.00B,-12.90%,$0.03B,$-0.00B,-12.90%,$0.03B,$-0.00B,-9.68%,$0.03B,$-0.00B,-12.90%,$0.03B,$-0.00B,-12.90%,$-0.00B,$0.02B,-18.18%,$-0.00B,$0.01B,-30.77%,$-0.00B,$0.03B,-14.95%,$-0.00B,$0.02B,-18.18%,$8,$6,$2,$0,$2,$8,$0,$-0,$0,$0,$0,$0,$0,$0,$0,$9,9,$0.01,$0.01,$4,$7,$1,$17,$1,$0,$8,$0,$9,$26,$4,$0,$0,$0,$5,$0,$1,$0,$21,$26,$-0,$0,$0,$1,$-0,$-1,$1,$-1,$-1,$-1,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$-0,$-0,$-0,$-1,$0,$-0
6,2017-01-31,1.53,$2.38,0.64,$3.42,0.45,$-0.67,0.0,$-0.44,0.0,$0.02B,$0.00B,4.77,$0.00B,$0.02B,0.0,$0.03B,$0.01B,25.81%,$0.03B,$-0.00B,-12.90%,$0.03B,$-0.00B,-12.90%,$0.03B,$-0.00B,-9.68%,$0.03B,$-0.00B,-12.90%,$0.03B,$-0.00B,-12.90%,$-0.00B,$0.02B,-17.39%,$-0.00B,$0.01B,-30.19%,$-0.00B,$0.03B,-14.41%,$-0.00B,$0.02B,-17.39%,$7,$5,$2,$0,$2,$7,$-0,$0,$-0,$-0,$-0,$-0,$-0,$-0,$-0,$9,9,$-0.02,$-0.02,$4,$7,$2,$16,$1,$0,$8,$0,$9,$25,$3,$0,$0,$1,$4,$0,$2,$0,$21,$25,$-0,$0,$0,$0,$0,$-1,$0,$-1,$-1,$-1,$-0,$0,$0,$0,$0,$0,$0,$-0,$0,$0,$0,$0,$0,$-0,$-0,$-0,$-1,$0,$-0
7,2016-10-31,1.65,$2.42,0.68,$3.45,0.48,$-0.73,0.0,$-0.46,0.0,$0.02B,$0.00B,4.3,$0.00B,$0.02B,0.0,$0.03B,$0.01B,25.81%,$0.03B,$-0.01B,-16.13%,$0.03B,$-0.01B,-16.13%,$0.03B,$-0.00B,-9.68%,$0.03B,$-0.01B,-16.13%,$0.03B,$-0.00B,-12.90%,$-0.00B,$0.02B,-16.67%,$-0.00B,$0.01B,-29.63%,$-0.00B,$0.03B,-13.68%,$-0.01B,$0.02B,-20.83%,$8,$6,$2,$0,$2,$11,$-3,$0,$-3,$-0,$-3,$-3,$-3,$-3,$-3,$9,9,$-0.35,$-0.35,$5,$6,$1,$17,$1,$0,$8,$0,$9,$26,$4,$0,$0,$1,$4,$0,$2,$0,$21,$26,$-4,$1,$3,$4,$-0,$0,$-0,$-1,$-1,$-1,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$-0,$-1,$0,$-1,$-2,$0,$-1
8,2016-07-31,2.13,$2.78,0.77,$3.44,0.62,$-0.58,0.0,$-0.09,0.0,$0.02B,$0.00B,4.69,$0.00B,$0.03B,0.0,$0.03B,$0.01B,29.03%,$0.03B,$-0.00B,-6.45%,$0.03B,$-0.00B,-6.45%,$0.03B,$0.00B,3.23%,$0.03B,$-0.00B,-6.45%,$0.03B,$-0.00B,-3.23%,$-0.00B,$0.03B,-3.96%,$-0.00B,$0.01B,-7.14%,$-0.00B,$0.03B,-3.25%,$-0.00B,$0.03B,-7.92%,$8,$6,$2,$0,$3,$8,$-1,$-0,$-1,$0,$-1,$-1,$-1,$-0,$-1,$9,9,$-0.07,$-0.07,$5,$6,$2,$17,$1,$0,$11,$0,$12,$30,$4,$0,$0,$1,$5,$0,$5,$0,$25,$30,$-1,$1,$0,$1,$-0,$0,$-0,$-1,$-2,$-2,$-0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$-0,$-1,$0,$-1,$-3,$0,$-1
9,2016-04-30,2.31,$2.84,0.81,$3.51,0.66,$-0.33,0.0,$0.00,0.0,$0.02B,$0.00B,5.43,$0.00B,$0.03B,0.0,$0.03B,$0.01B,32.26%,$0.03B,$-0.00B,-3.23%,$0.03B,$-0.00B,-3.23%,$0.03B,$0.00B,3.23%,$0.03B,$-0.00B,-3.23%,$0.03B,0,0.00%,$0.00B,$0.03B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.03B,0.00%,$-0.00B,$0.03B,-3.92%,$8,$5,$2,$0,$2,$8,$-0,$0,$-0,$-0,$0,$0,$-0,$0,$-0,$9,9,$-0.01,$-0.01,$5,$7,$1,$18,$1,$0,$11,$0,$12,$30,$3,$0,$0,$2,$5,$0,$6,$0,$25,$30,$-0,$1,$0,$1,$-0,$-1,$-0,$-2,$-2,$-2,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-0,$-0,$-1,$0,$-1,$-3,$0,$-1
