,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,144.56,$136.29,1.06,$196.52,0.74,$58.30,2.48,$27.82,5.2,$5.74B,$47.80B,0.12,$2.79B,$8.58B,0.33,$12.83B,$1.96B,15.24%,$12.83B,$1.14B,8.87%,$12.83B,$1.14B,8.87%,$12.83B,$1.14B,8.86%,$12.83B,$0.96B,7.51%,$12.83B,$1.82B,14.20%,$1.82B,$8.58B,20.38%,$1.82B,$8.58B,20.38%,$1.82B,$62.97B,2.98%,$1.14B,$11.37B,9.70%,$3228,$2664,$564,$0,$0,$2864,$363,$-41,$323,$21,$301,$301,$301,$345,$363,$63,64,$4.76,$4.68,$1730,$0,$0,$5735,$0,$53119,$0,$908,$57238,$62973,$47797,$2788,$1214,$6596,$54393,$1,$7216,$813,$8579,$62973,$606,$-23,$79,$56,$-519,$0,$23,$934,$438,$1100,$-20,$0,$-31,$35,$1033,$1068,$-985,$31,$-2,$-75,$-77,$-272,$-272,$-102,$-221,$-672,$427,$0,$-102
1,2018-06-30,132.92,$135.09,0.98,$194.23,0.68,$57.83,2.3,$26.61,5.0,$5.21B,$44.55B,0.12,$2.79B,$8.60B,0.32,$12.75B,$1.94B,15.25%,$12.75B,$1.16B,9.10%,$12.75B,$1.16B,9.10%,$12.75B,$1.14B,8.92%,$12.75B,$0.98B,7.69%,$12.75B,$1.75B,13.72%,$1.75B,$8.60B,19.83%,$1.75B,$8.60B,19.83%,$1.75B,$59.77B,2.92%,$1.16B,$11.39B,9.99%,$3196,$2709,$487,$0,$0,$2904,$292,$-44,$247,$43,$204,$204,$204,$308,$292,$64,65,$3.19,$3.13,$1398,$0,$0,$5205,$0,$50501,$0,$856,$54562,$59767,$44547,$2788,$1095,$6617,$51165,$1,$6952,$1005,$8602,$59767,$305,$-4,$89,$84,$-345,$0,$2,$538,$195,$584,$-15,$0,$-29,$-10,$114,$104,$-161,$-101,$-1,$-53,$-54,$-164,$-164,$-64,$-86,$-369,$94,$0,$-64
2,2018-03-31,152.86,$139.63,1.09,$192.94,0.79,$59.59,2.57,$27.02,5.66,$5.35B,$45.15B,0.12,$2.79B,$9.01B,0.31,$12.68B,$1.99B,15.67%,$12.68B,$1.24B,9.80%,$12.68B,$1.24B,9.80%,$12.68B,$1.19B,9.36%,$12.68B,$1.07B,8.45%,$12.68B,$1.78B,14.01%,$1.78B,$9.01B,20.52%,$1.78B,$9.01B,20.52%,$1.78B,$60.96B,2.98%,$1.24B,$11.80B,10.86%,$3174,$2799,$374,$0,$0,$2991,$183,$-45,$138,$38,$100,$100,$100,$162,$183,$64,66,$1.55,$1.52,$1510,$0,$0,$5350,$0,$51483,$0,$877,$55605,$60955,$45152,$2788,$1921,$6795,$51947,$1,$6798,$1428,$9008,$60955,$100,$-21,$13,$-7,$-275,$0,$-10,$417,$131,$224,$-5,$0,$-25,$-13,$143,$130,$-23,$77,$-28,$0,$-28,$-1,$-1,$-32,$-54,$-115,$207,$0,$-32
3,2017-12-31,154.27,$148.48,1.04,$190.58,0.81,$62.37,2.47,$27.72,5.57,$4.82B,$44.07B,0.11,$2.79B,$9.57B,0.29,$12.52B,$2.03B,16.21%,$12.52B,$1.32B,10.52%,$12.52B,$1.32B,10.52%,$12.52B,$1.27B,10.11%,$12.52B,$1.14B,9.13%,$12.52B,$1.82B,14.57%,$1.82B,$9.57B,22.06%,$1.82B,$9.57B,22.06%,$1.82B,$60.52B,3.15%,$1.32B,$12.36B,11.92%,$3232,$2703,$530,$0,$0,$2932,$300,$-45,$255,$-961,$1217,$1217,$1217,$322,$300,$64,66,$18.89,$18.48,$1304,$0,$0,$4817,$0,$51691,$0,$767,$55698,$60515,$44072,$2788,$1103,$6874,$50945,$1,$6736,$2064,$9570,$60515,$1822,$-52,$-991,$-1043,$-347,$0,$-43,$1593,$1204,$1982,$-44,$0,$0,$52,$-1494,$-1442,$-121,$-1608,$-371,$0,$-371,$-36,$-36,$-117,$200,$-325,$103,$0,$-117
4,2017-09-30,137.59,$125.79,1.09,$188.65,0.73,$54.76,2.51,$12.15,11.32,$4.82B,$42.77B,0.11,$2.79B,$8.10B,0.34,$12.35B,$2.02B,16.34%,$12.35B,$1.36B,11.01%,$12.35B,$1.36B,11.01%,$12.35B,$1.26B,10.17%,$12.35B,$1.18B,9.58%,$12.35B,$0.80B,6.44%,$0.80B,$8.10B,10.41%,$0.80B,$8.10B,10.41%,$0.80B,$58.69B,1.42%,$1.36B,$10.89B,12.94%,$3145,$2592,$553,$0,$0,$2761,$385,$-45,$340,$113,$228,$228,$228,$345,$385,$64,66,$3.53,$3.47,$1205,$0,$0,$4816,$0,$49678,$0,$886,$53878,$58694,$42770,$2788,$1061,$7827,$50597,$1,$5713,$1626,$8097,$58694,$605,$-74,$49,$-25,$-421,$0,$-63,$1008,$524,$1104,$-33,$0,$0,$66,$-286,$-220,$-803,$-1056,$-302,$-57,$-359,$-37,$-37,$-85,$393,$-88,$4,$0,$-85
5,2017-06-30,126.15,$123.60,1.02,$185.49,0.68,$54.18,2.33,$11.75,10.74,$4.52B,$42.32B,0.11,$2.79B,$7.97B,0.35,$12.11B,$1.96B,16.15%,$12.11B,$1.31B,10.84%,$12.11B,$1.31B,10.84%,$12.11B,$1.24B,10.26%,$12.11B,$1.13B,9.34%,$12.11B,$0.77B,6.33%,$0.77B,$7.97B,10.07%,$0.77B,$7.97B,10.07%,$0.77B,$58.14B,1.40%,$1.31B,$10.76B,12.52%,$3129,$2599,$530,$0,$0,$2754,$375,$-36,$339,$107,$232,$232,$232,$358,$375,$64,66,$3.60,$3.54,$1123,$0,$0,$4515,$0,$49447,$0,$841,$53623,$58138,$42315,$2788,$1900,$7851,$50167,$1,$5524,$1672,$7971,$58138,$378,$-34,$-13,$-46,$-231,$0,$-35,$590,$325,$656,$32,$0,$0,$23,$-889,$-866,$-55,$-890,$-301,$-24,$-325,$-8,$-8,$-53,$508,$122,$-77,$0,$-53
6,2017-03-31,124.36,$115.24,1.08,$184.70,0.67,$52.87,2.35,$11.85,10.49,$4.31B,$38.91B,0.11,$2.79B,$7.42B,0.38,$12.02B,$1.97B,16.35%,$12.02B,$1.32B,10.96%,$12.02B,$1.32B,10.96%,$12.02B,$1.24B,10.35%,$12.02B,$1.15B,9.53%,$12.02B,$0.77B,6.42%,$0.77B,$7.42B,10.25%,$0.77B,$7.42B,10.25%,$0.77B,$53.81B,1.43%,$1.32B,$10.21B,12.68%,$3009,$2593,$416,$0,$0,$2752,$257,$-49,$208,$62,$146,$146,$146,$240,$257,$64,66,$2.26,$2.22,$1178,$0,$0,$4307,$0,$45396,$0,$802,$49498,$53806,$38912,$2789,$1822,$7474,$46386,$1,$5329,$1321,$7420,$53806,$146,$-17,$-9,$-26,$-55,$0,$-11,$363,$298,$417,$-17,$0,$0,$24,$-104,$-80,$-14,$-111,$-318,$0,$-318,$-1,$-1,$-26,$-3,$-348,$-23,$0,$-26
7,2016-12-31,122.84,$110.31,1.11,$177.41,0.69,$52.43,2.34,$10.80,11.37,$4.16B,$38.26B,0.11,$3.09B,$7.09B,0.44,$11.52B,$1.85B,16.08%,$11.52B,$1.21B,10.48%,$11.52B,$1.21B,10.48%,$11.52B,$1.14B,9.90%,$11.52B,$1.05B,9.07%,$11.52B,$0.70B,6.08%,$0.70B,$7.09B,9.54%,$0.70B,$7.09B,9.54%,$0.70B,$53.10B,1.31%,$1.21B,$10.18B,12.05%,$3069,$2550,$519,$0,$0,$2726,$343,$-48,$296,$105,$190,$190,$190,$313,$343,$64,65,$2.95,$2.91,$1201,$0,$0,$4163,$0,$44841,$0,$755,$48935,$53098,$38263,$3089,$1883,$7742,$46005,$1,$5199,$1139,$7093,$53098,$701,$-67,$317,$250,$-157,$0,$-19,$690,$514,$1466,$-45,$0,$0,$466,$-3149,$-2683,$-98,$-2826,$733,$0,$733,$-108,$-108,$-100,$530,$1055,$-325,$0,$-100
8,2016-09-30,104.98,$124.50,0.84,$172.21,0.61,$61.25,1.71,$10.34,10.15,$4.30B,$38.81B,0.11,$2.79B,$7.99B,0.35,$11.28B,$1.74B,15.43%,$11.28B,$1.11B,9.87%,$11.28B,$1.11B,9.87%,$11.28B,$1.09B,9.68%,$11.28B,$0.96B,8.47%,$11.28B,$0.67B,5.97%,$0.67B,$7.99B,9.48%,$0.67B,$7.99B,9.48%,$0.67B,$54.83B,1.28%,$1.11B,$10.78B,11.62%,$2901,$2411,$490,$0,$0,$2563,$337,$-50,$288,$89,$199,$199,$199,$331,$337,$64,65,$3.10,$3.07,$1380,$0,$0,$4301,$0,$46386,$0,$740,$50532,$54833,$38810,$2789,$2168,$8029,$46839,$1,$5039,$2212,$7993,$54833,$511,$-36,$191,$155,$-4,$0,$-59,$416,$354,$1020,$0,$0,$0,$419,$-2588,$-2169,$-78,$-2247,$798,$0,$798,$-110,$-171,$-74,$504,$1057,$-146,$0,$-74
9,2016-06-30,93.95,$118.32,0.79,$163.92,0.57,$58.29,1.61,$8.52,11.03,$4.00B,$38.58B,0.1,$2.79B,$7.58B,0.37,$10.82B,$1.57B,14.55%,$10.82B,$0.96B,8.84%,$10.82B,$0.96B,8.84%,$10.82B,$0.92B,8.49%,$10.82B,$0.81B,7.47%,$10.82B,$0.56B,5.17%,$0.56B,$7.58B,8.38%,$0.56B,$7.58B,8.38%,$0.56B,$53.88B,1.10%,$0.96B,$10.37B,10.61%,$3039,$2499,$540,$0,$0,$2659,$380,$-27,$353,$117,$236,$236,$236,$360,$380,$64,65,$3.68,$3.64,$1034,$0,$0,$4003,$0,$45761,$0,$711,$49874,$53877,$38579,$2788,$1157,$7717,$46296,$1,$4871,$1985,$7581,$53877,$313,$-30,$174,$144,$-99,$0,$-35,$271,$137,$594,$0,$0,$0,$350,$-2400,$-2050,$-8,$-2058,$763,$0,$763,$-116,$-116,$-48,$353,$953,$-491,$0,$-48
