,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,29.03,$9.95,2.92,$8.81,3.29,$-1.14,0.0,$0.91,31.9,$0.01B,$0.03B,0.54,$0.06B,$0.08B,0.72,$0.07B,$0.03B,50.00%,$0.07B,$0.01B,18.18%,$0.07B,$0.01B,18.18%,$0.07B,$0.02B,25.76%,$0.07B,$0.01B,15.15%,$0.07B,$0.01B,9.09%,$0.01B,$0.08B,8.60%,$0.01B,$0.08B,8.60%,$0.01B,$0.21B,3.05%,$0.01B,$0.14B,9.18%,$12,$5,$7,$0,$3,$10,$2,$-0,$2,$0,$1,$1,$1,$4,$2,$8,8,$0.14,$0.14,$1,$6,$2,$13,$161,$22,$0,$12,$196,$209,$25,$57,$25,$105,$129,$40,$28,$-1,$79,$209,$7,$5,$-1,$5,$0,$0,$0,$3,$3,$14,$-16,$0,$0,$-5,$0,$-5,$0,$-21,$14,$-18,$-4,$16,$16,$-3,$-0,$9,$1,$0,$-3
1,2018-03-31,25.11,$9.94,2.52,$8.91,2.82,$-0.97,0.0,$0.85,29.54,$0.02B,$0.02B,1.15,$0.06B,$0.08B,0.7,$0.07B,$0.03B,50.77%,$0.07B,$0.01B,16.92%,$0.07B,$0.01B,16.92%,$0.07B,$0.02B,24.62%,$0.07B,$0.01B,13.85%,$0.07B,$0.01B,9.23%,$0.01B,$0.08B,9.23%,$0.01B,$0.08B,9.23%,$0.01B,$0.20B,3.17%,$0.01B,$0.14B,8.80%,$25,$14,$11,$0,$4,$20,$5,$-0,$5,$1,$3,$3,$3,$7,$5,$7,7,$0.47,$0.47,$5,$3,$2,$19,$156,$12,$0,$12,$180,$199,$16,$55,$26,$103,$119,$40,$28,$-1,$79,$199,$6,$4,$-0,$3,$0,$0,$0,$2,$2,$11,$-10,$0,$0,$-4,$0,$-4,$0,$-14,$12,$-18,$-6,$16,$16,$-2,$0,$8,$5,$0,$-2
2,2017-12-31,26.61,$8.45,3.15,$8.57,3.11,$-1.01,0.0,$0.83,32.06,$0.02B,$0.02B,1.22,$0.07B,$0.06B,1.14,$0.06B,$0.03B,53.23%,$0.06B,$0.01B,19.35%,$0.06B,$0.01B,19.35%,$0.06B,$0.02B,25.81%,$0.06B,$0.01B,14.52%,$0.06B,$0.01B,9.68%,$0.01B,$0.06B,9.96%,$0.01B,$0.06B,9.96%,$0.01B,$0.20B,3.27%,$0.01B,$0.13B,10.11%,$19,$10,$9,$0,$4,$15,$4,$-0,$3,$1,$2,$2,$2,$5,$4,$7,7,$0.28,$0.28,$0,$8,$2,$22,$152,$10,$0,$12,$174,$196,$18,$70,$26,$117,$135,$36,$26,$-1,$61,$196,$2,$2,$-0,$1,$0,$0,$0,$-6,$-6,$-2,$-4,$0,$0,$-1,$0,$-1,$0,$-6,$9,$-1,$9,$0,$0,$-1,$0,$8,$0,$0,$-1
3,2017-09-30,27.94,$8.29,3.37,$8.60,3.25,$-1.06,0.0,$0.86,32.61,$0.02B,$0.01B,1.09,$0.06B,$0.06B,1.02,$0.06B,$0.03B,53.23%,$0.06B,$0.01B,19.35%,$0.06B,$0.01B,19.35%,$0.06B,$0.02B,27.42%,$0.06B,$0.01B,16.13%,$0.06B,$0.01B,9.68%,$0.01B,$0.06B,10.13%,$0.01B,$0.06B,10.13%,$0.01B,$0.18B,3.36%,$0.01B,$0.12B,10.86%,$10,$4,$6,$0,$4,$9,$1,$-0,$0,$0,$0,$0,$0,$1,$1,$7,7,$0.01,$0.02,$0,$9,$2,$16,$148,$7,$0,$12,$167,$183,$14,$61,$14,$109,$123,$36,$25,$-1,$60,$183,$6,$5,$-0,$4,$0,$0,$0,$5,$5,$16,$-16,$0,$0,$-2,$0,$-2,$0,$-18,$9,$-4,$5,$1,$1,$-3,$-0,$3,$0,$0,$-3
4,2017-06-30,27.57,$8.25,3.34,$8.59,3.21,$-1.39,0.0,$0.86,32.18,$0.01B,$0.02B,0.84,$0.05B,$0.06B,0.89,$0.06B,$0.03B,53.23%,$0.06B,$0.01B,19.35%,$0.06B,$0.01B,19.35%,$0.06B,$0.02B,29.03%,$0.06B,$0.01B,16.13%,$0.06B,$0.01B,9.68%,$0.01B,$0.06B,10.30%,$0.01B,$0.06B,10.30%,$0.01B,$0.18B,3.44%,$0.01B,$0.11B,11.71%,$11,$5,$7,$0,$4,$10,$1,$-0,$1,$0,$1,$1,$1,$3,$1,$7,7,$0.09,$0.08,$1,$6,$1,$13,$145,$6,$0,$15,$165,$179,$16,$53,$19,$103,$119,$36,$26,$-2,$60,$179,$6,$5,$-0,$4,$0,$0,$0,$5,$5,$16,$-16,$0,$0,$-2,$0,$-2,$0,$-18,$9,$-4,$5,$1,$1,$-3,$-0,$3,$0,$0,$-3
5,2017-03-31,21.27,$8.30,2.56,$8.60,2.47,$-0.88,0.0,$0.86,24.64,$0.02B,$0.02B,0.84,$0.05B,$0.06B,0.84,$0.06B,$0.03B,51.61%,$0.06B,$0.01B,19.35%,$0.06B,$0.01B,19.35%,$0.06B,$0.02B,29.03%,$0.06B,$0.01B,16.13%,$0.06B,$0.01B,9.68%,$0.01B,$0.06B,10.43%,$0.01B,$0.06B,10.43%,$0.01B,$0.18B,3.56%,$0.01B,$0.11B,12.44%,$22,$11,$11,$0,$4,$16,$6,$-0,$5,$2,$3,$3,$3,$7,$6,$7,7,$0.45,$0.45,$1,$3,$2,$16,$142,$5,$0,$15,$161,$177,$19,$50,$19,$99,$117,$36,$26,$-2,$60,$177,$5,$3,$-0,$3,$0,$0,$0,$3,$3,$12,$-11,$0,$0,$-1,$0,$-1,$0,$-12,$8,$-6,$2,$1,$1,$-2,$-0,$1,$-0,$0,$-2
6,2016-12-31,15.97,$7.96,2.01,$8.62,1.85,$-0.53,0.0,$0.85,18.86,$0.02B,$0.03B,0.75,$0.04B,$0.06B,0.72,$0.06B,$0.03B,51.61%,$0.06B,$0.01B,17.74%,$0.06B,$0.01B,17.74%,$0.06B,$0.02B,29.03%,$0.06B,$0.01B,16.13%,$0.06B,$0.01B,9.68%,$0.01B,$0.06B,10.57%,$0.01B,$0.06B,10.57%,$0.01B,$0.18B,3.70%,$0.01B,$0.10B,12.05%,$19,$9,$9,$0,$4,$15,$4,$-0,$4,$1,$2,$2,$2,$6,$4,$7,7,$0.31,$0.31,$0,$7,$2,$21,$136,$4,$0,$15,$155,$176,$29,$41,$19,$90,$119,$24,$26,$-2,$57,$176,$2,$2,$-0,$1,$0,$0,$0,$-6,$-6,$-2,$-4,$0,$0,$-0,$0,$-0,$0,$-5,$8,$-0,$7,$0,$0,$-1,$-0,$7,$-0,$0,$-1
7,2016-09-30,15.02,$7.75,1.94,$8.26,1.82,$-0.36,0.0,$0.81,18.62,$0.02B,$0.03B,0.54,$0.03B,$0.06B,0.6,$0.06B,$0.03B,54.24%,$0.06B,$0.01B,16.95%,$0.06B,$0.01B,16.95%,$0.06B,$0.02B,28.81%,$0.06B,$0.01B,15.25%,$0.06B,$0.01B,10.17%,$0.01B,$0.06B,10.71%,$0.01B,$0.06B,10.71%,$0.01B,$0.17B,3.82%,$0.01B,$0.09B,11.33%,$10,$4,$6,$0,$4,$9,$1,$-1,$0,$0,$0,$0,$0,$2,$1,$7,7,$0.01,$0.01,$1,$8,$2,$15,$132,$3,$0,$14,$150,$166,$28,$34,$19,$81,$110,$24,$25,$-2,$56,$166,$6,$6,$4,$10,$-0,$1,$0,$-1,$-1,$15,$-18,$0,$0,$-3,$0,$-3,$0,$-21,$3,$5,$9,$1,$1,$-4,$-0,$6,$-0,$0,$-4
8,2016-06-30,15.26,$7.89,1.93,$8.24,1.85,$0.49,31.12,$0.79,19.23,$0.01B,$0.02B,0.55,$0.03B,$0.06B,0.58,$0.06B,$0.03B,52.54%,$0.06B,$0.01B,16.95%,$0.06B,$0.01B,16.95%,$0.06B,$0.02B,28.81%,$0.06B,$0.01B,15.25%,$0.06B,$0.01B,10.17%,$0.01B,$0.06B,10.86%,$0.01B,$0.06B,10.86%,$0.01B,$0.16B,3.95%,$0.01B,$0.09B,11.53%,$11,$5,$6,$0,$3,$10,$1,$-0,$1,$0,$1,$1,$1,$3,$1,$7,7,$0.09,$0.09,$1,$5,$1,$13,$128,$3,$0,$11,$143,$155,$23,$33,$16,$76,$99,$24,$26,$-2,$57,$155,$6,$4,$-0,$4,$0,$0,$0,$6,$6,$16,$-13,$0,$0,$-2,$0,$-2,$0,$-15,$3,$-1,$1,$1,$1,$-3,$-0,$-1,$-0,$0,$-3
9,2016-03-31,13.47,$7.92,1.7,$8.18,1.65,$1.52,8.89,$0.75,17.88,$0.02B,$0.02B,0.68,$0.03B,$0.06B,0.57,$0.06B,$0.03B,52.54%,$0.06B,$0.01B,16.95%,$0.06B,$0.01B,16.95%,$0.06B,$0.02B,27.12%,$0.06B,$0.01B,15.25%,$0.06B,$0.01B,8.47%,$0.01B,$0.06B,9.13%,$0.01B,$0.06B,9.13%,$0.01B,$0.15B,3.37%,$0.01B,$0.09B,11.66%,$22,$11,$11,$0,$4,$16,$5,$-0,$5,$2,$3,$3,$3,$7,$5,$7,7,$0.44,$0.44,$1,$4,$2,$15,$124,$2,$0,$11,$137,$152,$22,$32,$16,$73,$96,$24,$26,$-2,$57,$152,$5,$3,$-0,$3,$0,$0,$0,$3,$3,$11,$-8,$0,$0,$-2,$0,$-2,$0,$-10,$2,$-2,$0,$1,$1,$-2,$-0,$-1,$-0,$0,$-2
