,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,70.38,$9.22,7.63,$46.12,1.53,$9.68,7.27,$3.00,23.46,$1.61B,$0.90B,1.8,$0.00B,$1.12B,0.0,$5.66B,$2.34B,41.35%,$5.66B,$0.56B,9.92%,$5.66B,$0.56B,9.92%,$5.66B,$0.63B,11.11%,$5.66B,$0.57B,9.99%,$5.66B,$0.37B,6.48%,$0.37B,$1.12B,33.00%,$0.37B,$0.91B,40.91%,$0.37B,$2.04B,18.99%,$0.56B,$1.12B,50.51%,$1466,$856,$610,$0,$459,$1316,$151,$1,$152,$37,$115,$115,$115,$167,$151,$120,121,$0.96,$0.95,$362,$0,$416,$1612,$125,$0,$214,$0,$423,$2035,$896,$1,$19,$19,$916,$0,$31,$-10,$1119,$2035,$321,$50,$33,$82,$-119,$0,$0,$15,$46,$449,$-27,$0,$0,$0,$0,$0,$-28,$-55,$0,$-0,$-0,$-216,$-216,$-103,$0,$-319,$67,$33,$-103
1,2018-06-30,65.1,$9.06,7.18,$44.72,1.46,$9.10,7.16,$2.73,23.85,$1.50B,$0.81B,1.86,$0.00B,$1.11B,0.0,$5.52B,$2.28B,41.25%,$5.52B,$0.54B,9.83%,$5.52B,$0.54B,9.83%,$5.52B,$0.61B,11.04%,$5.52B,$0.55B,9.89%,$5.52B,$0.34B,6.10%,$0.34B,$1.11B,30.16%,$0.34B,$0.90B,37.38%,$0.34B,$1.93B,17.67%,$0.54B,$1.11B,48.57%,$1457,$850,$607,$0,$458,$1308,$149,$1,$150,$41,$109,$109,$109,$166,$149,$121,122,$0.90,$0.89,$309,$0,$394,$1504,$130,$0,$214,$0,$429,$1934,$809,$1,$15,$15,$824,$0,$29,$-6,$1109,$1934,$205,$33,$16,$49,$-81,$0,$0,$8,$9,$264,$-17,$0,$0,$0,$0,$0,$-20,$-37,$0,$-0,$-0,$-138,$-138,$-69,$0,$-207,$14,$22,$-69
2,2018-03-31,57.64,$9.02,6.39,$43.26,1.33,$8.97,6.42,$2.48,23.24,$1.47B,$0.76B,1.92,$0.00B,$1.12B,0.0,$5.37B,$2.21B,41.11%,$5.37B,$0.52B,9.75%,$5.37B,$0.52B,9.75%,$5.37B,$0.59B,11.00%,$5.37B,$0.53B,9.81%,$5.37B,$0.31B,5.73%,$0.31B,$1.12B,27.60%,$0.31B,$0.90B,34.23%,$0.31B,$1.89B,16.36%,$0.52B,$1.12B,46.92%,$1395,$823,$572,$0,$438,$1261,$134,$1,$135,$38,$96,$96,$96,$151,$134,$122,123,$0.79,$0.78,$292,$0,$392,$1468,$137,$0,$215,$0,$425,$1894,$764,$1,$14,$15,$779,$0,$31,$9,$1115,$1894,$96,$17,$14,$31,$-50,$0,$0,$-1,$-11,$116,$-8,$0,$0,$0,$0,$0,$-11,$-19,$0,$-0,$-0,$-68,$-68,$-35,$0,$-103,$-3,$11,$-35
3,2017-12-31,55.03,$8.89,6.19,$42.09,1.31,$8.99,6.12,$2.32,23.72,$1.43B,$0.75B,1.92,$0.00B,$1.11B,0.0,$5.27B,$2.16B,41.07%,$5.27B,$0.52B,9.78%,$5.27B,$0.52B,9.78%,$5.27B,$0.58B,11.03%,$5.27B,$0.52B,9.84%,$5.27B,$0.29B,5.53%,$0.29B,$1.11B,26.28%,$0.29B,$0.89B,32.62%,$0.29B,$1.87B,15.71%,$0.52B,$1.11B,46.46%,$1346,$793,$553,$0,$424,$1218,$128,$1,$129,$82,$47,$47,$47,$145,$128,$124,125,$0.38,$0.39,$295,$0,$405,$1432,$145,$0,$216,$0,$436,$1867,$748,$1,$14,$14,$762,$0,$37,$4,$1105,$1867,$291,$65,$94,$160,$-17,$0,$0,$-19,$3,$453,$-41,$0,$-1,$0,$0,$0,$-37,$-78,$0,$-0,$-0,$-232,$-232,$-121,$0,$-353,$35,$42,$-121
4,2017-09-30,49.66,$9.09,5.46,$41.13,1.21,$8.48,5.86,$2.55,19.47,$1.44B,$0.78B,1.85,$0.00B,$1.14B,0.0,$5.19B,$2.13B,41.06%,$5.19B,$0.51B,9.86%,$5.19B,$0.51B,9.86%,$5.19B,$0.58B,11.13%,$5.19B,$0.51B,9.91%,$5.19B,$0.32B,6.21%,$0.32B,$1.14B,29.19%,$0.32B,$0.92B,36.26%,$0.32B,$1.93B,17.59%,$0.51B,$1.14B,46.30%,$1325,$778,$546,$0,$414,$1193,$132,$1,$132,$48,$85,$85,$85,$148,$132,$124,124,$0.69,$0.68,$348,$0,$351,$1437,$147,$0,$217,$0,$496,$1933,$778,$1,$14,$15,$793,$0,$84,$2,$1140,$1933,$244,$49,$23,$72,$-22,$0,$0,$-4,$73,$388,$-29,$0,$-2,$0,$0,$0,$-24,$-54,$0,$-0,$-0,$-167,$-167,$-91,$0,$-259,$88,$31,$-91
5,2017-06-30,47.02,$8.75,5.37,$40.91,1.15,$7.90,5.96,$2.58,18.23,$1.35B,$0.72B,1.87,$0.00B,$1.10B,0.0,$5.20B,$2.14B,41.08%,$5.20B,$0.53B,10.10%,$5.20B,$0.53B,10.10%,$5.20B,$0.59B,11.37%,$5.20B,$0.53B,10.16%,$5.20B,$0.33B,6.31%,$0.33B,$1.10B,30.04%,$0.33B,$0.89B,37.38%,$0.33B,$1.84B,18.07%,$0.53B,$1.11B,48.05%,$1308,$770,$538,$0,$408,$1178,$130,$0,$131,$50,$80,$80,$80,$147,$130,$125,125,$0.64,$0.64,$298,$0,$341,$1347,$154,$0,$217,$0,$489,$1836,$719,$1,$12,$12,$732,$0,$67,$-6,$1104,$1836,$159,$33,$24,$57,$3,$0,$0,$-10,$43,$258,$-21,$0,$-2,$0,$0,$0,$-15,$-38,$0,$-0,$-0,$-129,$-129,$-61,$0,$-191,$38,$21,$-61
6,2017-03-31,47.66,$8.50,5.61,$40.84,1.17,$7.27,6.56,$2.65,17.98,$1.30B,$0.68B,1.9,$0.00B,$1.08B,0.0,$5.24B,$2.16B,41.17%,$5.24B,$0.54B,10.39%,$5.24B,$0.54B,10.39%,$5.24B,$0.61B,11.63%,$5.24B,$0.55B,10.43%,$5.24B,$0.34B,6.49%,$0.34B,$1.08B,31.39%,$0.34B,$0.87B,39.11%,$0.34B,$1.78B,18.87%,$0.54B,$1.08B,50.20%,$1287,$762,$526,$0,$400,$1162,$125,$0,$126,$47,$79,$79,$79,$141,$125,$126,126,$0.63,$0.62,$260,$0,$335,$1296,$158,$0,$213,$0,$479,$1775,$683,$1,$11,$12,$694,$0,$64,$-16,$1081,$1775,$79,$16,$22,$38,$4,$0,$0,$-18,$7,$124,$-10,$0,$0,$0,$0,$0,$-5,$-15,$0,$-0,$-0,$-81,$-81,$-31,$0,$-111,$-0,$10,$-31
7,2016-12-31,47.37,$8.50,5.57,$40.67,1.16,$6.83,6.94,$2.67,17.74,$1.28B,$0.68B,1.89,$0.00B,$1.09B,0.0,$5.25B,$2.16B,41.15%,$5.25B,$0.55B,10.53%,$5.25B,$0.55B,10.53%,$5.25B,$0.62B,11.75%,$5.25B,$0.55B,10.55%,$5.25B,$0.34B,6.55%,$0.34B,$1.09B,32.02%,$0.34B,$0.87B,39.99%,$0.34B,$1.78B,19.17%,$0.55B,$1.09B,51.45%,$1265,$746,$519,$0,$395,$1141,$124,$0,$125,$47,$78,$78,$78,$141,$124,$128,129,$0.61,$0.61,$260,$0,$321,$1284,$162,$0,$213,$0,$494,$1778,$680,$1,$11,$11,$691,$0,$85,$-21,$1087,$1778,$343,$64,$48,$113,$-16,$0,$0,$-9,$-14,$442,$-83,$0,$-2,$0,$0,$0,$-27,$-112,$0,$-0,$-0,$-176,$-176,$-114,$2,$-288,$36,$43,$-114
8,2016-09-30,36.59,$8.50,4.31,$40.66,0.9,$6.77,5.4,$2.77,13.21,$1.49B,$0.73B,2.05,$0.00B,$1.10B,0.0,$5.29B,$2.18B,41.24%,$5.29B,$0.57B,10.83%,$5.29B,$0.57B,10.83%,$5.29B,$0.63B,11.98%,$5.29B,$0.57B,10.83%,$5.29B,$0.36B,6.79%,$0.36B,$1.10B,34.08%,$0.36B,$0.88B,42.75%,$0.36B,$1.87B,20.31%,$0.57B,$1.10B,54.35%,$1339,$786,$553,$0,$406,$1193,$146,$0,$146,$56,$91,$91,$91,$162,$146,$128,128,$0.71,$0.71,$292,$0,$302,$1494,$161,$0,$214,$3,$378,$1872,$730,$1,$46,$47,$777,$0,$90,$-7,$1095,$1872,$266,$48,$27,$74,$-40,$0,$0,$-11,$20,$360,$-63,$0,$-2,$0,$0,$0,$-18,$-83,$0,$-0,$-0,$-126,$-126,$-86,$1,$-211,$68,$33,$-86
9,2016-06-30,36.67,$8.22,4.46,$40.13,0.91,$6.51,5.63,$2.79,13.14,$1.41B,$0.67B,2.11,$0.00B,$1.07B,0.0,$5.27B,$2.18B,41.39%,$5.27B,$0.59B,11.13%,$5.27B,$0.59B,11.13%,$5.27B,$0.64B,12.23%,$5.27B,$0.59B,11.13%,$5.27B,$0.37B,6.93%,$0.37B,$1.07B,35.39%,$0.37B,$0.86B,44.43%,$0.37B,$1.78B,21.12%,$0.59B,$1.07B,56.77%,$1344,$787,$557,$0,$407,$1195,$149,$0,$149,$58,$92,$92,$92,$165,$149,$129,129,$0.71,$0.71,$239,$0,$289,$1408,$157,$0,$214,$3,$375,$1783,$668,$1,$44,$45,$714,$0,$75,$-7,$1070,$1783,$175,$31,$22,$54,$-29,$0,$0,$-9,$-22,$207,$-44,$0,$-1,$0,$0,$0,$-11,$-56,$0,$-0,$-0,$-81,$-81,$-58,$1,$-139,$14,$22,$-58
