,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,147.32,$44.94,3.28,$46.45,3.17,$3.77,39.12,$3.76,39.18,$0.47B,$0.11B,4.39,$0.24B,$0.83B,0.29,$0.87B,$0.31B,35.57%,$0.87B,$0.11B,12.24%,$0.87B,$0.11B,12.24%,$0.87B,$0.15B,17.67%,$0.87B,$0.11B,12.24%,$0.87B,$0.07B,8.08%,$0.07B,$0.83B,8.76%,$0.07B,$0.38B,17.86%,$0.07B,$1.27B,5.97%,$0.11B,$1.07B,11.03%,$227,$148,$79,$8,$40,$197,$30,$-1,$29,$9,$20,$20,$20,$43,$30,$18,19,$1.07,$1.06,$150,$126,$33,$472,$242,$18,$448,$22,$797,$1269,$108,$238,$86,$335,$443,$18,$752,$-74,$826,$1269,$63,$35,$9,$44,$-14,$-12,$0,$-47,$-77,$33,$-79,$0,$-79,$0,$0,$0,$0,$-158,$101,$0,$101,$-1,$-1,$0,$-6,$94,$-32,$9,$0
1,2018-06-30,111.46,$43.79,2.55,$45.43,2.45,$11.06,10.08,$4.07,27.39,$0.49B,$0.10B,4.92,$0.14B,$0.81B,0.17,$0.85B,$0.31B,36.76%,$0.85B,$0.12B,13.59%,$0.85B,$0.12B,13.59%,$0.85B,$0.16B,18.91%,$0.85B,$0.12B,13.95%,$0.85B,$0.08B,8.98%,$0.08B,$0.81B,9.74%,$0.08B,$0.42B,19.71%,$0.08B,$1.15B,6.75%,$0.12B,$0.94B,12.54%,$215,$138,$77,$9,$43,$189,$25,$0,$26,$8,$17,$17,$17,$36,$25,$18,19,$0.94,$0.93,$175,$118,$36,$485,$184,$19,$386,$6,$663,$1148,$99,$136,$86,$245,$343,$18,$732,$-72,$805,$1148,$43,$22,$8,$30,$-9,$-6,$0,$-24,$-54,$23,$-19,$0,$0,$0,$0,$0,$0,$-19,$-0,$0,$-0,$-8,$-8,$0,$0,$-8,$-6,$6,$0
2,2018-03-31,119.54,$43.51,2.75,$44.79,2.67,$13.91,8.6,$4.27,28.0,$0.48B,$0.10B,4.76,$0.14B,$0.80B,0.17,$0.83B,$0.32B,37.86%,$0.83B,$0.12B,14.66%,$0.83B,$0.12B,14.66%,$0.83B,$0.17B,20.07%,$0.83B,$0.12B,14.90%,$0.83B,$0.08B,9.62%,$0.08B,$0.80B,10.54%,$0.08B,$0.40B,22.18%,$0.08B,$1.15B,7.19%,$0.12B,$0.94B,13.40%,$215,$138,$77,$8,$41,$184,$31,$-0,$31,$5,$26,$26,$26,$42,$31,$18,19,$1.43,$1.40,$173,$108,$37,$476,$182,$18,$396,$6,$670,$1146,$100,$137,$89,$247,$347,$18,$715,$-57,$799,$1146,$26,$11,$4,$16,$-8,$6,$0,$-24,$-39,$9,$-9,$0,$0,$0,$0,$0,$0,$-9,$-0,$0,$-0,$-8,$-8,$0,$0,$-9,$-8,$3,$0
3,2017-12-31,161.92,$41.99,3.86,$44.35,3.65,$14.99,10.8,$4.34,37.31,$0.46B,$0.11B,3.99,$0.14B,$0.77B,0.18,$0.82B,$0.32B,38.73%,$0.82B,$0.13B,15.83%,$0.82B,$0.13B,15.83%,$0.82B,$0.18B,21.32%,$0.82B,$0.13B,16.20%,$0.82B,$0.08B,9.87%,$0.08B,$0.77B,11.11%,$0.08B,$0.37B,24.53%,$0.08B,$1.13B,7.35%,$0.13B,$0.90B,14.32%,$209,$134,$75,$8,$46,$189,$20,$0,$20,$13,$7,$7,$7,$32,$20,$18,19,$0.38,$0.37,$181,$113,$11,$455,$180,$18,$397,$6,$671,$1125,$114,$137,$88,$245,$359,$18,$685,$-65,$767,$1125,$80,$44,$28,$72,$-14,$-14,$0,$-3,$-19,$139,$-27,$0,$-60,$0,$0,$8,$1,$-78,$-111,$0,$-111,$-1,$-1,$0,$-1,$-113,$-47,$12,$0
4,2017-09-30,133.28,$41.23,3.23,$42.57,3.13,$14.39,9.26,$4.62,28.85,$0.43B,$0.11B,3.74,$0.14B,$0.75B,0.18,$0.79B,$0.31B,39.49%,$0.79B,$0.13B,16.31%,$0.79B,$0.13B,16.31%,$0.79B,$0.17B,21.78%,$0.79B,$0.13B,16.56%,$0.79B,$0.09B,10.96%,$0.09B,$0.75B,12.36%,$0.09B,$0.35B,27.67%,$0.09B,$1.08B,7.93%,$0.13B,$0.89B,14.20%,$207,$125,$82,$7,$39,$168,$39,$2,$41,$15,$26,$26,$26,$50,$39,$18,19,$1.40,$1.37,$151,$114,$11,$426,$175,$19,$399,$5,$656,$1082,$114,$136,$58,$217,$331,$18,$678,$-69,$751,$1082,$73,$33,$12,$44,$-13,$-17,$0,$-3,$-19,$100,$-10,$0,$-60,$0,$0,$0,$1,$-69,$-110,$0,$-110,$3,$3,$0,$-6,$-114,$-77,$9,$0
5,2017-06-30,108.62,$39.55,2.75,$40.54,2.68,$13.89,7.82,$4.13,26.3,$0.44B,$0.11B,4.12,$0.20B,$0.72B,0.27,$0.74B,$0.29B,39.03%,$0.74B,$0.11B,15.07%,$0.74B,$0.11B,15.07%,$0.74B,$0.15B,20.59%,$0.74B,$0.11B,15.21%,$0.74B,$0.08B,10.23%,$0.08B,$0.72B,11.42%,$0.08B,$0.32B,23.84%,$0.08B,$1.10B,7.33%,$0.11B,$0.92B,13.09%,$201,$121,$81,$7,$40,$169,$32,$-1,$32,$11,$21,$21,$21,$43,$32,$18,19,$1.15,$1.13,$177,$103,$13,$441,$173,$18,$399,$6,$658,$1099,$107,$196,$57,$274,$381,$18,$652,$-75,$718,$1099,$48,$22,$9,$30,$-13,$-6,$0,$-3,$-15,$64,$-8,$0,$-60,$0,$0,$1,$0,$-67,$-50,$0,$-50,$-0,$-0,$0,$-1,$-52,$-50,$5,$0
6,2017-03-31,85.87,$37.48,2.29,$38.30,2.24,$13.11,6.55,$3.29,26.1,$0.44B,$0.10B,4.53,$0.25B,$0.68B,0.36,$0.70B,$0.27B,38.48%,$0.70B,$0.10B,14.16%,$0.70B,$0.10B,14.16%,$0.70B,$0.14B,19.74%,$0.70B,$0.10B,14.31%,$0.70B,$0.06B,8.58%,$0.06B,$0.68B,9.38%,$0.06B,$0.28B,18.15%,$0.06B,$1.10B,5.97%,$0.10B,$0.93B,12.01%,$204,$123,$80,$7,$35,$165,$39,$1,$40,$13,$27,$27,$27,$50,$39,$18,18,$1.50,$1.47,$186,$95,$14,$440,$176,$17,$398,$6,$661,$1101,$97,$246,$57,$325,$422,$18,$631,$-88,$679,$1101,$27,$11,$4,$15,$-12,$-1,$0,$-4,$-19,$23,$-4,$0,$-60,$0,$0,$0,$0,$-63,$-0,$0,$-0,$-1,$-1,$0,$-1,$-3,$-42,$1,$0
7,2016-12-31,76.81,$35.28,2.18,$36.03,2.13,$13.22,5.81,$2.64,29.09,$0.46B,$0.10B,4.53,$0.24B,$0.64B,0.38,$0.66B,$0.25B,38.11%,$0.66B,$0.08B,12.80%,$0.66B,$0.08B,12.80%,$0.66B,$0.12B,18.45%,$0.66B,$0.08B,12.65%,$0.66B,$0.05B,7.32%,$0.05B,$0.64B,7.71%,$0.05B,$0.29B,13.72%,$0.05B,$1.06B,4.95%,$0.08B,$0.88B,10.63%,$173,$106,$67,$8,$41,$155,$18,$-1,$17,$5,$12,$12,$12,$28,$18,$18,18,$0.66,$0.66,$228,$91,$10,$458,$177,$16,$345,$4,$598,$1057,$101,$241,$56,$320,$421,$18,$591,$-92,$636,$1057,$48,$38,$19,$57,$-13,$10,$0,$-2,$16,$117,$-18,$0,$-134,$0,$0,$0,$0,$-152,$62,$0,$62,$-4,$-4,$0,$0,$58,$23,$11,$0
8,2016-09-30,61.08,$35.04,1.74,$34.72,1.76,$10.43,5.86,$2.36,25.88,$0.39B,$0.09B,4.17,$0.08B,$0.63B,0.12,$0.64B,$0.24B,37.11%,$0.64B,$0.08B,12.26%,$0.64B,$0.08B,12.26%,$0.64B,$0.11B,17.92%,$0.64B,$0.07B,11.16%,$0.64B,$0.04B,6.76%,$0.04B,$0.63B,7.05%,$0.04B,$0.38B,11.93%,$0.04B,$0.89B,4.58%,$0.08B,$0.71B,10.23%,$165,$103,$62,$7,$31,$142,$23,$1,$24,$8,$16,$16,$16,$32,$23,$18,18,$0.89,$0.88,$174,$86,$9,$393,$173,$18,$246,$3,$498,$891,$94,$76,$62,$167,$261,$18,$579,$-82,$630,$891,$36,$28,$17,$44,$-9,$7,$0,$-2,$10,$94,$-15,$0,$0,$0,$0,$0,$0,$-15,$-103,$0,$-103,$-6,$-6,$0,$0,$-109,$-31,$9,$0
9,2016-06-30,61.1,$34.02,1.8,$34.23,1.79,$7.35,8.31,$2.15,28.42,$0.47B,$0.09B,5.29,$0.18B,$0.61B,0.29,$0.63B,$0.23B,37.08%,$0.63B,$0.08B,12.36%,$0.63B,$0.08B,12.36%,$0.63B,$0.11B,18.07%,$0.63B,$0.07B,10.94%,$0.63B,$0.04B,6.34%,$0.04B,$0.61B,6.71%,$0.04B,$0.37B,11.60%,$0.04B,$0.97B,4.20%,$0.08B,$0.79B,10.06%,$157,$97,$60,$7,$34,$139,$19,$-0,$19,$13,$5,$5,$5,$28,$19,$18,18,$0.30,$0.29,$247,$88,$11,$468,$175,$17,$247,$3,$502,$970,$89,$177,$61,$268,$357,$18,$563,$-83,$613,$970,$20,$18,$14,$32,$-9,$1,$0,$-4,$1,$51,$-10,$0,$0,$0,$0,$0,$0,$-10,$-2,$0,$-2,$-3,$-3,$0,$0,$-4,$43,$6,$0
10,2016-03-31,59.87,$33.91,1.77,$34.16,1.75,$5.51,10.86,$2.57,23.3,$0.45B,$0.08B,5.35,$0.18B,$0.61B,0.29,$0.64B,$0.24B,36.89%,$0.64B,$0.08B,12.56%,$0.64B,$0.08B,12.56%,$0.64B,$0.12B,18.05%,$0.64B,$0.07B,10.83%,$0.64B,$0.05B,7.69%,$0.05B,$0.61B,8.27%,$0.05B,$0.36B,14.48%,$0.05B,$0.96B,5.15%,$0.08B,$0.79B,10.34%,$161,$100,$61,$7,$30,$136,$24,$-1,$23,$8,$15,$15,$15,$33,$24,$18,18,$0.83,$0.82,$229,$91,$10,$450,$177,$17,$252,$3,$512,$962,$84,$178,$65,$268,$352,$18,$558,$-77,$610,$962,$15,$9,$2,$11,$-7,$-1,$0,$-2,$-2,$26,$-5,$0,$0,$0,$0,$0,$0,$-5,$-1,$0,$-1,$-2,$-2,$0,$0,$-3,$25,$2,$0
