,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-07-31,87.43,$8.52,10.26,$38.81,2.25,$9.08,9.63,$4.06,21.53,$3.38B,$1.98B,1.71,$0.31B,$3.19B,0.1,$14.72B,$4.24B,28.81%,$14.72B,$2.09B,14.21%,$14.72B,$2.09B,14.21%,$14.72B,$2.42B,16.42%,$14.72B,$2.09B,14.21%,$14.72B,$1.53B,10.40%,$1.53B,$3.19B,50.13%,$1.53B,$3.19B,50.13%,$1.53B,$5.96B,26.11%,$2.09B,$3.50B,61.73%,$3550,$2547,$1002,$0,$562,$3109,$441,$3,$444,$106,$338,$338,$338,$599,$441,$368,371,$0.92,$0.91,$1387,$1698,$0,$3380,$2384,$1,$0,$199,$2584,$5964,$1978,$312,$375,$801,$2779,$4,$2217,$0,$3185,$5964,$808,$162,$69,$232,$0,$-57,$122,$-90,$-25,$1014,$-179,$0,$0,$1,$0,$1,$0,$-178,$0,$0,$0,$-570,$-570,$-170,$0,$-740,$96,$48,$-170
1,2018-04-30,80.64,$8.30,9.71,$37.71,2.14,$8.47,9.52,$3.84,21.0,$3.45B,$2.11B,1.64,$0.31B,$3.13B,0.1,$14.42B,$4.18B,29.01%,$14.42B,$2.09B,14.48%,$14.42B,$2.09B,14.48%,$14.42B,$2.41B,16.69%,$14.42B,$2.09B,14.46%,$14.42B,$1.46B,10.13%,$1.46B,$3.13B,49.17%,$1.46B,$3.13B,49.17%,$1.46B,$6.02B,25.36%,$2.09B,$3.44B,62.82%,$3738,$2667,$1071,$0,$555,$3222,$516,$1,$518,$128,$389,$389,$389,$622,$516,$371,374,$1.05,$1.04,$1303,$1895,$0,$3454,$2369,$1,$0,$197,$2567,$6021,$2107,$312,$362,$784,$2891,$4,$2177,$0,$3130,$6021,$418,$80,$41,$120,$0,$-254,$239,$-52,$-67,$472,$-80,$0,$0,$1,$0,$1,$0,$-79,$0,$0,$0,$-295,$-295,$-85,$0,$-381,$12,$24,$-85
2,2018-01-31,81.93,$8.03,10.2,$36.68,2.23,$8.57,9.56,$3.55,23.08,$3.15B,$1.93B,1.64,$0.31B,$3.05B,0.1,$14.14B,$4.09B,28.95%,$14.14B,$2.05B,14.49%,$14.14B,$2.05B,14.49%,$14.14B,$2.36B,16.70%,$14.14B,$2.04B,14.44%,$14.14B,$1.36B,9.64%,$1.36B,$3.05B,47.30%,$1.36B,$3.05B,47.30%,$1.36B,$5.72B,24.17%,$2.05B,$3.36B,62.88%,$3589,$2522,$1066,$0,$524,$3047,$542,$1,$542,$124,$418,$418,$418,$678,$542,$374,377,$1.12,$1.11,$1291,$1642,$0,$3151,$2382,$1,$0,$188,$2571,$5722,$1926,$312,$349,$746,$2673,$4,$2071,$0,$3049,$5722,$1363,$313,$46,$359,$0,$-129,$41,$47,$-41,$1681,$-355,$0,$0,$0,$0,$0,$2,$-353,$0,$0,$0,$-902,$-902,$-248,$0,$-1149,$179,$87,$-248
3,2017-10-31,63.01,$7.48,8.42,$34.98,1.8,$8.32,7.58,$3.13,20.13,$3.24B,$2.06B,1.57,$0.40B,$2.86B,0.14,$13.58B,$3.92B,28.86%,$13.58B,$1.93B,14.24%,$13.58B,$1.93B,14.24%,$13.58B,$2.24B,16.48%,$13.58B,$1.92B,14.16%,$13.58B,$1.21B,8.93%,$1.21B,$2.86B,43.22%,$1.21B,$2.86B,43.22%,$1.21B,$5.77B,21.91%,$1.93B,$3.26B,60.35%,$4068,$2923,$1145,$0,$553,$3476,$592,$-0,$592,$141,$451,$451,$451,$519,$592,$381,384,$1.20,$1.19,$1145,$1840,$0,$3236,$2348,$1,$0,$182,$2531,$5767,$2056,$397,$326,$852,$2908,$4,$1901,$0,$2859,$5767,$912,$227,$74,$301,$0,$-327,$272,$8,$-48,$1166,$-267,$0,$0,$0,$0,$0,$1,$-266,$0,$0,$0,$-681,$-681,$-186,$0,$-867,$33,$65,$-186
4,2017-07-31,54.75,$7.36,7.44,$34.12,1.6,$8.02,6.83,$3.03,18.07,$3.00B,$1.83B,1.64,$0.40B,$2.84B,0.14,$13.34B,$3.84B,28.79%,$13.34B,$1.88B,14.11%,$13.34B,$1.88B,14.11%,$13.34B,$2.19B,16.39%,$13.34B,$1.87B,14.00%,$13.34B,$1.18B,8.88%,$1.18B,$2.84B,42.99%,$1.18B,$2.84B,42.99%,$1.18B,$5.51B,21.80%,$1.88B,$3.24B,59.70%,$3329,$2369,$960,$0,$517,$2886,$442,$-2,$441,$166,$274,$274,$274,$587,$442,$379,382,$0.72,$0.72,$1151,$1608,$0,$3004,$2327,$1,$0,$182,$2510,$5514,$1829,$397,$320,$846,$2675,$4,$1898,$0,$2840,$5514,$638,$151,$51,$202,$0,$-95,$155,$-101,$-42,$798,$-169,$0,$0,$0,$0,$0,$0,$-169,$0,$0,$0,$-464,$-464,$-125,$0,$-589,$40,$43,$-125
5,2017-04-30,64.17,$7.13,9.0,$33.25,1.93,$7.99,8.03,$2.92,21.98,$3.07B,$1.94B,1.58,$0.40B,$2.78B,0.14,$13.08B,$3.76B,28.71%,$13.08B,$1.83B,13.98%,$13.08B,$1.83B,13.98%,$13.08B,$2.13B,16.29%,$13.08B,$1.81B,13.85%,$13.08B,$1.15B,8.78%,$1.15B,$2.78B,42.59%,$1.15B,$2.78B,42.59%,$1.15B,$5.55B,21.47%,$1.83B,$3.17B,59.11%,$3432,$2421,$1011,$0,$498,$2919,$512,$-2,$510,$194,$317,$317,$317,$577,$512,$383,386,$0.83,$0.82,$1244,$1595,$0,$3065,$2309,$1,$0,$178,$2488,$5553,$1938,$397,$309,$838,$2775,$4,$1851,$0,$2778,$5553,$321,$76,$31,$107,$0,$-82,$163,$12,$93,$521,$-76,$0,$0,$0,$0,$0,$0,$-76,$0,$0,$0,$-249,$-249,$-63,$0,$-312,$133,$20,$-63
6,2017-01-31,65.11,$7.01,9.29,$32.51,2.0,$7.82,8.32,$2.83,23.01,$2.81B,$1.75B,1.61,$0.40B,$2.75B,0.14,$12.87B,$3.69B,28.71%,$12.87B,$1.80B,14.01%,$12.87B,$1.80B,14.01%,$12.87B,$2.11B,16.36%,$12.87B,$1.79B,13.88%,$12.87B,$1.12B,8.70%,$1.12B,$2.75B,42.42%,$1.12B,$2.75B,42.42%,$1.12B,$5.31B,21.35%,$1.80B,$3.15B,59.42%,$3306,$2330,$976,$0,$475,$2805,$502,$-3,$498,$177,$321,$321,$321,$555,$502,$386,390,$0.83,$0.82,$1112,$1513,$0,$2813,$2328,$1,$0,$167,$2496,$5309,$1753,$396,$291,$809,$2561,$4,$1801,$0,$2748,$5309,$1118,$303,$66,$368,$0,$-94,$83,$84,$73,$1559,$-298,$0,$0,$2,$0,$2,$3,$-293,$0,$0,$0,$-725,$-725,$-215,$23,$-916,$350,$75,$-215
7,2016-10-31,61.47,$6.72,9.14,$31.63,1.94,$6.99,8.79,$2.72,22.6,$2.88B,$1.89B,1.52,$0.40B,$2.65B,0.15,$12.61B,$3.59B,28.45%,$12.61B,$1.74B,13.79%,$12.61B,$1.74B,13.79%,$12.61B,$2.04B,16.15%,$12.61B,$1.72B,13.66%,$12.61B,$1.08B,8.58%,$1.08B,$2.65B,42.12%,$1.08B,$2.65B,42.12%,$1.08B,$5.35B,21.08%,$1.74B,$3.05B,58.65%,$3510,$2540,$971,$0,$494,$3033,$477,$-4,$473,$172,$301,$301,$301,$466,$477,$392,395,$0.77,$0.77,$880,$1764,$0,$2875,$2311,$1,$0,$163,$2475,$5350,$1888,$396,$294,$812,$2700,$4,$1718,$0,$2650,$5350,$817,$224,$48,$273,$0,$-345,$213,$71,$-60,$1029,$-220,$0,$0,$1,$0,$1,$3,$-216,$0,$0,$0,$-559,$-559,$-162,$25,$-696,$117,$56,$-162
8,2016-07-31,60.64,$6.59,9.2,$30.66,1.98,$6.11,9.92,$2.63,23.06,$2.71B,$1.75B,1.55,$0.40B,$2.61B,0.15,$12.30B,$3.49B,28.33%,$12.30B,$1.69B,13.69%,$12.30B,$1.69B,13.69%,$12.30B,$1.98B,16.09%,$12.30B,$1.67B,13.56%,$12.30B,$1.05B,8.56%,$1.05B,$2.61B,42.04%,$1.05B,$2.61B,42.04%,$1.05B,$5.19B,20.98%,$1.69B,$3.01B,58.08%,$3087,$2206,$881,$0,$490,$2696,$390,$-4,$386,$142,$245,$245,$245,$534,$390,$391,393,$0.63,$0.62,$929,$1560,$0,$2714,$2310,$1,$0,$169,$2481,$5194,$1751,$396,$297,$829,$2580,$4,$1700,$0,$2614,$5194,$573,$149,$42,$190,$0,$-141,$193,$-35,$17,$780,$-147,$0,$0,$1,$0,$1,$-0,$-147,$0,$0,$0,$-381,$-381,$-108,$23,$-466,$166,$36,$-108
9,2016-04-30,55.55,$6.36,8.74,$29.90,1.86,$5.49,10.12,$2.55,21.78,$2.63B,$1.75B,1.5,$0.40B,$2.54B,0.16,$12.09B,$3.41B,28.17%,$12.09B,$1.64B,13.56%,$12.09B,$1.64B,13.56%,$12.09B,$1.93B,15.92%,$12.09B,$1.63B,13.44%,$12.09B,$1.03B,8.52%,$1.03B,$2.54B,42.08%,$1.03B,$2.54B,42.08%,$1.03B,$5.11B,20.92%,$1.64B,$2.94B,57.63%,$3181,$2252,$929,$0,$470,$2721,$460,$-4,$455,$173,$282,$282,$282,$550,$460,$394,396,$0.72,$0.71,$912,$1498,$0,$2629,$2318,$1,$0,$165,$2485,$5114,$1751,$396,$287,$824,$2575,$4,$1642,$0,$2539,$5114,$291,$74,$28,$102,$0,$-79,$124,$32,$76,$469,$-80,$0,$0,$0,$0,$0,$-0,$-80,$0,$0,$0,$-207,$-207,$-54,$21,$-241,$148,$18,$-54
