,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-08-31,67.5,$12.09,5.58,$40.17,1.68,$2.78,24.24,$2.15,31.4,$2.43B,$0.88B,2.77,$2.27B,$1.61B,1.41,$5.44B,$2.20B,40.53%,$5.44B,$0.48B,8.74%,$5.44B,$0.48B,8.74%,$5.44B,$0.61B,11.18%,$5.44B,$0.35B,6.51%,$5.44B,$0.29B,5.30%,$0.29B,$1.61B,17.74%,$0.29B,$-0.16B,-202.82%,$0.29B,$5.22B,5.54%,$0.48B,$3.88B,12.67%,$1460,$866,$594,$0,$460,$1326,$134,$-42,$92,$22,$70,$70,$69,$170,$134,$132,136,$0.52,$0.52,$202,$854,$0,$2433,$777,$0,$1773,$219,$2791,$5223,$878,$2267,$360,$2732,$3610,$1,$1367,$-493,$1613,$5223,$70,$36,$15,$51,$32,$-27,$-88,$-18,$-129,$-7,$-28,$0,$-26,$-3,$0,$-3,$-3,$-60,$99,$0,$99,$-21,$-21,$-43,$-4,$32,$-42,$7,$-43
1,2018-05-31,49.24,$12.22,4.03,$39.38,1.25,$2.72,18.08,$2.49,19.77,$2.47B,$1.01B,2.45,$2.17B,$1.63B,1.33,$5.32B,$2.18B,40.99%,$5.32B,$0.52B,9.75%,$5.32B,$0.52B,9.75%,$5.32B,$0.65B,12.16%,$5.32B,$0.42B,7.84%,$5.32B,$0.33B,6.28%,$0.33B,$1.63B,20.74%,$0.33B,$-0.14B,-221.56%,$0.33B,$5.27B,6.47%,$0.52B,$3.80B,14.27%,$1558,$939,$619,$0,$466,$1406,$153,$-35,$118,$32,$86,$86,$85,$185,$153,$131,137,$0.66,$0.64,$244,$834,$0,$2471,$780,$0,$1776,$222,$2801,$5272,$1007,$2171,$357,$2632,$3638,$1,$1343,$-459,$1634,$5272,$339,$128,$31,$159,$-106,$-34,$52,$3,$-108,$390,$-115,$0,$-112,$-43,$0,$-43,$9,$-261,$75,$0,$75,$-17,$-17,$-167,$-129,$-239,$-106,$25,$-167
2,2018-02-28,49.19,$12.23,4.02,$39.06,1.26,$2.64,18.66,$2.80,17.57,$2.36B,$0.92B,2.56,$2.18B,$1.64B,1.33,$5.26B,$2.23B,42.33%,$5.26B,$0.58B,10.94%,$5.26B,$0.58B,10.94%,$5.26B,$0.70B,13.34%,$5.26B,$0.49B,9.23%,$5.26B,$0.38B,7.15%,$0.38B,$1.64B,24.08%,$0.38B,$-0.13B,-203.79%,$0.38B,$5.14B,7.34%,$0.58B,$3.82B,16.41%,$1103,$663,$439,$0,$383,$1046,$57,$-22,$35,$-6,$41,$41,$40,$89,$57,$131,131,$0.30,$0.30,$264,$931,$0,$2357,$773,$0,$1764,$221,$2779,$5136,$922,$2180,$335,$2578,$3500,$1,$1299,$-406,$1636,$5136,$253,$96,$-28,$68,$139,$-121,$-113,$14,$-181,$141,$-73,$0,$-60,$-42,$0,$-42,$7,$-168,$76,$0,$76,$-15,$-15,$-126,$-6,$-70,$-86,$18,$-126
3,2017-11-30,52.04,$12.04,4.32,$38.48,1.35,$2.83,18.37,$2.59,20.09,$2.40B,$1.08B,2.23,$1.88B,$1.61B,1.17,$5.18B,$2.22B,42.80%,$5.18B,$0.56B,10.74%,$5.18B,$0.56B,10.74%,$5.18B,$0.68B,13.22%,$5.18B,$0.47B,9.02%,$5.18B,$0.35B,6.72%,$0.35B,$1.61B,23.61%,$0.35B,$-0.14B,-134.23%,$0.35B,$5.15B,6.93%,$0.56B,$3.49B,17.00%,$1315,$764,$551,$0,$420,$1184,$131,$-22,$109,$13,$96,$96,$94,$164,$131,$131,136,$0.72,$0.70,$268,$864,$0,$2395,$760,$0,$1748,$221,$2750,$5145,$1075,$1883,$507,$2460,$3535,$1,$1301,$-435,$1610,$5145,$213,$64,$-20,$44,$34,$-63,$-95,$3,$-141,$115,$-45,$0,$-55,$-37,$0,$-37,$0,$-137,$34,$0,$34,$-12,$-12,$-83,$-5,$-66,$-83,$14,$-83
4,2017-08-31,47.81,$11.70,4.09,$37.89,1.26,$3.16,15.11,$1.35,35.42,$2.36B,$1.10B,2.16,$1.87B,$1.56B,1.2,$5.05B,$2.19B,43.28%,$5.05B,$0.34B,6.71%,$5.05B,$0.34B,6.71%,$5.05B,$0.65B,12.89%,$5.05B,$0.25B,4.97%,$5.05B,$0.18B,3.62%,$0.18B,$1.56B,13.14%,$0.18B,$-0.19B,-59.85%,$0.18B,$5.11B,3.76%,$0.34B,$3.43B,10.84%,$1345,$773,$572,$0,$394,$1168,$178,$-22,$155,$38,$117,$117,$115,$209,$178,$131,136,$0.87,$0.86,$236,$851,$0,$2363,$756,$0,$1756,$212,$2746,$5109,$1095,$1868,$492,$2452,$3547,$1,$1249,$-429,$1562,$5109,$117,$31,$16,$47,$2,$-47,$-73,$-11,$-183,$-26,$-18,$0,$-36,$-15,$0,$-15,$1,$-68,$18,$0,$18,$-5,$-5,$-40,$-4,$-31,$-114,$7,$-40
5,2017-05-31,52.66,$10.77,4.89,$37.24,1.41,$3.41,15.45,$1.32,39.89,$2.40B,$1.24B,1.94,$1.84B,$1.44B,1.28,$4.96B,$2.17B,43.69%,$4.96B,$0.33B,6.64%,$4.96B,$0.33B,6.64%,$4.96B,$0.64B,12.89%,$4.96B,$0.24B,4.92%,$4.96B,$0.18B,3.61%,$0.18B,$1.44B,13.15%,$0.18B,$-0.28B,-52.00%,$0.18B,$5.09B,3.75%,$0.33B,$3.28B,10.82%,$1493,$829,$663,$0,$454,$1283,$209,$-24,$186,$57,$129,$129,$127,$239,$209,$131,135,$0.97,$0.98,$350,$788,$0,$2397,$743,$0,$1717,$214,$2693,$5090,$1235,$1836,$482,$2416,$3652,$1,$1172,$-474,$1439,$5090,$185,$310,$62,$372,$-6,$-71,$16,$-38,$-171,$386,$-126,$0,$-254,$39,$0,$39,$2,$-340,$443,$0,$443,$-22,$-22,$-157,$-229,$36,$85,$33,$-157
6,2017-02-28,51.45,$9.62,5.35,$36.63,1.4,$4.10,12.55,$1.51,34.07,$2.08B,$1.23B,1.69,$1.60B,$1.29B,1.24,$4.89B,$2.15B,43.95%,$4.89B,$0.34B,7.01%,$4.89B,$0.34B,7.01%,$4.89B,$0.66B,13.39%,$4.89B,$0.26B,5.25%,$4.89B,$0.20B,4.15%,$0.20B,$1.29B,15.09%,$0.20B,$-0.43B,-53.46%,$0.20B,$4.73B,4.33%,$0.34B,$2.88B,11.53%,$1022,$594,$429,$0,$386,$985,$38,$-21,$17,$4,$13,$13,$12,$72,$38,$131,131,$0.09,$0.09,$211,$856,$0,$2080,$702,$0,$1712,$212,$2652,$4732,$1231,$1598,$570,$2216,$3446,$1,$1084,$-533,$1286,$4732,$56,$280,$-0,$280,$190,$-143,$-96,$-27,$-159,$173,$-80,$0,$-247,$0,$0,$0,$1,$-325,$344,$0,$344,$-20,$-20,$-117,$-109,$98,$-54,$25,$-117
7,2016-11-30,50.79,$9.61,5.29,$36.46,1.39,$4.69,10.82,$1.56,32.56,$2.04B,$0.89B,2.3,$1.64B,$1.28B,1.27,$4.86B,$2.13B,43.92%,$4.86B,$0.35B,7.14%,$4.86B,$0.35B,7.14%,$4.86B,$0.65B,13.44%,$4.86B,$0.26B,5.39%,$4.86B,$0.21B,4.30%,$0.21B,$1.28B,15.66%,$0.21B,$-0.32B,-52.22%,$0.21B,$4.55B,4.52%,$0.35B,$2.92B,11.56%,$1191,$669,$522,$0,$419,$1277,$-86,$-21,$-107,$-37,$-70,$-70,$-71,$131,$-86,$131,131,$-0.54,$-0.54,$206,$762,$0,$2041,$639,$0,$1607,$201,$2506,$4547,$887,$1635,$701,$2378,$3264,$1,$1113,$-556,$1283,$4547,$43,$246,$-41,$205,$111,$-82,$-70,$-21,$-89,$159,$-48,$0,$-65,$-1,$0,$-1,$1,$-113,$3,$0,$3,$-20,$-20,$-77,$-5,$-99,$-59,$17,$-77
8,2016-08-31,52.02,$10.78,4.83,$35.81,1.45,$4.84,10.75,$2.72,19.12,$2.10B,$0.88B,2.37,$1.65B,$1.44B,1.15,$4.82B,$2.11B,43.66%,$4.82B,$0.57B,11.90%,$4.82B,$0.57B,11.90%,$4.82B,$0.69B,14.32%,$4.82B,$0.49B,10.14%,$4.82B,$0.36B,7.50%,$0.36B,$1.44B,27.09%,$0.36B,$-0.35B,-82.79%,$0.36B,$4.73B,7.84%,$0.57B,$3.09B,19.04%,$1252,$700,$552,$0,$384,$1084,$168,$-19,$148,$35,$113,$113,$111,$197,$168,$131,135,$0.85,$0.83,$194,$729,$0,$2095,$632,$0,$1786,$193,$2632,$4727,$884,$1653,$700,$2406,$3289,$1,$1224,$-506,$1438,$4727,$113,$29,$8,$36,$29,$-43,$-71,$-18,$-145,$7,$-17,$0,$-17,$-0,$0,$-0,$0,$-34,$15,$0,$15,$-17,$-17,$-37,$-5,$-44,$-71,$8,$-37
9,2016-05-31,47.63,$10.34,4.61,$35.60,1.34,$4.88,9.76,$2.63,18.11,$2.14B,$1.00B,2.13,$1.64B,$1.38B,1.19,$4.82B,$2.09B,43.34%,$4.82B,$0.57B,11.75%,$4.82B,$0.57B,11.75%,$4.82B,$0.68B,14.16%,$4.82B,$0.48B,10.03%,$4.82B,$0.35B,7.25%,$0.35B,$1.38B,26.82%,$0.35B,$-0.42B,-73.51%,$0.35B,$4.77B,7.59%,$0.57B,$3.01B,18.88%,$1427,$779,$647,$0,$425,$1204,$223,$-23,$199,$45,$154,$154,$151,$255,$223,$129,137,$1.17,$1.13,$265,$686,$0,$2135,$629,$0,$1795,$185,$2630,$4765,$1002,$1635,$703,$2388,$3390,$1,$1147,$-502,$1375,$4765,$357,$116,$25,$141,$-25,$-18,$-6,$-14,$-24,$475,$-117,$0,$-52,$0,$0,$0,$3,$-166,$-5,$0,$-5,$-53,$-53,$-144,$-4,$-206,$90,$31,$-144
