,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,16.99,$23.32,0.73,$11.73,1.45,$-2.02,0.0,$0.96,17.7,$0.42B,$0.75B,0.56,$4.16B,$5.82B,0.72,$2.89B,$2.53B,87.64%,$2.89B,$0.43B,14.92%,$2.89B,$0.43B,14.92%,$2.89B,$1.11B,38.42%,$2.89B,$-0.07B,-2.46%,$2.89B,$0.24B,8.17%,$0.24B,$5.82B,4.07%,$0.24B,$4.18B,5.68%,$0.24B,$11.87B,2.00%,$0.43B,$9.98B,4.34%,$811,$124,$687,$0,$389,$677,$134,$-61,$73,$24,$49,$49,$49,$300,$134,$246,247,$0.19,$0.19,$0,$24,$0,$422,$9725,$0,$1641,$77,$11444,$11866,$754,$4161,$316,$5295,$6049,$2,$199,$-1,$5817,$11866,$18,$514,$263,$777,$-50,$-1,$-7,$0,$-20,$775,$-833,$0,$0,$2,$0,$2,$24,$-807,$55,$-6,$49,$9,$9,$-15,$-11,$32,$-0,$41,$-15
1,2018-06-30,16.73,$23.11,0.72,$10.41,1.61,$-2.69,0.0,$0.25,66.92,$0.39B,$0.74B,0.52,$4.21B,$5.76B,0.73,$2.56B,$2.25B,87.70%,$2.56B,$0.19B,7.38%,$2.56B,$0.19B,7.38%,$2.56B,$0.93B,36.21%,$2.56B,$-0.34B,-13.44%,$2.56B,$0.06B,2.30%,$0.06B,$5.76B,1.03%,$0.06B,$4.12B,1.44%,$0.06B,$11.83B,0.50%,$0.19B,$9.97B,1.92%,$656,$110,$546,$0,$363,$656,$0,$-109,$-108,$-29,$-80,$-80,$-80,$178,$0,$246,246,$-0.32,$-0.32,$0,$22,$0,$385,$9718,$0,$1641,$82,$11441,$11826,$740,$4207,$320,$5322,$6062,$2,$155,$-1,$5764,$11826,$-31,$348,$225,$574,$-14,$1,$15,$0,$3,$546,$-624,$0,$0,$-2,$0,$-2,$0,$-626,$103,$-7,$96,$6,$6,$-10,$-11,$80,$-0,$34,$-10
2,2018-03-31,14.52,$23.41,0.62,$10.49,1.38,$-2.78,0.0,$0.85,17.08,$0.34B,$0.68B,0.5,$4.08B,$5.84B,0.7,$2.58B,$2.30B,89.33%,$2.58B,$0.37B,14.32%,$2.58B,$0.37B,14.32%,$2.58B,$1.08B,41.99%,$2.58B,$-0.11B,-4.23%,$2.58B,$0.21B,8.07%,$0.21B,$5.84B,3.65%,$0.21B,$4.19B,5.12%,$0.21B,$11.73B,1.78%,$0.37B,$9.92B,3.80%,$743,$63,$679,$0,$361,$587,$156,$-64,$92,$43,$49,$49,$49,$327,$156,$246,247,$0.20,$0.20,$1,$30,$13,$338,$9664,$0,$1641,$87,$11392,$11730,$679,$4082,$298,$5217,$5896,$2,$240,$-1,$5835,$11730,$49,$171,$96,$267,$54,$-5,$47,$0,$55,$371,$-334,$0,$0,$-1,$0,$-1,$0,$-335,$-29,$1,$-28,$1,$1,$-5,$-3,$-35,$0,$19,$-5
3,2017-12-31,17.02,$23.27,0.73,$10.65,1.6,$-2.89,0.0,$1.34,12.7,$0.43B,$0.76B,0.57,$4.11B,$5.77B,0.71,$2.61B,$2.34B,89.54%,$2.61B,$0.52B,20.07%,$2.61B,$0.52B,20.07%,$2.61B,$1.22B,46.65%,$2.61B,$0.08B,3.14%,$2.61B,$0.33B,12.60%,$0.33B,$5.77B,5.83%,$0.33B,$4.13B,8.24%,$0.33B,$11.73B,2.84%,$0.52B,$9.88B,5.48%,$679,$59,$620,$0,$331,$538,$141,$-269,$-128,$-349,$221,$221,$218,$305,$141,$245,245,$0.89,$0.89,$0,$21,$59,$429,$9581,$0,$1641,$77,$11300,$11729,$755,$4109,$296,$5199,$5955,$2,$196,$-1,$5774,$11729,$333,$694,$-164,$530,$-103,$-3,$46,$0,$-47,$816,$-1213,$0,$0,$1,$0,$1,$72,$-1139,$329,$17,$346,$4,$4,$-20,$-7,$323,$0,$31,$-20
4,2017-09-30,19.49,$22.32,0.87,$9.22,2.11,$-1.94,0.0,$-0.21,0.0,$0.34B,$0.67B,0.5,$3.98B,$5.54B,0.72,$2.19B,$1.91B,87.42%,$2.19B,$0.14B,6.27%,$2.19B,$0.14B,6.27%,$2.19B,$0.82B,37.47%,$2.19B,$-0.05B,-2.10%,$2.19B,$-0.05B,-2.29%,$-0.05B,$5.54B,-0.90%,$-0.05B,$3.90B,-1.28%,$-0.05B,$11.64B,-0.44%,$0.14B,$9.52B,1.46%,$482,$83,$400,$0,$294,$590,$-108,$-92,$-200,$-72,$-128,$-128,$-128,$117,$-108,$245,245,$-0.52,$-0.52,$1,$21,$30,$337,$9584,$0,$1641,$75,$11300,$11638,$671,$3982,$313,$5429,$6100,$2,$-20,$0,$5537,$11638,$112,$530,$-31,$499,$-40,$-2,$45,$0,$-10,$601,$-823,$0,$0,$3,$0,$3,$28,$-792,$204,$6,$209,$4,$4,$-15,$-7,$191,$0,$4,$-15
5,2017-06-30,23.06,$22.82,1.01,$9.54,2.42,$-1.94,0.0,$0.08,288.21,$0.36B,$0.60B,0.6,$3.85B,$5.66B,0.68,$2.12B,$1.87B,88.47%,$2.12B,$0.28B,13.13%,$2.12B,$0.28B,13.13%,$2.12B,$0.87B,41.00%,$2.12B,$0.10B,4.63%,$2.12B,$0.04B,1.70%,$0.04B,$5.66B,0.65%,$0.04B,$4.02B,0.93%,$0.04B,$11.62B,0.32%,$0.28B,$9.51B,2.98%,$673,$70,$603,$0,$285,$494,$180,$-52,$127,$58,$70,$70,$69,$333,$180,$245,245,$0.28,$0.28,$1,$18,$81,$361,$9522,$0,$1647,$92,$11261,$11621,$597,$3849,$302,$5362,$5959,$2,$112,$0,$5662,$11621,$240,$305,$-119,$186,$-14,$4,$18,$0,$-14,$411,$-511,$0,$0,$2,$0,$2,$27,$-482,$72,$11,$82,$4,$4,$-10,$-6,$70,$0,$2,$-10
6,2017-03-31,28.93,$22.55,1.28,$7.40,3.91,$-2.09,0.0,$-1.55,0.0,$0.30B,$0.63B,0.47,$3.74B,$5.58B,0.67,$1.55B,$1.32B,85.64%,$1.55B,$-0.21B,-13.32%,$1.55B,$-0.21B,-13.32%,$1.55B,$0.36B,22.96%,$1.55B,$-0.38B,-24.77%,$1.55B,$-0.26B,-16.69%,$-0.26B,$5.58B,-5.46%,$-0.26B,$3.93B,-7.38%,$-0.26B,$11.42B,-2.55%,$-0.21B,$9.32B,-2.51%,$777,$62,$715,$0,$262,$465,$311,$-29,$283,$112,$170,$170,$170,$463,$311,$245,245,$0.69,$0.69,$1,$20,$30,$298,$9377,$0,$1654,$93,$11124,$11422,$631,$3739,$303,$5208,$5839,$2,$48,$0,$5582,$11422,$170,$151,$-75,$77,$-5,$3,$24,$0,$-21,$226,$-217,$0,$0,$-2,$0,$-2,$26,$-193,$-37,$12,$-25,$3,$3,$-5,$-6,$-33,$0,$1,$-5
7,2016-12-31,34.14,$21.88,1.56,$6.22,5.49,$-2.34,0.0,$-2.79,0.0,$0.28B,$0.70B,0.4,$3.77B,$5.41B,0.7,$1.10B,$0.90B,81.73%,$1.10B,$-0.56B,-50.91%,$1.10B,$-0.56B,-50.91%,$1.10B,$0.02B,1.36%,$1.10B,$-0.80B,-72.91%,$1.10B,$-0.52B,-47.45%,$-0.52B,$5.41B,-13.05%,$-0.52B,$3.75B,-16.42%,$-0.52B,$11.28B,-5.85%,$-0.56B,$9.18B,-7.79%,$254,$60,$193,$0,$258,$499,$-246,$-10,$-256,$-96,$-161,$-161,$-161,$-94,$-246,$190,190,$-0.61,$-0.61,$0,$27,$13,$282,$9273,$0,$1654,$73,$11000,$11282,$703,$3774,$335,$5171,$5874,$2,$-117,$0,$5408,$11282,$-521,$574,$441,$1015,$-21,$6,$-27,$0,$-106,$387,$-513,$0,$7,$3,$0,$3,$194,$-309,$-83,$18,$-65,$13,$13,$-17,$-10,$-78,$-0,$75,$-17
8,2016-09-30,38.48,$22.10,1.74,$7.35,5.23,$-4.20,0.0,$-4.06,0.0,$0.38B,$0.46B,0.82,$3.83B,$5.46B,0.7,$1.26B,$1.08B,85.76%,$1.26B,$-0.34B,-26.97%,$1.26B,$-0.34B,-26.97%,$1.26B,$0.30B,24.03%,$1.26B,$-1.03B,-82.10%,$1.26B,$-0.68B,-54.34%,$-0.68B,$5.46B,-20.45%,$-0.68B,$3.83B,-23.30%,$-0.68B,$11.33B,-8.73%,$-0.34B,$9.29B,-5.43%,$413,$52,$362,$0,$209,$380,$33,$-88,$-56,$-14,$-42,$-42,$-42,$166,$33,$181,181,$-0.23,$-0.23,$1,$36,$158,$379,$9224,$0,$1631,$93,$10948,$11327,$462,$3827,$282,$5404,$5866,$2,$-53,$0,$5461,$11327,$-361,$423,$192,$614,$32,$-1,$-41,$0,$-48,$206,$-370,$0,$7,$4,$0,$4,$192,$-167,$-28,$0,$-28,$10,$10,$-12,$-10,$-39,$0,$73,$-12
9,2016-06-30,42.82,$14.50,2.95,$7.95,5.39,$-5.99,0.0,$-5.64,0.0,$0.15B,$0.34B,0.43,$2.57B,$2.47B,1.04,$1.32B,$1.16B,87.54%,$1.32B,$-0.73B,-55.06%,$1.32B,$-0.73B,-55.06%,$1.32B,$0.46B,34.67%,$1.32B,$-1.41B,-106.65%,$1.32B,$-0.94B,-71.15%,$-0.94B,$2.47B,-34.31%,$-0.94B,$2.47B,-34.31%,$-0.94B,$6.38B,-13.28%,$-0.73B,$5.03B,-13.03%,$102,$48,$54,$0,$210,$405,$-304,$-51,$-354,$-129,$-225,$-225,$-225,$-180,$-304,$167,167,$-1.35,$-1.35,$0,$21,$43,$146,$6157,$0,$0,$77,$6234,$6380,$340,$2567,$275,$3576,$3915,$2,$-6,$0,$2465,$6380,$-319,$289,$207,$496,$42,$11,$-19,$0,$-4,$173,$-266,$0,$0,$1,$0,$1,$191,$-74,$-92,$-7,$-99,$10,$10,$-7,$-4,$-99,$-0,$72,$-7
