,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,4.03,$3.38,1.19,$6.94,0.58,$-1.68,0.0,$-2.49,0.0,$0.08B,$0.03B,2.38,$0.06B,$0.08B,0.81,$0.15B,$0.04B,27.03%,$0.15B,$-0.05B,-32.43%,$0.15B,$-0.05B,-32.43%,$0.15B,$-0.02B,-13.51%,$0.15B,$-0.05B,-35.81%,$0.15B,$-0.05B,-35.81%,$-0.05B,$0.08B,-60.40%,$-0.05B,$-0.01B,731.03%,$-0.05B,$0.17B,-29.32%,$-0.05B,$0.14B,-33.92%,$36,$25,$12,$1,$12,$38,$-1,$-1,$-2,$0,$-2,$-2,$-2,$0,$-1,$22,22,$-0.10,$-0.10,$0,$27,$0,$78,$2,$0,$89,$1,$92,$170,$33,$61,$0,$61,$94,$0,$-133,$0,$76,$170,$-4,$3,$1,$4,$-1,$-1,$0,$-2,$-11,$-11,$-1,$0,$-0,$0,$0,$0,$0,$-2,$9,$-0,$9,$4,$4,$0,$0,$12,$-0,$1,$0
1,2018-03-31,3.43,$3.47,0.99,$7.39,0.46,$-1.55,0.0,$-2.42,0.0,$0.08B,$0.04B,2.0,$0.05B,$0.08B,0.67,$0.16B,$0.04B,27.10%,$0.16B,$-0.05B,-30.32%,$0.16B,$-0.05B,-30.32%,$0.16B,$-0.02B,-11.61%,$0.16B,$-0.05B,-33.55%,$0.16B,$-0.05B,-33.55%,$-0.05B,$0.08B,-52.39%,$-0.05B,$-0.01B,2600.00%,$-0.05B,$0.17B,-27.08%,$-0.05B,$0.13B,-31.18%,$34,$22,$11,$1,$12,$35,$-1,$-1,$-2,$0,$-2,$-2,$-2,$0,$-1,$22,22,$-0.10,$-0.10,$1,$27,$0,$75,$2,$0,$89,$1,$92,$168,$38,$52,$0,$52,$90,$0,$-131,$0,$78,$168,$-2,$1,$1,$2,$5,$-1,$0,$-2,$-4,$-4,$-0,$0,$0,$0,$0,$0,$0,$-0,$2,$0,$2,$4,$4,$0,$0,$5,$0,$1,$0
2,2017-12-31,3.29,$3.55,0.93,$7.32,0.45,$-1.55,0.0,$-2.56,0.0,$0.08B,$0.04B,1.79,$0.05B,$0.08B,0.67,$0.15B,$0.04B,26.97%,$0.15B,$-0.05B,-32.89%,$0.15B,$-0.05B,-32.89%,$0.15B,$-0.02B,-13.16%,$0.15B,$-0.06B,-36.18%,$0.15B,$-0.06B,-36.18%,$-0.06B,$0.08B,-50.00%,$-0.06B,$-0.01B,-2200.00%,$-0.06B,$0.17B,-27.09%,$-0.05B,$0.13B,-31.25%,$35,$32,$3,$2,$17,$80,$-44,$-1,$-46,$0,$-46,$-46,$-46,$-21,$-44,$21,21,$-2.20,$-2.20,$1,$26,$0,$78,$2,$0,$90,$1,$93,$170,$43,$51,$0,$51,$94,$0,$-129,$0,$76,$170,$-54,$29,$18,$47,$18,$-7,$0,$-5,$-0,$-7,$-1,$0,$-1,$0,$0,$0,$0,$-2,$9,$0,$9,$0,$0,$0,$0,$9,$0,$3,$0
3,2017-09-30,6.5,$5.69,1.14,$8.32,0.78,$-1.51,0.0,$-0.31,0.0,$0.10B,$0.04B,2.41,$0.05B,$0.12B,0.43,$0.17B,$0.06B,33.33%,$0.17B,$-0.00B,-2.38%,$0.17B,$-0.00B,-2.38%,$0.17B,$0.01B,2.98%,$0.17B,$-0.01B,-4.17%,$0.17B,$-0.01B,-4.17%,$-0.01B,$0.12B,-5.71%,$-0.01B,$0.01B,-82.35%,$-0.01B,$0.22B,-3.26%,$-0.00B,$0.17B,-2.35%,$43,$29,$14,$1,$14,$45,$-2,$-1,$-3,$0,$-3,$-3,$-3,$1,$-2,$21,21,$-0.12,$-0.12,$1,$34,$12,$100,$2,$0,$112,$1,$115,$215,$42,$52,$0,$52,$94,$0,$-83,$0,$121,$215,$-8,$6,$1,$6,$10,$-7,$0,$-5,$-8,$-10,$-1,$0,$-0,$0,$0,$0,$0,$-1,$11,$0,$11,$0,$0,$0,$0,$11,$0,$2,$0
4,2017-06-30,6.59,$5.79,1.14,$8.64,0.76,$-1.21,0.0,$-0.11,0.0,$0.10B,$0.04B,2.42,$0.05B,$0.12B,0.42,$0.18B,$0.06B,33.14%,$0.18B,0,0.00%,$0.18B,0,0.00%,$0.18B,$0.01B,4.57%,$0.18B,$-0.00B,-1.14%,$0.18B,$-0.00B,-1.14%,$-0.00B,$0.12B,-1.62%,$-0.00B,$0.01B,-25.00%,$-0.00B,$0.22B,-0.94%,$0.00B,$0.17B,0.00%,$43,$29,$14,$1,$14,$43,$0,$-1,$-1,$0,$-1,$-1,$-1,$2,$0,$21,21,$-0.03,$-0.03,$0,$31,$10,$98,$2,$0,$113,$1,$116,$215,$41,$52,$0,$52,$93,$0,$-81,$0,$122,$215,$-6,$4,$-0,$4,$7,$-5,$0,$-2,$-6,$-8,$-1,$0,$-0,$0,$0,$0,$0,$-1,$20,$-10,$10,$0,$0,$0,$-1,$9,$-0,$2,$0
5,2017-03-31,7.48,$5.80,1.29,$8.84,0.85,$-0.83,0.0,$-0.14,0.0,$0.10B,$0.05B,2.11,$0.05B,$0.12B,0.37,$0.18B,$0.06B,32.57%,$0.18B,$-0.00B,-0.57%,$0.18B,$-0.00B,-0.57%,$0.18B,$0.01B,4.00%,$0.18B,$-0.00B,-1.14%,$0.18B,$-0.00B,-1.14%,$-0.00B,$0.12B,-1.63%,$-0.00B,$0.01B,-27.59%,$-0.00B,$0.21B,-0.95%,$-0.00B,$0.17B,-0.63%,$31,$20,$10,$0,$14,$35,$-4,$-1,$-5,$0,$-5,$-5,$-5,$-2,$-4,$21,21,$-0.24,$-0.24,$1,$30,$9,$95,$2,$0,$114,$1,$117,$212,$45,$45,$0,$46,$91,$0,$-80,$0,$121,$212,$-5,$2,$0,$2,$9,$-4,$0,$-2,$-2,$-4,$-0,$0,$0,$0,$0,$0,$0,$-0,$15,$-10,$5,$0,$0,$0,$0,$5,$0,$1,$0
6,2016-12-31,5.5,$6.02,0.91,$9.06,0.61,$-0.61,0.0,$-0.06,0.0,$0.10B,$0.05B,2.07,$0.04B,$0.13B,0.32,$0.17B,$0.06B,32.56%,$0.17B,$0.00B,0.58%,$0.17B,$0.00B,0.58%,$0.17B,$0.01B,4.65%,$0.17B,0,0.00%,$0.17B,0,0.00%,$0.00B,$0.13B,0.00%,$0.00B,$0.01B,0.00%,$0.00B,$0.22B,0.00%,$0.00B,$0.17B,0.67%,$51,$34,$18,$0,$15,$49,$2,$-1,$2,$0,$2,$2,$2,$4,$2,$19,19,$0.11,$0.11,$1,$27,$8,$99,$1,$0,$116,$1,$118,$217,$48,$41,$3,$44,$92,$0,$-75,$0,$126,$217,$-1,$6,$1,$7,$-17,$-4,$0,$-5,$-13,$-6,$-1,$0,$-12,$0,$0,$0,$0,$-13,$4,$0,$4,$16,$16,$0,$0,$20,$1,$2,$0
7,2016-09-30,6.31,$5.93,1.06,$9.34,0.68,$-1.40,0.0,$-0.13,0.0,$0.09B,$0.05B,1.83,$0.03B,$0.12B,0.25,$0.17B,$0.05B,32.12%,$0.17B,$0.00B,0.61%,$0.17B,$0.00B,0.61%,$0.17B,$0.01B,4.24%,$0.17B,$-0.00B,-0.61%,$0.17B,$-0.00B,-0.61%,$-0.00B,$0.12B,-0.89%,$-0.00B,$0.01B,-57.14%,$-0.00B,$0.21B,-0.52%,$0.00B,$0.16B,0.71%,$50,$34,$16,$1,$13,$48,$2,$-1,$2,$0,$2,$2,$2,$4,$2,$20,21,$0.08,$0.08,$4,$24,$6,$90,$1,$0,$116,$0,$118,$208,$49,$31,$4,$35,$85,$0,$-77,$0,$124,$208,$-2,$5,$2,$6,$-8,$-2,$0,$-2,$-8,$-4,$-0,$0,$-11,$0,$0,$0,$0,$-12,$3,$0,$3,$16,$16,$0,$0,$19,$4,$1,$0
8,2016-06-30,6.18,$5.82,1.06,$9.41,0.66,$-2.38,0.0,$-0.21,0.0,$0.09B,$0.05B,1.74,$0.03B,$0.12B,0.23,$0.15B,$0.05B,32.03%,$0.15B,$-0.00B,-0.65%,$0.15B,$-0.00B,-0.65%,$0.15B,$0.00B,2.61%,$0.15B,$-0.00B,-1.96%,$0.15B,$-0.00B,-1.96%,$-0.00B,$0.12B,-2.83%,$-0.00B,$0.01B,240.00%,$-0.00B,$0.20B,-1.65%,$-0.00B,$0.15B,-0.75%,$43,$30,$13,$1,$13,$44,$-1,$-1,$-1,$0,$-1,$-1,$-1,$1,$-1,$19,19,$-0.06,$-0.06,$5,$25,$5,$85,$1,$0,$116,$1,$118,$202,$49,$28,$4,$33,$81,$0,$-78,$0,$121,$202,$-4,$3,$2,$5,$0,$-3,$0,$-1,$-2,$-1,$-0,$0,$-10,$0,$0,$0,$0,$-11,$1,$-0,$0,$16,$16,$0,$-0,$16,$5,$1,$0
9,2016-03-31,5.26,$6.23,0.84,$9.01,0.58,$-3.31,0.0,$-0.25,0.0,$0.07B,$0.05B,1.54,$0.03B,$0.10B,0.28,$0.14B,$0.05B,32.85%,$0.14B,$-0.00B,-0.73%,$0.14B,$-0.00B,-0.73%,$0.14B,$0.00B,2.19%,$0.14B,$-0.00B,-2.19%,$0.14B,$-0.00B,-2.19%,$-0.00B,$0.10B,-3.13%,$-0.00B,$-0.00B,240.00%,$-0.00B,$0.18B,-1.84%,$-0.00B,$0.13B,-0.82%,$28,$19,$9,$1,$10,$30,$-2,$-1,$-3,$0,$-3,$-3,$-3,$-1,$-2,$16,16,$-0.16,$-0.16,$1,$26,$4,$71,$1,$0,$103,$1,$105,$175,$46,$28,$2,$30,$75,$0,$-77,$0,$100,$175,$-3,$1,$1,$2,$6,$-4,$0,$-0,$1,$0,$-0,$0,$0,$0,$0,$0,$0,$-0,$1,$0,$1,$-0,$-0,$0,$0,$1,$1,$0,$0
