,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,16.24,$16.42,0.99,$3.10,5.24,$-36.72,0.0,$1.65,9.84,$7.22B,$1.56B,4.63,$6.18B,$1.36B,4.54,$0.33B,$0.14B,42.42%,$0.33B,$0.08B,24.85%,$0.33B,$0.08B,24.85%,$0.33B,$0.07B,20.91%,$0.33B,$0.16B,48.18%,$0.33B,$0.15B,44.55%,$0.15B,$1.36B,11.71%,$0.15B,$1.36B,11.87%,$0.15B,$9.14B,1.92%,$0.08B,$7.54B,1.38%,$99,$64,$35,$0,$0,$79,$21,$25,$46,$5,$41,$41,$40,$18,$21,$81,115,$0.49,$0.42,$201,$0,$0,$7216,$0,$0,$0,$1923,$1923,$9140,$1558,$6178,$43,$6221,$7778,$1,$0,$-425,$1361,$9140,$121,$-10,$-1527,$-1537,$-33,$0,$0,$52,$53,$-1363,$0,$6,$0,$0,$396,$396,$-48,$355,$1552,$-515,$1038,$101,$101,$-71,$-6,$1062,$54,$11,$-71
1,2018-06-30,16.47,$16.23,1.02,$2.85,5.79,$-30.96,0.0,$1.64,10.04,$5.72B,$1.53B,3.74,$4.70B,$1.23B,3.82,$0.29B,$0.14B,47.62%,$0.29B,$0.08B,26.53%,$0.29B,$0.08B,26.53%,$0.29B,$0.06B,21.77%,$0.29B,$0.15B,52.38%,$0.29B,$0.14B,48.30%,$0.14B,$1.23B,11.66%,$0.14B,$1.23B,11.98%,$0.14B,$7.51B,2.05%,$0.08B,$5.93B,1.49%,$83,$48,$35,$0,$0,$63,$20,$15,$35,$3,$33,$33,$32,$17,$20,$75,100,$0.42,$0.38,$200,$0,$0,$5720,$0,$0,$0,$1792,$1792,$7513,$1528,$4700,$56,$4756,$6284,$1,$0,$-438,$1229,$7513,$80,$-7,$-775,$-783,$32,$0,$0,$0,$29,$-674,$0,$6,$0,$0,$67,$67,$291,$364,$943,$-513,$430,$-16,$-16,$-45,$-6,$364,$53,$8,$-45
2,2018-03-31,15.19,$16.12,0.94,$2.63,5.78,$-26.99,0.0,$1.69,8.99,$5.42B,$1.61B,3.37,$4.12B,$1.22B,3.38,$0.27B,$0.14B,51.85%,$0.27B,$0.08B,28.15%,$0.27B,$0.08B,28.15%,$0.27B,$0.06B,22.22%,$0.27B,$0.16B,59.63%,$0.27B,$0.15B,53.70%,$0.15B,$1.22B,12.03%,$0.15B,$1.15B,12.54%,$0.15B,$7.00B,2.25%,$0.08B,$5.34B,1.58%,$77,$42,$35,$0,$0,$55,$21,$30,$52,$5,$47,$47,$45,$18,$21,$75,108,$0.60,$0.50,$245,$0,$0,$5418,$0,$0,$66,$1516,$1582,$7000,$1606,$4118,$56,$4174,$5780,$1,$0,$-442,$1220,$7000,$47,$-4,$-250,$-254,$36,$0,$0,$16,$64,$-143,$0,$4,$0,$0,$130,$130,$160,$293,$357,$-434,$-78,$-16,$-16,$-22,$-0,$-116,$34,$4,$-22
3,2017-12-31,14.3,$15.83,0.9,$2.48,5.77,$-23.07,0.0,$1.62,8.83,$5.29B,$2.03B,2.61,$3.74B,$1.21B,3.09,$0.25B,$0.14B,56.05%,$0.25B,$0.08B,30.65%,$0.25B,$0.08B,30.65%,$0.25B,$0.06B,23.39%,$0.25B,$0.15B,61.29%,$0.25B,$0.14B,54.84%,$0.14B,$1.21B,11.41%,$0.14B,$1.21B,12.01%,$0.14B,$7.04B,2.26%,$0.08B,$4.95B,1.65%,$71,$36,$35,$0,$0,$52,$20,$6,$26,$-5,$31,$31,$30,$16,$20,$77,102,$0.39,$0.33,$147,$0,$0,$5289,$0,$0,$0,$1751,$1751,$7040,$2025,$3740,$63,$3803,$5828,$1,$0,$-462,$1212,$7040,$140,$-17,$-1814,$-1831,$-18,$0,$0,$0,$-22,$-1713,$0,$51,$0,$78,$-372,$-295,$530,$287,$607,$859,$1466,$-8,$-8,$-88,$-12,$1358,$-68,$10,$-88
4,2017-09-30,15.42,$15.67,0.98,$2.35,6.56,$-11.85,0.0,$1.58,9.76,$4.49B,$1.34B,3.36,$3.52B,$1.21B,2.91,$0.23B,$0.14B,60.09%,$0.23B,$0.08B,32.62%,$0.23B,$0.08B,32.62%,$0.23B,$0.06B,24.03%,$0.23B,$0.15B,66.09%,$0.23B,$0.13B,56.22%,$0.13B,$1.21B,11.14%,$0.13B,$1.15B,12.05%,$0.13B,$6.13B,2.33%,$0.08B,$4.73B,1.69%,$63,$27,$35,$0,$0,$46,$17,$24,$41,$5,$36,$36,$35,$13,$17,$77,103,$0.46,$0.41,$284,$0,$0,$4490,$0,$0,$63,$1578,$1641,$6131,$1338,$3519,$65,$3584,$4922,$1,$0,$-474,$1209,$6131,$109,$-13,$-742,$-756,$-20,$0,$0,$39,$17,$-629,$0,$51,$0,$0,$172,$172,$0,$223,$386,$159,$544,$0,$0,$-66,$-10,$468,$62,$8,$-66
5,2017-06-30,15.85,$15.29,1.04,$2.36,6.71,$-13.45,0.0,$1.75,9.06,$4.15B,$1.38B,3.01,$3.03B,$1.18B,2.57,$0.23B,$0.14B,62.34%,$0.23B,$0.09B,36.80%,$0.23B,$0.09B,36.80%,$0.23B,$0.06B,27.27%,$0.23B,$0.17B,72.29%,$0.23B,$0.15B,63.64%,$0.15B,$1.18B,12.72%,$0.15B,$1.12B,13.91%,$0.15B,$5.66B,2.65%,$0.09B,$4.21B,1.91%,$59,$24,$35,$0,$0,$42,$18,$24,$42,$5,$36,$36,$35,$13,$18,$77,97,$0.46,$0.43,$219,$0,$0,$4145,$0,$0,$64,$1447,$1511,$5655,$1378,$3029,$69,$3098,$4476,$1,$0,$-501,$1179,$5655,$73,$-9,$-288,$-297,$-26,$0,$0,$0,$-43,$-267,$0,$43,$0,$0,$-102,$-102,$258,$199,$-103,$216,$112,$0,$0,$-44,$-3,$66,$-2,$5,$-44
6,2017-03-31,15.2,$15.13,1.0,$2.44,6.23,$-14.40,0.0,$1.80,8.45,$3.71B,$0.63B,5.88,$3.35B,$1.17B,2.87,$0.24B,$0.15B,64.02%,$0.24B,$0.10B,42.26%,$0.24B,$0.10B,42.26%,$0.24B,$0.08B,32.64%,$0.24B,$0.17B,69.87%,$0.24B,$0.15B,63.60%,$0.15B,$1.17B,13.40%,$0.15B,$1.06B,14.85%,$0.15B,$5.21B,2.71%,$0.10B,$4.52B,2.21%,$55,$21,$34,$0,$0,$34,$21,$22,$43,$6,$37,$37,$36,$16,$21,$77,98,$0.47,$0.43,$224,$0,$0,$3714,$0,$0,$111,$1390,$1501,$5214,$632,$3350,$67,$3417,$4049,$1,$0,$-512,$1166,$5214,$37,$-5,$236,$231,$-10,$0,$0,$13,$-15,$254,$0,$9,$0,$0,$-101,$-101,$147,$56,$-56,$-228,$-283,$0,$0,$-22,$-2,$-307,$2,$2,$-22
7,2016-12-31,13.68,$14.96,0.91,$2.69,5.09,$-15.62,0.0,$1.52,9.0,$4.13B,$0.87B,4.73,$3.39B,$1.15B,2.95,$0.25B,$0.16B,63.82%,$0.25B,$0.10B,39.43%,$0.25B,$0.10B,39.43%,$0.25B,$0.07B,29.27%,$0.25B,$0.14B,55.28%,$0.25B,$0.13B,51.63%,$0.13B,$1.15B,11.40%,$0.13B,$1.03B,12.71%,$0.13B,$5.48B,2.21%,$0.10B,$4.54B,2.10%,$56,$21,$36,$0,$0,$36,$20,$8,$28,$2,$25,$25,$25,$14,$20,$77,98,$0.32,$0.33,$221,$0,$0,$4128,$0,$0,$119,$1237,$1356,$5483,$874,$3394,$66,$3460,$4334,$1,$0,$-528,$1149,$5483,$131,$-25,$-698,$-723,$43,$0,$0,$0,$46,$-546,$0,$43,$0,$80,$415,$495,$796,$1334,$392,$-1063,$-672,$-28,$-28,$-88,$-7,$-795,$-7,$13,$-88
8,2016-09-30,12.51,$14.74,0.85,$2.93,4.27,$-24.84,0.0,$1.67,7.49,$4.59B,$1.20B,3.81,$3.44B,$1.13B,3.04,$0.26B,$0.17B,63.71%,$0.26B,$0.12B,45.95%,$0.26B,$0.12B,45.95%,$0.26B,$0.09B,35.91%,$0.26B,$0.15B,57.53%,$0.26B,$0.14B,54.83%,$0.14B,$1.13B,12.75%,$0.14B,$1.02B,14.49%,$0.14B,$5.87B,2.39%,$0.12B,$4.57B,2.62%,$61,$22,$39,$0,$0,$35,$26,$28,$54,$1,$53,$53,$51,$20,$26,$77,98,$0.67,$0.58,$223,$0,$0,$4585,$0,$0,$106,$1182,$1288,$5873,$1203,$3440,$100,$3540,$4742,$1,$0,$-548,$1130,$5873,$106,$-19,$-858,$-878,$8,$0,$0,$0,$16,$-756,$0,$20,$0,$61,$490,$551,$578,$1149,$444,$-738,$-293,$-28,$-28,$-66,$-5,$-392,$1,$11,$-66
9,2016-06-30,11.95,$14.20,0.84,$3.05,3.92,$-29.45,0.0,$1.31,9.12,$4.61B,$1.14B,4.04,$3.54B,$1.09B,3.24,$0.26B,$0.17B,63.60%,$0.26B,$0.11B,43.68%,$0.26B,$0.11B,43.68%,$0.26B,$0.09B,32.95%,$0.26B,$0.11B,41.00%,$0.26B,$0.11B,42.15%,$0.11B,$1.09B,9.71%,$0.11B,$0.98B,11.17%,$0.11B,$5.90B,1.82%,$0.11B,$4.64B,2.56%,$67,$22,$44,$0,$0,$33,$34,$8,$42,$0,$41,$41,$40,$28,$34,$77,98,$0.52,$0.48,$225,$0,$0,$4611,$0,$0,$110,$1177,$1287,$5898,$1142,$3544,$119,$3663,$4805,$1,$0,$-587,$1093,$5898,$53,$-13,$-385,$-399,$-21,$0,$0,$0,$-15,$-361,$0,$15,$0,$0,$366,$366,$351,$732,$495,$-796,$-301,$-24,$-24,$-44,$-4,$-374,$-3,$8,$-44
