,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,96.04,$27.93,3.44,$38.30,2.51,$4.49,21.39,$6.63,14.49,$4.21B,$3.36B,1.25,$3.95B,$6.35B,0.62,$9.00B,$5.30B,58.86%,$9.00B,$1.78B,19.76%,$9.00B,$1.78B,19.76%,$9.00B,$2.48B,27.53%,$9.00B,$1.70B,18.88%,$9.00B,$1.56B,17.27%,$1.56B,$6.35B,27.06%,$1.56B,$6.17B,27.46%,$1.56B,$14.47B,10.74%,$1.78B,$10.30B,17.99%,$3208,$1085,$2123,$0,$427,$2122,$1086,$-18,$1067,$89,$978,$978,$978,$1270,$1086,$229,231,$4.27,$4.24,$1987,$8,$2149,$4207,$10014,$0,$170,$80,$10264,$14470,$3364,$3953,$278,$4762,$8126,$8,$5141,$0,$6345,$14470,$1338,$371,$148,$519,$4,$-3,$113,$-230,$-1098,$759,$-940,$0,$0,$0,$-30,$-30,$729,$-241,$-152,$0,$-152,$0,$0,$0,$-624,$-776,$-258,$6,$0
1,2018-06-30,114.23,$24.93,4.58,$36.65,3.12,$6.55,17.43,$6.73,16.97,$5.04B,$4.50B,1.12,$4.13B,$5.76B,0.72,$8.75B,$5.20B,59.37%,$8.75B,$1.89B,21.57%,$8.75B,$1.89B,21.57%,$8.75B,$2.58B,29.47%,$8.75B,$1.81B,20.70%,$8.75B,$1.63B,18.62%,$1.63B,$5.76B,29.34%,$1.63B,$5.70B,29.64%,$1.63B,$15.26B,11.39%,$1.89B,$9.89B,19.25%,$2479,$1086,$1393,$0,$447,$2037,$442,$-30,$412,$43,$369,$369,$369,$629,$442,$232,235,$1.59,$1.57,$2060,$5,$2933,$5042,$10051,$7,$56,$102,$10216,$15258,$4496,$4129,$300,$5004,$9500,$8,$4588,$0,$5758,$15258,$369,$187,$57,$245,$25,$-0,$113,$13,$303,$917,$-551,$0,$0,$0,$-18,$-18,$-138,$-706,$-86,$0,$-86,$0,$0,$0,$-316,$-402,$-192,$3,$0
2,2018-03-31,122.85,$22.34,5.5,$34.65,3.55,$6.49,18.94,$6.94,17.7,$4.90B,$4.00B,1.23,$4.13B,$5.23B,0.79,$8.37B,$5.05B,60.27%,$8.37B,$1.95B,23.30%,$8.37B,$1.95B,23.30%,$8.37B,$2.61B,31.16%,$8.37B,$1.89B,22.54%,$8.37B,$1.70B,20.27%,$1.70B,$5.23B,32.10%,$1.70B,$5.18B,32.43%,$1.70B,$14.47B,12.31%,$1.95B,$9.36B,20.41%,$1660,$759,$901,$0,$365,$1557,$103,$-15,$88,$3,$84,$84,$84,$265,$103,$239,241,$0.39,$0.39,$2063,$4,$2770,$4904,$9511,$0,$55,$3,$9569,$14473,$3996,$4131,$651,$5245,$9241,$8,$4774,$0,$5232,$14473,$1698,$657,$196,$853,$-4,$-1,$-52,$-23,$64,$2615,$-1722,$0,$0,$0,$0,$0,$880,$-842,$-461,$0,$-461,$0,$0,$0,$-971,$-1432,$341,$7,$0
3,2017-12-31,104.19,$23.90,4.36,$34.71,3.0,$4.86,21.43,$6.90,15.1,$4.42B,$2.74B,1.61,$4.34B,$5.65B,0.77,$8.46B,$5.12B,60.55%,$8.46B,$2.12B,25.09%,$8.46B,$2.12B,25.09%,$8.46B,$2.76B,32.63%,$8.46B,$2.06B,24.32%,$8.46B,$1.85B,21.85%,$1.85B,$5.65B,35.61%,$1.85B,$5.60B,35.98%,$1.85B,$13.70B,13.74%,$2.12B,$10.00B,22.33%,$1655,$773,$882,$0,$309,$1507,$148,$-15,$133,$9,$124,$124,$124,$314,$148,$237,239,$0.53,$0.52,$2192,$4,$2140,$4420,$9212,$0,$55,$13,$9280,$13701,$2738,$4343,$470,$5308,$8046,$8,$4966,$0,$5654,$13701,$1647,$495,$194,$689,$-20,$-0,$-20,$-15,$-1126,$1211,$-1209,$0,$0,$0,$0,$0,$1566,$357,$-341,$0,$-341,$0,$0,$0,$-753,$-1094,$474,$5,$0
4,2017-09-30,105.42,$23.52,4.48,$33.55,3.14,$4.47,23.56,$6.79,15.53,$4.74B,$2.93B,1.62,$4.40B,$5.56B,0.79,$8.26B,$4.98B,60.35%,$8.26B,$2.10B,25.47%,$8.26B,$2.10B,25.47%,$8.26B,$2.75B,33.34%,$8.26B,$2.04B,24.69%,$8.26B,$1.83B,22.13%,$1.83B,$5.56B,35.90%,$1.83B,$5.51B,36.28%,$1.83B,$13.75B,14.08%,$2.10B,$9.97B,22.80%,$2956,$937,$2019,$0,$359,$1762,$1194,$-17,$1178,$125,$1052,$1052,$1052,$1371,$1194,$239,241,$4.40,$4.36,$2000,$4,$2666,$4742,$8943,$0,$55,$15,$9012,$13754,$2925,$4401,$364,$5265,$8190,$8,$4831,$0,$5564,$13754,$1519,$329,$184,$513,$-8,$-0,$47,$-18,$-930,$1102,$-793,$0,$0,$0,$0,$0,$1030,$237,$-219,$0,$-219,$0,$0,$0,$-751,$-970,$368,$4,$0
5,2017-06-30,107.61,$19.45,5.53,$29.99,3.59,$4.04,26.62,$6.48,16.61,$4.94B,$3.58B,1.38,$4.22B,$4.70B,0.9,$7.49B,$4.44B,59.31%,$7.49B,$1.84B,24.59%,$7.49B,$1.84B,24.59%,$7.49B,$2.43B,32.44%,$7.49B,$1.78B,23.72%,$7.49B,$1.59B,21.25%,$1.59B,$4.70B,33.56%,$1.59B,$4.64B,33.91%,$1.59B,$13.22B,13.25%,$1.84B,$8.91B,21.55%,$2102,$858,$1244,$0,$311,$1595,$506,$-18,$488,$51,$437,$437,$437,$659,$506,$243,245,$1.80,$1.78,$1197,$4,$3672,$4940,$8216,$0,$51,$13,$8281,$13221,$3583,$4215,$258,$4942,$8525,$8,$4016,$0,$4695,$13221,$437,$153,$53,$206,$-8,$-0,$33,$19,$156,$799,$-432,$0,$0,$0,$0,$0,$-260,$-692,$-91,$0,$-91,$0,$0,$0,$-225,$-316,$-209,$2,$0
6,2017-03-31,82.98,$19.93,4.16,$28.84,2.88,$3.67,22.63,$5.80,14.31,$5.16B,$3.31B,1.56,$4.31B,$4.85B,0.89,$7.30B,$4.25B,58.22%,$7.30B,$1.68B,23.07%,$7.30B,$1.68B,23.07%,$7.30B,$2.23B,30.56%,$7.30B,$1.61B,22.11%,$7.30B,$1.44B,19.79%,$1.44B,$4.85B,32.85%,$1.44B,$4.80B,33.20%,$1.44B,$13.16B,12.89%,$1.68B,$9.17B,21.21%,$1749,$770,$979,$0,$291,$1474,$275,$-16,$259,$23,$236,$236,$236,$417,$275,$250,252,$0.98,$0.96,$1670,$3,$3431,$5164,$7916,$0,$51,$25,$7993,$13158,$3305,$4311,$168,$4999,$8304,$8,$3793,$0,$4854,$13158,$1444,$546,$176,$722,$13,$0,$70,$-115,$-51,$2115,$-1591,$0,$0,$0,$0,$0,$174,$-1417,$380,$0,$380,$0,$0,$0,$-1117,$-737,$-39,$6,$0
7,2016-12-31,83.26,$21.24,3.92,$29.66,2.81,$5.79,14.38,$5.79,14.38,$4.24B,$2.20B,1.93,$3.61B,$5.24B,0.69,$7.64B,$5.17B,67.69%,$7.64B,$2.30B,30.10%,$7.64B,$2.30B,30.10%,$7.64B,$2.83B,36.97%,$7.64B,$1.40B,18.37%,$7.64B,$2.27B,29.76%,$2.27B,$5.24B,54.46%,$2.27B,$5.19B,55.07%,$2.27B,$11.76B,20.66%,$2.30B,$8.85B,30.18%,$1450,$709,$741,$0,$249,$1322,$128,$-14,$114,$12,$102,$102,$102,$306,$128,$249,251,$0.41,$0.41,$1295,$3,$2889,$4243,$7408,$0,$50,$58,$7516,$11759,$2198,$3608,$169,$4320,$6518,$8,$3927,$0,$5241,$11759,$1361,$404,$170,$574,$16,$0,$-36,$-15,$-969,$965,$-1061,$0,$0,$0,$0,$0,$565,$-497,$-325,$0,$-325,$0,$0,$0,$-840,$-1165,$-696,$5,$0
8,2016-09-30,75.03,$16.68,4.5,$29.32,2.56,$8.89,8.44,$5.80,12.94,$3.91B,$2.11B,1.85,$3.08B,$4.18B,0.74,$7.65B,$5.14B,67.15%,$7.65B,$2.31B,30.21%,$7.65B,$2.31B,30.21%,$7.65B,$2.77B,36.20%,$7.65B,$1.41B,18.46%,$7.65B,$2.28B,29.87%,$2.28B,$4.18B,57.49%,$2.28B,$4.14B,58.17%,$2.28B,$9.93B,20.45%,$2.31B,$7.27B,30.70%,$2190,$711,$1479,$0,$222,$1257,$933,$-17,$916,$99,$817,$817,$817,$1048,$933,$251,252,$3.26,$3.24,$1087,$3,$2766,$3907,$5926,$0,$42,$57,$6025,$9932,$2108,$3084,$162,$3640,$5748,$7,$3458,$0,$4183,$9932,$1046,$226,$129,$355,$8,$0,$78,$-23,$-647,$754,$-541,$0,$0,$0,$0,$0,$121,$-420,$-179,$0,$-179,$0,$0,$0,$-419,$-598,$-264,$3,$0
9,2016-06-30,69.54,$13.18,5.28,$27.32,2.55,$11.61,5.99,$2.76,25.2,$4.06B,$2.94B,1.38,$3.15B,$3.31B,0.95,$7.30B,$4.33B,59.40%,$7.30B,$1.64B,22.49%,$7.30B,$1.64B,22.49%,$7.30B,$2.11B,28.87%,$7.30B,$1.92B,26.31%,$7.30B,$1.74B,23.85%,$1.74B,$3.31B,41.56%,$1.74B,$3.27B,42.05%,$1.74B,$9.95B,14.52%,$1.64B,$6.45B,20.43%,$1906,$858,$1048,$0,$286,$1560,$347,$-23,$324,$35,$289,$289,$289,$458,$347,$255,257,$1.13,$1.13,$1186,$3,$2824,$4057,$5770,$0,$41,$79,$5890,$9947,$2942,$3147,$163,$3698,$6640,$7,$2611,$0,$3306,$9947,$226,$111,$29,$140,$15,$0,$44,$-2,$259,$626,$-338,$0,$0,$0,$0,$0,$4,$-333,$-78,$0,$-78,$0,$0,$0,$-414,$-492,$-200,$1,$0
