,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,89.6,$46.57,1.92,$55.74,1.61,$11.93,7.51,$4.95,18.1,$0.42B,$1.14B,0.37,$0.00B,$0.71B,0.0,$0.85B,$0.10B,11.20%,$0.85B,$0.10B,11.20%,$0.85B,$0.10B,11.20%,$0.85B,$0.11B,12.50%,$0.85B,$0.10B,11.20%,$0.85B,$0.08B,8.96%,$0.08B,$0.71B,10.88%,$0.08B,$0.71B,10.88%,$0.08B,$1.88B,4.16%,$0.10B,$0.71B,13.60%,$216,$179,$37,$0,$0,$179,$37,$-0,$37,$8,$29,$29,$29,$39,$37,$15,15,$1.90,$1.88,$51,$0,$0,$421,$0,$1325,$0,$52,$1457,$1879,$1142,$0,$24,$24,$1167,$0,$611,$-9,$712,$1879,$65,$8,$1,$9,$-36,$0,$55,$-4,$16,$90,$-7,$0,$0,$0,$-34,$-34,$-3,$-44,$0,$0,$0,$0,$0,$-37,$0,$-37,$10,$4,$-37
1,2018-06-30,85.4,$45.56,1.87,$55.60,1.54,$9.45,9.03,$4.25,20.09,$0.39B,$1.12B,0.35,$0.00B,$0.70B,0.0,$0.85B,$0.08B,9.94%,$0.85B,$0.08B,9.94%,$0.85B,$0.08B,9.94%,$0.85B,$0.10B,11.36%,$0.85B,$0.08B,9.94%,$0.85B,$0.07B,7.69%,$0.07B,$0.70B,9.33%,$0.07B,$0.70B,9.33%,$0.07B,$1.83B,3.57%,$0.08B,$0.70B,12.06%,$208,$175,$33,$0,$0,$175,$33,$-0,$33,$6,$27,$27,$27,$36,$33,$15,15,$1.77,$1.75,$19,$0,$0,$391,$0,$1312,$0,$50,$1439,$1830,$1115,$0,$19,$19,$1134,$0,$594,$-7,$696,$1830,$36,$5,$3,$9,$-32,$0,$26,$-13,$-20,$24,$-1,$0,$0,$0,$-21,$-21,$-1,$-23,$0,$0,$0,$0,$0,$-25,$0,$-25,$-23,$3,$-25
2,2018-03-31,76.14,$44.85,1.7,$55.71,1.37,$8.88,8.58,$3.89,19.57,$0.37B,$1.09B,0.34,$0.00B,$0.69B,0.0,$0.85B,$0.08B,9.59%,$0.85B,$0.08B,9.59%,$0.85B,$0.08B,9.59%,$0.85B,$0.09B,11.01%,$0.85B,$0.08B,9.59%,$0.85B,$0.06B,6.98%,$0.06B,$0.69B,8.48%,$0.06B,$0.69B,8.48%,$0.06B,$1.80B,3.24%,$0.08B,$0.69B,11.64%,$210,$199,$11,$0,$0,$199,$11,$-0,$11,$2,$9,$9,$9,$14,$11,$15,15,$0.60,$0.60,$25,$0,$0,$369,$0,$1307,$0,$50,$1428,$1797,$1088,$0,$24,$24,$1112,$0,$580,$-2,$686,$1797,$9,$2,$1,$4,$-9,$0,$-1,$-3,$-15,$-2,$0,$0,$0,$0,$-3,$-3,$-0,$-3,$0,$0,$0,$0,$0,$-12,$0,$-12,$-17,$2,$-12
3,2017-12-31,78.78,$46.06,1.71,$55.47,1.42,$9.01,8.75,$4.08,19.31,$0.38B,$1.08B,0.35,$0.00B,$0.70B,0.0,$0.84B,$0.09B,10.36%,$0.84B,$0.09B,10.36%,$0.84B,$0.09B,10.36%,$0.84B,$0.10B,11.79%,$0.84B,$0.09B,10.36%,$0.84B,$0.06B,7.38%,$0.06B,$0.70B,8.93%,$0.06B,$0.70B,8.93%,$0.06B,$1.81B,3.43%,$0.09B,$0.70B,12.54%,$214,$199,$14,$0,$0,$199,$14,$-0,$14,$3,$11,$11,$11,$17,$14,$15,15,$0.74,$0.74,$42,$0,$0,$375,$0,$1316,$0,$44,$1433,$1807,$1081,$0,$22,$25,$1106,$0,$571,$24,$701,$1807,$62,$12,$-1,$11,$2,$0,$14,$-6,$8,$82,$-6,$0,$0,$0,$-1,$-1,$-7,$-15,$0,$0,$0,$0,$0,$-45,$0,$-45,$22,$5,$-45
4,2017-09-30,74.04,$46.18,1.6,$55.13,1.34,$10.23,7.24,$4.15,17.84,$0.41B,$1.12B,0.37,$0.00B,$0.70B,0.0,$0.83B,$0.09B,10.92%,$0.83B,$0.09B,10.92%,$0.83B,$0.09B,10.92%,$0.83B,$0.11B,12.73%,$0.83B,$0.09B,10.92%,$0.83B,$0.06B,7.56%,$0.06B,$0.70B,9.18%,$0.06B,$0.70B,9.18%,$0.06B,$1.86B,3.51%,$0.09B,$0.70B,13.26%,$213,$187,$26,$0,$0,$187,$26,$-0,$26,$8,$18,$18,$18,$29,$26,$15,15,$1.19,$1.18,$32,$0,$0,$410,$0,$1321,$0,$46,$1444,$1855,$1124,$0,$21,$28,$1152,$0,$572,$26,$703,$1855,$51,$9,$2,$11,$-41,$0,$47,$-13,$-12,$50,$-4,$0,$0,$0,$5,$5,$-6,$-5,$0,$0,$0,$0,$0,$-33,$0,$-33,$12,$4,$-33
5,2017-06-30,65.53,$45.59,1.44,$55.04,1.19,$12.03,5.45,$4.20,15.6,$0.40B,$1.09B,0.37,$0.00B,$0.69B,0.0,$0.83B,$0.09B,11.08%,$0.83B,$0.09B,11.08%,$0.83B,$0.09B,11.08%,$0.83B,$0.10B,12.29%,$0.83B,$0.09B,11.08%,$0.83B,$0.06B,7.59%,$0.06B,$0.69B,9.23%,$0.06B,$0.69B,9.23%,$0.06B,$1.82B,3.53%,$0.09B,$0.69B,13.48%,$208,$178,$30,$0,$0,$178,$30,$-0,$30,$9,$21,$21,$21,$33,$30,$15,15,$1.40,$1.39,$34,$0,$0,$403,$0,$1296,$0,$42,$1413,$1815,$1091,$0,$26,$30,$1121,$0,$566,$24,$694,$1815,$33,$6,$3,$8,$-32,$0,$16,$-3,$-24,$17,$-3,$0,$0,$0,$27,$27,$-6,$18,$0,$0,$0,$0,$0,$-21,$0,$-21,$14,$3,$-21
6,2017-03-31,66.56,$44.54,1.49,$54.76,1.22,$12.91,5.15,$4.22,15.77,$0.37B,$1.05B,0.35,$0.00B,$0.68B,0.0,$0.83B,$0.09B,11.15%,$0.83B,$0.09B,11.15%,$0.83B,$0.09B,11.15%,$0.83B,$0.10B,12.48%,$0.83B,$0.09B,11.15%,$0.83B,$0.06B,7.64%,$0.06B,$0.68B,9.28%,$0.06B,$0.68B,9.28%,$0.06B,$1.76B,3.56%,$0.09B,$0.68B,13.55%,$205,$188,$17,$0,$0,$188,$17,$-0,$17,$5,$12,$12,$12,$20,$17,$15,15,$0.80,$0.79,$32,$0,$0,$368,$0,$1281,$0,$41,$1393,$1761,$1054,$0,$28,$29,$1083,$0,$555,$20,$678,$1761,$12,$3,$0,$3,$-2,$0,$-16,$3,$-14,$1,$-1,$0,$0,$0,$26,$26,$-3,$22,$0,$0,$0,$0,$0,$-11,$0,$-11,$12,$2,$-11
7,2016-12-31,69.3,$44.27,1.57,$54.57,1.27,$12.92,5.36,$4.27,16.23,$0.36B,$1.06B,0.34,$0.00B,$0.67B,0.0,$0.82B,$0.09B,11.34%,$0.82B,$0.09B,11.34%,$0.82B,$0.09B,11.34%,$0.82B,$0.10B,12.68%,$0.82B,$0.09B,11.34%,$0.82B,$0.06B,7.80%,$0.06B,$0.67B,9.50%,$0.06B,$0.67B,9.50%,$0.06B,$1.76B,3.65%,$0.09B,$0.67B,13.80%,$207,$188,$18,$0,$0,$188,$18,$-0,$18,$6,$12,$12,$12,$24,$18,$15,15,$0.79,$0.79,$20,$0,$0,$357,$0,$1289,$0,$38,$1402,$1758,$1064,$0,$22,$23,$1088,$0,$554,$16,$671,$1758,$65,$10,$-2,$8,$-13,$0,$33,$-9,$26,$99,$-5,$0,$0,$0,$-74,$-74,$-5,$-84,$0,$0,$0,$0,$0,$-42,$-0,$-42,$-27,$4,$-42
8,2016-09-30,62.59,$45.36,1.38,$54.33,1.15,$7.94,7.88,$4.17,15.01,$0.39B,$1.08B,0.36,$0.00B,$0.69B,0.0,$0.81B,$0.09B,11.30%,$0.81B,$0.09B,11.30%,$0.81B,$0.09B,11.30%,$0.81B,$0.10B,11.92%,$0.81B,$0.09B,11.30%,$0.81B,$0.06B,7.62%,$0.06B,$0.69B,9.29%,$0.06B,$0.69B,9.29%,$0.06B,$1.80B,3.56%,$0.09B,$0.69B,13.79%,$210,$183,$27,$0,$0,$183,$27,$-0,$27,$8,$19,$19,$18,$25,$27,$15,15,$1.24,$1.23,$52,$0,$0,$394,$0,$1284,$0,$42,$1401,$1796,$1083,$0,$19,$25,$1108,$0,$553,$35,$687,$1796,$53,$5,$-1,$4,$-27,$0,$52,$-21,$19,$76,$-3,$0,$0,$0,$-33,$-33,$-4,$-40,$0,$0,$0,$0,$0,$-32,$-0,$-31,$5,$3,$-32
9,2016-06-30,56.74,$44.86,1.26,$53.90,1.05,$2.20,25.82,$3.74,15.17,$0.39B,$1.05B,0.37,$0.00B,$0.68B,0.0,$0.81B,$0.08B,10.43%,$0.81B,$0.08B,10.43%,$0.81B,$0.08B,10.43%,$0.81B,$0.09B,11.68%,$0.81B,$0.08B,10.43%,$0.81B,$0.06B,6.96%,$0.06B,$0.68B,8.53%,$0.06B,$0.68B,8.53%,$0.06B,$1.76B,3.25%,$0.08B,$0.68B,12.80%,$203,$173,$30,$0,$0,$173,$30,$-0,$30,$9,$21,$21,$21,$34,$30,$15,15,$1.42,$1.41,$44,$0,$0,$390,$0,$1257,$0,$45,$1374,$1764,$1054,$0,$23,$30,$1084,$0,$545,$37,$680,$1764,$34,$6,$-1,$5,$-12,$0,$21,$-16,$-9,$30,$-2,$0,$0,$0,$-8,$-8,$-2,$-12,$0,$0,$0,$0,$0,$-21,$-0,$-21,$-3,$0,$-21
