,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,42.0,$35.92,1.17,$16.93,2.48,$8.85,4.75,$2.61,16.09,$0.95B,$0.92B,1.03,$0.08B,$0.10B,0.77,$0.05B,$0.04B,87.23%,$0.05B,$0.01B,19.15%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$0.01B,19.15%,$0.05B,$0.01B,14.89%,$0.01B,$0.10B,7.07%,$0.01B,$0.09B,8.38%,$0.01B,$1.10B,0.67%,$0.01B,$0.18B,5.15%,$13,$2,$11,$0,$8,$10,$3,$0,$3,$1,$2,$2,$2,$0,$0,$3,3,$0.84,$0.83,$42,$0,$0,$945,$18,$102,$15,$17,$154,$1099,$917,$77,$3,$81,$998,$0,$59,$-1,$101,$1099,$6,$2,$1,$2,$-1,$0,$0,$1,$2,$11,$-1,$0,$-0,$-0,$-20,$-20,$-89,$-111,$5,$0,$5,$0,$0,$-2,$91,$94,$-6,$0,$-2
1,2018-06-30,43.91,$35.38,1.24,$16.34,2.69,$7.60,5.78,$2.38,18.45,$0.95B,$0.91B,1.05,$0.09B,$0.10B,0.9,$0.05B,$0.04B,88.89%,$0.05B,$0.01B,17.78%,$0.05B,0,0.00%,$0.05B,0,0.00%,$0.05B,$0.01B,17.78%,$0.05B,$0.01B,15.56%,$0.01B,$0.10B,7.12%,$0.01B,$0.08B,8.46%,$0.01B,$1.10B,0.69%,$0.01B,$0.19B,4.88%,$12,$2,$10,$0,$8,$10,$2,$0,$2,$0,$2,$2,$2,$0,$0,$3,3,$0.68,$0.68,$77,$0,$0,$954,$19,$91,$15,$17,$143,$1097,$905,$89,$3,$93,$998,$0,$57,$-1,$99,$1097,$4,$1,$1,$2,$-0,$0,$0,$-0,$0,$6,$-1,$0,$-0,$-0,$-9,$-9,$-63,$-74,$-27,$0,$-27,$0,$0,$-2,$126,$97,$29,$0,$-2
2,2018-03-31,44.41,$35.20,1.26,$15.92,2.79,$7.13,6.23,$2.37,18.74,$0.88B,$0.84B,1.04,$0.07B,$0.10B,0.74,$0.04B,$0.04B,90.91%,$0.04B,$0.01B,18.18%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,18.18%,$0.04B,$0.01B,15.91%,$0.01B,$0.10B,7.16%,$0.01B,$0.08B,8.54%,$0.01B,$1.02B,0.71%,$0.01B,$0.17B,5.15%,$11,$1,$10,$0,$7,$9,$2,$0,$2,$0,$2,$2,$2,$0,$0,$3,3,$0.72,$0.72,$45,$0,$0,$878,$18,$85,$16,$17,$137,$1015,$841,$72,$3,$75,$917,$0,$56,$-1,$98,$1015,$2,$1,$0,$1,$1,$0,$0,$-0,$0,$3,$-1,$0,$0,$-0,$-3,$-3,$-29,$-32,$10,$0,$10,$0,$0,$-1,$16,$26,$-4,$0,$-1
3,2017-12-31,43.81,$35.01,1.25,$15.77,2.78,$7.21,6.07,$2.23,19.65,$0.85B,$0.82B,1.04,$0.06B,$0.10B,0.66,$0.04B,$0.04B,90.91%,$0.04B,$0.01B,18.18%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,18.18%,$0.04B,$0.01B,15.91%,$0.01B,$0.10B,7.22%,$0.01B,$0.08B,8.59%,$0.01B,$0.99B,0.72%,$0.01B,$0.16B,5.25%,$11,$1,$10,$0,$8,$9,$2,$0,$2,$1,$1,$1,$1,$0,$0,$3,3,$0.38,$0.39,$48,$0,$0,$854,$16,$83,$16,$18,$133,$987,$823,$64,$2,$66,$889,$0,$55,$0,$98,$987,$6,$1,$4,$5,$-1,$0,$0,$1,$-1,$10,$-2,$0,$22,$0,$-0,$-0,$-30,$-10,$-4,$17,$13,$0,$0,$-3,$2,$13,$13,$0,$-3
4,2017-09-30,45.39,$35.01,1.3,$15.69,2.89,$7.87,5.77,$2.40,18.91,$0.84B,$0.84B,0.99,$0.04B,$0.10B,0.38,$0.04B,$0.04B,90.91%,$0.04B,$0.01B,18.18%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,18.18%,$0.04B,$0.01B,18.18%,$0.01B,$0.10B,8.33%,$0.01B,$0.08B,9.88%,$0.01B,$0.98B,0.84%,$0.01B,$0.14B,5.44%,$11,$1,$10,$0,$7,$9,$2,$0,$2,$1,$2,$2,$2,$0,$0,$3,3,$0.61,$0.60,$49,$0,$0,$837,$16,$89,$16,$21,$143,$979,$843,$37,$2,$39,$882,$0,$54,$1,$98,$979,$5,$2,$1,$2,$-1,$0,$0,$1,$-0,$7,$-1,$0,$22,$0,$-6,$-6,$-14,$1,$-1,$0,$-1,$0,$0,$-2,$9,$6,$14,$0,$-2
5,2017-06-30,39.77,$34.67,1.15,$15.58,2.55,$8.74,4.55,$2.49,15.97,$0.84B,$0.82B,1.02,$0.06B,$0.10B,0.59,$0.04B,$0.04B,90.91%,$0.04B,$0.01B,20.45%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,20.45%,$0.04B,$0.01B,18.18%,$0.01B,$0.10B,8.42%,$0.01B,$0.08B,9.97%,$0.01B,$0.98B,0.85%,$0.01B,$0.15B,6.17%,$11,$1,$10,$0,$7,$8,$2,$0,$2,$1,$2,$2,$2,$0,$0,$3,3,$0.68,$0.67,$61,$0,$0,$836,$16,$84,$16,$21,$139,$975,$819,$57,$2,$59,$878,$0,$53,$1,$97,$975,$3,$1,$0,$1,$-0,$0,$0,$1,$-1,$4,$-1,$0,$22,$0,$-2,$-2,$-2,$18,$-3,$0,$-3,$0,$0,$-2,$8,$4,$26,$0,$-2
6,2017-03-31,37.28,$34.38,1.08,$15.57,2.39,$9.61,3.88,$2.45,15.22,$0.81B,$0.78B,1.04,$0.06B,$0.10B,0.66,$0.04B,$0.04B,90.91%,$0.04B,$0.01B,20.45%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,20.45%,$0.04B,$0.01B,18.18%,$0.01B,$0.10B,8.51%,$0.01B,$0.08B,10.06%,$0.01B,$0.94B,0.86%,$0.01B,$0.16B,6.23%,$11,$1,$10,$0,$8,$9,$2,$0,$2,$1,$2,$2,$2,$0,$0,$3,3,$0.58,$0.58,$41,$0,$0,$808,$15,$80,$14,$21,$131,$940,$781,$63,$0,$63,$844,$0,$52,$0,$95,$940,$2,$1,$0,$1,$0,$0,$0,$1,$1,$3,$-1,$0,$0,$0,$2,$2,$-2,$0,$12,$0,$12,$0,$0,$-1,$-9,$3,$6,$0,$-1
7,2016-12-31,35.81,$34.09,1.05,$15.41,2.32,$9.53,3.76,$2.42,14.8,$0.80B,$0.79B,1.01,$0.05B,$0.09B,0.5,$0.04B,$0.04B,90.70%,$0.04B,$0.01B,20.93%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,20.93%,$0.04B,$0.01B,16.28%,$0.01B,$0.09B,7.53%,$0.01B,$0.08B,8.92%,$0.01B,$0.94B,0.76%,$0.01B,$0.14B,6.57%,$11,$1,$10,$0,$8,$9,$2,$0,$2,$1,$2,$2,$2,$0,$0,$3,3,$0.55,$0.54,$35,$0,$0,$801,$14,$83,$14,$21,$134,$935,$794,$47,$0,$47,$841,$0,$52,$0,$94,$935,$7,$0,$3,$3,$1,$0,$0,$0,$1,$11,$-1,$0,$0,$0,$-4,$-4,$-69,$-74,$2,$10,$12,$0,$0,$-3,$27,$36,$-27,$0,$-3
8,2016-09-30,29.27,$33.92,0.86,$15.25,1.92,$8.58,3.41,$2.64,11.09,$0.80B,$0.80B,1.0,$0.04B,$0.09B,0.4,$0.04B,$0.04B,92.86%,$0.04B,$0.01B,23.81%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,23.81%,$0.04B,$0.01B,16.67%,$0.01B,$0.09B,7.59%,$0.01B,$0.08B,9.03%,$0.01B,$0.93B,0.77%,$0.01B,$0.13B,7.49%,$11,$1,$10,$0,$7,$8,$3,$0,$3,$1,$2,$2,$2,$0,$0,$3,3,$0.70,$0.69,$43,$0,$0,$799,$15,$80,$14,$18,$129,$928,$798,$37,$0,$37,$835,$0,$51,$1,$94,$928,$5,$2,$-0,$2,$-0,$0,$0,$1,$3,$9,$-1,$0,$0,$0,$-0,$-0,$-57,$-59,$-0,$0,$-0,$0,$0,$-2,$32,$30,$-19,$0,$-2
9,2016-06-30,27.93,$33.57,0.83,$15.23,1.83,$7.66,3.64,$2.66,10.5,$0.78B,$0.76B,1.03,$0.06B,$0.09B,0.61,$0.04B,$0.04B,95.12%,$0.04B,$0.01B,24.39%,$0.04B,0,0.00%,$0.04B,0,0.00%,$0.04B,$0.01B,24.39%,$0.04B,$0.01B,17.07%,$0.01B,$0.09B,7.37%,$0.01B,$0.08B,8.72%,$0.01B,$0.91B,0.78%,$0.01B,$0.15B,7.46%,$11,$1,$10,$0,$7,$8,$2,$0,$2,$1,$2,$2,$2,$0,$0,$3,3,$0.63,$0.63,$31,$0,$0,$783,$15,$84,$15,$15,$130,$913,$764,$57,$0,$57,$821,$0,$50,$1,$93,$913,$3,$1,$-0,$1,$1,$0,$0,$1,$2,$7,$-1,$0,$0,$0,$-4,$-4,$-50,$-55,$19,$0,$19,$0,$0,$-2,$0,$18,$-31,$0,$-2
