,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,287.5,$37.81,7.6,$82.43,3.49,$14.93,19.26,$8.54,33.67,$0.22B,$0.13B,1.68,$0.00B,$0.44B,0.0,$0.98B,$0.50B,51.54%,$0.98B,$0.10B,10.45%,$0.98B,$0.10B,10.45%,$0.98B,$0.15B,15.78%,$0.98B,$0.10B,10.45%,$0.98B,$0.10B,10.45%,$0.10B,$0.44B,23.46%,$0.10B,$0.43B,23.68%,$0.10B,$0.62B,17.06%,$0.10B,$0.44B,23.46%,$307,$150,$157,$0,$110,$260,$47,$0,$47,$9,$38,$38,$38,$60,$47,$12,12,$3.25,$3.21,$69,$72,$0,$221,$387,$0,$4,$12,$403,$624,$132,$0,$10,$58,$189,$0,$34,$-2,$435,$624,$71,$39,$20,$59,$-20,$-21,$21,$-8,$-22,$108,$-39,$0,$0,$0,$0,$0,$0,$-39,$0,$-0,$-0,$-67,$-67,$0,$1,$-66,$3,$7,$0
1,2018-06-30,299.7,$37.99,7.89,$76.73,3.91,$16.05,18.67,$8.11,36.95,$0.21B,$0.13B,1.61,$0.00B,$0.44B,0.0,$0.92B,$0.48B,52.18%,$0.92B,$0.11B,11.57%,$0.92B,$0.11B,11.57%,$0.92B,$0.16B,17.25%,$0.92B,$0.11B,11.68%,$0.92B,$0.10B,10.70%,$0.10B,$0.44B,22.82%,$0.10B,$0.44B,23.02%,$0.10B,$0.62B,16.65%,$0.11B,$0.44B,24.68%,$273,$131,$142,$0,$110,$242,$31,$0,$31,$8,$24,$24,$24,$44,$31,$12,12,$1.99,$1.98,$76,$64,$0,$212,$384,$0,$4,$19,$406,$618,$132,$0,$9,$44,$176,$0,$44,$-2,$443,$618,$33,$26,$6,$32,$-22,$-19,$21,$-0,$-11,$54,$-25,$0,$0,$0,$0,$0,$0,$-25,$0,$-0,$-0,$-18,$-18,$0,$0,$-18,$11,$5,$0
2,2018-03-31,189.05,$37.29,5.07,$73.65,2.57,$17.25,10.96,$8.48,22.29,$0.18B,$0.10B,1.75,$0.00B,$0.44B,0.0,$0.89B,$0.47B,52.75%,$0.89B,$0.12B,13.47%,$0.89B,$0.12B,13.47%,$0.89B,$0.17B,19.30%,$0.89B,$0.12B,13.69%,$0.89B,$0.10B,11.56%,$0.10B,$0.44B,24.28%,$0.10B,$0.43B,24.49%,$0.10B,$0.58B,17.61%,$0.12B,$0.44B,28.29%,$190,$94,$96,$0,$87,$181,$9,$-0,$9,$-0,$9,$9,$9,$22,$9,$12,12,$0.79,$0.78,$47,$56,$0,$175,$386,$0,$4,$16,$405,$580,$100,$0,$8,$43,$143,$0,$44,$-2,$437,$580,$9,$13,$2,$15,$-17,$-8,$2,$-5,$-34,$-10,$-11,$0,$0,$0,$0,$0,$0,$-11,$0,$-0,$-0,$3,$3,$0,$0,$3,$-19,$1,$0
3,2017-12-31,191.1,$36.44,5.24,$70.47,2.71,$18.14,10.54,$8.15,23.45,$0.17B,$0.10B,1.65,$0.00B,$0.42B,0.0,$0.86B,$0.45B,52.14%,$0.86B,$0.12B,13.33%,$0.86B,$0.12B,13.33%,$0.86B,$0.17B,19.35%,$0.86B,$0.12B,13.56%,$0.86B,$0.10B,11.59%,$0.10B,$0.42B,23.60%,$0.10B,$0.42B,23.80%,$0.10B,$0.57B,17.05%,$0.12B,$0.42B,27.14%,$206,$98,$108,$0,$92,$191,$15,$-0,$15,$-16,$31,$31,$31,$28,$15,$12,12,$2.52,$2.51,$66,$51,$0,$168,$384,$0,$4,$13,$401,$570,$102,$0,$10,$44,$146,$0,$52,$-1,$424,$570,$99,$51,$-13,$38,$3,$-2,$0,$-6,$-1,$136,$-33,$0,$0,$0,$0,$0,$0,$-33,$0,$-0,$-0,$-129,$-129,$0,$1,$-128,$-25,$6,$0
4,2017-09-30,156.2,$35.26,4.43,$70.67,2.21,$18.13,8.62,$7.33,21.31,$0.18B,$0.11B,1.64,$0.00B,$0.41B,0.0,$0.88B,$0.45B,51.37%,$0.88B,$0.13B,15.30%,$0.88B,$0.13B,15.30%,$0.88B,$0.19B,21.23%,$0.88B,$0.14B,15.53%,$0.88B,$0.09B,10.39%,$0.09B,$0.41B,21.19%,$0.09B,$0.41B,21.36%,$0.09B,$0.59B,15.22%,$0.13B,$0.41B,31.20%,$247,$116,$132,$0,$80,$196,$51,$0,$52,$18,$34,$34,$34,$64,$51,$12,12,$2.82,$2.78,$70,$55,$0,$179,$388,$0,$4,$17,$408,$587,$109,$0,$10,$63,$173,$0,$45,$-1,$414,$587,$69,$38,$3,$42,$-7,$-9,$5,$2,$-2,$108,$-23,$0,$0,$0,$0,$0,$-0,$-23,$0,$-0,$-0,$-106,$-106,$0,$1,$-106,$-21,$5,$0
5,2017-06-30,132.15,$35.06,3.77,$70.20,1.88,$16.72,7.9,$7.03,18.8,$0.19B,$0.11B,1.69,$0.00B,$0.42B,0.0,$0.88B,$0.45B,51.25%,$0.88B,$0.13B,15.08%,$0.88B,$0.13B,15.08%,$0.88B,$0.19B,20.98%,$0.88B,$0.13B,15.19%,$0.88B,$0.09B,10.09%,$0.09B,$0.42B,20.30%,$0.09B,$0.42B,20.46%,$0.09B,$0.60B,14.64%,$0.13B,$0.42B,30.31%,$248,$114,$134,$0,$87,$203,$45,$0,$46,$16,$29,$29,$29,$58,$45,$12,12,$2.38,$2.35,$72,$56,$0,$191,$395,$0,$4,$13,$411,$602,$113,$0,$10,$67,$180,$0,$54,$-1,$422,$602,$35,$26,$5,$31,$-15,$-7,$9,$2,$-4,$61,$-17,$0,$0,$0,$0,$0,$-0,$-17,$0,$-0,$-0,$-64,$-64,$0,$0,$-64,$-19,$3,$0
6,2017-03-31,144.65,$35.28,4.1,$69.19,2.09,$15.10,9.58,$6.74,21.46,$0.17B,$0.08B,1.97,$0.00B,$0.44B,0.0,$0.88B,$0.45B,50.63%,$0.88B,$0.13B,14.79%,$0.88B,$0.13B,14.79%,$0.88B,$0.18B,20.59%,$0.88B,$0.13B,14.79%,$0.88B,$0.09B,9.90%,$0.09B,$0.44B,19.95%,$0.09B,$0.43B,20.10%,$0.09B,$0.59B,14.37%,$0.13B,$0.44B,29.78%,$162,$85,$76,$0,$72,$158,$4,$0,$4,$-2,$6,$6,$6,$17,$4,$12,13,$0.46,$0.45,$60,$54,$0,$166,$404,$0,$4,$13,$421,$587,$84,$0,$10,$67,$152,$0,$70,$-1,$435,$587,$6,$13,$2,$14,$1,$-5,$-6,$-3,$-25,$-5,$-7,$0,$0,$0,$0,$0,$0,$-7,$0,$-0,$-0,$-19,$-19,$0,$0,$-19,$-31,$2,$0
7,2016-12-31,169.85,$36.11,4.7,$70.70,2.4,$15.78,10.76,$6.82,24.9,$0.19B,$0.10B,1.91,$0.00B,$0.45B,0.0,$0.91B,$0.46B,50.88%,$0.91B,$0.14B,15.12%,$0.91B,$0.14B,15.12%,$0.91B,$0.19B,20.64%,$0.91B,$0.14B,15.12%,$0.91B,$0.09B,9.71%,$0.09B,$0.45B,20.18%,$0.09B,$0.44B,20.34%,$0.09B,$0.62B,14.41%,$0.14B,$0.45B,31.37%,$219,$112,$108,$0,$74,$185,$34,$-0,$34,$12,$22,$22,$22,$47,$34,$13,13,$1.74,$1.72,$91,$52,$0,$194,$408,$0,$4,$10,$422,$616,$102,$0,$11,$68,$169,$0,$98,$-1,$447,$616,$87,$50,$2,$52,$3,$0,$-2,$9,$15,$154,$-46,$0,$0,$0,$0,$0,$0,$-46,$0,$-0,$-0,$-125,$-125,$0,$13,$-111,$-3,$6,$0
8,2016-09-30,155.26,$36.06,4.31,$69.47,2.23,$14.32,10.84,$6.28,24.72,$0.21B,$0.11B,1.92,$0.00B,$0.45B,0.0,$0.90B,$0.46B,51.22%,$0.90B,$0.13B,14.30%,$0.90B,$0.13B,14.30%,$0.90B,$0.18B,19.73%,$0.90B,$0.13B,14.30%,$0.90B,$0.08B,9.09%,$0.08B,$0.45B,18.66%,$0.08B,$0.45B,18.79%,$0.08B,$0.63B,13.27%,$0.13B,$0.45B,29.28%,$253,$120,$134,$0,$83,$203,$50,$-0,$50,$19,$32,$32,$32,$63,$50,$12,13,$2.53,$2.48,$77,$57,$0,$205,$411,$0,$4,$9,$423,$627,$106,$0,$10,$71,$177,$0,$102,$-1,$450,$627,$65,$37,$2,$39,$-7,$-3,$-5,$5,$4,$108,$-37,$0,$0,$0,$0,$0,$0,$-37,$0,$-0,$-0,$-101,$-101,$0,$12,$-88,$-17,$8,$0
9,2016-06-30,171.03,$33.31,5.14,$71.12,2.4,$15.11,11.32,$6.65,25.72,$0.17B,$0.11B,1.52,$0.00B,$0.41B,0.0,$0.94B,$0.49B,51.49%,$0.94B,$0.14B,14.86%,$0.94B,$0.14B,14.86%,$0.94B,$0.19B,19.85%,$0.94B,$0.14B,14.76%,$0.94B,$0.09B,9.45%,$0.09B,$0.41B,19.74%,$0.09B,$0.41B,19.89%,$0.09B,$0.59B,14.04%,$0.14B,$0.41B,31.01%,$245,$118,$127,$0,$85,$203,$42,$-0,$42,$15,$27,$27,$27,$54,$42,$13,13,$2.11,$2.06,$28,$61,$0,$168,$412,$0,$4,$7,$422,$591,$111,$0,$9,$67,$178,$0,$81,$-1,$412,$591,$34,$24,$2,$26,$-18,$-5,$1,$6,$-9,$51,$-26,$0,$0,$0,$0,$0,$0,$-26,$0,$-0,$-0,$-98,$-98,$0,$6,$-92,$-67,$6,$0
