,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.45,$3.34,0.73,$3.41,0.72,$-2.42,0.0,$-0.13,0.0,$0.11B,$0.07B,1.66,$0.01B,$0.09B,0.14,$0.08B,$0.02B,22.50%,$0.08B,$0.00B,1.25%,$0.08B,$0.00B,1.25%,$0.08B,$0.00B,3.75%,$0.08B,$-0.00B,-2.50%,$0.08B,$-0.00B,-2.50%,$-0.00B,$0.09B,-2.36%,$-0.00B,$0.04B,-4.85%,$-0.00B,$0.16B,-1.32%,$0.00B,$0.10B,1.02%,$26,$21,$5,$1,$3,$25,$1,$-1,$0,$0,$0,$0,$0,$2,$1,$25,25,$0.00,$0.00,$4,$76,$0,$107,$13,$0,$43,$1,$57,$164,$65,$12,$1,$13,$78,$0,$-21,$-6,$87,$164,$0,$1,$0,$1,$-9,$-16,$31,$-2,$3,$4,$-0,$-0,$0,$0,$0,$0,$0,$-0,$-0,$-9,$-9,$5,$5,$0,$-0,$-4,$-0,$0,$0
1,2018-06-30,3.25,$3.36,0.97,$2.89,1.13,$-2.27,0.0,$-0.22,0.0,$0.08B,$0.04B,1.88,$0.01B,$0.08B,0.16,$0.07B,$0.02B,23.08%,$0.07B,$-0.00B,-3.08%,$0.07B,$-0.00B,-3.08%,$0.07B,0,0.00%,$0.07B,$-0.00B,-6.15%,$0.07B,$-0.00B,-6.15%,$-0.00B,$0.08B,-4.97%,$-0.00B,$0.04B,-10.88%,$-0.00B,$0.14B,-2.65%,$-0.00B,$0.10B,-2.20%,$10,$9,$1,$1,$2,$13,$-3,$-1,$-4,$0,$-4,$-4,$-4,$-3,$-3,$22,22,$-0.17,$-0.17,$4,$60,$0,$80,$13,$0,$43,$1,$58,$138,$42,$13,$1,$14,$56,$0,$-21,$-6,$82,$138,$-5,$4,$1,$4,$9,$-29,$-1,$-0,$-22,$-22,$-1,$0,$-0,$0,$0,$0,$0,$-1,$2,$5,$8,$22,$22,$0,$-3,$27,$4,$1,$0
2,2018-03-31,3.6,$3.54,1.02,$3.45,1.04,$-1.93,0.0,$-0.66,0.0,$0.08B,$0.04B,2.0,$0.01B,$0.09B,0.15,$0.07B,$0.02B,23.29%,$0.07B,$-0.00B,-2.74%,$0.07B,$-0.00B,-2.74%,$0.07B,$0.00B,1.37%,$0.07B,$-0.00B,-4.11%,$0.07B,$-0.01B,-15.07%,$-0.01B,$0.09B,-14.62%,$-0.01B,$0.04B,-35.20%,$-0.01B,$0.14B,-7.56%,$-0.00B,$0.10B,-2.42%,$23,$16,$7,$1,$3,$21,$2,$-1,$2,$-0,$2,$2,$2,$3,$2,$24,24,$0.07,$0.07,$3,$64,$0,$83,$13,$0,$44,$1,$58,$141,$41,$13,$1,$14,$55,$0,$-17,$-6,$86,$141,$-0,$3,$0,$3,$9,$-32,$5,$-1,$-19,$-16,$-1,$0,$0,$0,$0,$0,$0,$-1,$2,$-2,$-0,$22,$22,$0,$-3,$20,$2,$1,$0
3,2017-12-31,3.9,$3.47,1.12,$3.68,1.06,$-2.25,0.0,$-0.71,0.0,$0.10B,$0.06B,1.61,$0.01B,$0.08B,0.16,$0.07B,$0.02B,22.54%,$0.07B,$-0.00B,-4.23%,$0.07B,$-0.00B,-4.23%,$0.07B,0,0.00%,$0.07B,$-0.00B,-4.23%,$0.07B,$-0.01B,-16.90%,$-0.01B,$0.08B,-16.72%,$-0.01B,$0.04B,-44.44%,$-0.01B,$0.16B,-8.33%,$-0.00B,$0.10B,-3.95%,$21,$16,$5,$1,$2,$20,$1,$-1,$-0,$0,$-0,$-0,$-0,$1,$1,$21,21,$-0.02,$-0.02,$5,$70,$0,$103,$14,$0,$44,$2,$59,$162,$64,$13,$1,$14,$78,$0,$-19,$-5,$84,$162,$-2,$2,$0,$2,$-2,$-39,$25,$-1,$-16,$-17,$-1,$0,$0,$0,$0,$0,$0,$-1,$2,$0,$2,$23,$23,$0,$-3,$22,$5,$0,$0
4,2017-09-30,3.15,$3.39,0.93,$4.06,0.78,$-1.83,0.0,$-0.68,0.0,$0.10B,$0.09B,1.16,$0.00B,$0.07B,0.02,$0.07B,$0.02B,21.62%,$0.07B,$-0.00B,-4.05%,$0.07B,$-0.00B,-4.05%,$0.07B,$0.00B,1.35%,$0.07B,$-0.00B,-2.70%,$0.07B,$-0.01B,-14.86%,$-0.01B,$0.07B,-16.12%,$-0.01B,$0.03B,-48.35%,$-0.01B,$0.16B,-7.93%,$-0.00B,$0.07B,-4.33%,$11,$8,$2,$1,$3,$13,$-2,$0,$-2,$0,$-2,$-2,$-2,$-1,$-2,$20,20,$-0.09,$-0.09,$4,$70,$0,$102,$14,$0,$45,$2,$60,$162,$88,$1,$3,$4,$91,$0,$-18,$-5,$70,$162,$-2,$1,$-1,$0,$-2,$-39,$40,$8,$8,$7,$-0,$0,$0,$0,$0,$0,$0,$-0,$-0,$-13,$-13,$10,$10,$0,$-0,$-3,$4,$0,$0
5,2017-06-30,4.15,$3.41,1.22,$4.24,0.98,$-1.71,0.0,$-0.78,0.0,$0.06B,$0.05B,1.11,$0.00B,$0.06B,0.02,$0.08B,$0.02B,21.33%,$0.08B,$-0.00B,-4.00%,$0.08B,$-0.00B,-4.00%,$0.08B,$0.00B,1.33%,$0.08B,$-0.00B,-5.33%,$0.08B,$-0.01B,-16.00%,$-0.01B,$0.06B,-17.78%,$-0.01B,$0.02B,-56.47%,$-0.01B,$0.12B,-8.78%,$-0.00B,$0.06B,-4.20%,$18,$15,$3,$1,$4,$20,$-3,$-0,$-3,$8,$-11,$-11,$-11,$-2,$-3,$18,18,$-0.62,$-0.51,$1,$31,$0,$57,$14,$0,$45,$2,$60,$117,$51,$1,$3,$5,$56,$0,$-16,$-6,$61,$117,$-12,$5,$9,$13,$4,$-9,$-7,$0,$-12,$-10,$-2,$-0,$0,$0,$0,$0,$0,$-2,$-5,$10,$6,$1,$1,$0,$-0,$6,$-6,$1,$0
6,2017-03-31,4.95,$4.00,1.24,$5.55,0.89,$-0.70,0.0,$-0.14,0.0,$0.07B,$0.06B,1.14,$0.00B,$0.07B,0.01,$0.09B,$0.02B,21.74%,$0.09B,$0.00B,2.17%,$0.09B,$0.00B,2.17%,$0.09B,$0.01B,7.61%,$0.09B,0,0.00%,$0.09B,$-0.00B,-1.09%,$-0.00B,$0.07B,-1.44%,$-0.00B,$0.03B,-4.49%,$-0.00B,$0.14B,-0.72%,$0.00B,$0.07B,2.62%,$21,$15,$6,$1,$3,$20,$1,$1,$2,$0,$1,$1,$1,$2,$1,$18,18,$0.07,$0.02,$3,$38,$0,$66,$13,$0,$46,$2,$68,$135,$58,$1,$4,$5,$63,$0,$-5,$-6,$72,$135,$-1,$4,$0,$4,$4,$-16,$-8,$-0,$-20,$-17,$-2,$-0,$0,$0,$0,$0,$0,$-2,$-5,$19,$14,$1,$1,$0,$-0,$15,$-4,$1,$0
7,2016-12-31,4.6,$3.88,1.18,$6.00,0.77,$-0.00,0.0,$-0.12,0.0,$0.07B,$0.07B,1.08,$0.00B,$0.07B,0.02,$0.10B,$0.02B,20.83%,$0.10B,$0.00B,3.13%,$0.10B,$0.00B,3.13%,$0.10B,$0.01B,9.38%,$0.10B,$-0.00B,-1.04%,$0.10B,$-0.00B,-1.04%,$-0.00B,$0.07B,-1.47%,$-0.00B,$0.02B,-4.76%,$-0.00B,$0.14B,-0.72%,$0.00B,$0.07B,3.85%,$24,$19,$5,$1,$3,$23,$1,$0,$1,$0,$1,$1,$1,$2,$1,$18,18,$0.07,$0.01,$2,$43,$0,$71,$13,$0,$46,$2,$70,$141,$66,$1,$5,$6,$72,$0,$-7,$-6,$70,$141,$-2,$3,$0,$3,$2,$-21,$14,$-0,$-7,$-6,$-1,$-0,$0,$0,$0,$0,$0,$-1,$-4,$6,$2,$1,$1,$0,$-0,$3,$-5,$1,$0
8,2016-09-30,5.1,$3.82,1.33,$6.37,0.8,$0.72,7.07,$-0.03,0.0,$0.08B,$0.07B,1.23,$0.01B,$0.07B,0.2,$0.10B,$0.02B,19.79%,$0.10B,$0.00B,2.08%,$0.10B,$0.00B,2.08%,$0.10B,$0.01B,9.38%,$0.10B,$-0.00B,-2.08%,$0.10B,$-0.00B,-1.04%,$-0.00B,$0.07B,-1.54%,$-0.00B,$0.02B,-5.56%,$-0.00B,$0.15B,-0.74%,$0.00B,$0.08B,2.54%,$12,$10,$2,$1,$2,$14,$-2,$-2,$-4,$-1,$-3,$-3,$-3,$-1,$-2,$17,17,$-0.19,$-0.19,$5,$50,$0,$84,$13,$0,$47,$2,$70,$154,$68,$14,$6,$19,$87,$0,$-8,$-6,$67,$154,$-3,$1,$0,$2,$0,$-28,$26,$11,$9,$8,$-0,$-0,$0,$0,$0,$0,$0,$-0,$-2,$-7,$-9,$0,$0,$0,$-0,$-9,$-2,$0,$0
9,2016-06-30,4.36,$3.97,1.1,$6.56,0.66,$1.09,4.01,$0.02,218.0,$0.06B,$0.04B,1.39,$0.01B,$0.07B,0.2,$0.10B,$0.02B,19.79%,$0.10B,$0.00B,2.08%,$0.10B,$0.00B,2.08%,$0.10B,$0.01B,10.42%,$0.10B,$-0.00B,-1.04%,$0.10B,0,0.00%,$0.00B,$0.07B,0.00%,$0.00B,$0.02B,0.00%,$0.00B,$0.13B,0.00%,$0.00B,$0.08B,2.63%,$35,$28,$7,$1,$3,$32,$2,$-2,$1,$0,$0,$0,$0,$4,$2,$15,15,$0.02,$0.02,$7,$22,$0,$58,$13,$0,$47,$2,$69,$127,$41,$13,$4,$18,$59,$0,$-5,$-6,$68,$127,$0,$7,$-4,$4,$-1,$4,$0,$-0,$3,$7,$-2,$-0,$-1,$0,$-0,$-0,$0,$-4,$-16,$3,$-13,$13,$13,$0,$-0,$1,$3,$1,$0
