,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,2.88,$0.00,0.0,$1.80,1.6,$0.11,27.25,$-0.84,0.0,$0.06B,$0.08B,0.75,$0.49B,$0.00B,0.0,$0.18B,$0.12B,63.39%,$0.18B,$-0.04B,-22.40%,$0.18B,$-0.04B,-22.40%,$0.18B,$-0.04B,-22.40%,$0.18B,$-0.07B,-37.70%,$0.18B,$-0.08B,-44.26%,$-0.08B,$0.46B,-17.87%,$-0.08B,$0.46B,-17.87%,$-0.08B,$1.04B,-7.82%,$-0.04B,$0.94B,-4.27%,$50,$17,$33,$0,$5,$35,$16,$-7,$8,$0,$8,$8,$5,$16,$16,$102,102,$0.05,$0.05,$42,$0,$17,$59,$966,$0,$0,$9,$980,$1039,$79,$487,$17,$504,$583,$0,$0,$0,$456,$1039,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
1,2018-06-30,3.4,$4.44,0.77,$1.68,2.03,$0.11,32.17,$-0.80,0.0,$0.08B,$0.09B,0.93,$0.49B,$0.00B,0.0,$0.17B,$0.11B,62.35%,$0.17B,$-0.05B,-30.00%,$0.17B,$-0.05B,-30.00%,$0.17B,$-0.05B,-30.00%,$0.17B,$-0.07B,-41.18%,$0.17B,$-0.08B,-48.24%,$-0.08B,$0.45B,-17.24%,$-0.08B,$0.45B,-17.24%,$-0.08B,$1.05B,-7.75%,$-0.05B,$0.94B,-5.11%,$47,$19,$28,$0,$5,$35,$12,$-8,$4,$0,$4,$4,$1,$12,$12,$102,102,$0.01,$0.01,$65,$0,$16,$81,$950,$0,$0,$9,$963,$1045,$88,$489,$17,$506,$593,$0,$0,$0,$451,$1045,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2,2018-03-31,3.17,$4.43,0.72,$1.56,2.03,$0.11,29.99,$-0.88,0.0,$0.08B,$0.06B,1.32,$0.51B,$0.00B,0.0,$0.16B,$0.10B,62.66%,$0.16B,$-0.06B,-37.34%,$0.16B,$-0.06B,-37.34%,$0.16B,$-0.06B,-37.34%,$0.16B,$-0.08B,-48.10%,$0.16B,$-0.09B,-56.96%,$-0.09B,$0.45B,-18.05%,$-0.09B,$0.45B,-18.05%,$-0.09B,$1.02B,-8.29%,$-0.06B,$0.96B,-5.70%,$44,$16,$27,$0,$4,$32,$12,$-6,$6,$0,$6,$6,$3,$12,$12,$102,102,$0.03,$0.03,$61,$0,$17,$78,$931,$0,$0,$9,$945,$1023,$59,$514,$0,$514,$573,$0,$0,$0,$450,$1023,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
3,2017-12-31,3.23,$0.00,0.0,$1.47,2.2,$0.11,30.56,$-0.98,0.0,$0.08B,$0.04B,2.14,$0.54B,$0.00B,0.0,$0.15B,$0.09B,62.59%,$0.15B,$-0.07B,-46.94%,$0.15B,$-0.07B,-46.94%,$0.15B,$-0.07B,-46.94%,$0.15B,$-0.09B,-57.82%,$0.15B,$-0.10B,-68.03%,$-0.10B,$0.46B,-18.90%,$-0.10B,$0.46B,-18.90%,$-0.10B,$1.04B,-8.88%,$-0.07B,$1.00B,-6.37%,$42,$14,$28,$0,$4,$124,$-81,$-5,$-87,$0,$-87,$-87,$-90,$-81,$-81,$101,101,$-0.88,$-0.88,$60,$0,$19,$79,$943,$0,$0,$9,$956,$1035,$37,$542,$0,$542,$579,$0,$0,$0,$456,$1035,$-85,$54,$83,$137,$-2,$1,$-0,$0,$-2,$50,$-39,$0,$0,$-0,$0,$-0,$0,$-40,$-8,$0,$-8,$-0,$-0,$-12,$-27,$-47,$-36,$0,$-12
4,2017-09-30,2.74,$6.53,0.42,$1.42,1.92,$-0.19,0.0,$-0.19,0.0,$0.08B,$0.04B,2.28,$0.54B,$0.00B,0.0,$0.14B,$0.08B,59.85%,$0.14B,$0.01B,9.49%,$0.14B,$0.01B,9.49%,$0.14B,$0.01B,9.49%,$0.14B,$-0.00B,-2.19%,$0.14B,$-0.02B,-13.14%,$-0.02B,$0.55B,-3.22%,$-0.02B,$0.55B,-3.22%,$-0.02B,$1.13B,-1.55%,$0.01B,$1.09B,1.16%,$37,$14,$23,$0,$4,$32,$6,$1,$7,$0,$7,$7,$4,$6,$6,$102,102,$0.04,$0.04,$68,$0,$16,$84,$1031,$0,$0,$8,$1043,$1127,$37,$544,$0,$544,$581,$0,$0,$0,$546,$1127,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
5,2017-06-30,2.29,$5.34,0.43,$1.38,1.66,$-0.19,0.0,$-0.57,0.0,$0.10B,$0.07B,1.52,$0.55B,$0.00B,0.0,$0.13B,$0.07B,57.48%,$0.13B,$-0.01B,-9.45%,$0.13B,$-0.01B,-9.45%,$0.13B,$-0.01B,-9.45%,$0.13B,$-0.04B,-27.56%,$0.13B,$-0.05B,-39.37%,$-0.05B,$0.54B,-8.83%,$-0.05B,$0.54B,-8.83%,$-0.05B,$1.16B,-4.27%,$-0.01B,$1.09B,-1.06%,$35,$14,$21,$0,$4,$31,$4,$-5,$-2,$0,$-2,$-2,$-7,$4,$4,$101,101,$-0.07,$-0.07,$90,$0,$13,$102,$1044,$0,$0,$9,$1053,$1155,$68,$545,$1,$546,$613,$0,$0,$0,$542,$1155,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
6,2017-03-31,2.2,$5.63,0.39,$1.35,1.63,$-0.19,0.0,$-0.65,0.0,$0.12B,$0.03B,4.85,$0.59B,$0.00B,0.0,$0.12B,$0.07B,55.08%,$0.12B,$-0.02B,-16.10%,$0.12B,$-0.02B,-16.10%,$0.12B,$-0.02B,-16.10%,$0.12B,$-0.04B,-35.59%,$0.12B,$-0.06B,-47.46%,$-0.06B,$0.57B,-9.65%,$-0.06B,$0.57B,-9.65%,$-0.06B,$1.19B,-4.72%,$-0.02B,$1.16B,-1.64%,$33,$14,$20,$0,$4,$31,$2,$-6,$-3,$0,$-3,$-3,$-7,$2,$2,$99,99,$-0.07,$-0.07,$103,$0,$16,$119,$1057,$0,$0,$10,$1067,$1186,$25,$589,$1,$590,$614,$0,$0,$0,$572,$1186,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
7,2016-12-31,1.15,$5.83,0.2,$1.31,0.88,$-0.19,0.0,$-0.83,0.0,$0.11B,$0.02B,4.67,$0.57B,$0.58B,0.99,$0.11B,$0.05B,49.09%,$0.11B,$-0.03B,-28.18%,$0.11B,$-0.03B,-28.18%,$0.11B,$-0.03B,-28.18%,$0.11B,$-0.06B,-51.82%,$0.11B,$-0.07B,-63.64%,$-0.07B,$0.58B,-11.86%,$-0.07B,$0.58B,-11.86%,$-0.07B,$1.17B,-5.84%,$-0.03B,$1.15B,-2.66%,$32,$14,$18,$0,$4,$31,$1,$-5,$-5,$0,$-5,$-5,$-8,$1,$1,$85,85,$-0.09,$-0.09,$95,$5,$0,$111,$1039,$0,$0,$11,$1063,$1174,$24,$570,$2,$571,$595,$0,$194,$0,$579,$1174,$-56,$53,$20,$72,$-1,$0,$-2,$-0,$-3,$13,$-29,$0,$0,$-11,$0,$-11,$0,$-40,$-84,$0,$-84,$15,$15,$-14,$-0,$-84,$-110,$0,$-14
8,2016-09-30,1.41,$6.84,0.21,$1.29,1.09,$-1.17,0.0,$-1.14,0.0,$0.09B,$0.02B,4.28,$0.57B,$0.00B,0.0,$0.11B,$0.05B,45.37%,$0.11B,$-0.06B,-53.70%,$0.11B,$-0.06B,-53.70%,$0.11B,$-0.06B,-53.70%,$0.11B,$-0.08B,-75.93%,$0.11B,$-0.10B,-87.96%,$-0.10B,$0.57B,-15.73%,$-0.10B,$0.57B,-15.73%,$-0.10B,$1.17B,-7.71%,$-0.06B,$1.14B,-4.92%,$27,$14,$14,$0,$4,$46,$-19,$-5,$-25,$0,$-25,$-25,$-28,$-19,$-19,$84,84,$-0.34,$-0.34,$79,$0,$13,$92,$1051,$0,$0,$11,$1076,$1168,$21,$573,$2,$575,$597,$0,$0,$0,$571,$1168,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
9,2016-06-30,1.05,$7.18,0.15,$1.37,0.77,$-1.17,0.0,$-0.93,0.0,$0.15B,$0.04B,3.54,$0.58B,$0.00B,0.0,$0.11B,$0.05B,42.11%,$0.11B,$-0.04B,-36.84%,$0.11B,$-0.04B,-36.84%,$0.11B,$-0.04B,-36.84%,$0.11B,$-0.07B,-57.02%,$0.11B,$-0.08B,-68.42%,$-0.08B,$0.60B,-12.42%,$-0.08B,$0.60B,-12.42%,$-0.08B,$1.22B,-6.15%,$-0.04B,$1.18B,-3.47%,$26,$14,$13,$0,$4,$30,$-3,$-6,$-9,$0,$-9,$-9,$-13,$-3,$-3,$84,84,$-0.15,$-0.15,$128,$0,$17,$145,$1033,$0,$0,$2,$1073,$1218,$41,$576,$1,$577,$618,$0,$0,$0,$599,$1218,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
