,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-06-30,3.88,$1.40,2.78,$0.79,4.9,$0.15,26.61,$-0.10,0.0,$0.71B,$0.61B,1.16,$0.36B,$0.67B,0.54,$0.36B,$0.27B,74.52%,$0.36B,$0.07B,18.56%,$0.36B,$0.07B,18.56%,$0.36B,$0.07B,18.56%,$0.36B,$-0.06B,-16.90%,$0.36B,$-0.04B,-9.97%,$-0.04B,$0.67B,-5.01%,$-0.04B,$0.67B,-5.01%,$-0.04B,$1.92B,-1.82%,$0.07B,$1.03B,6.12%,$74,$8,$66,$0,$53,$58,$17,$-82,$-65,$-65,$0,$0,$-27,$17,$17,$444,444,$-0.06,$-0.06,$443,$0,$0,$707,$767,$340,$0,$81,$1208,$1915,$610,$363,$175,$633,$1243,$12,$318,$-35,$671,$1915,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
1,2018-03-31,5.14,$1.56,3.31,$0.87,5.88,$0.15,35.25,$-0.04,0.0,$0.71B,$0.63B,1.13,$0.36B,$0.75B,0.49,$0.40B,$0.26B,66.50%,$0.40B,$0.04B,11.08%,$0.40B,$0.04B,11.08%,$0.40B,$0.04B,11.08%,$0.40B,$0.00B,0.25%,$0.40B,$-0.01B,-2.77%,$-0.01B,$0.75B,-1.58%,$-0.01B,$0.75B,-1.58%,$-0.01B,$2.01B,-0.57%,$0.04B,$1.11B,4.15%,$63,$20,$43,$0,$46,$67,$-4,$-45,$-49,$-4,$-45,$-45,$-45,$-4,$-4,$444,444,$-0.10,$-0.10,$452,$0,$2,$710,$688,$446,$0,$144,$1299,$2009,$626,$364,$155,$638,$1264,$12,$345,$17,$745,$2009,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2,2017-12-31,5.58,$1.67,3.35,$0.98,5.69,$0.15,38.27,$0.03,186.0,$0.75B,$0.58B,1.29,$0.41B,$0.74B,0.55,$0.44B,$0.27B,60.81%,$0.44B,$0.04B,9.46%,$0.44B,$0.04B,9.46%,$0.44B,$0.04B,9.46%,$0.44B,$0.04B,9.68%,$0.44B,$0.02B,4.95%,$0.02B,$0.74B,3.49%,$0.02B,$0.74B,3.49%,$0.02B,$2.00B,1.21%,$0.04B,$1.15B,4.22%,$112,$30,$83,$0,$47,$76,$36,$-2,$34,$15,$18,$18,$21,$36,$36,$442,458,$0.06,$0.05,$507,$0,$6,$748,$622,$471,$0,$136,$1252,$2000,$582,$405,$146,$678,$1260,$12,$226,$138,$740,$2000,$22,$28,$47,$75,$-0,$0,$0,$32,$30,$127,$-60,$-34,$0,$-10,$1,$-9,$-181,$-285,$111,$-44,$67,$5,$5,$0,$-38,$34,$-108,$7,$0
3,2017-09-30,4.05,$1.63,2.49,$1.11,3.65,$0.23,17.62,$-0.02,0.0,$0.78B,$0.75B,1.03,$0.37B,$0.72B,0.52,$0.51B,$0.27B,53.65%,$0.51B,$-0.00B,-0.59%,$0.51B,$-0.00B,-0.59%,$0.51B,$-0.00B,-0.59%,$0.51B,$0.00B,0.39%,$0.51B,$-0.01B,-1.78%,$-0.01B,$0.72B,-1.59%,$-0.01B,$0.72B,-1.59%,$-0.01B,$1.97B,-0.52%,$-0.00B,$1.09B,-0.33%,$112,$35,$77,$0,$59,$94,$18,$1,$19,$4,$15,$15,$15,$18,$18,$442,470,$0.03,$0.03,$543,$0,$1,$776,$553,$467,$0,$150,$1194,$1970,$753,$372,$0,$497,$1250,$12,$205,$142,$720,$1970,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
4,2017-06-30,3.71,$1.34,2.77,$1.40,2.64,$0.23,16.14,$-0.06,0.0,$0.73B,$0.72B,1.01,$0.31B,$0.58B,0.54,$0.65B,$0.29B,44.65%,$0.65B,$-0.02B,-3.26%,$0.65B,$-0.02B,-3.26%,$0.65B,$-0.02B,-3.26%,$0.65B,$-0.01B,-2.17%,$0.65B,$-0.03B,-4.50%,$-0.03B,$0.58B,-5.32%,$-0.03B,$0.58B,-5.32%,$-0.03B,$1.71B,-1.66%,$-0.02B,$0.89B,-2.34%,$110,$49,$61,$0,$67,$116,$-6,$3,$-3,$-3,$0,$0,$-2,$-6,$-6,$442,442,$-0.01,$-0.01,$547,$0,$1,$730,$550,$336,$0,$76,$984,$1714,$723,$312,$0,$410,$1133,$12,$190,$22,$582,$1714,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
5,2017-03-31,3.26,$1.09,3.0,$1.76,1.85,$0.23,14.18,$-0.15,0.0,$0.74B,$0.66B,1.11,$0.37B,$0.48B,0.77,$0.82B,$0.28B,34.43%,$0.82B,$-0.05B,-5.84%,$0.82B,$-0.05B,-5.84%,$0.82B,$-0.05B,-5.84%,$0.82B,$-0.04B,-5.23%,$0.82B,$-0.07B,-8.27%,$-0.07B,$0.48B,-12.16%,$-0.07B,$0.48B,-12.16%,$-0.07B,$1.58B,-3.70%,$-0.05B,$0.85B,-5.29%,$110,$61,$49,$0,$55,$116,$-6,$-1,$-7,$5,$-12,$-12,$-12,$-6,$-6,$442,442,$-0.03,$-0.03,$543,$0,$6,$736,$543,$232,$0,$53,$847,$1584,$663,$371,$0,$441,$1104,$12,$192,$-78,$480,$1584,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
6,2016-12-31,3.28,$1.10,2.97,$1.94,1.69,$0.23,14.27,$-0.36,0.0,$0.79B,$0.70B,1.14,$0.36B,$0.49B,0.74,$0.92B,$0.23B,24.97%,$0.92B,$-0.15B,-16.58%,$0.92B,$-0.15B,-16.58%,$0.92B,$-0.15B,-16.58%,$0.92B,$-0.15B,-15.81%,$0.92B,$-0.17B,-18.54%,$-0.17B,$0.49B,-27.27%,$-0.17B,$0.49B,-27.27%,$-0.17B,$1.62B,-8.65%,$-0.15B,$0.85B,-15.99%,$175,$89,$85,$0,$95,$184,$-9,$2,$-7,$3,$-10,$-10,$-10,$-9,$-9,$468,468,$-0.02,$-0.02,$591,$0,$7,$793,$320,$232,$0,$248,$822,$1615,$696,$360,$0,$431,$1127,$12,$204,$-81,$488,$1615,$-170,$25,$35,$60,$16,$0,$0,$228,$241,$131,$-24,$0,$0,$16,$8,$24,$-129,$-128,$-327,$114,$-212,$-135,$-135,$0,$-118,$-466,$-481,$7,$0
7,2016-09-30,4.49,$1.37,3.28,$2.25,1.99,$-0.48,0.0,$-0.43,0.0,$1.21B,$1.02B,1.18,$0.37B,$0.63B,0.59,$1.04B,$0.23B,22.15%,$1.04B,$-0.17B,-16.30%,$1.04B,$-0.17B,-16.30%,$1.04B,$-0.17B,-16.20%,$1.04B,$-0.17B,-16.20%,$1.04B,$-0.20B,-19.08%,$-0.20B,$0.63B,-27.82%,$-0.20B,$0.63B,-27.82%,$-0.20B,$2.10B,-9.32%,$-0.17B,$1.00B,-16.60%,$250,$157,$93,$0,$93,$250,$0,$3,$3,$8,$-5,$-5,$-5,$0,$0,$469,469,$-0.01,$-0.01,$893,$0,$8,$1211,$330,$242,$0,$268,$885,$2096,$1024,$371,$0,$443,$1467,$12,$211,$1,$629,$2096,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
8,2016-06-30,5.03,$1.36,3.69,$2.27,2.22,$-0.81,0.0,$-0.42,0.0,$1.18B,$1.05B,1.12,$0.29B,$0.64B,0.45,$1.04B,$0.20B,19.00%,$1.04B,$-0.20B,-19.39%,$1.04B,$-0.20B,-19.39%,$1.04B,$-0.19B,-17.95%,$1.04B,$-0.20B,-19.19%,$1.04B,$-0.19B,-18.52%,$-0.19B,$0.64B,-26.90%,$-0.19B,$0.64B,-26.90%,$-0.19B,$2.05B,-9.25%,$-0.20B,$0.93B,-19.08%,$287,$231,$56,$0,$89,$320,$-33,$1,$-32,$9,$-41,$-41,$-41,$-33,$-33,$474,474,$-0.09,$-0.09,$759,$0,$9,$1180,$333,$232,$0,$247,$872,$2053,$1051,$289,$0,$363,$1413,$12,$219,$-42,$639,$2053,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
9,2016-03-31,5.99,$1.55,3.86,$2.15,2.79,$-0.81,0.0,$-0.29,0.0,$1.28B,$0.99B,1.28,$0.29B,$0.74B,0.39,$0.97B,$0.25B,25.70%,$0.97B,$-0.15B,-15.17%,$0.97B,$-0.15B,-15.17%,$0.97B,$-0.13B,-13.62%,$0.97B,$-0.14B,-14.65%,$0.97B,$-0.14B,-14.04%,$-0.14B,$0.74B,-19.27%,$-0.14B,$0.74B,-19.27%,$-0.14B,$2.10B,-6.75%,$-0.15B,$1.03B,-13.37%,$205,$210,$-5,$0,$105,$315,$-110,$1,$-109,$5,$-114,$-114,$-114,$-110,$-110,$475,475,$-0.24,$-0.24,$812,$0,$10,$1276,$336,$236,$0,$145,$823,$2098,$994,$288,$0,$367,$1361,$12,$260,$-16,$738,$2098,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
