,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,40.13,$0.00,0.0,$42.74,0.94,$-6.45,0.0,$7.69,5.22,$280.35B,$260.68B,1.08,$52.29B,$32.42B,1.61,$15.77B,$11.64B,73.83%,$15.77B,$3.93B,24.92%,$15.77B,0,0.00%,$15.77B,0,0.00%,$15.77B,$3.44B,21.84%,$15.77B,$2.50B,15.82%,$2.50B,$32.42B,8.12%,$2.50B,$28.55B,9.28%,$2.50B,$411.94B,0.63%,$3.93B,$84.71B,4.94%,$3625,$1174,$2451,$0,$1401,$2576,$1050,$0,$1050,$278,$772,$772,$752,$0,$0,$474,474,$1.59,$1.59,$17222,$0,$0,$280346,$2686,$96999,$3867,$27637,$131590,$411936,$260684,$52294,$66435,$118749,$379521,$2381,$20220,$-730,$32415,$411936,$3302,$199,$962,$1162,$0,$0,$0,$-5182,$-5182,$-718,$-46,$0,$-89,$0,$-2850,$-2850,$-1147,$-4131,$8578,$0,$8578,$-17,$-17,$-632,$-175,$7754,$2846,$0,$-632
1,2018-06-30,38.48,$0.00,0.0,$44.34,0.87,$-7.60,0.0,$10.71,3.59,$278.20B,$260.19B,1.07,$50.54B,$30.87B,1.64,$16.53B,$12.67B,76.65%,$16.53B,$4.04B,24.44%,$16.53B,0,0.00%,$16.53B,0,0.00%,$16.53B,$3.37B,20.37%,$16.53B,$2.48B,14.98%,$2.48B,$30.87B,8.20%,$2.48B,$26.99B,9.39%,$2.48B,$407.95B,0.63%,$4.04B,$81.41B,5.24%,$3603,$1091,$2512,$0,$1334,$2425,$1178,$0,$1178,$325,$853,$853,$839,$0,$0,$474,474,$1.77,$1.77,$19073,$0,$0,$278202,$2688,$95601,$3882,$27139,$129752,$407954,$260188,$50537,$66237,$116797,$377085,$2381,$19470,$-680,$30869,$407954,$2253,$128,$439,$568,$0,$0,$0,$-5120,$-5120,$-2300,$-16,$-76,$0,$0,$-1168,$-1168,$-6,$-1266,$5581,$0,$5581,$0,$0,$-626,$-171,$4783,$1208,$0,$-626
2,2018-03-31,42.4,$0.00,0.0,$45.93,0.92,$-5.16,0.0,$10.42,4.07,$266.27B,$250.03B,1.07,$47.09B,$29.84B,1.58,$17.28B,$13.64B,78.95%,$17.28B,$4.08B,23.59%,$17.28B,0,0.00%,$17.28B,0,0.00%,$17.28B,$3.26B,18.86%,$17.28B,$2.44B,14.10%,$2.44B,$29.84B,8.16%,$2.44B,$25.98B,9.36%,$2.44B,$390.32B,0.64%,$4.08B,$76.93B,5.44%,$4498,$992,$3506,$0,$2431,$3423,$1075,$0,$1075,$293,$782,$782,$768,$0,$0,$237,237,$3.24,$3.24,$16212,$0,$0,$266266,$2683,$92851,$3861,$24128,$124053,$390319,$250027,$47093,$63301,$110411,$360480,$2381,$18634,$-734,$29839,$390319,$1075,$62,$469,$531,$0,$0,$0,$-1963,$-1963,$-358,$-20,$-29,$0,$0,$569,$569,$-3,$518,$646,$0,$646,$0,$0,$-24,$-166,$456,$591,$0,$-24
3,2017-12-31,46.4,$62.88,0.74,$35.64,1.3,$-2.46,0.0,$10.64,4.36,$289.06B,$246.72B,1.17,$45.43B,$29.82B,1.52,$16.90B,$13.40B,79.29%,$16.90B,$4.26B,25.18%,$16.90B,0,0.00%,$16.90B,0,0.00%,$16.90B,$3.36B,19.88%,$16.90B,$2.57B,15.18%,$2.57B,$29.82B,8.67%,$2.57B,$26.04B,9.95%,$2.57B,$377.19B,0.68%,$4.26B,$75.25B,5.83%,$4041,$869,$3172,$0,$2546,$3414,$626,$-486,$141,$-4,$145,$145,$136,$0,$0,$474,474,$0.30,$0.30,$45241,$0,$0,$289056,$2674,$63471,$3780,$17682,$88130,$377186,$246724,$45425,$55202,$100636,$347367,$2340,$18395,$-469,$29819,$377186,$3359,$224,$2716,$2940,$0,$0,$0,$-5395,$-5395,$904,$-127,$8,$-24,$0,$-9318,$-9318,$-9,$-9470,$9569,$0,$9569,$0,$0,$-625,$198,$9142,$535,$0,$-625
4,2017-09-30,43.05,$0.00,0.0,$44.49,0.97,$2.64,16.31,$12.04,3.58,$294.80B,$251.98B,1.17,$44.62B,$30.32B,1.47,$21.10B,$16.65B,78.92%,$21.10B,$4.08B,19.32%,$21.10B,0,0.00%,$21.10B,0,0.00%,$21.10B,$3.09B,14.65%,$21.10B,$2.31B,10.96%,$2.31B,$30.32B,7.90%,$2.31B,$26.52B,9.09%,$2.31B,$386.81B,0.63%,$4.08B,$74.93B,5.72%,$4386,$908,$3478,$0,$2317,$3225,$1161,$-189,$972,$227,$746,$746,$733,$0,$0,$474,474,$1.55,$1.55,$47507,$0,$0,$294799,$2689,$62591,$3802,$22485,$92014,$386813,$251980,$44615,$59742,$104364,$356494,$2381,$18525,$-312,$30319,$386813,$3218,$170,$-23,$147,$0,$0,$0,$-4600,$-4600,$-1235,$-73,$6,$-57,$0,$-6575,$-6575,$-9,$-6709,$9356,$0,$9356,$0,$0,$-632,$-266,$8458,$478,$0,$-632
5,2017-06-30,42.26,$0.00,0.0,$41.78,1.01,$9.47,4.46,$11.67,3.62,$282.84B,$242.21B,1.17,$42.94B,$29.42B,1.46,$19.81B,$15.39B,77.66%,$19.81B,$3.99B,20.11%,$19.81B,0,0.00%,$19.81B,0,0.00%,$19.81B,$2.97B,15.00%,$19.81B,$2.21B,11.14%,$2.21B,$29.42B,7.67%,$2.21B,$25.61B,8.84%,$2.21B,$372.52B,0.61%,$3.99B,$72.36B,5.72%,$4355,$868,$3487,$0,$2273,$3141,$1214,$-144,$1071,$259,$812,$812,$799,$0,$0,$474,474,$1.68,$1.68,$46632,$0,$0,$282836,$2705,$60192,$3815,$22535,$89683,$372520,$242208,$42943,$57805,$100757,$343100,$2381,$17793,$-228,$29420,$372520,$2246,$114,$137,$251,$0,$0,$0,$-3609,$-3609,$-1112,$-48,$5,$-42,$0,$-4659,$-4659,$14,$-4728,$6533,$0,$6533,$0,$0,$-630,$167,$6070,$206,$0,$-630
6,2017-03-31,40.61,$0.00,0.0,$41.22,0.99,$14.42,2.82,$10.73,3.78,$280.04B,$236.16B,1.19,$40.52B,$28.74B,1.41,$19.55B,$15.11B,77.30%,$19.55B,$3.84B,19.63%,$19.55B,0,0.00%,$19.55B,0,0.00%,$19.55B,$2.68B,13.71%,$19.55B,$2.00B,10.22%,$2.00B,$28.74B,7.08%,$2.00B,$24.92B,8.18%,$2.00B,$364.50B,0.56%,$3.84B,$69.25B,5.69%,$4118,$855,$3263,$0,$2007,$2862,$1255,$-80,$1175,$269,$907,$907,$897,$0,$0,$474,474,$1.88,$1.88,$46773,$0,$0,$280037,$2811,$56536,$3816,$20837,$84459,$364496,$236156,$40517,$58953,$99476,$335761,$2381,$16994,$-200,$28735,$364496,$1175,$59,$-176,$-117,$0,$0,$0,$-518,$-518,$540,$-17,$4,$-18,$0,$-1599,$-1599,$-19,$-1649,$1647,$0,$1647,$0,$0,$-38,$-3,$1607,$477,$0,$-38
7,2016-12-31,36.58,$60.25,0.61,$38.48,0.95,$12.16,3.01,$9.79,3.74,$274.40B,$236.17B,1.16,$39.89B,$28.57B,1.4,$16.84B,$13.21B,78.45%,$16.84B,$3.93B,23.34%,$16.84B,0,0.00%,$16.84B,0,0.00%,$16.84B,$2.85B,16.94%,$16.84B,$2.45B,14.53%,$2.45B,$28.57B,9.66%,$2.45B,$24.77B,10.87%,$2.45B,$356.11B,0.91%,$3.93B,$68.47B,7.03%,$8239,$1816,$6422,$0,$5977,$7793,$446,$-573,$-128,$-70,$-58,$-58,$-116,$0,$0,$474,474,$-2.98,$-2.98,$41289,$0,$0,$274399,$2831,$55432,$3804,$19070,$81713,$356112,$236168,$39894,$51352,$91256,$327542,$2381,$16776,$-92,$28570,$356112,$2853,$234,$2697,$2931,$0,$0,$0,$-2367,$-2367,$3417,$-222,$7,$-84,$0,$-6580,$-6580,$43,$-6834,$6382,$0,$6382,$0,$-1013,$-602,$-407,$4360,$923,$0,$-602
8,2016-09-30,34.28,$0.00,0.0,$26.38,1.3,$15.65,2.19,$9.04,3.79,$276.57B,$233.34B,1.19,$39.98B,$28.39B,1.41,$9.90B,$11.16B,112.70%,$9.90B,$2.34B,23.63%,$9.90B,0,0.00%,$9.90B,0,0.00%,$9.90B,$3.44B,34.71%,$9.90B,$2.93B,29.55%,$2.93B,$28.39B,11.60%,$2.93B,$24.59B,13.06%,$2.93B,$359.09B,1.12%,$2.34B,$68.37B,4.26%,$3100,$886,$2214,$0,$1144,$2030,$1070,$-216,$853,$203,$650,$650,$628,$0,$0,$474,474,$1.33,$1.33,$43069,$0,$0,$276568,$2798,$52395,$3805,$23153,$82519,$359087,$233342,$39979,$57093,$97081,$330697,$2381,$16232,$44,$28390,$359087,$2283,$178,$1075,$1253,$0,$0,$0,$-1421,$-1421,$2115,$-184,$6,$-52,$0,$-3770,$-3770,$44,$-3955,$5360,$0,$5360,$0,$-1013,$-593,$-424,$3329,$1470,$0,$-593
9,2016-06-30,30.8,$0.00,0.0,$36.92,0.83,$14.12,2.18,$8.87,3.47,$258.22B,$217.76B,1.19,$36.72B,$27.07B,1.36,$10.85B,$12.04B,110.91%,$10.85B,$3.29B,30.33%,$10.85B,0,0.00%,$10.85B,0,0.00%,$10.85B,$3.37B,31.06%,$10.85B,$2.91B,26.81%,$2.91B,$27.07B,11.52%,$2.91B,$23.42B,12.96%,$2.91B,$336.04B,1.14%,$3.29B,$63.78B,5.53%,$4091,$879,$3212,$0,$2146,$3025,$1066,$-286,$780,$177,$603,$603,$588,$0,$0,$474,474,$1.22,$1.22,$43045,$0,$0,$258217,$2681,$48419,$3647,$22712,$77818,$336036,$217759,$36715,$54259,$90984,$308967,$2277,$14927,$219,$27068,$336036,$1368,$116,$1495,$1610,$0,$0,$0,$-1641,$-1641,$1337,$-150,$5,$-26,$0,$-1792,$-1792,$57,$-1906,$2002,$0,$2002,$0,$0,$-559,$-25,$1418,$866,$0,$-559
