,Date,Stock Price,Book Value per Share,Price to Book Ratio,TTM Sales per Share,Price to Sales Ratio,TTM FCF per Share,Price to FCF Ratio,TTM Net EPS,PE Ratio,Current Assets,Current Liabilities,Current Ratio,Long Term Debt,Shareholder's Equity_x,Debt to Equity Ratio,TTM Revenue_x,TTM Gross Profit,Gross Margin,TTM Revenue_y,TTM Operating Income,Operating Margin,TTM Revenue_x,TTM EBIT,EBIT Margin,TTM Revenue_y,TTM EBITDA,EBITDA Margin,TTM Revenue_x,TTM Pre-Tax Income,Pre-Tax Margin,TTM Revenue_y,TTM Net Income_x,Net Margin,TTM Net Income_y,Shareholder's Equity_y,Return on Equity,TTM Net Income_x,Tangible Equity,Return on Tangible Equity,TTM Net Income_y,Total Assets,Return on Assets,TTM Net Income,LT Investments & Debt,Return on Investment,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
0,2018-09-30,23.88,$3.08,7.76,$2.63,9.09,$-5.89,0.0,$-2.64,0.0,$0.15B,$0.05B,2.77,$0.03B,$0.09B,0.36,$0.06B,$0.04B,57.38%,$0.06B,$-0.07B,-119.67%,$0.06B,$-0.07B,-119.67%,$0.06B,$-0.07B,-113.11%,$0.06B,$-0.08B,-124.59%,$0.06B,$-0.08B,-124.59%,$-0.08B,$0.09B,-132.75%,$-0.08B,$0.06B,-286.79%,$-0.08B,$0.18B,-54.97%,$-0.07B,$0.12B,-93.89%,$17,$6,$10,$3,$27,$36,$-20,$-1,$-21,$0,$-21,$-21,$-21,$-19,$-20,$28,28,$-0.72,$-0.72,$103,$23,$0,$148,$2,$0,$30,$1,$33,$181,$54,$31,$8,$40,$93,$0,$-337,$0,$88,$181,$-58,$3,$15,$17,$-9,$-3,$7,$1,$-1,$-41,$-0,$0,$0,$0,$0,$0,$0,$-0,$-2,$12,$10,$110,$110,$0,$-1,$118,$76,$10,$0
1,2018-06-30,19.51,$3.63,5.37,$2.54,7.67,$-6.33,0.0,$-3.38,0.0,$0.16B,$0.05B,3.06,$0.03B,$0.10B,0.27,$0.05B,$0.03B,57.41%,$0.05B,$-0.07B,-124.07%,$0.05B,$-0.07B,-124.07%,$0.05B,$-0.06B,-116.67%,$0.05B,$-0.07B,-127.78%,$0.05B,$-0.07B,-127.78%,$-0.07B,$0.10B,-149.19%,$-0.07B,$0.07B,-460.00%,$-0.07B,$0.19B,-57.62%,$-0.07B,$0.13B,-103.08%,$18,$7,$11,$2,$25,$34,$-17,$-1,$-18,$0,$-18,$-18,$-18,$-16,$-17,$25,25,$-0.73,$-0.73,$113,$22,$0,$158,$2,$0,$30,$1,$33,$191,$52,$28,$9,$37,$88,$0,$-317,$0,$103,$191,$-37,$2,$9,$11,$-6,$-2,$4,$-2,$-5,$-31,$-0,$0,$0,$0,$0,$0,$0,$-0,$-2,$12,$10,$109,$109,$0,$-1,$117,$86,$6,$0
2,2018-03-31,9.66,$0.50,19.28,$2.26,4.27,$-5.97,0.0,$-3.72,0.0,$0.05B,$0.04B,1.21,$0.02B,$0.01B,2.31,$0.04B,$0.03B,59.09%,$0.04B,$-0.07B,-159.09%,$0.04B,$-0.07B,-159.09%,$0.04B,$-0.07B,-150.00%,$0.04B,$-0.07B,-161.36%,$0.04B,$-0.07B,-161.36%,$-0.07B,$0.01B,-205.80%,$-0.07B,$-0.02B,-860.61%,$-0.07B,$0.09B,-74.35%,$-0.07B,$0.03B,-151.35%,$15,$6,$9,$3,$25,$34,$-19,$-0,$-19,$0,$-19,$-19,$-19,$-18,$-19,$20,20,$-0.99,$-0.99,$16,$22,$0,$52,$5,$0,$31,$1,$36,$89,$43,$23,$13,$36,$79,$0,$-299,$0,$10,$89,$-19,$1,$4,$5,$-6,$-1,$5,$3,$2,$-13,$-0,$0,$0,$0,$0,$0,$0,$-0,$3,$0,$3,$0,$0,$0,$-1,$2,$-11,$3,$0
3,2017-12-31,14.06,$1.42,9.88,$1.91,7.36,$-5.80,0.0,$-3.34,0.0,$0.06B,$0.05B,1.1,$0.00B,$0.03B,0.0,$0.04B,$0.02B,61.11%,$0.04B,$-0.06B,-172.22%,$0.04B,$-0.06B,-172.22%,$0.04B,$-0.06B,-163.89%,$0.04B,$-0.06B,-175.00%,$0.04B,$-0.06B,-175.00%,$-0.06B,$0.03B,-124.75%,$-0.06B,$-0.00B,-213.56%,$-0.06B,$0.09B,-64.78%,$-0.06B,$0.03B,-109.73%,$11,$6,$5,$2,$21,$28,$-17,$-1,$-18,$-0,$-18,$-18,$-18,$-16,$-17,$19,19,$-0.92,$-0.92,$27,$21,$0,$56,$5,$0,$31,$1,$37,$92,$50,$0,$14,$14,$65,$0,$-279,$0,$28,$92,$-64,$4,$12,$16,$-2,$1,$1,$-1,$2,$-46,$-2,$0,$-18,$0,$0,$0,$0,$-20,$25,$0,$25,$2,$2,$0,$-1,$26,$-41,$7,$0
4,2017-09-30,15.4,$2.34,6.59,$1.69,9.11,$-5.25,0.0,$-2.85,0.0,$0.07B,$0.02B,2.87,$0.03B,$0.04B,0.57,$0.03B,$0.02B,67.74%,$0.03B,$-0.05B,-170.97%,$0.03B,$-0.05B,-170.97%,$0.03B,$-0.05B,-164.52%,$0.03B,$-0.05B,-170.97%,$0.03B,$-0.05B,-170.97%,$-0.05B,$0.04B,-82.17%,$-0.05B,$0.01B,-108.72%,$-0.05B,$0.11B,-51.58%,$-0.05B,$0.07B,-75.18%,$10,$3,$6,$3,$17,$24,$-14,$-1,$-14,$0,$-14,$-14,$-14,$-13,$-14,$19,19,$-0.74,$-0.74,$38,$23,$0,$70,$4,$0,$32,$1,$37,$107,$24,$25,$14,$39,$63,$0,$-262,$0,$44,$107,$-46,$3,$6,$9,$0,$1,$-0,$-4,$1,$-36,$-1,$0,$-18,$0,$0,$0,$0,$-20,$20,$5,$25,$2,$2,$0,$-1,$26,$-30,$5,$0
5,2017-06-30,9.72,$2.90,3.35,$1.54,6.31,$-4.91,0.0,$-2.66,0.0,$0.08B,$0.03B,2.34,$0.00B,$0.06B,0.0,$0.03B,$0.02B,71.43%,$0.03B,$-0.05B,-175.00%,$0.03B,$-0.05B,-175.00%,$0.03B,$-0.05B,-167.86%,$0.03B,$-0.05B,-175.00%,$0.03B,$-0.05B,-175.00%,$-0.05B,$0.06B,-64.26%,$-0.05B,$0.05B,-73.41%,$-0.05B,$0.09B,-46.12%,$-0.05B,$0.06B,-64.26%,$8,$3,$6,$2,$14,$28,$-20,$-0,$-20,$0,$-20,$-20,$-20,$-19,$-20,$19,19,$-1.07,$-1.07,$55,$16,$0,$78,$4,$0,$10,$1,$15,$94,$33,$0,$4,$4,$38,$0,$-247,$0,$56,$94,$-32,$2,$4,$6,$0,$2,$-1,$5,$10,$-16,$-2,$0,$0,$0,$0,$0,$0,$-2,$0,$5,$5,$1,$1,$0,$-1,$6,$-12,$3,$0
6,2017-03-31,8.42,$3.98,2.12,$1.46,5.77,$-5.13,0.0,$-2.15,0.0,$0.08B,$0.02B,4.52,$0.00B,$0.07B,0.0,$0.03B,$0.02B,69.23%,$0.03B,$-0.04B,-150.00%,$0.03B,$-0.04B,-150.00%,$0.03B,$-0.04B,-146.15%,$0.03B,$-0.04B,-150.00%,$0.03B,$-0.04B,-150.00%,$-0.04B,$0.07B,-44.83%,$-0.04B,$0.06B,-49.84%,$-0.04B,$0.10B,-34.67%,$-0.04B,$0.07B,-44.83%,$7,$2,$5,$3,$13,$19,$-11,$0,$-11,$0,$-11,$-11,$-11,$-11,$-11,$19,19,$-0.61,$-0.61,$59,$17,$0,$81,$3,$0,$11,$1,$15,$96,$18,$0,$4,$4,$22,$0,$-227,$0,$74,$96,$-11,$1,$2,$2,$0,$1,$-1,$-3,$1,$-8,$-1,$0,$0,$0,$0,$0,$0,$-1,$0,$0,$0,$1,$1,$0,$-0,$1,$-8,$1,$0
7,2016-12-31,8.52,$4.50,1.9,$1.14,7.46,$-5.36,0.0,$-2.20,0.0,$0.10B,$0.03B,3.63,$0.00B,$0.08B,0.0,$0.02B,$0.01B,70.00%,$0.02B,$-0.04B,-200.00%,$0.02B,$-0.04B,-200.00%,$0.02B,$-0.04B,-195.00%,$0.02B,$-0.04B,-200.00%,$0.02B,$-0.04B,-200.00%,$-0.04B,$0.08B,-41.88%,$-0.04B,$0.07B,-45.71%,$-0.04B,$0.11B,-33.26%,$-0.04B,$0.08B,-41.88%,$6,$3,$4,$2,$10,$15,$-8,$0,$-8,$0,$-8,$-8,$-8,$-8,$-8,$18,18,$-0.43,$-0.43,$67,$18,$0,$100,$3,$0,$11,$0,$14,$114,$28,$0,$3,$3,$31,$0,$-215,$0,$84,$114,$-40,$1,$5,$7,$1,$2,$-1,$-2,$-1,$-34,$-1,$0,$-12,$0,$0,$0,$0,$-13,$0,$0,$0,$2,$2,$0,$0,$2,$-46,$3,$0
8,2016-09-30,8.99,$4.90,1.84,$0.88,10.18,$-4.63,0.0,$-3.34,0.0,$0.11B,$0.03B,4.02,$0.00B,$0.09B,0.0,$0.02B,$0.01B,68.75%,$0.02B,$-0.06B,-375.00%,$0.02B,$-0.06B,-375.00%,$0.02B,$-0.05B,-281.25%,$0.02B,$-0.06B,-375.00%,$0.02B,$-0.06B,-375.00%,$-0.06B,$0.09B,-57.55%,$-0.06B,$0.08B,-60.61%,$-0.06B,$0.12B,-47.24%,$-0.06B,$0.09B,-57.55%,$7,$2,$5,$2,$11,$16,$-10,$-0,$-10,$0,$-10,$-10,$-10,$-9,$-10,$18,18,$-0.55,$-0.55,$79,$19,$0,$112,$2,$0,$7,$0,$9,$121,$28,$0,$2,$2,$30,$0,$-207,$0,$91,$121,$-32,$1,$4,$5,$1,$1,$-1,$-2,$-0,$-28,$-1,$0,$-7,$0,$0,$0,$0,$-8,$0,$0,$0,$2,$2,$0,$0,$2,$-34,$3,$0
9,2016-06-30,6.58,$5.47,1.2,$1.18,5.59,$-3.66,0.0,$-3.22,0.0,$0.11B,$0.02B,6.15,$0.00B,$0.10B,0.0,$0.02B,$0.01B,68.42%,$0.02B,$-0.06B,-294.74%,$0.02B,$-0.06B,-294.74%,$0.02B,$-0.04B,-215.79%,$0.02B,$-0.06B,-300.00%,$0.02B,$-0.06B,-300.00%,$-0.06B,$0.10B,-48.31%,$-0.06B,$0.09B,-51.35%,$-0.06B,$0.12B,-39.45%,$-0.06B,$0.10B,-47.46%,$6,$2,$4,$3,$12,$16,$-10,$0,$-10,$0,$-10,$-10,$-10,$-10,$-10,$18,18,$-0.56,$-0.56,$86,$19,$0,$109,$2,$0,$7,$0,$9,$119,$18,$0,$2,$2,$20,$0,$-197,$0,$99,$119,$-22,$0,$3,$3,$2,$1,$-1,$-3,$-0,$-19,$-1,$0,$-7,$0,$0,$0,$0,$-8,$0,$0,$0,$0,$0,$0,$0,$0,$-27,$2,$0
